Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,18.11,18.67,18.06,18.59,18.2854,22134
2025-07-23,18.67,18.87,18.475,18.63,18.3247,14219
2025-07-24,18.64,18.72,18.54,18.6,18.2952,5253
2025-07-25,18.12,18.75,18.12,18.69,18.3838,12857
2025-07-28,18.69,18.88,18.53,18.82,18.5116,16041
2025-07-29,18.71,18.89,18.55,18.89,18.5805,29524
2025-07-30,18.89,18.89,18.515,18.56,18.2559,25222
2025-07-31,18.8,19.24,18.69,19.05,18.7379,41570
2025-08-01,19.05,19.05,18.72,19.02,18.7084,28247
2025-08-04,18.87,19.23,18.62,19.05,18.7379,78022
2025-08-05,18.99,19.52,18.91,19.1,18.787,19140
2025-08-06,19.2,19.85,19.2,19.75,19.4264,35251
2025-08-07,19.5,20.07,19.49,19.96,19.6329,44063
2025-08-08,19.96,20.07,19.425,19.54,19.2198,24303
2025-08-11,19.7,20.04,19.51,19.82,19.4952,53845
2025-08-12,20.04,20.04,19.7,19.84,19.5149,42519
2025-08-13,19.64,19.95,19.39,19.49,19.1707,22743
2025-08-14,19.535,19.9,19.41,19.55,19.2297,31016
2025-08-15,19.57,19.6,19.41,19.41,19.092,23929
2025-08-18,19.42,19.51,19.19,19.39,19.0723,45899
2025-08-19,19.35,19.54,19.24,19.29,18.9739,83629
2025-08-20,19.29,19.54,18.93,19,18.6887,35259
2025-08-21,20,23.1,19.76,22.9,22.5248,484800
2025-08-22,22.9,22.9,21.36,21.6,21.2461,228663
2025-08-25,22.17,22.17,20.42,20.55,20.2133,101725
2025-08-26,20.53,21.04,20.51,20.84,20.4985,73363
2025-08-27,20.8,20.83,20.33,20.62,20.2821,69202
2025-08-28,20.52,20.76,20.19,20.45,20.1149,316493
2025-08-29,20.45,21.09,20.45,20.93,20.5871,35286
2025-09-01,20.5,21.13,20.22,20.35,20.0166,60384
2025-09-02,20.4,20.4,19.89,20.24,19.9084,38103
2025-09-03,20.2,20.41,19.86,20.17,19.8395,63732
2025-09-04,20.235,20.91,20.05,20.58,20.2428,53573
2025-09-05,20.76,20.93,20.56,20.71,20.5002,45489
2025-09-08,21,21.385,20.81,21.26,21.0446,48750
2025-09-09,21.6,21.61,20.58,20.77,20.5595,82681
2025-09-10,21,21.07,20.38,20.5,20.2923,48831
2025-09-11,20.8,20.96,20.2,20.51,20.3022,51058
2025-09-12,20.6,21.02,20.21,20.58,20.3715,37178
2025-09-15,20.28,21.04,20.28,20.83,20.6189,217763
2025-09-16,20.83,20.83,20.55,20.7,20.4903,178839
2025-09-17,20.65,20.8,20,20.68,20.4705,51894
2025-09-18,20.77,21.05,20.44,20.86,20.6486,101239
2025-09-19,21.04,21.37,20.56,20.89,20.6783,1482748
2025-09-22,20.68,20.91,20.21,20.6,20.3913,35833
2025-09-23,20.6,21,20.27,20.87,20.6585,39715
2025-09-24,20.7,20.8,20.37,20.68,20.4705,25251
2025-09-25,20.68,20.88,20.35,20.69,20.4804,22181
2025-09-26,20.63,20.63,19.93,20.49,20.2824,57176
2025-09-29,20.5,20.5,19.71,19.72,19.5202,61615
2025-09-30,19.71,20.12,19.44,19.98,19.7776,72230
2025-10-01,20.31,20.6,19.89,20.2,19.9953,162937
2025-10-02,20.31,20.78,20.105,20.49,20.2824,94863
2025-10-03,20.03,20.66,20.03,20.46,20.2527,40759
2025-10-06,20.67,20.67,19.96,20.04,19.8369,24937
2025-10-07,20.06,20.66,19.99,20.4,20.1933,69074
2025-10-08,20.6,20.6,19.98,19.98,19.7776,52901
2025-10-09,20,20.54,19.76,19.79,19.5895,26149
2025-10-10,19.58,19.98,19.52,19.71,19.5103,34517
2025-10-13,19.72,19.97,18.89,19.83,19.6291,49728
2025-10-14,19.66,19.94,19.26,19.5,19.3024,80999
2025-10-15,19.91,20.12,19.48,19.86,19.6588,34835
2025-10-16,19.2,19.85,19.2,19.46,19.2628,31491
2025-10-17,19.46,19.95,18.75,18.83,18.6392,45882
2025-10-20,18.55,19.19,18.55,19.05,18.857,58840
2025-10-21,19.49,19.49,18.83,18.83,18.6392,21803
2025-10-22,18.83,19.33,18.74,19.33,19.1341,110115
2025-10-23,19.1,19.79,18.85,19.57,19.3717,85955
2025-10-24,19.6,20.05,19.3,20,19.7973,95914
2025-10-27,20.05,20.2,19.82,19.85,19.6489,47564
2025-10-28,19.86,19.99,18.98,19.26,19.0648,64018
2025-10-29,19.21,19.33,17.7,17.7,17.5207,131743
2025-10-30,17.3,18.32,17.2,18.28,18.0948,57223
2025-10-31,18.54,19.1,18.31,18.45,18.2631,55019
2025-11-03,18.46,19.13,18.3,19.08,18.8867,49724
2025-11-04,18.76,19.51,18.38,18.53,18.3422,57017
