Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,1.06,1.1,1.06,1.09,1.09,229934
2025-04-28,1.095,1.095,1.05,1.06,1.06,212523
2025-04-29,1.065,1.13,1.06,1.13,1.13,259146
2025-04-30,1.125,1.145,1.115,1.13,1.13,272231
2025-05-01,1.1325,1.155,1.1275,1.155,1.155,190502
2025-05-02,1.1625,1.1775,1.1375,1.155,1.155,283669
2025-05-05,1.155,1.16,1.1,1.12,1.12,238353
2025-05-06,1.125,1.145,1.115,1.125,1.125,152655
2025-05-07,1.145,1.16,1.12,1.14,1.14,78818
2025-05-08,1.135,1.175,1.135,1.165,1.165,174148
2025-05-09,1.165,1.2,1.165,1.195,1.195,184254
2025-05-12,1.21,1.225,1.19,1.19,1.19,118308
2025-05-13,1.235,1.235,1.18,1.185,1.185,197218
2025-05-14,1.18,1.19,1.175,1.175,1.175,88498
2025-05-15,1.19,1.19,1.15,1.16,1.16,107258
2025-05-16,1.16,1.18,1.13,1.13,1.13,122218
2025-05-19,1.2,1.335,1.19,1.315,1.315,427130
2025-05-20,1.05,1.05,0.835,0.86,0.86,10358732
2025-05-21,0.86,0.86,0.75,0.75,0.75,5265810
2025-05-22,0.765,0.78,0.72,0.725,0.725,5087971
2025-05-23,0.75,0.775,0.74,0.76,0.76,3153803
2025-05-26,0.775,0.775,0.705,0.72,0.72,2302031
2025-05-27,0.72,0.735,0.7125,0.73,0.73,2413037
2025-05-28,0.735,0.785,0.735,0.75,0.75,1856461
2025-05-29,0.75,0.7775,0.75,0.765,0.765,1263921
2025-05-30,0.76,0.765,0.72,0.72,0.72,2399700
2025-06-02,0.725,0.74,0.7,0.725,0.725,1661188
2025-06-03,0.705,0.72,0.69,0.69,0.69,1379746
2025-06-04,0.7,0.715,0.69,0.705,0.705,1055642
2025-06-05,0.71,0.715,0.685,0.69,0.69,781393
2025-06-06,0.69,0.695,0.68,0.69,0.69,634887
2025-06-10,0.69,0.695,0.665,0.685,0.685,693700
2025-06-11,0.69,0.72,0.69,0.72,0.72,1775959
2025-06-12,0.715,0.75,0.71,0.745,0.745,1144059
2025-06-13,0.74,0.75,0.72,0.73,0.73,806390
2025-06-16,0.73,0.75,0.7225,0.745,0.745,890482
2025-06-17,0.74,0.765,0.7375,0.76,0.76,1261148
2025-06-18,0.76,0.78,0.755,0.77,0.77,1136746
2025-06-19,0.765,0.78,0.76,0.765,0.765,1029867
2025-06-20,0.775,0.8,0.77,0.775,0.775,1593969
2025-06-23,0.76,0.765,0.735,0.74,0.74,812029
2025-06-24,0.74,0.76,0.7375,0.745,0.745,1420620
2025-06-25,0.75,0.77,0.7325,0.765,0.765,4355972
2025-06-26,0.765,0.7775,0.745,0.75,0.75,874771
2025-06-27,0.765,0.7675,0.745,0.75,0.75,566535
2025-06-30,0.75,0.7625,0.745,0.75,0.75,726574
2025-07-01,0.755,0.7575,0.725,0.73,0.73,547243
2025-07-02,0.735,0.755,0.735,0.74,0.74,669717
2025-07-03,0.745,0.76,0.725,0.755,0.755,421017
2025-07-04,0.75,0.765,0.73,0.73,0.73,324867
2025-07-07,0.73,0.755,0.725,0.75,0.75,438123
2025-07-08,0.75,0.755,0.74,0.745,0.745,313501
2025-07-09,0.73,0.765,0.73,0.755,0.755,429838
2025-07-10,0.74,0.77,0.74,0.765,0.765,482409
2025-07-11,0.75,0.79,0.75,0.755,0.755,330230
2025-07-14,0.755,0.775,0.755,0.76,0.76,264144
2025-07-15,0.77,0.78,0.7575,0.76,0.76,200733
2025-07-16,0.755,0.765,0.75,0.75,0.75,264367
2025-07-17,0.75,0.7575,0.735,0.74,0.74,620839
2025-07-18,0.745,0.76,0.745,0.76,0.76,268038
2025-07-21,0.76,0.76,0.745,0.745,0.745,347809
2025-07-22,0.765,0.775,0.75,0.76,0.76,1586253
2025-07-23,0.76,0.8,0.76,0.77,0.77,687739
2025-07-24,0.83,0.855,0.8125,0.84,0.84,4029162
2025-07-25,0.84,0.86,0.8175,0.825,0.825,1263974
2025-07-28,0.84,0.865,0.83,0.855,0.855,784496
2025-07-29,0.85,0.8625,0.835,0.84,0.84,442618
2025-07-30,0.84,0.84,0.82,0.82,0.82,261366
2025-07-31,0.825,0.84,0.8175,0.83,0.83,717535
2025-08-01,0.83,0.83,0.8,0.815,0.815,404113
2025-08-04,0.815,0.84,0.805,0.83,0.83,348483
2025-08-05,0.825,0.86,0.825,0.86,0.86,344769
2025-08-06,0.86,0.86,0.835,0.835,0.835,413672
2025-08-07,0.84,0.86,0.8375,0.85,0.85,666298
2025-08-08,0.85,0.8575,0.83,0.84,0.84,418117
2025-08-11,0.835,0.84,0.82,0.83,0.83,273322
2025-08-12,0.83,0.835,0.815,0.835,0.835,550053
2025-08-13,0.83,0.845,0.815,0.82,0.82,417124
2025-08-14,0.825,0.83,0.815,0.815,0.815,294231
2025-08-15,0.815,0.835,0.785,0.795,0.795,753598
2025-08-18,0.8,0.83,0.795,0.81,0.81,1451710
2025-08-19,0.815,0.8225,0.8,0.805,0.805,872804
2025-08-20,0.805,0.84,0.805,0.81,0.81,1216190
2025-08-21,0.815,0.85,0.815,0.85,0.85,1034360
2025-08-22,0.835,0.835,0.815,0.815,0.815,695503
2025-08-25,0.82,0.835,0.81,0.825,0.825,830069
2025-08-26,0.825,0.84,0.825,0.835,0.835,668185
2025-08-27,0.84,0.84,0.815,0.83,0.83,561338
2025-08-28,0.815,0.83,0.815,0.83,0.83,282329
2025-08-29,0.825,0.83,0.81,0.81,0.81,528227
2025-09-01,0.82,0.85,0.81,0.85,0.85,831176
2025-09-02,0.85,0.85,0.825,0.835,0.835,886915
2025-09-03,0.8325,0.835,0.815,0.82,0.82,439766
2025-09-04,0.8325,0.835,0.82,0.825,0.825,445545
2025-09-05,0.82,0.8525,0.8175,0.85,0.85,736357
2025-09-08,0.84,0.89,0.835,0.88,0.88,587632
2025-09-09,0.875,0.88,0.8575,0.87,0.87,248693
2025-09-10,0.885,0.8925,0.8675,0.885,0.885,397804
2025-09-11,0.885,0.915,0.87,0.915,0.915,390962
2025-09-12,0.9,0.91,0.89,0.905,0.905,352759
2025-09-15,0.9,0.9,0.875,0.88,0.88,315670
2025-09-16,0.89,0.89,0.83,0.835,0.835,653355
2025-09-17,0.835,0.8625,0.83,0.86,0.86,534344
2025-09-18,0.86,0.87,0.845,0.87,0.87,533243
2025-09-19,0.87,0.87,0.79,0.8,0.8,12434872
2025-09-22,0.8,0.83,0.8,0.805,0.805,996620
2025-09-23,0.825,0.825,0.79,0.79,0.79,972165
2025-09-24,0.785,0.8,0.775,0.79,0.79,416736
2025-09-25,0.8,0.81,0.785,0.805,0.805,190491
2025-09-26,0.8,0.83,0.79,0.82,0.82,246166
2025-09-29,0.82,0.85,0.82,0.83,0.83,398036
2025-09-30,0.84,0.86,0.83,0.855,0.855,302953
2025-10-01,0.86,0.86,0.84,0.855,0.855,413676
2025-10-02,0.86,0.865,0.84,0.85,0.85,497890
2025-10-03,0.85,0.87,0.845,0.855,0.855,278264
2025-10-06,0.86,0.87,0.85,0.87,0.87,179275
2025-10-07,0.875,0.92,0.875,0.905,0.905,433306
