Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.09,2.1,2.06,2.09,1.9948,9677804
2025-07-23,2.11,2.18,2.1,2.16,2.0616,5000346
2025-07-24,2.17,2.17,2.085,2.1,2.0043,9488502
2025-07-25,2.08,2.09,2.04,2.05,1.9566,3606266
2025-07-28,2.05,2.145,2.05,2.12,2.0234,4935317
2025-07-29,2.1,2.12,2.08,2.08,1.9852,7914141
2025-07-30,2.07,2.095,2.06,2.09,1.9948,2997969
2025-07-31,2.08,2.09,2.06,2.08,1.9852,2882312
2025-08-01,2.06,2.06,2.025,2.05,1.9566,2572137
2025-08-04,2.03,2.07,2.03,2.06,1.9662,1461102
2025-08-05,2.08,2.09,2.06,2.07,1.9757,1763611
2025-08-06,2.09,2.1,2.055,2.09,1.9948,1747054
2025-08-07,2.1,2.11,2.08,2.11,2.0139,2980519
2025-08-08,2.12,2.12,2.09,2.12,2.0234,4258818
2025-08-11,2.12,2.13,2.09,2.12,2.0234,3217224
2025-08-12,2.12,2.12,2.08,2.11,2.0139,3364671
2025-08-13,2.12,2.12,2.095,2.11,2.0139,1335270
2025-08-14,2.2,2.31,2.15,2.22,2.1189,11671054
2025-08-15,2.32,2.38,2.3,2.32,2.2143,10937482
2025-08-18,2.27,2.35,2.24,2.35,2.2429,5721579
2025-08-19,2.33,2.34,2.29,2.31,2.2048,3052712
2025-08-20,2.33,2.33,2.28,2.31,2.2048,3542584
2025-08-21,2.32,2.33,2.27,2.31,2.2048,5066910
2025-08-22,2.32,2.32,2.26,2.27,2.1666,3311499
2025-08-25,2.26,2.3,2.25,2.25,2.1475,3968908
2025-08-26,2.24,2.25,2.2,2.21,2.1093,8498945
2025-08-27,2.21,2.22,2.17,2.18,2.0807,7119764
2025-08-28,2.19,2.19,2.15,2.15,2.0521,3493825
2025-08-29,2.11,2.12,2.075,2.08,2.0325,6094841
2025-09-01,2.09,2.12,2.07,2.1,2.0521,4583617
2025-09-02,2.11,2.13,2.1,2.12,2.0716,3141443
2025-09-03,2.1,2.11,2.08,2.09,2.0423,3939417
2025-09-04,2.05,2.08,2.05,2.07,2.0227,5092709
2025-09-05,2.08,2.09,2.04,2.06,2.013,8724226
2025-09-08,2.07,2.075,2.035,2.05,2.0032,4655186
2025-09-09,2.05,2.05,2.01,2.01,1.9641,1606488
2025-09-10,2.01,2.03,1.99,2,1.9543,1960206
2025-09-11,2,2.09,2,2.09,2.0423,7147173
2025-09-12,2.1,2.12,2.09,2.1,2.0521,2654144
2025-09-15,2.1,2.13,2.09,2.12,2.0716,4792997
2025-09-16,2.14,2.16,2.135,2.14,2.0911,4602526
2025-09-17,2.18,2.18,2.15,2.17,2.1205,2974314
2025-09-18,2.16,2.16,2.12,2.13,2.0814,2311205
2025-09-19,2.14,2.16,2.1,2.1,2.0521,32610333
2025-09-22,2.1,2.14,2.09,2.1,2.0521,2495285
2025-09-23,2.1,2.14,2.08,2.08,2.0325,5620296
2025-09-24,2.07,2.1,2.06,2.1,2.0521,3541635
2025-09-25,2.06,2.11,2.06,2.1,2.0521,4293294
2025-09-26,2.07,2.1,2.06,2.09,2.0423,4197016
2025-09-29,2.09,2.12,2.07,2.09,2.0423,2820767
2025-09-30,2.09,2.115,2.08,2.08,2.0325,5488745
2025-10-01,2.08,2.09,2.04,2.05,2.0032,8806488
2025-10-02,2.03,2.07,2.02,2.05,2.0032,3228647
2025-10-03,2.03,2.06,2.01,2.05,2.0032,4313348
2025-10-06,2.06,2.06,2.04,2.04,1.9934,1227706
2025-10-07,2.04,2.08,2.04,2.05,2.0032,3656350
2025-10-08,2.05,2.05,2.02,2.03,1.9837,2181876
2025-10-09,2.03,2.04,2.005,2.02,1.9739,8043808
2025-10-10,2.02,2.05,2,2.05,2.0032,2826331
2025-10-13,2.04,2.04,2.01,2.03,1.9837,4797587
2025-10-14,2.01,2.04,2.005,2.02,1.9739,3064154
2025-10-15,2.03,2.075,2,2.02,1.9739,4685346
2025-10-16,2.03,2.04,1.99,2.03,1.9837,2369449
