Date,Open,High,Low,Close,Adjusted_close,Volume
2025-08-08,1.2,1.26,1.2,1.23,1.23,412356
2025-08-11,1.28,1.28,1.155,1.16,1.16,54700
2025-08-12,1.225,1.23,1.19,1.22,1.22,141484
2025-08-13,1.22,1.22,1.18,1.2,1.2,148922
2025-08-14,1.22,1.25,1.17,1.22,1.22,686210
2025-08-15,1.23,1.25,1.22,1.24,1.24,181060
2025-08-18,1.245,1.245,1.21,1.23,1.23,41423
2025-08-19,1.23,1.23,1.205,1.22,1.22,61580
2025-08-20,1.205,1.205,1.175,1.205,1.205,10086
2025-08-21,1.215,1.225,1.205,1.22,1.22,65459
2025-08-22,1.23,1.24,1.2,1.23,1.23,766242
2025-08-25,1.25,1.3,1.235,1.29,1.29,562180
2025-08-26,1.3,1.315,1.2625,1.3,1.3,856883
2025-08-27,1.33,1.38,1.33,1.355,1.355,1890460
2025-08-28,1.39,1.4,1.14,1.14,1.14,150036
2025-08-29,1.14,1.14,1.14,1.14,1.14,0
2025-09-01,1.15,1.2,1.15,1.195,1.195,1100575
2025-09-02,1.2,1.205,1.165,1.2,1.2,334415
2025-09-03,1.235,1.25,1.21,1.24,1.24,31349
2025-09-04,1.265,1.265,1.215,1.22,1.22,46781
2025-09-05,1.23,1.24,1.14,1.22,1.22,69995
2025-09-08,1.28,1.31,1.24,1.265,1.265,137503
2025-09-09,1.32,1.365,1.31,1.34,1.34,247752
2025-09-10,1.34,1.34,1.27,1.3,1.3,9737
2025-09-11,1.335,1.34,1.31,1.32,1.32,73498
2025-09-12,1.335,1.34,1.33,1.34,1.34,688203
2025-09-15,1.325,1.325,1.245,1.315,1.315,1886
2025-09-16,1.265,1.355,1.265,1.35,1.35,1707201
2025-09-17,1.35,1.36,1.31,1.35,1.35,9285
2025-09-18,1.35,1.36,1.31,1.31,1.31,26356
2025-09-19,1.325,1.355,1.325,1.35,1.35,12437
2025-09-22,1.37,1.42,1.335,1.42,1.42,578674
2025-09-23,1.44,1.47,1.44,1.45,1.45,476918
2025-09-24,1.45,1.45,1.395,1.405,1.405,277853
2025-09-25,1.44,1.515,1.405,1.42,1.42,50668
2025-09-26,1.53,1.545,1.43,1.44,1.44,33070
2025-09-29,1.455,1.51,1.455,1.5,1.5,179077
2025-09-30,1.55,1.55,1.46,1.515,1.515,142011
2025-10-01,1.515,1.515,1.465,1.495,1.495,65667
2025-10-02,1.495,1.495,1.465,1.49,1.49,427667
2025-10-03,1.49,1.5,1.47,1.5,1.5,6783440
2025-10-06,1.5,1.55,1.5,1.5,1.5,41162
2025-10-07,1.65,1.735,1.65,1.735,1.735,156509
2025-10-08,1.8,1.805,1.68,1.74,1.74,430627
2025-10-09,1.75,1.755,1.7,1.71,1.71,3095390
