Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,12.02,12.16,12.02,12.07,11.4967,1330835
2025-07-23,12.13,12.155,11.99,12.04,11.4681,2546457
2025-07-24,12.09,12.09,11.94,12.05,11.4777,5032182
2025-07-25,12.1,12.1,11.95,12.04,11.4681,1452043
2025-07-28,12,12.01,11.78,11.88,11.3157,1882320
2025-07-29,11.88,12.01,11.8,11.92,11.3538,3197660
2025-07-30,11.9,11.95,11.59,11.68,11.1252,4471301
2025-07-31,11.73,11.85,11.575,11.67,11.1157,3322496
2025-08-01,11.73,11.84,11.66,11.76,11.2014,2632007
2025-08-04,11.7,11.83,11.65,11.82,11.2586,1230012
2025-08-05,11.9,12.09,11.89,11.98,11.411,1783058
2025-08-06,12.02,12.06,11.83,11.95,11.3824,2563530
2025-08-07,11.99,12.01,11.84,11.88,11.3157,1990320
2025-08-08,11.83,11.94,11.75,11.94,11.3729,1461928
2025-08-11,11.9,11.99,11.87,11.93,11.3634,1687967
2025-08-12,11.93,12.05,11.91,12.02,11.4491,2169955
2025-08-13,11.95,11.95,11.71,11.84,11.2776,2578433
2025-08-14,12.01,12.72,11.91,12.59,11.992,5213944
2025-08-15,12.73,12.96,12.61,12.78,12.173,4407917
2025-08-18,12.84,12.86,12.66,12.77,12.1635,3422494
2025-08-19,12.87,12.95,12.71,12.83,12.2206,13674331
2025-08-20,12.92,12.99,12.75,12.92,12.3063,3658600
2025-08-21,12.89,13.07,12.84,13.07,12.4492,3835098
2025-08-22,13.05,13.13,12.945,13.04,12.4206,5960449
2025-08-25,13.02,13.065,12.91,12.96,12.3444,3047823
2025-08-26,13,13.04,12.885,12.91,12.2968,5234752
2025-08-27,13,13.055,12.9,12.92,12.3063,2678443
2025-08-28,12.9,13.02,12.86,12.99,12.373,2417294
2025-08-29,12.98,13.02,12.92,12.92,12.3063,3917491
2025-09-01,12.95,12.995,12.87,12.91,12.2968,2506087
2025-09-02,12.85,12.92,12.8,12.83,12.2206,3213997
2025-09-03,12.3,12.46,12.1,12.37,12.0646,6365183
2025-09-04,12.4,12.5,12.34,12.4,12.0938,2717359
2025-09-05,12.39,12.42,12.34,12.42,12.1133,2251081
2025-09-08,12.34,12.4,12.28,12.37,12.0646,1937498
2025-09-09,12.4,12.5,12.31,12.41,12.1036,5520167
2025-09-10,12.39,12.54,12.35,12.45,12.1426,2934456
2025-09-11,12.4,12.48,12.34,12.45,12.1426,3929891
2025-09-12,12.57,12.6,12.36,12.4,12.0938,3145787
2025-09-15,12.45,12.5,12.35,12.5,12.1914,3652745
2025-09-16,12.5,12.65,12.46,12.58,12.2694,2177408
2025-09-17,12.58,12.77,12.54,12.74,12.4254,2797537
2025-09-18,12.59,12.595,12.37,12.41,12.1036,3922201
2025-09-19,12.7,12.87,12.5,12.55,12.2401,7401328
2025-09-22,12.55,12.71,12.52,12.64,12.3279,2076232
2025-09-23,12.72,12.74,12.56,12.65,12.3377,1614688
2025-09-24,12.6,12.81,12.53,12.77,12.4547,2261757
2025-09-25,12.85,12.89,12.72,12.89,12.5717,4703527
2025-09-26,12.99,12.99,12.51,12.54,12.2304,4173585
2025-09-29,12.6,12.66,12.47,12.57,12.2596,2816037
2025-09-30,12.58,12.6,12.4,12.5,12.1914,3798901
2025-10-01,12.52,12.6,12.43,12.48,12.1719,1935816
2025-10-02,12.55,12.59,12.42,12.45,12.1426,5326606
2025-10-03,12.46,12.51,12.26,12.27,11.967,3036904
2025-10-06,12.31,12.45,12.3,12.37,12.0646,1703068
2025-10-07,12.32,12.44,12.27,12.4,12.0938,4028837
2025-10-08,12.42,12.47,12.24,12.31,12.006,3007585
2025-10-09,12.41,12.43,12.25,12.26,11.9573,1860363
