Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,20.86,21.38,20.83,21.27,20.7178,1443064
2025-07-23,21.27,21.55,21.19,21.48,20.9224,1843175
2025-07-24,21.48,21.56,21.295,21.32,20.7665,884374
2025-07-25,21.48,21.52,21.25,21.27,20.7178,572393
2025-07-28,21.3,21.43,21.28,21.28,20.7276,385406
2025-07-29,21.28,21.4,21.22,21.37,20.8152,738105
2025-07-30,21.31,21.49,21.295,21.43,20.8737,616679
2025-07-31,21.38,21.55,21.33,21.38,20.825,1160795
2025-08-01,21.23,21.39,21.085,21.3,20.747,798996
2025-08-04,21.17,21.32,21.09,21.32,20.7665,745661
2025-08-05,21.5,21.58,21.4,21.41,20.8542,936426
2025-08-06,21.45,21.5,21.31,21.37,20.8152,1065390
2025-08-07,21.43,21.47,21.23,21.44,20.8834,1019410
2025-08-08,21.44,21.75,21.355,21.66,21.0977,1004063
2025-08-11,21.8,21.8,21.37,21.54,20.9808,1129493
2025-08-12,21.4,21.54,21.39,21.48,20.9224,873564
2025-08-13,21.54,21.59,21.37,21.49,20.9321,1381488
2025-08-14,21.57,21.65,21.38,21.54,20.9808,943437
2025-08-15,21.58,21.88,21.5,21.88,21.312,1136067
2025-08-18,21.69,21.85,21.575,21.8,21.2341,700930
2025-08-19,21.74,21.82,21.39,21.4,20.8444,839812
2025-08-20,21.51,21.69,21.41,21.68,21.1172,1153331
2025-08-21,21.84,21.89,21.57,21.89,21.3217,1211627
2025-08-22,21.83,22.01,21.74,21.97,21.3996,1584622
2025-08-25,22.18,22.23,21.97,22.08,21.5068,946526
2025-08-26,22,22.17,21.73,21.93,21.3607,1518448
2025-08-27,22,22.05,21.75,21.87,21.3022,599397
2025-08-28,21.98,21.98,21.69,21.96,21.3899,1200173
2025-08-29,21.83,21.98,21.715,21.98,21.4094,644903
2025-09-01,21.85,21.915,21.55,21.63,21.0685,994849
2025-09-02,21.64,21.64,21.37,21.42,20.8639,1716860
2025-09-03,21.53,21.83,21.08,21.2,20.6496,3089640
2025-09-04,21.21,21.26,20.69,20.76,20.2211,2372782
2025-09-05,21.7,21.78,20.81,21.01,20.4646,4422585
2025-09-08,21.13,21.26,20.97,21.04,20.4938,2091499
2025-09-09,21.15,21.22,20.97,21.03,20.484,2524263
2025-09-10,20.97,21.03,20.83,20.95,20.4061,2259888
2025-09-11,20.83,20.99,20.8,20.97,20.4256,1859261
2025-09-12,21,21.11,20.9,21.01,20.4646,1677243
2025-09-15,20.96,21.27,20.89,21.2,20.6496,3042955
2025-09-16,21.13,21.41,21.09,21.27,20.7178,3933974
2025-09-17,21.19,21.26,21,21.25,20.6983,2189352
2025-09-18,21.22,21.29,20.96,21.2,20.6496,1432803
2025-09-19,21.36,21.42,21.12,21.12,20.5717,5545621
2025-09-22,21.25,21.4,21.18,21.39,20.8347,1875194
2025-09-23,21.41,21.5,21.34,21.34,20.786,1523249
2025-09-24,21.26,21.41,21.08,21.37,20.8152,1827925
2025-09-25,21.21,21.645,21.21,21.53,20.9711,1615460
2025-09-26,21.5,21.7,21.03,21.08,20.5328,1757359
2025-09-29,21.19,21.42,21.14,21.34,20.786,2582678
2025-09-30,21.24,21.32,21.11,21.14,20.5912,2031588
2025-10-01,21.24,21.48,21.17,21.29,20.7373,3746666
2025-10-02,21.27,21.52,21.09,21.46,20.9029,5279217
2025-10-03,21.66,21.66,21.4,21.51,20.9516,1342652
2025-10-06,21.47,21.48,21.25,21.36,20.8055,993149
2025-10-07,21.2,21.39,21.08,21.33,20.7763,1548479
