Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.445,0.45,0.435,0.45,0.45,7304354
2025-07-23,0.46,0.465,0.4475,0.465,0.465,7236501
2025-07-24,0.46,0.46,0.44,0.45,0.45,5759948
2025-07-25,0.455,0.455,0.4425,0.45,0.45,3936246
2025-07-28,0.45,0.455,0.435,0.435,0.435,6471501
2025-07-29,0.43,0.445,0.43,0.44,0.44,8892030
2025-07-30,0.435,0.445,0.43,0.435,0.435,6966027
2025-07-31,0.43,0.4325,0.425,0.425,0.425,5953769
2025-08-01,0.425,0.435,0.4225,0.425,0.425,4125777
2025-08-04,0.435,0.435,0.43,0.43,0.43,2084012
2025-08-05,0.43,0.445,0.425,0.44,0.44,6633265
2025-08-06,0.44,0.4425,0.4125,0.42,0.42,15136296
2025-08-07,0.43,0.455,0.4275,0.45,0.45,19037781
2025-08-08,0.445,0.455,0.445,0.45,0.45,14299366
2025-08-11,0.45,0.455,0.44,0.455,0.455,6163965
2025-08-12,0.445,0.46,0.44,0.46,0.46,6592481
2025-08-13,0.465,0.48,0.46,0.475,0.475,6849255
2025-08-14,0.47,0.48,0.455,0.455,0.455,6306460
2025-08-15,0.455,0.46,0.45,0.455,0.455,6101603
2025-08-18,0.46,0.46,0.43,0.44,0.44,7049591
2025-08-19,0.445,0.455,0.44,0.45,0.45,4714873
2025-08-20,0.44,0.4475,0.4325,0.44,0.44,9878233
2025-08-21,0.44,0.45,0.44,0.45,0.45,13627260
2025-08-22,0.44,0.46,0.44,0.45,0.45,10353948
2025-08-25,0.45,0.46,0.445,0.46,0.46,7344952
2025-08-26,0.45,0.47,0.44,0.47,0.47,22136676
2025-08-27,0.475,0.475,0.465,0.475,0.475,10045123
2025-08-28,0.47,0.47,0.445,0.45,0.45,15403383
2025-08-29,0.45,0.465,0.44,0.465,0.465,12308357
2025-09-01,0.46,0.4875,0.46,0.48,0.48,10789325
2025-09-02,0.485,0.485,0.465,0.475,0.475,5251672
2025-09-03,0.47,0.485,0.47,0.475,0.475,11422593
2025-09-04,0.47,0.47,0.445,0.45,0.45,21261421
2025-09-05,0.455,0.475,0.455,0.46,0.46,13957830
2025-09-08,0.48,0.48,0.45,0.455,0.455,15390917
2025-09-09,0.45,0.4575,0.445,0.455,0.455,11929899
2025-09-10,0.46,0.46,0.44,0.445,0.445,5849918
2025-09-11,0.44,0.45,0.415,0.415,0.415,11587025
2025-09-12,0.41,0.415,0.38,0.38,0.38,13913671
2025-09-15,0.38,0.4,0.37,0.38,0.38,16755032
2025-09-16,0.385,0.39,0.37,0.375,0.375,11615906
2025-09-17,0.365,0.3825,0.36,0.375,0.375,14922376
2025-09-18,0.375,0.38,0.36,0.38,0.38,9824863
2025-09-19,0.38,0.385,0.37,0.385,0.385,93979255
2025-09-22,0.39,0.415,0.385,0.41,0.41,15708029
2025-09-23,0.41,0.425,0.41,0.415,0.415,6795121
2025-09-24,0.42,0.43,0.415,0.425,0.425,11648367
2025-09-25,0.42,0.43,0.407,0.42,0.42,13020200
2025-09-26,0.41,0.43,0.41,0.425,0.425,15907600
2025-09-29,0.415,0.42,0.4,0.41,0.41,9452799
