Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.97,8.18,7.86,8.17,8.17,2192904
2025-07-23,7.55,7.81,7.07,7.25,7.25,14334255
2025-07-24,7.38,7.65,7.27,7.39,7.39,6976856
2025-07-25,7.26,7.4,7.17,7.23,7.23,4080668
2025-07-28,7,7.04,6.73,6.91,6.91,6881632
2025-07-29,6.8,6.82,6.44,6.51,6.51,5157371
2025-07-30,6.45,6.6,6.36,6.38,6.38,4548368
2025-07-31,6.32,6.35,6.17,6.21,6.21,4608833
2025-08-01,6.17,6.25,6.03,6.24,6.24,3350119
2025-08-04,6.05,6.35,6.04,6.3,6.3,2777061
2025-08-05,6.42,6.58,6.32,6.32,6.32,3519199
2025-08-06,6.42,6.54,6.31,6.4,6.4,4358035
2025-08-07,6.54,6.82,6.45,6.62,6.62,4009252
2025-08-08,6.44,6.695,6.44,6.65,6.65,3163237
2025-08-11,6.56,6.68,6.56,6.68,6.68,1794017
2025-08-12,6.6,6.64,6.48,6.61,6.61,2802086
2025-08-13,6.65,6.725,6.48,6.48,6.48,2788154
2025-08-14,6.48,6.61,6.45,6.59,6.59,2123939
2025-08-15,6.57,6.73,6.52,6.71,6.71,2065436
2025-08-18,6.7,6.7,6.55,6.6,6.6,1755747
2025-08-19,6.63,6.75,6.52,6.59,6.59,4184902
2025-08-20,6.38,6.46,6.26,6.35,6.35,2623706
2025-08-21,6.33,6.41,6.29,6.34,6.34,1719620
2025-08-22,6.49,6.61,6.38,6.61,6.61,3258738
2025-08-25,6.95,7.15,6.86,6.96,6.96,3184141
2025-08-26,6.91,7.45,6.91,7.41,7.41,7766396
2025-08-27,7.6,7.66,7.37,7.51,7.51,3292220
2025-08-28,7.49,7.52,7.14,7.28,7.28,2427436
2025-08-29,7.69,8.29,7.68,7.85,7.85,7575504
2025-09-01,7.8,8.14,7.71,8.08,8.08,2505913
2025-09-02,8.09,8.23,7.93,8.02,8.02,1911871
2025-09-03,7.95,8.02,7.62,7.73,7.73,2467123
2025-09-04,7.85,8.09,7.83,7.89,7.89,2803981
2025-09-05,7.8,7.975,7.78,7.91,7.91,1233802
2025-09-08,7.87,8.25,7.845,8.19,8.19,2570421
2025-09-09,8.28,8.39,8.135,8.21,8.21,2099932
2025-09-10,8.09,8.1,7.86,7.9,7.9,3120286
2025-09-11,8.01,8.03,7.69,7.76,7.76,2548247
2025-09-12,7.76,7.8,7.59,7.74,7.74,2176147
2025-09-15,7.6,7.92,7.57,7.88,7.88,2226381
2025-09-16,7.88,7.88,7.88,7.88,7.88,0
2025-09-17,7.64,7.92,7.53,7.76,7.76,20297664
2025-09-18,7.77,8.37,7.77,8.1,8.1,9735254
2025-09-19,8.14,8.33,8.07,8.1,8.1,9432822
2025-09-22,8.44,8.67,8.34,8.48,8.48,5273317
2025-09-23,8.48,8.755,8.45,8.68,8.68,7192118
2025-09-24,8.65,8.75,8.27,8.69,8.69,6754457
2025-09-25,8.4,8.54,8.35,8.49,8.49,5717291
2025-09-26,8.38,8.75,8.36,8.47,8.47,6142853
2025-09-29,8.43,8.43,8.18,8.27,8.27,3235501
2025-09-30,8.19,8.33,8.065,8.32,8.32,10097975
2025-10-01,8.28,8.28,8.05,8.17,8.17,4243750
2025-10-02,8.3,8.68,8.27,8.65,8.65,4530473
2025-10-03,8.76,8.79,8.46,8.57,8.57,3995797
2025-10-06,8.47,8.63,8.25,8.61,8.61,3127239
