Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.025,0.025,0.025,0.025,0.025,0
2025-04-28,0.025,0.025,0.025,0.025,0.025,0
2025-04-29,0.025,0.025,0.025,0.025,0.025,0
2025-04-30,0.025,0.025,0.025,0.025,0.025,0
2025-05-01,0.025,0.025,0.025,0.025,0.025,0
2025-05-02,0.025,0.025,0.025,0.025,0.025,0
2025-05-05,0.025,0.025,0.025,0.025,0.025,0
2025-05-06,0.025,0.025,0.025,0.025,0.025,0
2025-05-07,0.025,0.025,0.025,0.025,0.025,0
2025-05-08,0.025,0.025,0.025,0.025,0.025,0
2025-05-09,0.025,0.025,0.025,0.025,0.025,0
2025-05-12,0.025,0.025,0.025,0.025,0.025,0
2025-05-13,0.025,0.025,0.025,0.025,0.025,0
2025-05-14,0.025,0.025,0.025,0.025,0.025,0
2025-05-15,0.025,0.025,0.025,0.025,0.025,0
2025-05-16,0.025,0.025,0.025,0.025,0.025,0
2025-05-19,0.025,0.025,0.025,0.025,0.025,0
2025-05-20,0.025,0.025,0.025,0.025,0.025,0
2025-05-21,0.025,0.025,0.025,0.025,0.025,0
2025-05-22,0.025,0.025,0.025,0.025,0.025,0
2025-05-23,0.025,0.025,0.025,0.025,0.025,0
2025-05-26,0.025,0.025,0.025,0.025,0.025,0
2025-05-27,0.025,0.025,0.025,0.025,0.025,0
2025-05-28,0.025,0.025,0.025,0.025,0.025,0
2025-05-29,0.025,0.025,0.025,0.025,0.025,0
2025-05-30,0.025,0.025,0.025,0.025,0.025,0
2025-06-02,0.025,0.025,0.025,0.025,0.025,0
2025-06-03,0.025,0.025,0.025,0.025,0.025,0
2025-06-04,0.025,0.025,0.025,0.025,0.025,0
2025-06-05,0.025,0.025,0.025,0.025,0.025,0
2025-06-06,0.025,0.025,0.025,0.025,0.025,0
2025-06-10,0.025,0.025,0.025,0.025,0.025,0
2025-06-11,0.025,0.025,0.025,0.025,0.025,0
2025-06-12,0.025,0.025,0.025,0.025,0.025,0
2025-06-13,0.025,0.025,0.025,0.025,0.025,0
2025-06-16,0.025,0.025,0.025,0.025,0.025,0
2025-06-17,0.025,0.025,0.025,0.025,0.025,0
