Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.62,2.64,2.59,2.62,2.5008,320626
2025-07-23,2.59,2.64,2.59,2.64,2.5199,397623
2025-07-24,2.65,2.68,2.63,2.65,2.5294,687554
2025-07-25,2.65,2.66,2.61,2.61,2.4912,505277
2025-07-28,2.63,2.66,2.63,2.63,2.5103,662462
2025-07-29,2.64,2.65,2.61,2.61,2.4912,490425
2025-07-30,2.63,2.69,2.61,2.63,2.5103,636137
2025-07-31,2.62,2.66,2.62,2.63,2.5103,1057108
2025-08-01,2.62,2.75,2.61,2.71,2.5867,488452
2025-08-04,2.72,2.75,2.7,2.7,2.5771,259198
2025-08-05,2.7,2.7,2.66,2.68,2.558,410142
2025-08-06,2.71,2.72,2.66,2.68,2.558,493339
2025-08-07,2.69,2.79,2.68,2.74,2.6153,323341
2025-08-08,2.76,2.82,2.74,2.74,2.6153,400214
2025-08-11,2.76,2.78,2.73,2.74,2.6153,617402
2025-08-12,2.73,2.75,2.72,2.73,2.6058,407990
2025-08-13,2.74,2.74,2.71,2.71,2.5867,393615
2025-08-14,2.72,2.84,2.72,2.73,2.6058,644937
2025-08-15,2.73,2.76,2.7,2.72,2.5962,492439
2025-08-18,2.73,2.83,2.73,2.76,2.6344,341332
2025-08-19,2.8,2.84,2.77,2.77,2.6439,326497
2025-08-20,2.79,2.82,2.76,2.76,2.6344,390363
2025-08-21,2.78,2.78,2.73,2.75,2.6249,554262
2025-08-22,2.76,2.76,2.71,2.74,2.6153,379613
2025-08-25,2.77,2.8,2.74,2.74,2.6153,495417
2025-08-26,2.74,2.74,2.71,2.74,2.6153,355786
2025-08-27,2.74,2.745,2.72,2.74,2.6153,446687
2025-08-28,2.74,2.75,2.73,2.73,2.6058,369150
2025-08-29,2.74,2.74,2.72,2.72,2.5962,388869
2025-09-01,2.72,2.81,2.72,2.8,2.6726,311005
2025-09-02,2.81,2.82,2.74,2.74,2.6153,349252
2025-09-03,2.79,2.83,2.76,2.76,2.6344,404926
2025-09-04,2.77,2.84,2.77,2.79,2.663,331117
