Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.79,1.875,1.755,1.875,1.875,60116169
2025-07-23,1.91,1.97,1.8,1.83,1.83,79176399
2025-07-24,1.79,1.945,1.735,1.895,1.895,108466591
2025-07-25,1.86,1.95,1.825,1.925,1.925,64833104
2025-07-28,1.875,1.88,1.685,1.7,1.7,104138747
2025-07-29,1.69,1.71,1.62,1.675,1.675,84086640
2025-07-30,1.71,1.805,1.655,1.725,1.725,82485650
2025-07-31,1.645,1.665,1.58,1.605,1.605,78132652
2025-08-01,1.61,1.675,1.595,1.67,1.67,38258667
2025-08-04,1.65,1.705,1.61,1.685,1.685,31503590
2025-08-05,1.71,1.74,1.68,1.705,1.705,43501913
2025-08-06,1.7,1.755,1.675,1.705,1.705,29616697
2025-08-07,1.71,1.8025,1.675,1.77,1.77,53754014
2025-08-08,1.78,1.95,1.76,1.93,1.93,76369043
2025-08-11,2.2,2.31,2.16,2.31,2.31,113222648
2025-08-12,2.28,2.345,2.195,2.29,2.29,71150120
2025-08-13,2.2,2.23,2.125,2.14,2.14,75323032
2025-08-14,2.18,2.23,2.15,2.16,2.16,47361811
2025-08-15,2.16,2.21,2.11,2.2,2.2,32629994
2025-08-18,2.24,2.305,2.22,2.27,2.27,40919142
2025-08-19,2.3,2.31,2.24,2.28,2.28,27990111
2025-08-20,2.23,2.23,2.07,2.1,2.1,49410808
2025-08-21,2.13,2.22,2.09,2.21,2.21,36395051
2025-08-22,2.2,2.22,2.085,2.11,2.11,37996178
2025-08-25,2.18,2.21,2.12,2.16,2.16,39508543
2025-08-26,2.15,2.195,2.09,2.15,2.15,56217458
2025-08-27,2.22,2.34,2.21,2.34,2.34,61196699
2025-08-28,2.29,2.345,2.24,2.3,2.3,45737979
2025-08-29,2.28,2.46,2.28,2.45,2.45,46898312
2025-09-01,2.44,2.45,2.39,2.43,2.43,25581417
2025-09-02,2.38,2.41,2.33,2.33,2.33,24528834
2025-09-03,2.26,2.29,2.23,2.28,2.28,34265956
2025-09-04,2.31,2.36,2.285,2.31,2.31,26167244
2025-09-05,2.32,2.39,2.29,2.39,2.39,29083540
2025-09-08,2.4,2.52,2.4,2.48,2.48,31201253
2025-09-09,2.46,2.485,2.4,2.4,2.4,29036362
2025-09-10,2.05,2.1,1.985,1.985,1.985,123964742
2025-09-11,2.05,2.1,1.9425,1.97,1.97,54429202
2025-09-12,2.02,2.02,1.915,1.98,1.98,40517197
2025-09-15,1.99,2.17,1.97,2.16,2.16,39994838
2025-09-16,2.2,2.27,2.16,2.17,2.17,40414400
2025-09-17,2.18,2.27,2.17,2.26,2.26,24846567
2025-09-18,2.24,2.35,2.22,2.29,2.29,22736459
2025-09-19,2.32,2.39,2.29,2.31,2.31,50518199
2025-09-22,2.35,2.37,2.26,2.29,2.29,17956951
2025-09-23,2.3,2.35,2.27,2.29,2.29,17567458
2025-09-24,2.35,2.42,2.32,2.41,2.41,28878789
2025-09-25,2.35,2.43,2.325,2.4,2.4,26111420
2025-09-26,2.42,2.45,2.38,2.4,2.4,22601711
2025-09-29,2.38,2.46,2.36,2.42,2.42,23727900
2025-09-30,2.43,2.52,2.38,2.52,2.52,38228424
2025-10-01,2.42,2.44,2.32,2.36,2.36,41314848
2025-10-02,2.38,2.5,2.38,2.48,2.48,32653340
2025-10-03,2.49,2.54,2.46,2.54,2.54,19771065
2025-10-06,2.55,2.64,2.55,2.59,2.59,20440309
2025-10-07,2.64,2.67,2.59,2.6,2.6,21087318
2025-10-08,2.64,2.73,2.625,2.7,2.7,22608858
2025-10-09,2.74,2.77,2.67,2.68,2.68,26200466
2025-10-10,2.68,2.8,2.62,2.64,2.64,36933629
2025-10-13,2.53,2.65,2.52,2.6,2.6,25776899
2025-10-14,2.73,2.79,2.64,2.67,2.67,43796850
2025-10-15,2.71,2.78,2.69,2.72,2.72,26558444
2025-10-16,2.73,2.73,2.65,2.65,2.65,16945614
2025-10-17,2.6,2.69,2.54,2.68,2.68,30308004
2025-10-20,2.68,2.77,2.68,2.74,2.74,17301006
2025-10-21,2.78,2.9,2.77,2.81,2.81,26624125
2025-10-22,2.78,2.84,2.74,2.81,2.81,19503340
2025-10-23,2.84,2.97,2.81,2.96,2.96,20746004
2025-10-24,3.09,3.25,3.06,3.23,3.23,64558419
2025-10-27,3.24,3.35,3.23,3.28,3.28,32942088
2025-10-28,3.13,3.19,3.02,3.08,3.08,36739370
2025-10-29,3.08,3.14,3.04,3.13,3.13,19990493
2025-10-30,3.24,3.355,3.22,3.3,3.3,33520588
2025-10-31,3.36,3.45,3.28,3.3,3.3,48013533
2025-11-03,3.28,3.38,3.1,3.13,3.13,28499327
2025-11-04,3.03,3.15,3.03,3.08,3.08,22965885
2025-11-05,2.95,2.99,2.85,2.98,2.98,34129354
2025-11-06,3.05,3.05,2.93,2.95,2.95,19446946
2025-11-07,2.94,2.97,2.88,2.93,2.93,13564937
2025-11-10,3.095,3.23,3.09,3.2,3.2,23768510
2025-11-11,3.3,3.47,3.28,3.44,3.44,38867352
2025-11-12,3.46,3.59,3.4,3.43,3.43,38807523
2025-11-13,3.53,3.82,3.5,3.78,3.78,46116708
2025-11-14,3.71,3.885,3.68,3.82,3.82,39782578
2025-11-17,3.76,3.98,3.62,3.96,3.96,36347096
2025-11-18,4,4.18,3.99,4.09,4.09,49994909
2025-11-19,4.13,4.26,3.965,3.98,3.98,54794416
2025-11-20,4.13,4.19,4.03,4.19,4.19,27245589
2025-11-21,3.99,4.03,3.86,3.9,3.9,43472556
2025-11-24,3.86,3.93,3.72,3.76,3.76,36962116
2025-11-25,3.75,3.805,3.68,3.77,3.77,27027925
2025-11-26,3.91,4.14,3.86,4.04,4.04,33365463
2025-11-27,4.04,4.11,3.88,3.95,3.95,21463418
2025-11-28,3.95,4.07,3.94,4.05,4.05,14728824
2025-12-01,4.05,4.06,3.89,3.92,3.92,20160574
2025-12-02,3.94,4.015,3.9,3.95,3.95,18956930
2025-12-03,3.96,4.06,3.85,3.89,3.89,21330955
2025-12-04,3.89,3.91,3.685,3.73,3.73,25739096
2025-12-05,3.72,3.85,3.62,3.8,3.8,24159213
2025-12-08,3.81,4.05,3.8,4.03,4.03,19653042
2025-12-09,4.04,4.13,4.04,4.07,4.07,17583928
