Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,319,329.11,316,328.25,327.013,149208
2025-07-23,323.5,327.58,318.07,323.98,322.7591,140990
2025-07-24,327.75,327.8,319.92,319.92,318.7144,178440
2025-07-25,321.22,324.87,320.03,320.85,319.6409,102034
2025-07-28,322,324.5,319.41,320.44,319.2324,67602
2025-07-29,321.02,323.47,320,323.21,321.992,76577
2025-07-30,319,321.94,315.37,319.77,318.565,156972
2025-07-31,320.02,323.94,318.42,321.89,320.677,140866
2025-08-01,319,320.68,313.55,313.99,312.8067,104241
2025-08-04,308.11,313.48,304.24,313.48,312.2987,126370
2025-08-05,316.71,318.36,312.4,316.31,315.118,96209
2025-08-06,314.65,319.68,313.04,319.68,318.4753,152625
2025-08-07,319,321.85,317.36,319.85,318.6447,108209
2025-08-08,315.05,318.75,308.29,308.5,307.3374,146613
2025-08-11,308.5,308.96,300.61,304.77,303.6215,118370
2025-08-12,303.92,306.79,300.65,303.2,302.0574,261234
2025-08-13,304.37,304.4,295.38,297.15,296.0302,248132
2025-08-14,289.05,318.285,288.9,315.69,314.5003,366619
2025-08-15,323.5,323.5,310.52,313.5,312.3186,274054
2025-08-18,313.5,324.49,313.3,317.72,316.5227,220166
2025-08-19,313.6,318.22,310.17,318,316.8016,173825
2025-08-20,320,320,306.3,307.57,306.4109,274085
2025-08-21,301.99,306.91,296.59,306.91,305.7534,228760
2025-08-22,306.1,307.9,302.55,306.41,305.2553,110871
2025-08-25,313,313,301.565,303.44,302.2965,206026
2025-08-26,304.37,306.5,299.34,302.38,301.2405,270617
2025-08-27,305.99,307.45,302.38,306,304.8469,134365
2025-08-28,305.1,305.74,299.41,300,298.8695,94040
2025-08-29,300.01,301.99,295,298.81,297.684,155382
2025-09-01,297,304.6,293.26,298.96,297.8334,150741
2025-09-02,299.9,300,291.64,294.67,293.5596,125176
2025-09-03,296.14,296.24,289.59,290.81,290.0094,177141
2025-09-04,295.54,298.07,293.11,296.35,295.5341,180559
2025-09-05,299.4,299.4,293.96,298.23,297.4089,389422
2025-09-08,298.23,300.32,294.16,299.52,298.6954,110308
2025-09-09,302.74,308.77,295.7,298.3,297.4787,125027
2025-09-10,300,300.51,296.54,297.08,296.2621,125627
2025-09-11,297.5,299.94,290.7,298.7,297.8776,158690
2025-09-12,300.64,301.6,296,298.45,297.6283,119535
2025-09-15,295.93,295.93,288.28,294.14,293.3302,188012
2025-09-16,298.86,305.2,296.43,300.93,300.1015,256159
2025-09-17,299.84,301.56,292.44,294.88,294.0681,243856
2025-09-18,294.88,300.16,291.31,298.81,297.9873,180435
2025-09-19,311.44,321.57,310.01,313.29,312.4275,591422
2025-09-22,315.81,321.27,311.46,320.04,319.1589,134386
2025-09-23,314.81,319.46,311.69,317.9,317.0248,196427
2025-09-24,312.11,316.99,305.5,307.36,306.5138,143878
2025-09-25,305,312.71,302.16,309.13,308.2789,214188
2025-09-26,302.5,303.2,293.8,301.77,300.9392,219599
2025-09-29,304.85,305.74,299.74,301.61,300.7796,106525
2025-09-30,301,308.77,300.2,308.29,307.4412,201978
2025-10-01,307.95,308,298.51,306.21,305.367,148365
2025-10-02,307.75,308.99,303.82,308.69,307.8401,156084
2025-10-03,306.01,314.04,303.2,314,313.1355,154738
2025-10-06,314.28,315.4,303.66,304.22,303.3824,108357
