Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,20.04,20.15,19.86,19.88,18.5882,83969
2025-07-23,19.93,20.6,19.91,20.6,19.2614,246704
2025-07-24,20.67,20.73,20.37,20.54,19.2053,455338
2025-07-25,20.48,20.69,20.28,20.65,19.3082,271024
2025-07-28,20.66,21.64,20.66,21.47,20.0749,355668
2025-07-29,21.3,21.5,21.06,21.16,19.785,264156
2025-07-30,21.07,21.35,20.94,21.34,19.9533,263511
2025-07-31,21.26,21.26,21.045,21.18,19.8037,263085
2025-08-01,21.09,21.12,20.89,21.1,19.7289,263279
2025-08-04,20.75,21.25,20.75,21.15,19.7757,198182
2025-08-05,21.36,21.62,21.205,21.53,20.131,195981
2025-08-06,21.58,21.73,21.35,21.52,20.1216,265717
2025-08-07,21.59,22,21.59,21.95,20.5237,155566
2025-08-08,21.78,21.82,21.57,21.63,20.2245,301687
2025-08-11,21.66,21.81,21.15,21.25,19.8692,269638
2025-08-12,21.5,21.62,21.22,21.49,20.0936,147939
2025-08-13,21.73,22,21.39,21.58,20.1777,344554
2025-08-14,21.81,22.04,21.73,21.88,20.4582,150467
2025-08-15,21.86,22.155,21.81,22.13,20.692,145103
2025-08-18,22.08,22.21,21.91,22.13,20.692,253230
2025-08-19,22.04,22.18,21.93,22.02,20.5891,181748
2025-08-20,22.13,22.49,22.13,22.41,20.9538,241828
2025-08-21,22.62,22.92,22.51,22.7,21.225,958445
2025-08-22,22.7,22.8,21.7,21.78,20.3647,256279
2025-08-25,22.02,22.22,21.83,22.01,20.5798,353392
2025-08-26,22.25,22.32,21.27,21.5,20.1029,296727
2025-08-27,21.69,21.98,21.5,21.98,20.5517,189202
2025-08-28,22.09,22.2,21.965,22.02,20.5891,163751
2025-08-29,21.64,22.35,21.46,22.34,20.8883,200142
2025-09-01,22.05,22.37,21.88,22.01,20.5798,146549
2025-09-02,22.04,22.04,21.51,21.84,20.4208,177330
2025-09-03,21.59,21.85,21.42,21.69,20.2806,309358
2025-09-04,21.89,22.22,21.44,22.22,20.7761,219595
2025-09-05,22.37,22.84,22.19,22.72,21.2437,202968
2025-09-08,22.59,22.9,22.115,22.9,21.412,323274
2025-09-09,22.9,22.92,22.03,22.12,20.6826,444872
2025-09-10,22,22.18,21.82,21.95,20.5237,323083
2025-09-11,22.06,22.09,21.49,21.61,20.2058,216306
2025-09-12,21.61,21.71,21.37,21.55,20.1497,273230
2025-09-15,21.5,21.7,20.8,21.64,20.2338,262622
2025-09-16,21.78,21.78,21.29,21.68,20.2712,575679
2025-09-17,21.76,21.8,21.32,21.5,20.1029,520170
2025-09-18,21.51,21.61,21.22,21.49,20.0936,218893
2025-09-19,21.69,22.05,21.5,21.5,20.1029,612357
