Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,21.88,22.205,21.64,22.16,21.4777,566168
2025-07-23,22.12,22.28,21.85,22.15,21.468,740365
2025-07-24,22.2,22.28,21.575,21.85,21.1772,740448
2025-07-25,22,22,21.57,21.89,21.216,394243
2025-07-28,21.89,22.21,21.88,22.18,21.497,276836
2025-07-29,22.13,22.18,21.75,21.94,21.2644,488650
2025-07-30,21.81,22.02,21.53,21.98,21.3032,360658
2025-07-31,21.89,22.55,21.89,22.38,21.6909,568634
2025-08-01,22.02,22.78,21.855,22,21.3226,325268
2025-08-04,21.94,22.12,21.785,21.98,21.3032,682087
2025-08-05,22.57,23.03,22.47,23.03,22.3209,917876
2025-08-06,23.15,25.28,23.11,25.21,24.4337,1741335
2025-08-07,25,25.33,24.63,25.33,24.5501,1550979
2025-08-08,24.92,24.965,23.68,24,23.261,1117321
2025-08-11,23.8,24.13,23.135,23.32,22.6019,619603
2025-08-12,23.2,23.41,22.805,22.94,22.2336,563984
2025-08-13,23.13,23.28,22.67,22.82,22.1173,737081
2025-08-14,22.73,22.92,22.47,22.74,22.0398,558422
2025-08-15,22.74,22.76,22.22,22.32,21.6327,496959
2025-08-18,22.15,22.58,22.15,22.24,21.5552,374547
2025-08-19,22.11,22.26,21.62,21.7,21.0318,640718
2025-08-20,21.85,22.02,20.75,21,20.3534,823342
2025-08-21,20.97,21.3,20.895,21.12,20.4697,753293
2025-08-22,21.06,21.11,20.61,21.1,20.4503,881677
2025-08-25,21.5,21.65,21.3,21.44,20.7798,380185
2025-08-26,21.44,21.69,20.93,21.25,20.5957,972439
2025-08-27,21.55,21.96,21.29,21.8,21.1287,592435
2025-08-28,21.86,21.94,21.15,21.2,20.5472,377438
2025-08-29,21.2,21.75,21.2,21.47,20.8089,419604
2025-09-01,21.26,21.45,20.48,20.51,20.1316,416894
2025-09-02,20.5,20.72,19.78,20.14,19.7685,739643
2025-09-03,19.81,19.87,19.17,19.43,19.0716,1030404
2025-09-04,19.52,19.615,18.96,19.06,18.7084,1324050
2025-09-05,19.43,19.63,19.22,19.22,18.8654,610955
2025-09-08,19.25,19.525,19.05,19.26,18.9047,667508
2025-09-09,19.3,19.3,18.46,18.66,18.3158,950800
2025-09-10,18.53,18.62,18.3,18.6,18.2569,1261535
