Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.41,3.83,3.41,3.75,3.75,4670752
2025-07-23,3.78,3.94,3.765,3.84,3.84,4966853
2025-07-24,3.76,3.92,3.665,3.92,3.92,1799506
2025-07-25,3.85,3.88,3.695,3.72,3.72,893073
2025-07-28,3.7,3.75,3.62,3.68,3.68,1278155
2025-07-29,3.67,3.77,3.58,3.71,3.71,1387278
2025-07-30,3.75,3.85,3.71,3.78,3.78,1135330
2025-07-31,3.71,3.71,3.63,3.66,3.66,901391
2025-08-01,3.6,3.615,3.525,3.55,3.55,2639836
2025-08-04,3.7,3.8,3.61,3.79,3.79,1571333
2025-08-05,3.89,3.97,3.81,3.9,3.9,2202200
2025-08-06,3.93,4.03,3.93,3.99,3.99,2476025
2025-08-07,3.98,4.09,3.96,4.06,4.06,2455814
2025-08-08,4.08,4.19,4.04,4.06,4.06,2095646
2025-08-11,4.1,4.21,4.05,4.11,4.11,1684340
2025-08-12,4.13,4.25,4.09,4.25,4.25,2068712
2025-08-13,4.23,4.31,4.2,4.29,4.29,1883728
2025-08-14,4.28,4.33,4.24,4.29,4.29,2287870
2025-08-15,4.28,4.31,4.17,4.31,4.31,1461259
2025-08-18,4.29,4.33,4.18,4.26,4.26,1323548
2025-08-19,4.27,4.32,4.23,4.28,4.28,862467
2025-08-20,4.24,4.24,4.1,4.17,4.17,994724
2025-08-21,4.24,4.31,4.23,4.27,4.27,759256
2025-08-22,4.25,4.45,4.25,4.32,4.32,2244849
2025-08-25,4.32,4.47,4.28,4.39,4.39,1334549
2025-08-26,4.35,4.47,4.31,4.44,4.44,2636469
2025-08-27,4.5,4.63,4.43,4.6,4.6,2742882
2025-08-28,4.63,4.76,4.535,4.72,4.72,1680706
2025-08-29,4.74,4.77,4.58,4.62,4.62,1392554
2025-09-01,4.82,4.99,4.82,4.9,4.9,2611890
2025-09-02,4.9,5.21,4.885,5.09,5.09,3397044
2025-09-03,5.22,5.415,5.19,5.25,5.25,3533098
2025-09-04,5.15,5.2,4.85,4.89,4.89,2660694
2025-09-05,4.87,4.9,4.7,4.82,4.82,2975942
2025-09-08,5,5,4.77,4.85,4.85,1626929
2025-09-09,4.9,5.3,4.89,5.24,5.24,3632891
2025-09-10,5.14,5.14,4.88,4.91,4.91,1949056
2025-09-11,4.96,5.18,4.9,5.17,5.17,2223256
2025-09-12,5.24,5.4,5.155,5.37,5.37,2748261
2025-09-15,5.25,5.25,4.99,5.12,5.12,2363773
2025-09-16,5.32,5.36,5.07,5.22,5.22,2373028
2025-09-17,5.22,5.28,5.13,5.16,5.16,1567067
2025-09-18,5.19,5.4,5.12,5.35,5.35,2210989
2025-09-19,5.24,5.35,5.19,5.31,5.31,24059312
2025-09-22,5.5,5.71,5.495,5.71,5.71,2065571
2025-09-23,5.92,6.065,5.74,5.81,5.81,3755326
2025-09-24,5.6,5.83,5.6,5.83,5.83,1888067
2025-09-25,5.77,5.77,5.53,5.59,5.59,1658857
2025-09-26,5.62,5.98,5.62,5.92,5.92,2495859
2025-09-29,6.06,6.55,6,6.49,6.49,2658300
2025-09-30,6.46,6.465,6,6.06,6.06,3663374
2025-10-01,6.05,6.22,6.01,6.1,6.1,2325507
2025-10-02,6.02,6.21,6,6.16,6.16,2745134
2025-10-03,6.09,6.32,6.07,6.31,6.31,2562154
2025-10-06,6.21,6.43,6.16,6.39,6.39,1828972
2025-10-07,6.55,6.57,6.37,6.51,6.51,1900893
2025-10-08,6.35,6.395,6.2,6.39,6.39,1801843
2025-10-09,6.46,6.61,6.32,6.55,6.55,2194286
2025-10-10,6.21,6.24,5.855,5.87,5.87,2813742
2025-10-13,5.99,6.39,5.98,6.19,6.19,2175510
2025-10-14,6.3,6.44,6.25,6.25,6.25,3694541
2025-10-15,6.29,6.29,6.16,6.2,6.2,2282956
2025-10-16,6.33,6.48,6.045,6.23,6.23,3142973
2025-10-17,6.34,6.375,6.01,6.04,6.04,3857174
2025-10-20,5.75,5.8,5.56,5.8,5.8,2034121
2025-10-21,6,6.025,5.84,6.01,6.01,2378328
2025-10-22,5.5,5.65,5.33,5.62,5.62,2916408
2025-10-23,5.75,5.77,5.545,5.6,5.6,2353548
2025-10-24,5.52,5.53,5.3,5.32,5.32,2809305
2025-10-27,5.13,5.32,5.08,5.24,5.24,2437160
2025-10-28,5,5.08,4.61,4.88,4.88,3212604
2025-10-29,4.85,5.01,4.84,5,5,1411822
2025-10-30,5,5,4.89,4.97,4.97,1074331
2025-10-31,5,5.205,4.96,5.12,5.12,3294418
2025-11-03,5.11,5.21,4.995,5.05,5.05,1209945
2025-11-04,5.05,5.075,4.94,5.02,5.02,1534030
2025-11-05,4.89,4.925,4.675,4.91,4.91,1646879
2025-11-06,4.91,4.985,4.84,4.85,4.85,4747188
2025-11-07,4.9,4.93,4.84,4.85,4.85,1631774
2025-11-10,5.005,5.11,4.96,5.09,5.09,1718063
2025-11-11,5.2,5.27,5.07,5.21,5.21,1670815
2025-11-12,5.15,5.22,5.05,5.08,5.08,837693
2025-11-13,5.24,5.26,5.12,5.2,5.2,1202421
2025-11-14,4.99,5.09,4.83,5.08,5.08,874847
2025-11-17,5.08,5.25,5.03,5.16,5.16,1406935
2025-11-18,5.14,5.17,4.83,4.87,4.87,1451139
2025-11-19,4.97,5.02,4.83,4.88,4.88,876644
2025-11-20,4.83,5.04,4.825,4.99,4.99,1446067
2025-11-21,4.82,4.82,4.6,4.65,4.65,1071634
2025-11-24,4.65,4.845,4.63,4.8,4.8,1514946
2025-11-25,5.09,5.12,4.995,5.1,5.1,996051
2025-11-26,5.05,5.11,4.91,5.08,5.08,1282438
2025-11-27,5.16,5.19,5.045,5.11,5.11,618976
2025-11-28,5.13,5.39,5.11,5.39,5.39,1305230
2025-12-01,5.5,5.58,5.285,5.39,5.39,1673326
2025-12-02,5.32,5.32,4.74,4.75,4.75,30453524
2025-12-03,4.76,4.92,4.71,4.85,4.85,3111376
2025-12-04,4.79,4.86,4.51,4.51,4.51,2967727
2025-12-05,4.57,4.88,4.54,4.8,4.8,3153733
2025-12-08,4.75,4.8,4.705,4.77,4.77,2044992
2025-12-09,4.75,4.75,4.545,4.55,4.55,2747368
2025-12-10,4.68,4.73,4.63,4.71,4.71,2396191
2025-12-11,4.76,4.9,4.65,4.69,4.69,1842465
2025-12-12,4.82,4.92,4.75,4.79,4.79,1627747
2025-12-15,4.79,4.86,4.66,4.71,4.71,1252580
2025-12-16,4.7,4.74,4.55,4.6,4.6,1655892
2025-12-17,4.7,4.925,4.56,4.89,4.89,1919841
2025-12-18,4.86,4.93,4.72,4.76,4.76,1364947
2025-12-19,4.87,4.875,4.73,4.8,4.8,12555160
2025-12-22,4.9,5.05,4.81,5.01,5.01,1346683
2025-12-23,5.03,5.07,4.92,5.03,5.03,1164091
2025-12-24,5.05,5.16,4.99,5.11,5.11,2061047
2025-12-29,5.16,5.22,5.02,5.08,5.08,1450262
