Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,1.14,1.18,1.14,1.17,1.17,1600348
2025-04-28,1.185,1.215,1.15,1.155,1.155,1919069
2025-04-29,1.155,1.225,1.14,1.21,1.21,1425118
2025-04-30,1.22,1.22,1.185,1.21,1.21,1529430
2025-05-01,1.21,1.26,1.21,1.23,1.23,1880476
2025-05-02,1.24,1.31,1.235,1.28,1.28,1726168
2025-05-05,1.29,1.3,1.265,1.265,1.265,1097016
2025-05-06,1.275,1.295,1.19,1.2,1.2,2342188
2025-05-07,1.21,1.325,1.185,1.31,1.31,2218906
2025-05-08,1.325,1.48,1.285,1.46,1.46,5152432
2025-05-09,1.5,1.52,1.42,1.465,1.465,3979903
2025-05-12,1.48,1.48,1.42,1.46,1.46,1803543
2025-05-13,1.565,1.7,1.54,1.67,1.67,4167411
2025-05-14,1.685,1.715,1.4975,1.51,1.51,5691305
2025-05-15,1.5,1.54,1.4625,1.485,1.485,2369534
2025-05-16,1.5,1.525,1.46,1.49,1.49,1911607
2025-05-19,1.505,1.53,1.405,1.435,1.435,2163444
2025-05-20,1.415,1.43,1.36,1.375,1.375,3415741
2025-05-21,1.38,1.41,1.36,1.365,1.365,1816547
2025-05-22,1.35,1.355,1.29,1.31,1.31,2629588
2025-05-23,1.305,1.31,1.28,1.305,1.305,1507695
2025-05-26,1.31,1.32,1.275,1.3,1.3,1242079
2025-05-27,1.305,1.3175,1.255,1.285,1.285,2411210
2025-05-28,1.3,1.3275,1.285,1.29,1.29,1633894
2025-05-29,1.29,1.32,1.285,1.305,1.305,740284
2025-05-30,1.295,1.325,1.275,1.31,1.31,1742811
2025-06-02,1.32,1.325,1.255,1.26,1.26,1312053
2025-06-03,1.27,1.28,1.2475,1.265,1.265,1023591
2025-06-04,1.28,1.34,1.28,1.315,1.315,1389990
2025-06-05,1.32,1.37,1.32,1.34,1.34,2733737
2025-06-06,1.36,1.36,1.2975,1.31,1.31,1082756
2025-06-10,1.31,1.35,1.3,1.345,1.345,1829089
2025-06-11,1.36,1.38,1.3,1.305,1.305,2589203
2025-06-12,1.3,1.3,1.255,1.265,1.265,2335785
2025-06-13,1.265,1.265,1.155,1.18,1.18,3105313
2025-06-16,1.16,1.23,1.15,1.215,1.215,2065387
2025-06-17,1.22,1.245,1.205,1.215,1.215,1476249
2025-06-18,1.22,1.22,1.185,1.21,1.21,1676203
2025-06-19,1.205,1.215,1.1875,1.205,1.205,1642776
2025-06-20,1.2,1.22,1.1875,1.22,1.22,2146159
2025-06-23,1.19,1.2,1.1525,1.185,1.185,1408423
2025-06-24,1.175,1.23,1.165,1.205,1.205,1719145
2025-06-25,1.205,1.245,1.165,1.175,1.175,2265072
2025-06-26,1.175,1.1975,1.155,1.165,1.165,1970582
2025-06-27,1.19,1.215,1.18,1.195,1.195,1811218
