Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,20.3,20.72,20.11,20.6,19.3652,320797
2025-07-23,20.68,20.98,20.25,20.56,19.3276,313207
2025-07-24,20.69,20.75,20.33,20.52,19.29,345198
2025-07-25,20.5,20.66,20.37,20.45,19.2242,153443
2025-07-28,20.5,20.65,20.4,20.62,19.384,212683
2025-07-29,20.56,20.94,20.42,20.94,19.6848,282028
2025-07-30,20.92,21.25,20.77,21.09,19.8258,335120
2025-07-31,20.96,21.14,20.87,21.02,19.76,269468
2025-08-01,20.67,21.05,20.57,21,19.7412,228817
2025-08-04,20.83,20.96,20.52,20.88,19.6284,153359
2025-08-05,21.05,21.3,20.97,21.16,19.8916,215755
2025-08-06,21.26,21.59,21.2,21.39,20.1078,331049
2025-08-07,21.31,21.54,21.27,21.44,20.1548,146923
2025-08-08,21.44,21.46,20.94,21.14,19.8728,246068
2025-08-11,21.12,21.37,21.03,21.35,20.0702,274182
2025-08-12,21.33,21.44,21.11,21.23,19.9574,314166
2025-08-13,21.36,21.8,21.25,21.55,20.2582,257064
2025-08-14,21.59,21.72,21.38,21.56,20.2676,187047
2025-08-15,21.55,21.7,21.41,21.7,20.3992,152670
2025-08-18,21.49,21.65,21.34,21.47,20.183,141114
2025-08-19,21.4,21.64,21.23,21.53,20.2394,195906
2025-08-20,21.58,21.98,21.48,21.75,20.4462,244747
2025-08-21,21.8,21.82,21.3,21.67,20.371,375013
2025-08-22,21.64,21.7,21.4,21.56,20.2676,142956
2025-08-25,21.69,21.95,21.58,21.64,20.3428,241201
2025-08-26,21.6,22.08,21.51,22.08,20.7565,420727
2025-08-27,22.15,22.32,21.76,22.14,20.8129,265715
2025-08-28,21.28,22.15,20.89,21.4,20.1172,513767
2025-08-29,21.4,22.05,20.91,21.73,20.4274,631863
2025-09-01,21.52,21.555,20.34,20.34,19.1208,443920
2025-09-02,20.5,20.81,20.28,20.42,19.196,275501
2025-09-03,20.25,20.47,19.7,19.76,18.5755,279439
2025-09-04,19.82,20.19,19.69,19.87,18.6789,143886
2025-09-05,20.12,20.29,19.9,19.93,18.7353,144830
2025-09-08,19.97,20.1,19.71,19.84,18.6507,206883
2025-09-09,20,20.14,19.77,19.9,18.7071,224800
2025-09-10,20.05,20.57,19.98,20.51,19.2806,373348
2025-09-11,19.68,19.855,19.43,19.54,18.8654,255152
2025-09-12,19.6,19.78,19.35,19.38,18.7109,221648
2025-09-15,19.3,19.39,19.1,19.29,18.624,264948
2025-09-16,19.48,19.53,19.29,19.48,18.8075,172657
2025-09-17,19.52,19.52,19.07,19.19,18.5275,172753
2025-09-18,19.21,19.24,19,19.17,18.5082,118371
2025-09-19,19.4,19.47,19.02,19.1,18.4406,595715
2025-09-22,19.32,19.32,19.04,19.04,18.3827,112636
2025-09-23,19.1,19.17,18.98,19.07,18.4116,157928
2025-09-24,18.95,18.99,18.55,18.73,18.0834,173817
2025-09-25,18.6,18.83,18.53,18.64,17.9965,184465
2025-09-26,18.58,18.65,18.36,18.6,17.9579,162145
2025-09-29,18.68,18.875,18.68,18.78,18.1317,131721
2025-09-30,18.7,19.06,18.7,18.73,18.0834,205265
2025-10-01,18.75,18.75,18.45,18.7,18.0544,259880
2025-10-02,19.38,20.07,19.36,19.99,19.2999,325197
2025-10-03,19.92,20.15,19.68,20.15,19.4544,249330
2025-10-06,20.21,20.21,19.67,19.73,19.0489,107128
2025-10-07,19.68,20.04,19.68,19.97,19.2806,262834
2025-10-08,19.97,19.97,19.55,19.79,19.1068,162268
2025-10-09,19.88,20.17,19.79,19.96,19.2709,235048
2025-10-10,19.7,19.975,19.7,19.88,19.1937,146961
2025-10-13,19.65,19.9,19.38,19.83,19.1454,194755
2025-10-14,19.83,20.68,19.73,20.62,19.9081,302939
2025-10-15,20.7,20.81,20.45,20.81,20.0916,280907
2025-10-16,20.91,21.24,20.78,20.9,20.1785,196045
2025-10-17,20.5,20.73,20.47,20.65,19.9371,153268
2025-10-20,20.43,21.41,20.43,21.28,20.5453,368482
2025-10-21,21.25,21.25,19.17,19.81,19.1261,812228
2025-10-22,19.83,20.4,19.76,20.17,19.4737,419950
2025-10-23,20.23,20.23,19.265,19.3,18.6337,381552
2025-10-24,19.66,19.73,19.29,19.32,18.653,338265
2025-10-27,19.23,19.23,18.99,19.15,18.4889,435322
2025-10-28,19.15,19.265,18.945,19.13,18.4696,282971
2025-10-29,19.27,19.45,19.18,19.23,18.5661,368172
2025-10-30,19.11,19.45,19.11,19.4,18.7303,394270
2025-10-31,19.4,19.435,19.17,19.19,18.5275,236743
2025-11-03,19.25,19.255,19.05,19.1,18.4406,222500
2025-11-04,19.21,19.21,18.82,18.96,18.3054,165188
2025-11-05,19.17,19.17,18.695,19.15,18.4889,183140
2025-11-06,19.21,19.23,18.95,19.12,18.4599,285406
2025-11-07,19.1,19.115,18.83,18.85,18.1992,135345
2025-11-10,19.19,19.255,19.05,19.15,18.4889,320127
2025-11-11,19.24,19.59,19.2,19.33,18.6627,187218
2025-11-12,19.59,19.6,19.25,19.4,18.7303,130865
2025-11-13,19.43,19.63,19.25,19.36,18.6916,331807
2025-11-14,18.97,19.02,18.74,18.77,18.122,197461
2025-11-17,18.77,18.77,18.61,18.71,18.0641,229802
2025-11-18,18.49,18.49,18.05,18.11,17.4848,342527
2025-11-19,18.11,18.2,17.85,17.95,17.3303,375270
2025-11-20,17.93,18.63,17.93,18.62,17.9772,192166
2025-11-21,18.38,18.44,18.2,18.44,17.8034,175866
2025-11-24,18.59,18.86,18.5,18.77,18.122,433461
2025-11-25,18.69,18.92,18.58,18.8,18.151,195164
2025-11-26,18.98,19.275,18.94,19.23,18.5661,218100
2025-11-27,19,19.33,19,19.24,18.5758,175262
2025-11-28,19.25,19.29,19.03,19.19,18.5275,143138
2025-12-01,19.08,19.16,18.78,18.83,18.1799,89021
2025-12-02,18.6,18.93,18.6,18.75,18.1027,110638
