Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.745,1.785,1.735,1.77,1.713,1952319
2025-07-23,1.785,1.805,1.78,1.795,1.7372,2183542
2025-07-24,1.77,1.805,1.765,1.805,1.7469,1490387
2025-07-25,1.785,1.785,1.735,1.765,1.7082,1156018
2025-07-28,1.785,1.8125,1.75,1.76,1.7034,2369338
2025-07-29,1.715,1.755,1.69,1.755,1.6985,2026272
2025-07-30,1.725,1.7975,1.725,1.785,1.7276,1949113
2025-07-31,1.78,1.785,1.75,1.755,1.6985,1198699
2025-08-01,1.76,1.765,1.735,1.75,1.6937,3689960
2025-08-04,1.735,1.78,1.735,1.775,1.7179,855569
2025-08-05,1.78,1.805,1.77,1.8,1.7421,1451567
2025-08-06,1.795,1.89,1.795,1.88,1.8195,2920294
2025-08-07,1.87,1.915,1.8625,1.9,1.8389,1734485
2025-08-08,1.905,1.93,1.9,1.92,1.8582,2595476
2025-08-11,1.93,1.99,1.93,1.975,1.9114,1689309
2025-08-12,1.975,1.9975,1.915,1.95,1.8872,2769619
2025-08-13,1.96,2.02,1.95,1.975,1.9114,2314011
2025-08-14,1.94,2.01,1.94,1.955,1.8921,2531435
2025-08-15,1.95,2.03,1.945,2.02,1.955,2412236
2025-08-18,2,2.04,1.9975,2.04,1.9743,1575990
2025-08-19,2.02,2.1,2.02,2.08,2.0131,2264781
2025-08-20,2.08,2.08,2.03,2.04,1.9743,1806220
2025-08-21,2.03,2.07,2.01,2.07,2.0034,2880844
2025-08-22,2.07,2.12,2.055,2.09,2.0227,2858591
2025-08-25,2.05,2.27,2.05,2.21,2.1389,6768093
2025-08-26,2.22,2.32,2.18,2.25,2.1776,9311024
2025-08-27,2.27,2.35,2.23,2.35,2.2744,6506686
2025-08-28,2.36,2.37,2.31,2.34,2.2647,3771836
2025-08-29,2.33,2.36,2.31,2.36,2.284,3161128
2025-09-01,2.36,2.37,2.31,2.32,2.2453,2142110
2025-09-02,2.32,2.38,2.32,2.35,2.2744,2211853
2025-09-03,2.36,2.42,2.29,2.34,2.2647,5983529
2025-09-04,2.34,2.39,2.32,2.34,2.2647,4321463
2025-09-05,2.35,2.44,2.34,2.43,2.3518,4055617
2025-09-08,2.44,2.47,2.405,2.42,2.3421,3813767
2025-09-09,2.44,2.46,2.42,2.44,2.3615,4101894
2025-09-10,2.42,2.465,2.38,2.4,2.3228,3658135
2025-09-11,2.46,2.53,2.45,2.5,2.4195,5276139
2025-09-12,2.52,2.56,2.43,2.47,2.3905,5994618
2025-09-15,2.45,2.45,2.395,2.42,2.3421,4582773
2025-09-16,2.47,2.52,2.41,2.48,2.4002,6175353
2025-09-17,2.5,2.57,2.47,2.51,2.4292,5982647
2025-09-18,2.53,2.53,2.46,2.49,2.4099,3922256
2025-09-19,2.58,2.585,2.46,2.5,2.4195,45857737
2025-09-22,2.53,2.61,2.5,2.61,2.526,5612403
2025-09-23,2.6,2.67,2.57,2.67,2.5841,4871249
2025-09-24,2.68,2.72,2.66,2.72,2.6325,5280392
2025-09-25,2.69,2.71,2.62,2.65,2.5647,4417499
2025-09-26,2.62,2.68,2.6,2.68,2.5938,3483040
2025-09-29,2.7,2.76,2.67,2.76,2.6712,2652974
2025-09-30,2.81,2.84,2.77,2.81,2.7196,8236982
2025-10-01,2.81,2.935,2.785,2.93,2.8357,6577848
2025-10-02,2.91,2.96,2.82,2.87,2.7776,10985233
2025-10-03,2.89,2.91,2.82,2.89,2.797,4158800
2025-10-06,2.9,2.91,2.85,2.89,2.797,4251341
2025-10-07,2.87,2.93,2.84,2.9,2.8067,7014853
2025-10-08,2.9,2.92,2.83,2.91,2.8163,4814777
2025-10-09,2.95,2.95,2.855,2.89,2.797,3150189
2025-10-10,2.86,2.91,2.83,2.86,2.768,2800041
2025-10-13,2.82,2.86,2.75,2.82,2.7292,5702706
2025-10-14,2.85,2.9,2.83,2.83,2.7389,3650462
2025-10-15,2.87,2.87,2.79,2.83,2.7807,3122898
2025-10-16,2.83,2.845,2.76,2.78,2.7316,4436864
2025-10-17,2.78,2.79,2.72,2.77,2.7217,3436401
2025-10-20,2.74,2.78,2.685,2.77,2.7217,2584188
2025-10-21,2.79,2.8,2.74,2.77,2.7217,7366647
2025-10-22,2.75,2.77,2.64,2.71,2.6628,6474560
2025-10-23,2.72,2.79,2.68,2.77,2.7217,3635524
2025-10-24,2.7,2.755,2.69,2.7,2.6529,3941274
2025-10-27,2.7,2.76,2.69,2.73,2.6824,2626690
2025-10-28,2.71,2.71,2.63,2.66,2.6136,1601680
2025-10-29,2.65,2.69,2.645,2.65,2.6038,4265060
2025-10-30,2.63,2.68,2.63,2.67,2.6235,2887316
2025-10-31,2.67,2.72,2.66,2.71,2.6628,2455158
2025-11-03,2.72,2.725,2.63,2.65,2.6038,2565841
2025-11-04,2.6,2.63,2.575,2.59,2.5449,2987724
2025-11-05,2.57,2.58,2.5,2.56,2.5154,2944212
2025-11-06,2.59,2.59,2.53,2.55,2.5056,10837602
2025-11-07,2.55,2.59,2.535,2.57,2.5252,3030416
2025-11-10,2.615,2.64,2.6,2.63,2.5842,2112451
2025-11-11,2.66,2.71,2.65,2.7,2.6529,4149953
2025-11-12,2.72,2.73,2.68,2.7,2.6529,5063431
2025-11-13,2.76,2.77,2.68,2.73,2.6824,2599386
2025-11-14,2.68,2.7,2.66,2.7,2.6529,2030412
2025-11-17,2.67,2.75,2.67,2.75,2.7021,2251494
2025-11-18,2.72,2.73,2.63,2.64,2.594,1554415
2025-11-19,2.64,2.68,2.61,2.62,2.5743,3027670
2025-11-20,2.64,2.72,2.62,2.68,2.6333,2461259
2025-11-21,2.65,2.66,2.58,2.58,2.535,2615503
2025-11-24,2.62,2.7,2.6,2.7,2.6529,4112967
2025-11-25,2.7,2.75,2.66,2.69,2.6431,2587498
2025-11-26,2.68,2.88,2.68,2.88,2.8298,5800715
2025-11-27,2.93,2.95,2.835,2.86,2.8102,3329577
2025-11-28,2.85,2.97,2.83,2.93,2.8789,3053428
2025-12-01,2.95,2.98,2.86,2.87,2.82,2327075
2025-12-02,2.87,2.94,2.835,2.9,2.8495,3303155
2025-12-03,2.85,2.94,2.85,2.92,2.8691,6020645
2025-12-04,2.89,2.93,2.83,2.85,2.8003,2145221
2025-12-05,2.9,2.91,2.86,2.9,2.8495,1749593
2025-12-08,2.84,2.9,2.79,2.8,2.7512,2580065
2025-12-09,2.78,2.835,2.78,2.82,2.7709,3707865
2025-12-10,2.83,2.87,2.79,2.81,2.761,2311547
2025-12-11,2.85,2.86,2.79,2.81,2.761,1631638
2025-12-12,2.84,2.86,2.81,2.86,2.8102,1244825
2025-12-15,2.87,2.88,2.72,2.73,2.6824,2224298
2025-12-16,2.68,2.765,2.68,2.75,2.7021,2826134
2025-12-17,2.7,2.825,2.69,2.8,2.7512,2397795
2025-12-18,2.76,2.83,2.76,2.83,2.7807,3458313
2025-12-19,2.83,2.95,2.8,2.94,2.8888,8903061
2025-12-22,2.94,2.975,2.91,2.92,2.8691,4444333
2025-12-23,2.92,2.97,2.915,2.95,2.8986,3269590
2025-12-24,2.92,2.94,2.72,2.88,2.8298,1555422
2025-12-29,2.9,2.91,2.8,2.85,2.8003,1368369
2025-12-30,2.81,2.835,2.74,2.81,2.761,1112490
2025-12-31,2.83,2.83,2.785,2.79,2.7414,852716
2026-01-02,2.79,2.82,2.77,2.82,2.7709,853194
2026-01-05,2.82,2.9,2.82,2.85,2.8003,1429166
2026-01-06,2.9,2.945,2.855,2.92,2.8691,4429566
2026-01-07,2.93,2.94,2.84,2.86,2.8102,1657854
2026-01-08,2.89,2.9,2.845,2.88,2.8298,1831685
2026-01-09,2.87,2.92,2.86,2.91,2.8593,2308355
2026-01-12,2.92,3.05,2.92,3.02,2.9674,6403251
2026-01-13,3.05,3.12,2.99,3.05,2.9968,2197787
2026-01-14,3.04,3.06,3,3.03,2.9772,1863863
2026-01-15,3.05,3.07,2.99,3,2.9477,1463990
2026-01-16,3,3.045,2.99,3.01,2.9575,933054
2026-01-19,3.02,3.04,2.97,3.01,2.9575,952552
2026-01-20,2.99,2.995,2.78,2.82,2.7709,6404041
2026-01-21,2.85,2.94,2.825,2.94,2.8888,1594301
2026-01-22,2.94,2.97,2.875,2.89,2.8396,1824684
2026-01-23,2.87,2.93,2.87,2.89,2.8396,3423605
2026-01-27,2.91,3.015,2.89,2.99,2.9379,2245404
2026-01-28,3.05,3.07,2.92,3,2.9477,1595500
2026-01-29,3.04,3.04,2.905,2.97,2.9182,1189455
2026-01-30,2.98,2.98,2.76,2.81,2.761,3914798
2026-02-02,2.76,2.81,2.67,2.76,2.7119,4929294
2026-02-03,2.79,2.83,2.75,2.76,2.7119,3975386
2026-02-04,2.84,2.84,2.755,2.78,2.7316,1629739
2026-02-05,2.76,2.77,2.65,2.68,2.6333,1401087
2026-02-06,2.6,2.63,2.52,2.55,2.5056,3567766
2026-02-09,2.58,2.645,2.56,2.57,2.5252,9021885
2026-02-10,2.63,2.66,2.57,2.63,2.5842,2963376
2026-02-11,2.6,2.67,2.6,2.64,2.594,1890929
