Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.63,3.71,3.62,3.67,3.5958,4097539
2025-07-23,3.71,3.735,3.69,3.7,3.6252,4354844
2025-07-24,3.65,3.72,3.6,3.65,3.5762,4855091
2025-07-25,3.63,3.65,3.56,3.56,3.4881,3122196
2025-07-28,3.51,3.57,3.43,3.48,3.4097,4381395
2025-07-29,3.3,3.42,3.23,3.41,3.3411,4412789
2025-07-30,3.38,3.4,3.3,3.37,3.3019,5644740
2025-07-31,3.32,3.32,3.23,3.27,3.2039,5495484
2025-08-01,3.25,3.3,3.2,3.26,3.1941,3519517
2025-08-04,3.35,3.39,3.27,3.35,3.2823,3159421
2025-08-05,3.44,3.44,3.37,3.41,3.3411,4421786
2025-08-06,3.49,3.57,3.49,3.5,3.4293,5643253
2025-08-07,3.51,3.58,3.51,3.55,3.4783,3979453
2025-08-08,3.58,3.6,3.53,3.57,3.4979,4177002
2025-08-11,3.55,3.57,3.51,3.52,3.4489,2791758
2025-08-12,3.51,3.58,3.49,3.53,3.4587,4412502
2025-08-13,3.56,3.59,3.53,3.58,3.5076,3797099
2025-08-14,3.58,3.62,3.56,3.56,3.4881,4132595
2025-08-15,3.57,3.6,3.54,3.6,3.5272,3017015
2025-08-18,3.64,3.65,3.55,3.56,3.4881,2862787
2025-08-19,3.53,3.57,3.52,3.57,3.4979,1662573
2025-08-20,3.49,3.53,3.44,3.53,3.4587,5075717
2025-08-21,3.56,3.6,3.49,3.59,3.5174,3198651
2025-08-22,3.63,3.66,3.59,3.6,3.5272,4274715
2025-08-25,3.68,3.75,3.66,3.72,3.6448,5944026
2025-08-26,3.7,3.76,3.66,3.72,3.6448,4104007
2025-08-27,3.81,3.91,3.81,3.82,3.7428,5511694
2025-08-28,3.94,3.94,3.8,3.86,3.782,7101609
2025-08-29,3.88,3.89,3.735,3.78,3.7036,7065887
2025-09-01,3.9,4.02,3.87,4.02,3.9388,5990081
2025-09-02,4.12,4.19,4.015,4.11,4.0269,6646428
2025-09-03,4.17,4.19,4.07,4.09,4.0073,5591488
2025-09-04,4.07,4.12,4.04,4.1,4.0171,5809317
2025-09-05,4.09,4.25,4.07,4.25,4.1641,5927166
2025-09-08,4.37,4.41,4.22,4.24,4.1543,5215280
2025-09-09,4.19,4.26,4.16,4.2,4.1642,4458389
2025-09-10,4.11,4.18,4.08,4.16,4.1246,4741346
2025-09-11,4.25,4.32,4.23,4.28,4.2435,5209077
2025-09-12,4.32,4.38,4.28,4.35,4.3129,5204282
2025-09-15,4.36,4.39,4.2,4.2,4.1642,3399394
2025-09-16,4.3,4.34,4.25,4.26,4.2237,4144309
2025-09-17,4.23,4.28,4.14,4.19,4.1543,5589512
2025-09-18,4.19,4.23,4.14,4.19,4.1543,3525995
2025-09-19,4.27,4.31,4.22,4.3,4.2634,27462988
2025-09-22,4.52,4.69,4.4,4.68,4.6401,5770354
2025-09-23,4.73,4.86,4.72,4.79,4.7492,6226623
2025-09-24,4.73,4.79,4.7,4.76,4.7195,6025221
2025-09-25,4.73,4.815,4.7,4.7,4.66,4639790
2025-09-26,4.72,4.84,4.65,4.74,4.6996,8281327
2025-09-29,4.83,4.87,4.76,4.84,4.7988,4683262
2025-09-30,4.86,4.99,4.86,4.9,4.8583,11127789
2025-10-01,4.89,4.955,4.84,4.88,4.8384,6029691
2025-10-02,4.92,4.99,4.88,4.94,4.8979,4760225
2025-10-03,4.94,4.98,4.88,4.94,4.8979,6596764
2025-10-06,4.92,5.04,4.9,4.97,4.9277,3651645
2025-10-07,4.99,5,4.9,4.97,4.9277,4493620
2025-10-08,4.89,4.93,4.755,4.91,4.8682,7746541
2025-10-09,4.89,4.98,4.825,4.95,4.9078,5205247
2025-10-10,4.7,4.8,4.61,4.73,4.6897,3365657
2025-10-13,4.79,4.9,4.74,4.8,4.7591,3815968
2025-10-14,4.89,4.96,4.79,4.87,4.8285,4925263
2025-10-15,4.98,4.98,4.89,4.93,4.888,4492813
2025-10-16,4.98,5.07,4.93,5.03,4.9872,4366118
2025-10-17,5.2,5.28,5.105,5.17,5.126,16552619
2025-10-20,4.98,5.01,4.85,4.97,4.9277,7415922
2025-10-21,5.19,5.19,5.055,5.12,5.0764,5654980
2025-10-22,4.78,4.84,4.57,4.68,4.6401,9243591
2025-10-23,4.68,4.79,4.67,4.76,4.7195,4410910
2025-10-24,4.72,4.77,4.7,4.73,4.6897,4149694
2025-10-27,4.66,4.77,4.66,4.73,4.6897,3986798
2025-10-28,4.58,4.605,4.48,4.56,4.5212,8531952
2025-10-29,4.59,4.73,4.52,4.68,4.6401,4278266
2025-10-30,4.6,4.745,4.6,4.7,4.66,3957490
2025-10-31,4.85,4.895,4.81,4.87,4.8285,5135833
2025-11-03,4.81,4.86,4.71,4.79,4.7492,4652027
2025-11-04,4.78,4.79,4.7,4.7,4.66,2737176
2025-11-05,4.5,4.67,4.42,4.67,4.6302,6587553
2025-11-06,4.73,4.79,4.72,4.78,4.7393,5025665
2025-11-07,4.8,4.89,4.72,4.83,4.7889,4065750
2025-11-10,4.905,5.04,4.895,5.02,4.9772,3881781
2025-11-11,5.23,5.27,5.13,5.13,5.0863,5156349
2025-11-12,5.24,5.27,5.145,5.23,5.1855,4652234
2025-11-13,5.41,5.42,5.29,5.33,5.2846,4575263
2025-11-14,5.12,5.23,5.11,5.23,5.1855,3943202
2025-11-17,5.31,5.325,5.19,5.28,5.235,3244006
2025-11-18,5.26,5.3,5.15,5.15,5.1061,5229029
2025-11-19,5.24,5.35,5.22,5.27,5.2251,2954549
2025-11-20,5.33,5.445,5.315,5.4,5.354,3929412
2025-11-21,5.21,5.265,5.15,5.19,5.1458,3927679
2025-11-24,5.25,5.3,5.22,5.28,5.235,4205286
2025-11-25,5.46,5.49,5.37,5.42,5.3738,3943558
2025-11-26,5.31,5.51,5.31,5.5,5.4532,4386375
2025-11-27,5.62,5.66,5.54,5.59,5.5424,4853339
2025-11-28,5.58,5.67,5.56,5.65,5.6019,4217991
2025-12-01,5.78,5.79,5.59,5.64,5.592,5494745
2025-12-02,5.59,5.78,5.56,5.72,5.6713,5071869
2025-12-03,5.4,5.57,5.39,5.56,5.5126,9084583
2025-12-04,5.49,5.49,5.35,5.45,5.4036,3689098
2025-12-05,5.5,5.5,5.37,5.42,5.3738,3725573
2025-12-08,5.37,5.39,5.29,5.3,5.2549,5129774
2025-12-09,5.22,5.29,5.17,5.22,5.1755,6196380
2025-12-10,5.31,5.33,5.2,5.31,5.2648,5997053
2025-12-11,5.3,5.47,5.21,5.25,5.2053,4002444
2025-12-12,5.46,5.52,5.4,5.44,5.3937,4276172
2025-12-15,5.4,5.52,5.37,5.4,5.354,6667183
2025-12-16,5.56,5.57,5.355,5.39,5.3441,6585099
2025-12-17,5.28,5.61,5.28,5.58,5.5325,4957379
2025-12-18,5.55,5.62,5.485,5.56,5.5126,4190678
2025-12-19,5.62,5.62,5.45,5.55,5.5027,25367743
2025-12-22,5.64,5.78,5.545,5.76,5.7109,3747499
2025-12-23,5.7,5.77,5.62,5.67,5.6217,4192755
2025-12-24,5.79,5.82,5.72,5.73,5.6812,1880804
2025-12-29,5.75,5.85,5.65,5.71,5.6614,2361119
2025-12-30,5.45,5.635,5.23,5.61,5.5622,2909393
2025-12-31,5.58,5.68,5.54,5.68,5.6316,2414163
2026-01-02,5.51,5.66,5.49,5.64,5.592,2422044
2026-01-05,5.63,5.74,5.6,5.74,5.6911,2817836
2026-01-06,5.77,5.81,5.665,5.71,5.6614,1906672
2026-01-07,5.82,5.85,5.665,5.75,5.701,3466897
2026-01-08,5.84,5.86,5.72,5.72,5.6713,3559534
2026-01-09,5.8,5.8,5.63,5.71,5.6614,6426873
2026-01-12,5.8,5.94,5.77,5.85,5.8002,3539122
2026-01-13,5.87,5.95,5.82,5.94,5.8894,3144192
2026-01-14,5.96,6,5.9,5.96,5.9092,4163939
2026-01-15,5.9,5.99,5.855,5.91,5.8597,5022882
2026-01-16,5.93,5.95,5.735,5.83,5.7803,5628424
2026-01-19,5.93,6.08,5.85,6.04,5.9886,3655481
2026-01-20,6.02,6.08,5.96,6.07,6.0183,3938465
2026-01-21,6.18,6.33,6.17,6.31,6.2563,5268536
2026-01-22,6.25,6.25,5.98,6.06,6.0084,5273577
2026-01-23,6.37,6.495,6.33,6.35,6.2959,5055741
2026-01-27,6.58,6.6,6.27,6.29,6.2364,6911755
2026-01-28,6.27,6.45,6.2,6.43,6.3752,4310374
2026-01-29,6.37,6.54,6.28,6.4,6.3455,5856905
2026-01-30,6.03,6.13,5.795,5.9,5.8497,12351970
2026-02-02,5.58,5.68,5.45,5.63,5.582,9974355
2026-02-03,5.63,5.7,5.53,5.55,5.5027,8584925
2026-02-04,5.75,5.78,5.58,5.69,5.6415,5293125
2026-02-05,5.57,5.64,5.39,5.51,5.4631,5948530
2026-02-06,5.52,5.54,5.32,5.34,5.2945,7522215
2026-02-09,5.55,5.67,5.47,5.64,5.592,4845591
2026-02-10,5.71,5.74,5.58,5.67,5.6217,4239630
2026-02-11,5.68,5.87,5.62,5.84,5.7903,3409868
2026-02-12,5.83,5.87,5.75,5.85,5.8002,2831325
2026-02-13,5.58,5.75,5.51,5.71,5.6614,2596845
2026-02-16,5.83,5.85,5.72,5.72,5.6713,2336276
2026-02-17,5.69,5.7,5.59,5.62,5.5721,2105259
2026-02-18,5.62,5.67,5.44,5.52,5.473,4152843
2026-02-19,5.7,5.7,5.6,5.66,5.6118,2842360
2026-02-20,5.8,6.07,5.725,5.87,5.82,3477753
2026-02-23,6.08,6.09,5.91,6.03,5.9786,3685787
2026-02-24,6.1,6.15,5.75,5.88,5.8299,5075847
2026-02-25,5.98,6.05,5.91,6.05,5.9985,2950741
2026-02-26,5.98,6.03,5.76,5.81,5.7605,5924109
2026-02-27,5.95,6.16,5.87,6,5.9489,7009521
2026-03-02,6.15,6.31,6.1,6.28,6.2265,4693724
2026-03-03,6.06,6.16,6.015,6.07,6.0183,4759067
2026-03-04,5.68,5.91,5.54,5.87,5.82,6241987
2026-03-05,5.79,5.89,5.71,5.78,5.78,4936410
2026-03-06,5.65,5.69,5.57,5.58,5.58,4858722
2026-03-09,5.57,5.625,5.28,5.39,5.39,4032952
2026-03-10,5.45,5.53,5.41,5.5,5.5,4055212
2026-03-11,5.52,5.56,5.46,5.5,5.5,3366366
2026-03-12,5.33,5.48,5.33,5.39,5.39,4337651
2026-03-13,5.39,5.39,5.26,5.28,5.28,8740325
2026-03-16,5.05,5.19,4.97,5.13,5.13,7532860
2026-03-17,5.21,5.23,5.08,5.22,5.22,5007835
2026-03-18,5.15,5.2,5.04,5.18,5.18,4671715
2026-03-19,4.9,4.93,4.67,4.76,4.76,8738042
2026-03-20,4.66,4.81,4.6,4.81,4.81,27957815
2026-03-23,4.56,4.67,4.5,4.56,4.56,6114341
2026-03-24,4.77,4.79,4.58,4.71,4.71,4793404
2026-03-25,4.86,5.02,4.835,5.02,5.02,5838714
2026-03-26,4.93,5.045,4.9,5.02,5.02,4601886
2026-03-27,4.81,4.95,4.79,4.94,4.94,5649203
2026-03-30,4.97,5.07,4.9,4.99,4.99,7113507
2026-03-31,4.99,5.21,4.9,5.15,5.15,3778388
