Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.39,1.42,1.35,1.42,1.3867,193819
2025-07-23,1.42,1.42,1.335,1.345,1.3135,578664
2025-07-24,1.38,1.38,1.315,1.32,1.2891,160070
2025-07-25,1.315,1.32,1.295,1.295,1.2646,374086
2025-07-28,1.31,1.31,1.26,1.26,1.2305,2125410
2025-07-29,1.25,1.285,1.185,1.255,1.2256,357660
2025-07-30,1.26,1.275,1.24,1.275,1.2451,37968
2025-07-31,1.265,1.27,1.22,1.24,1.2109,133513
2025-08-01,1.24,1.262,1.205,1.21,1.1816,518447
2025-08-04,1.26,1.26,1.185,1.21,1.1816,1101709
2025-08-05,1.245,1.26,1.195,1.2,1.1719,69050
2025-08-06,1.195,1.3,1.19,1.3,1.2695,236270
2025-08-07,1.26,1.26,1.24,1.245,1.2158,142624
2025-08-08,1.27,1.345,1.205,1.325,1.2939,609714
2025-08-11,1.3,1.315,1.24,1.26,1.2305,3166880
2025-08-12,1.277,1.355,1.277,1.335,1.3037,289391
2025-08-13,1.34,1.36,1.315,1.35,1.3184,308828
2025-08-14,1.345,1.355,1.265,1.265,1.2354,234648
2025-08-15,1.29,1.35,1.285,1.32,1.2891,2253953
2025-08-18,1.35,1.365,1.3,1.315,1.2842,164521
2025-08-19,1.33,1.335,1.295,1.315,1.2842,66288
2025-08-20,1.33,1.33,1.265,1.275,1.2451,66523
2025-08-21,1.29,1.32,1.24,1.32,1.2891,369831
2025-08-22,1.32,1.32,1.27,1.3,1.2695,265068
2025-08-25,1.295,1.33,1.26,1.3,1.2695,270310
2025-08-26,1.3,1.34,1.28,1.3,1.2695,397744
2025-08-27,1.3,1.31,1.275,1.295,1.2646,74471
2025-08-28,1.295,1.305,1.26,1.29,1.2598,128677
2025-08-29,1.28,1.28,1.245,1.28,1.25,81823
2025-09-01,1.28,1.28,1.235,1.235,1.2061,155871
2025-09-02,1.28,1.28,1.22,1.275,1.2451,3013953
2025-09-03,1.265,1.265,1.235,1.25,1.2207,62449
2025-09-04,1.265,1.27,1.24,1.27,1.2402,175699
2025-09-05,1.27,1.31,1.235,1.25,1.2207,661146
2025-09-08,1.295,1.295,1.24,1.26,1.2305,264347
2025-09-09,1.26,1.26,1.235,1.235,1.2061,184164
2025-09-10,1.23,1.235,1.195,1.215,1.1865,176857
2025-09-11,1.21,1.25,1.165,1.22,1.1914,661799
2025-09-12,1.235,1.245,1.205,1.22,1.1914,136060
2025-09-15,1.245,1.245,1.21,1.215,1.1865,121142
2025-09-16,1.205,1.22,1.19,1.215,1.1865,383925
2025-09-17,1.09,1.09,0.847,0.85,0.8301,11542503
2025-09-18,0.89,0.935,0.865,0.895,0.874,3538039
2025-09-22,1.01,1.07,0.96,1.04,1.0156,3418454
2025-09-23,1.06,1.08,1.01,1.02,0.9961,982751
2025-09-24,1.01,1.025,1,1.025,1.001,489494
2025-09-25,1.025,1.035,1.005,1.005,0.9814,363266
2025-09-26,1.01,1.022,0.99,0.99,0.9668,472407
2025-09-29,0.995,1.065,0.992,1.03,1.0059,1251246
2025-09-30,1.045,1.05,1.02,1.02,0.9961,346381
2025-10-01,1.025,1.065,1.025,1.065,1.04,270483
2025-10-02,1.065,1.1,1.055,1.1,1.0742,489007
2025-10-03,1.105,1.16,1.1,1.14,1.1133,792315
2025-10-06,1.14,1.16,1.11,1.135,1.1084,125265
2025-10-07,1.125,1.22,1.12,1.22,1.1914,503357
2025-10-08,1.22,1.22,1.15,1.21,1.1816,376249
2025-10-09,1.175,1.205,1.145,1.17,1.1426,283047
2025-10-10,1.16,1.165,1.12,1.15,1.123,611565
2025-10-13,1.15,1.162,1.095,1.12,1.0937,1611976
2025-10-14,1.16,1.16,1.095,1.15,1.123,417689
2025-10-15,1.13,1.23,1.115,1.22,1.1914,1154268
2025-10-16,1.24,1.31,1.24,1.28,1.25,706907
2025-10-17,1.28,1.28,1.17,1.2,1.1719,667897
2025-10-20,1.205,1.26,1.205,1.22,1.1914,667655
2025-10-21,1.235,1.265,1.21,1.24,1.2109,389663
2025-10-22,1.24,1.245,1.18,1.245,1.2158,460177
2025-10-23,1.245,1.26,1.21,1.215,1.1865,284500
2025-10-24,1.235,1.235,1.19,1.195,1.167,81836
2025-10-27,1.23,1.25,1.19,1.22,1.1914,274583
2025-10-28,1.22,1.22,1.19,1.2,1.1719,174772
2025-10-29,1.205,1.215,1.19,1.2,1.1719,270813
2025-10-30,1.2,1.205,1.18,1.185,1.1572,531458
2025-10-31,1.19,1.265,1.19,1.26,1.2305,207630
2025-11-03,1.26,1.26,1.205,1.22,1.1914,80144
2025-11-04,1.23,1.23,1.175,1.18,1.1523,96220
2025-11-05,1.18,1.2,1.14,1.165,1.1377,889848
2025-11-06,1.16,1.17,1.15,1.165,1.1377,236216
2025-11-07,1.165,1.17,1.145,1.165,1.1377,237050
2025-11-10,1.165,1.195,1.165,1.185,1.1572,80983
2025-11-11,1.2,1.215,1.185,1.185,1.1572,83688
2025-11-12,1.185,1.205,1.18,1.19,1.1621,91643
2025-11-13,1.25,1.33,1.23,1.32,1.2891,819202
2025-11-14,1.32,1.43,1.23,1.37,1.3379,1764129
2025-11-17,1.37,1.37,1.28,1.3,1.2695,1147752
2025-11-18,1.29,1.34,1.26,1.26,1.2305,178556
2025-11-19,1.26,1.365,1.255,1.365,1.333,576439
2025-11-20,1.365,1.375,1.305,1.375,1.3428,183528
2025-11-21,1.375,1.415,1.33,1.38,1.3477,621707
2025-11-24,1.4,1.45,1.4,1.405,1.3721,239540
2025-11-25,1.4,1.49,1.4,1.47,1.4355,391984
2025-11-26,1.48,1.542,1.48,1.485,1.4502,950329
2025-11-27,1.5,1.565,1.465,1.535,1.499,363597
2025-11-28,1.55,1.635,1.55,1.6,1.5625,557338
2025-12-01,1.6,1.6,1.44,1.465,1.4307,564307
2025-12-02,1.515,1.565,1.495,1.535,1.499,683761
2025-12-03,1.53,1.53,1.447,1.47,1.4355,332539
2025-12-04,1.51,1.51,1.475,1.5,1.4648,91494
2025-12-05,1.49,1.515,1.465,1.485,1.4502,3072716
2025-12-08,1.41,1.535,1.41,1.51,1.4746,194803
2025-12-09,1.465,1.495,1.435,1.49,1.4551,175919
2025-12-10,1.49,1.54,1.465,1.535,1.499,407885
2025-12-11,1.54,1.552,1.47,1.525,1.4893,255880
2025-12-12,1.525,1.525,1.46,1.465,1.4307,135986
2025-12-15,1.465,1.5,1.46,1.465,1.4307,133883
2025-12-16,1.465,1.56,1.465,1.49,1.4551,335224
2025-12-17,1.5,1.5,1.445,1.45,1.416,111874
2025-12-18,1.455,1.485,1.41,1.485,1.4502,95809
2025-12-19,1.52,1.525,1.47,1.5,1.4648,291771
2025-12-22,1.51,1.59,1.505,1.51,1.4746,488784
2025-12-23,1.53,1.575,1.525,1.56,1.5234,139861
2025-12-24,1.56,1.725,1.56,1.7,1.6602,979463
2025-12-29,1.7,1.715,1.645,1.71,1.6699,456916
2025-12-30,1.705,1.705,1.615,1.64,1.6016,209832
2025-12-31,1.675,1.685,1.63,1.655,1.6162,171034
2026-01-02,1.66,1.71,1.655,1.655,1.6162,168964
2026-01-05,1.655,1.72,1.655,1.685,1.6455,429240
2026-01-06,1.692,1.7,1.62,1.67,1.6309,338987
2026-01-07,1.68,1.7,1.665,1.685,1.6455,85639
2026-01-08,1.68,1.75,1.665,1.695,1.6553,350405
2026-01-09,1.695,1.745,1.665,1.68,1.6406,387353
2026-01-12,1.67,1.7,1.64,1.64,1.6016,324469
2026-01-13,1.65,1.66,1.6,1.625,1.5869,405970
2026-01-14,1.65,1.69,1.62,1.655,1.6162,224491
2026-01-15,1.66,1.705,1.595,1.705,1.665,528302
2026-01-16,1.7,1.755,1.685,1.74,1.6992,936372
2026-01-19,1.7,1.71,1.665,1.69,1.6504,704753
2026-01-20,1.69,1.71,1.61,1.68,1.6406,1547969
2026-01-21,1.68,1.71,1.59,1.705,1.665,2714421
2026-01-22,1.71,1.72,1.655,1.665,1.626,384035
2026-01-23,1.65,1.71,1.62,1.685,1.6455,596864
2026-01-27,1.615,1.695,1.615,1.66,1.6211,130095
2026-01-28,1.675,1.682,1.63,1.66,1.6211,147265
2026-01-29,1.615,1.65,1.6,1.62,1.582,174886
2026-01-30,1.63,1.67,1.6,1.6,1.5625,304066
2026-02-04,1.57,1.57,1.405,1.51,1.51,10081030
2026-02-05,1.51,1.51,1.485,1.495,1.495,770099
2026-02-06,1.5,1.5,1.43,1.5,1.5,1368251
2026-02-09,1.5,1.505,1.47,1.495,1.495,642699
2026-02-10,1.5,1.505,1.48,1.48,1.48,1225379
2026-02-11,1.495,1.52,1.47,1.495,1.495,1364456
2026-02-12,1.52,1.52,1.47,1.48,1.48,399997
2026-02-13,1.49,1.515,1.46,1.515,1.515,1143985
