Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,10.86,10.945,10.84,10.9,10.398,3339747
2025-07-23,10.89,10.93,10.82,10.9,10.398,3641643
2025-07-24,10.97,11,10.83,10.83,10.3312,2064418
2025-07-25,10.77,10.84,10.66,10.84,10.3407,2284207
2025-07-28,10.89,10.98,10.84,10.98,10.4743,2816567
2025-07-29,11.02,11.02,10.85,10.94,10.4361,2895577
2025-07-30,10.84,10.89,10.63,10.85,10.3503,5370966
2025-07-31,10.85,10.91,10.77,10.87,10.3693,4932880
2025-08-01,10.9,10.97,10.76,10.9,10.398,2585775
2025-08-04,10.85,10.9,10.8,10.89,10.3884,3081931
2025-08-05,10.98,11,10.83,10.95,10.4457,4208208
2025-08-06,10.95,11.085,10.945,11.04,10.5315,4424755
2025-08-07,11.06,11.07,10.9,10.92,10.417,2704356
2025-08-08,10.89,10.95,10.82,10.94,10.4361,2576049
2025-08-11,10.9,10.94,10.87,10.9,10.398,1484717
2025-08-12,10.92,11,10.86,11,10.4933,10592240
2025-08-13,11.15,11.63,11.1,11.62,11.0848,7247853
2025-08-14,11.52,11.58,11.325,11.56,11.0276,3647087
2025-08-15,11.54,11.63,11.46,11.63,11.0943,2719313
2025-08-18,11.52,11.72,11.465,11.58,11.0466,2767748
2025-08-19,11.53,11.56,11.35,11.44,10.9131,1972425
2025-08-20,11.53,11.58,11.44,11.5,10.9703,2591195
2025-08-21,11.39,11.57,11.31,11.54,11.0085,4856550
2025-08-22,11.54,11.54,11.3,11.3,10.7795,4936059
2025-08-25,11.4,11.44,11.04,11.15,10.6364,4552623
2025-08-26,11.28,11.39,11.11,11.11,10.5983,13265510
2025-08-27,11.23,11.23,11.03,11.11,10.5983,4128433
2025-08-28,11.66,12.62,11.55,12.12,11.5618,8472488
2025-08-29,12.08,12.09,11.55,11.75,11.2088,8629702
2025-09-01,11.8,11.88,11.46,11.49,10.9608,4591866
2025-09-02,11.31,11.66,11.26,11.62,11.0848,5784210
2025-09-03,11.77,11.91,11.59,11.61,11.0753,7407339
2025-09-04,11.48,11.81,11.43,11.78,11.2374,8529077
2025-09-05,11.85,12.015,11.75,11.85,11.3042,4777037
2025-09-08,11.77,11.93,11.71,11.83,11.2851,5218440
2025-09-09,11.86,11.91,11.76,11.78,11.2374,4401492
2025-09-10,11.8,11.93,11.79,11.85,11.3042,3820903
2025-09-11,11.81,11.83,11.73,11.73,11.1897,4576106
2025-09-12,11.88,11.92,11.41,11.41,10.8845,4227232
2025-09-15,11.28,11.39,11.2,11.3,10.7795,4492098
2025-09-16,11.22,11.24,10.96,11.05,10.7932,5075579
2025-09-17,11.06,11.17,11.02,11.08,10.8225,3999740
2025-09-18,11.05,11.125,10.92,11.05,10.7932,4956633
2025-09-19,11.1,11.16,11.02,11.05,10.7932,8356407
2025-09-22,11.06,11.14,11.02,11.06,10.803,4119774
2025-09-23,10.95,11.02,10.89,10.94,10.6858,3513942
2025-09-24,10.89,10.99,10.81,10.99,10.7346,4149594
2025-09-25,10.85,10.95,10.79,10.9,10.6467,9680319
2025-09-26,10.95,11.06,10.845,11,10.7444,8011331
2025-09-29,10.98,11.01,10.89,10.95,10.6955,4935385
2025-09-30,10.92,10.97,10.86,10.92,10.6662,4717330
2025-10-01,10.76,10.9,10.65,10.85,10.5979,7813569
2025-10-02,10.85,10.98,10.785,10.93,10.676,6651864
2025-10-03,10.95,11.01,10.83,10.87,10.6174,4450265
2025-10-06,10.85,10.92,10.75,10.81,10.5588,3346065
2025-10-07,10.83,10.97,10.82,10.91,10.6565,4325068
2025-10-08,10.94,10.95,10.825,10.86,10.6076,3686189
2025-10-09,10.88,11.02,10.84,10.98,10.7248,4968620
2025-10-10,11.23,11.35,11.11,11.19,10.93,6568127
2025-10-13,11,11.075,10.94,11.01,10.7541,4455909
2025-10-14,10.96,11,10.77,10.91,10.6565,4721837
2025-10-15,11.07,11.09,10.87,10.98,10.7248,5164769
2025-10-16,10.95,10.975,10.77,10.85,10.5979,6158550
2025-10-17,10.81,10.85,10.63,10.63,10.383,4885155
2025-10-20,10.75,10.77,10.6,10.63,10.383,5312576
2025-10-21,10.63,10.88,10.61,10.69,10.4416,5306223
2025-10-22,10.65,10.7,10.53,10.66,10.4123,6520763
2025-10-23,10.5,10.71,10.47,10.59,10.3439,4114839
2025-10-24,10.5,10.57,10.46,10.51,10.2658,6727212
2025-10-27,10.74,10.9,10.68,10.87,10.6174,3933947
2025-10-28,10.85,10.91,10.69,10.77,10.5197,6622530
2025-10-29,10.68,10.71,10.43,10.43,10.1876,6975561
2025-10-30,10.2,10.43,10.17,10.37,10.129,6012448
2025-10-31,10.37,10.375,10.15,10.2,9.963,6830807
2025-11-03,10.3,10.36,10.18,10.36,10.1192,10940420
2025-11-04,10.37,10.38,10.23,10.24,10.002,5405021
2025-11-05,10.08,10.16,9.94,10.16,9.9239,8026141
2025-11-06,10.2,10.26,10.13,10.18,9.9434,3378535
2025-11-07,9.91,10,9.42,9.51,9.289,12468720
2025-11-10,9.74,9.74,9.42,9.73,9.5039,7585547
2025-11-11,9.65,9.8,9.58,9.75,9.5234,8700124
2025-11-12,9.77,9.92,9.715,9.76,9.5332,6970612
2025-11-13,9.83,9.87,9.78,9.84,9.6113,6993509
2025-11-14,9.75,9.78,9.68,9.72,9.4941,3771816
2025-11-17,9.72,9.76,9.525,9.75,9.5234,4800189
2025-11-18,9.59,9.68,9.58,9.63,9.4062,5829791
2025-11-19,9.61,9.63,9.49,9.58,9.3574,4006912
2025-11-20,9.58,9.72,9.58,9.65,9.4257,4343529
2025-11-21,9.43,9.54,9.36,9.41,9.1913,4621220
2025-11-24,9.49,9.52,9.35,9.45,9.2304,10218990
2025-11-25,9.48,9.51,9.325,9.38,9.162,4443715
2025-11-26,9.45,9.8,9.41,9.8,9.5723,10137450
2025-11-27,9.83,9.92,9.78,9.92,9.6895,4469167
2025-11-28,9.85,10.04,9.85,9.98,9.7481,3339599
2025-12-01,9.85,10.02,9.85,9.95,9.7188,4267580
2025-12-02,9.92,9.94,9.7,9.74,9.5136,6826988
2025-12-03,9.72,9.76,9.555,9.72,9.4941,6502521
2025-12-04,9.7,9.84,9.665,9.74,9.5136,3111647
2025-12-05,9.78,9.96,9.75,9.81,9.582,2271666
2025-12-08,9.86,9.86,9.71,9.8,9.5723,2227213
2025-12-09,9.92,9.92,9.73,9.73,9.5039,2640775
2025-12-10,9.76,9.83,9.65,9.65,9.4257,4933358
2025-12-11,9.82,9.895,9.76,9.76,9.5332,4086623
2025-12-12,9.76,9.94,9.76,9.84,9.6113,3400247
2025-12-15,9.8,9.865,9.76,9.81,9.582,2641886
2025-12-16,9.85,10.11,9.81,10.09,9.8555,5606731
2025-12-17,10.24,10.31,10.1,10.1,9.8653,3992207
2025-12-18,9.94,10.08,9.91,10.05,9.8164,5780249
2025-12-19,10.16,10.25,10.03,10.25,10.0118,11299510
2025-12-22,10.27,10.32,10.2,10.24,10.002,2356791
2025-12-23,10.25,10.4,10.23,10.36,10.1192,5614520
2025-12-24,10.25,10.33,10.23,10.28,10.0411,1114478
2025-12-29,10.27,10.345,10.21,10.28,10.0411,1673451
2025-12-30,10.3,10.37,10.24,10.31,10.0704,1295795
2025-12-31,10.28,10.38,10.25,10.38,10.1388,1448639
2026-01-02,10.4,10.52,10.32,10.49,10.2462,2607834
2026-01-05,10.54,10.62,10.41,10.49,10.2462,2724688
2026-01-06,10.43,10.46,10.27,10.3,10.0606,2941269
2026-01-07,10.31,10.49,10.16,10.48,10.2365,4265391
2026-01-08,10.41,10.57,10.41,10.51,10.2658,3160874
2026-01-09,10.48,10.51,10.25,10.31,10.0704,4149585
2026-01-12,10.32,10.36,10.14,10.2,9.963,3109583
2026-01-13,10.21,10.31,10.16,10.2,9.963,4395503
2026-01-14,10.1,10.28,10.06,10.25,10.0118,2204202
2026-01-15,10.11,10.2,10.05,10.18,9.9434,5069740
2026-01-16,10.2,10.38,10.12,10.38,10.1388,3827290
2026-01-19,10.36,10.41,10.27,10.41,10.1681,2482003
2026-01-20,10.29,10.69,10.28,10.59,10.3439,5992332
2026-01-21,10.54,10.66,10.43,10.49,10.2462,6351996
2026-01-22,10.58,10.63,10.48,10.5,10.256,3050890
2026-01-23,10.5,10.59,10.27,10.34,10.0997,3770968
2026-01-27,10.28,10.37,10.19,10.23,9.9923,4354672
2026-01-28,10.23,10.465,10.17,10.37,10.129,5782345
2026-01-29,10.22,10.25,10.12,10.15,9.9141,3894838
2026-01-30,10.26,10.27,9.92,10.07,9.836,10841100
2026-02-02,10.15,10.29,10.08,10.17,9.9337,4284820
2026-02-03,10.25,10.31,10.17,10.2,9.963,4898807
2026-02-04,10.22,10.35,10.16,10.25,10.0118,2510771
2026-02-05,10.33,10.34,10.2,10.3,10.0606,2781627
2026-02-06,10.17,10.3,10.09,10.15,9.9141,2961113
2026-02-09,10.18,10.45,10.18,10.44,10.1974,2988718
2026-02-10,10.39,10.53,10.32,10.36,10.1192,2888283
2026-02-11,10.4,10.48,10.34,10.44,10.1974,2717026
2026-02-12,10.44,10.56,10.41,10.48,10.2365,4552752
2026-02-13,10.5,10.57,10.34,10.36,10.1192,3344794
2026-02-16,10.36,10.45,10.31,10.42,10.1778,1490053
2026-02-17,10.45,10.6,10.42,10.56,10.3146,1805254
2026-02-18,10.61,10.7,10.58,10.66,10.4123,2088090
2026-02-19,10.77,10.84,10.705,10.74,10.4904,3668098
2026-02-20,10.55,10.69,10.48,10.61,10.3634,5396777
2026-02-23,10.65,10.66,10.49,10.51,10.2658,4617390
2026-02-24,10.46,10.49,10.27,10.42,10.1778,3728302
2026-02-25,10.39,10.65,10.34,10.65,10.4025,4047350
2026-02-26,11.09,11.09,9.58,9.67,9.4453,15301850
2026-02-27,9.75,9.95,9.73,9.95,9.7188,10623570
2026-03-02,9.05,9.5,8.92,9.41,9.1913,12098850
2026-03-03,9.13,9.24,9.04,9.24,9.0253,14677470
2026-03-04,9.19,9.22,8.94,8.99,8.7811,9874682
2026-03-05,9.23,9.23,8.94,9.08,8.869,13266430
2026-03-06,8.8,9,8.8,8.92,8.7127,10741540
2026-03-09,8.11,8.53,8.11,8.52,8.322,12190140
2026-03-10,8.45,8.67,8.38,8.56,8.56,9566890
2026-03-11,8.75,8.87,8.57,8.82,8.82,16869100
2026-03-12,8.72,8.9,8.67,8.67,8.67,10870350
2026-03-13,8.55,8.725,8.55,8.61,8.61,11846670
2026-03-16,8.59,8.65,8.54,8.56,8.56,7595061
2026-03-17,8.55,8.67,8.55,8.6,8.6,9970241
2026-03-18,8.57,8.87,8.57,8.73,8.73,16696920
2026-03-19,8.52,8.63,8.42,8.43,8.43,17416211
2026-03-20,8.45,8.49,8.25,8.34,8.34,28268881
2026-03-23,8.04,8.31,8.035,8.15,8.15,12493190
2026-03-24,8.4,8.56,8.32,8.34,8.34,12987080
2026-03-25,8.28,8.805,8.28,8.7,8.7,8394467
2026-03-26,8.61,8.67,8.4,8.51,8.51,8393554
2026-03-27,8.49,8.51,8.35,8.45,8.45,6934230
2026-03-30,8.28,8.32,8.215,8.28,8.28,8697318
2026-03-31,8.2,8.47,8.17,8.37,8.37,9623275
2026-04-01,8.54,8.73,8.54,8.67,8.67,11388690
2026-04-02,8.7,8.89,8.52,8.55,8.55,7839244
2026-04-07,8.64,8.71,8.46,8.49,8.49,6551883
2026-04-08,9.2,9.37,9.05,9.29,9.29,19642471
2026-04-09,9.01,9.11,9,9.09,9.09,10698810
2026-04-10,9.1,9.22,9.07,9.19,9.19,7753297
2026-04-13,8.86,9.09,8.85,9.01,9.01,6233672
2026-04-14,8.98,9.03,8.67,8.98,8.98,12319310
2026-04-15,9.27,9.3,9.03,9.09,9.09,8768472
2026-04-16,9.1,9.205,9.05,9.16,9.16,8340521
2026-04-17,9.01,9.15,9.01,9.08,9.08,6291117
2026-04-20,9.26,9.28,9.125,9.2,9.2,7409100
2026-04-21,9.15,9.16,9.08,9.08,9.08,7837634
2026-04-22,9.02,9.08,8.87,8.87,8.87,10797420
2026-04-23,8.63,8.72,8.53,8.55,8.55,12801670
2026-04-24,8.49,8.53,8.31,8.41,8.41,7403182
2026-04-27,8.39,8.54,8.36,8.44,8.44,3889739
2026-04-28,8.34,8.43,8.31,8.37,8.37,5841844
2026-04-29,8.37,8.42,8.31,8.38,8.38,5410588
2026-04-30,8.26,8.47,8.24,8.41,8.41,7696356
2026-05-01,8.52,8.53,8.415,8.48,8.48,3083038
2026-05-04,8.49,8.5,8.42,8.46,8.46,3237368
2026-05-05,8.35,8.44,8.31,8.39,8.39,5964079
2026-05-06,8.48,8.67,8.47,8.56,8.56,6722644
2026-05-07,8.72,9,8.72,9,9,8914233
2026-05-08,8.85,8.92,8.83,8.9,8.9,4880002
2026-05-11,8.84,8.9,8.66,8.74,8.74,4560608
2026-05-12,8.82,8.82,8.55,8.61,8.61,3368302
2026-05-13,8.62,8.75,8.62,8.67,8.67,2744760
2026-05-14,8.65,8.66,8.53,8.59,8.59,5915090
2026-05-15,8.67,8.67,8.51,8.54,8.54,4797023
2026-05-18,8.63,8.65,8.4,8.44,8.44,3761827
2026-05-19,8.5,8.57,8.45,8.55,8.55,3045547
2026-05-20,8.5,8.54,8.43,8.45,8.45,4080482
2026-05-21,8.68,8.82,8.62,8.71,8.71,4903052
2026-05-22,8.8,8.8,8.645,8.68,8.68,3056303
2026-05-25,8.85,9.19,8.835,9.18,9.18,6557658
2026-05-26,9.13,9.24,9.1,9.18,9.18,6985116
2026-05-27,9.17,9.29,9.13,9.29,9.29,4109794
2026-05-28,9.32,9.44,9.12,9.15,9.15,5331077
2026-05-29,9.3,9.5,9.25,9.44,9.44,9316724
2026-06-01,9.35,9.41,9.27,9.4,9.4,3818665
2026-06-02,9.32,9.36,9.1,9.21,9.21,8349264
2026-06-03,9.19,9.23,9.06,9.16,9.16,4813046
2026-06-04,9.03,9.16,9.03,9.15,9.15,3079524
2026-06-05,9.17,9.25,9.145,9.19,9.19,1610031
2026-06-09,9.06,9.23,8.98,9.22,9.22,3220172
2026-06-10,9.19,9.39,9.16,9.32,9.32,4287991
2026-06-11,9.15,9.22,8.87,9.01,9.01,7240369
2026-06-12,9.38,9.53,9.3,9.35,9.35,7551195
2026-06-15,9.51,9.94,9.48,9.94,9.94,8268335
2026-06-16,9.86,10.1,9.85,9.96,9.96,7022619
2026-06-17,9.99,10.14,9.89,9.98,9.98,6929443
2026-06-18,9.98,10.09,9.95,9.99,9.99,6251162
2026-06-19,10.08,10.15,10.02,10.06,10.06,14631580
2026-06-22,10.05,10.15,9.98,10.09,10.09,4284054
2026-06-23,10.15,10.19,10.09,10.13,10.13,5926705
2026-06-24,10.2,10.35,10.17,10.29,10.29,9808409
2026-06-25,10.59,10.8,10.54,10.71,10.71,13566465
2026-06-26,10.76,10.795,10.56,10.68,10.68,5810104
2026-06-29,10.68,10.75,10.59,10.7,10.7,4563065
2026-06-30,10.7,10.74,10.585,10.62,10.62,5632039
2026-07-01,10.65,10.7,10.52,10.54,10.54,6936833
2026-07-02,10.48,10.62,10.34,10.62,10.62,5475579
2026-07-03,10.62,10.75,10.54,10.61,10.61,4414569
2026-07-06,10.52,10.58,10.5,10.57,10.57,2001904
2026-07-07,10.57,10.66,10.45,10.6,10.6,3775578
2026-07-08,10.49,10.56,10.37,10.55,10.55,5841774
2026-07-09,10.4,10.53,10.38,10.39,10.39,4143646
2026-07-10,10.4,10.43,10.265,10.41,10.41,3729869
2026-07-13,10.31,10.445,10.3,10.43,10.43,3556641
2026-07-14,10.27,10.29,10.1,10.25,10.25,5079593
2026-07-15,10.25,10.32,10.18,10.28,10.28,4276440
2026-07-16,10.29,10.4,10.21,10.35,10.35,4427229
2026-07-17,10.37,10.41,10.2,10.24,10.24,4329313
2026-07-20,10.19,10.19,10.02,10.09,10.09,4598747
2026-07-21,10.1,10.15,10.02,10.14,10.14,6478568
2026-07-22,10.14,10.2,10.05,10.16,10.16,5651207
2026-07-23,10.08,10.24,10.08,10.19,10.19,5593122
2026-07-24,10.14,10.18,9.97,9.99,9.99,7072553
2026-07-27,10.21,10.5,10.17,10.35,10.35,9084179
2026-07-28,10.37,10.47,10.33,10.39,10.39,4923848
2026-07-29,10.44,10.44,10.245,10.42,10.42,4372428
2026-07-30,10.25,10.315,10.11,10.11,10.11,4805579
2026-07-31,10.16,10.18,9.95,9.95,9.95,5749852
2026-08-03,10.14,10.39,10.07,10.32,10.32,5336738
2026-08-04,10.37,10.5,10.21,10.29,10.29,5937878
2026-08-05,10.4,10.605,10.3,10.6,10.6,4724371
2026-08-06,10.68,10.76,10.62,10.69,10.69,5093357
2026-08-07,10.65,10.7,10.56,10.57,10.57,3486928
2026-08-10,10.55,10.58,10.39,10.45,10.45,2349268
2026-08-11,10.08,10.29,10.05,10.12,10.12,5166306
2026-08-12,10.15,10.23,10.02,10.14,10.14,7538153
2026-08-13,10.15,10.17,10.04,10.07,10.07,5445595
2026-08-14,10.16,10.18,10,10,10,3429593
2026-08-17,10,10,9.83,9.93,9.93,5313931
2026-08-18,9.84,9.86,9.66,9.69,9.69,4138665
2026-08-19,9.6,9.64,9.47,9.53,9.53,4490533
2026-08-20,9.47,9.48,9.33,9.36,9.36,7771193
2026-08-21,9.35,9.38,9.25,9.25,9.25,4155883
2026-08-24,9.2,9.29,9.12,9.21,9.21,3648511
2026-08-25,9.22,9.33,9.18,9.25,9.25,3807746
2026-08-26,9.35,9.44,9.15,9.22,9.22,6058370
