Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,22.72,22.98,22.69,22.76,21.3037,2376334
2025-07-23,22.9,23.04,22.52,22.93,21.4628,2152570
2025-07-24,22.98,23.22,22.3,22.66,21.21,4073298
2025-07-25,22.51,22.63,22.395,22.53,21.0884,2298731
2025-07-28,22.5,22.8,22.48,22.75,21.2943,1805972
2025-07-29,22.52,22.92,22.52,22.91,21.4441,2372222
2025-07-30,22.86,23.19,22.69,23.09,21.6125,2839997
2025-07-31,23,23.28,22.87,23.2,21.7155,4300700
2025-08-01,23.01,23.19,22.79,22.9,21.4347,2081523
2025-08-04,22.89,23.08,22.39,22.45,21.0135,2303574
2025-08-05,22.8,22.98,22.58,22.98,21.5096,3290070
2025-08-06,23.03,23.37,23,23.3,21.8091,2967249
2025-08-07,23.5,23.74,23.34,23.45,21.9495,4777083
2025-08-08,23.17,23.24,21.34,21.39,20.0213,6973004
2025-08-11,21.5,21.5,21,21,19.6563,6536735
2025-08-12,21.12,21.45,20.91,21.44,20.0681,5631154
2025-08-13,21.56,21.78,20.95,21.12,19.7686,6311664
2025-08-14,21.26,21.31,20.81,21.31,19.9464,8726544
2025-08-15,21.28,21.6,21.175,21.6,20.2179,4847096
2025-08-18,21.44,21.63,21.35,21.63,20.246,2689128
2025-08-19,21.2,21.37,21.03,21.37,20.2934,4898654
2025-08-20,21.38,21.715,21.3,21.58,20.4929,5273232
2025-08-21,21.47,21.55,21.35,21.43,20.3504,5004552
2025-08-22,21.85,21.85,21.49,21.58,20.4929,4210333
2025-08-25,21.54,21.75,20.925,21.12,20.056,4670338
2025-08-26,21.46,21.46,20.86,21.16,20.094,5208262
2025-08-27,21.33,21.5,21.16,21.23,20.1605,3958835
2025-08-28,21.3,21.44,21.22,21.32,20.246,3688175
2025-08-29,21.13,21.67,21.12,21.65,20.5593,4622183
2025-09-01,21.57,21.78,21.43,21.51,20.4264,1324638
2025-09-02,21.35,21.74,21.295,21.72,20.6258,2206776
2025-09-03,21.68,21.84,21.41,21.41,20.3314,2936526
2025-09-04,21.26,21.74,21.26,21.52,20.4359,3177526
2025-09-05,21.63,21.855,21.54,21.62,20.5308,2621735
2025-09-08,21.31,21.51,20.83,20.83,19.7806,3478531
2025-09-09,20.75,20.82,20.36,20.78,19.7332,5779158
2025-09-10,21.12,21.34,20.91,20.98,19.9231,3009437
2025-09-11,20.98,21,20.45,20.56,19.5242,4550881
2025-09-12,20.7,21.03,20.51,20.82,19.7711,2019115
2025-09-15,20.71,20.79,20.5,20.72,19.6762,2670078
2025-09-16,20.81,20.86,20.54,20.62,19.5812,2532322
2025-09-17,20.37,20.5,20.17,20.5,19.4673,3779529
2025-09-18,20.54,20.54,20.175,20.23,19.2109,5246388
2025-09-19,20.01,20.42,20.01,20.3,19.2773,7503917
2025-09-22,20.47,20.51,20.28,20.35,19.3248,3305934
2025-09-23,20.29,20.51,20.25,20.33,19.3058,7699972
2025-09-24,20.51,20.52,20.23,20.41,19.3818,5172309
2025-09-25,20.42,20.52,20.13,20.17,19.1539,3203555
