Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.4,4.405,4.35,4.36,3.9652,1616920
2025-07-23,4.35,4.38,4.33,4.35,3.9561,3026139
2025-07-24,4.37,4.37,4.32,4.33,3.9379,3109577
2025-07-25,4.32,4.33,4.28,4.32,3.9288,2377603
2025-07-28,4.32,4.35,4.3,4.35,3.9561,1522942
2025-07-29,4.35,4.39,4.32,4.37,3.9743,3119246
2025-07-30,4.36,4.38,4.33,4.38,3.9834,2412944
2025-07-31,4.37,4.39,4.34,4.37,3.9743,2185777
2025-08-01,4.35,4.38,4.32,4.35,3.9561,2233956
2025-08-04,4.33,4.35,4.31,4.32,3.9288,1597886
2025-08-05,4.36,4.38,4.34,4.35,3.9561,1357221
2025-08-06,4.36,4.37,4.33,4.36,3.9652,1638062
2025-08-07,4.34,4.365,4.33,4.33,3.9379,1362423
2025-08-08,4.34,4.37,4.325,4.36,3.9652,1517707
2025-08-11,4.37,4.37,4.34,4.37,3.9743,901799
2025-08-12,4.34,4.38,4.32,4.36,3.9652,2738635
2025-08-13,4.36,4.41,4.34,4.39,3.9925,2129263
2025-08-14,4.42,4.43,4.39,4.42,4.0198,1572708
2025-08-15,4.4,4.45,4.4,4.43,4.0289,1834209
2025-08-18,4.43,4.47,4.41,4.47,4.0652,1770179
2025-08-19,4.47,4.48,4.42,4.47,4.0652,3627443
2025-08-20,4.59,4.59,4.47,4.5,4.0925,2374040
2025-08-21,4.46,4.55,4.37,4.48,4.0743,4842505
2025-08-22,4.42,4.42,4.25,4.3,3.9106,6326476
2025-08-25,4.29,4.29,4.22,4.24,3.8561,3387690
2025-08-26,4.24,4.24,4.16,4.21,3.8288,7984122
2025-08-27,4.24,4.24,4.14,4.14,3.7651,7876100
2025-08-28,4.13,4.19,4.11,4.18,3.8015,3416060
2025-08-29,4.16,4.21,4.135,4.2,3.8197,4223281
2025-09-01,4.19,4.22,4.14,4.14,3.7651,2394029
2025-09-02,4.15,4.16,4.105,4.12,3.7469,5147633
2025-09-03,4.12,4.145,4.08,4.09,3.7196,2978935
2025-09-04,4.07,4.12,4.07,4.1,3.7287,2665015
2025-09-05,4.1,4.135,4.09,4.1,3.7287,2297317
2025-09-08,4.07,4.11,4.06,4.06,3.6924,2884660
2025-09-09,4.06,4.09,4.03,4.08,3.7105,7686614
2025-09-10,4.1,4.12,4.07,4.11,3.7378,7813823
2025-09-11,4.11,4.13,4.08,4.11,3.7378,4158104
2025-09-12,4.12,4.13,4.09,4.11,3.7378,6693696
2025-09-15,4.03,4.09,4,4.09,3.772,8330733
2025-09-16,4.1,4.12,4.07,4.12,3.7996,3268638
2025-09-17,4.12,4.14,4.09,4.12,3.7996,2939710
2025-09-18,4.11,4.13,4.08,4.1,3.7812,7882794
2025-09-19,4.09,4.105,4.06,4.06,3.7443,10017947
2025-09-22,4.05,4.14,4.05,4.1,3.7812,3714758
2025-09-23,4.08,4.16,4.07,4.13,3.8088,3945500
2025-09-24,4.13,4.145,4.07,4.09,3.772,3283744
2025-09-25,4.06,4.08,4.035,4.05,3.7351,5392766
2025-09-26,4.05,4.075,3.99,4.01,3.6982,4159005
2025-09-29,4.02,4.08,4.02,4.06,3.7443,3298806
2025-09-30,4.04,4.11,4.03,4.11,3.7904,9869462
2025-10-01,4.14,4.14,4.055,4.09,3.772,3429021
2025-10-02,4.14,4.18,4.115,4.15,3.8273,8452628
2025-10-03,4.15,4.21,4.15,4.2,3.8734,4049212
2025-10-06,4.21,4.24,4.19,4.22,3.8918,2710114
2025-10-07,4.19,4.23,4.18,4.18,3.855,5656440
2025-10-08,4.17,4.21,4.15,4.21,3.8826,2698416
2025-10-09,4.23,4.23,4.17,4.18,3.855,3451088
2025-10-10,4.17,4.19,4.15,4.17,3.8457,2561387
2025-10-13,4.2,4.28,4.17,4.28,3.9472,2784290
2025-10-14,4.23,4.26,4.23,4.24,3.9103,5414948
2025-10-15,4.25,4.27,4.24,4.27,3.938,3090965
2025-10-16,4.28,4.29,4.24,4.25,3.9195,4401951
2025-10-17,4.23,4.26,4.22,4.24,3.9103,2555728
2025-10-20,4.23,4.35,4.22,4.33,3.9933,4358894
2025-10-21,4.29,4.37,4.29,4.36,4.021,2098476
2025-10-22,4.33,4.385,4.33,4.35,4.0117,3800184
2025-10-23,4.35,4.425,4.35,4.4,4.0578,2509627
2025-10-24,4.4,4.42,4.375,4.39,4.0486,1873471
2025-10-27,4.42,4.42,4.38,4.39,4.0486,2136703
2025-10-28,4.4,4.4,4.36,4.39,4.0486,2094715
2025-10-29,4.38,4.4,4.345,4.35,4.0117,1824943
2025-10-30,4.32,4.39,4.3,4.39,4.0486,2023332
2025-10-31,4.38,4.42,4.35,4.39,4.0486,2968745
2025-11-03,4.38,4.4,4.325,4.34,4.0025,2386621
2025-11-04,4.32,4.345,4.285,4.3,3.9656,2319535
2025-11-05,4.31,4.345,4.3,4.32,3.9841,1781899
2025-11-06,4.33,4.36,4.315,4.33,3.9933,3708315
