Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.28,2.31,2.26,2.26,2.1193,383012
2025-07-23,2.29,2.34,2.27,2.32,2.1756,612823
2025-07-24,2.33,2.41,2.31,2.4,2.2506,908965
2025-07-25,2.4,2.43,2.33,2.33,2.185,709305
2025-07-28,2.34,2.4,2.34,2.38,2.2319,373875
2025-07-29,2.37,2.39,2.3,2.31,2.1662,465363
2025-07-30,2.31,2.31,2.25,2.29,2.1475,410837
2025-07-31,2.29,2.29,2.24,2.27,2.1287,386919
2025-08-01,2.24,2.29,2.24,2.28,2.1381,281390
2025-08-04,2.27,2.27,2.2,2.23,2.0912,504964
2025-08-05,2.23,2.28,2.23,2.24,2.1006,183250
2025-08-06,2.24,2.33,2.24,2.31,2.1662,178587
2025-08-07,2.31,2.34,2.285,2.3,2.1569,269668
2025-08-08,2.32,2.32,2.26,2.31,2.1662,309533
2025-08-11,2.31,2.33,2.3,2.32,2.1756,232030
2025-08-12,2.31,2.32,2.28,2.29,2.1475,250339
2025-08-13,2.29,2.34,2.28,2.29,2.1475,491994
2025-08-14,2.31,2.35,2.28,2.31,2.1662,468938
2025-08-15,2.34,2.34,2.28,2.31,2.1662,328925
2025-08-18,2.3,2.32,2.27,2.28,2.1381,397960
2025-08-19,2.31,2.31,2.22,2.23,2.0912,695652
2025-08-20,2.23,2.26,2.1,2.1,1.9693,1320152
2025-08-21,2.33,2.74,2.33,2.6,2.4382,5052565
2025-08-22,2.66,2.73,2.56,2.65,2.4851,3578307
2025-08-25,2.66,2.675,2.53,2.58,2.4194,1153711
2025-08-26,2.57,2.57,2.455,2.48,2.3858,937722
2025-08-27,2.46,2.485,2.42,2.44,2.3473,686733
2025-08-28,2.45,2.45,2.37,2.39,2.2992,565246
2025-08-29,2.38,2.46,2.38,2.44,2.3473,356447
2025-09-01,2.43,2.44,2.39,2.4,2.3088,579102
2025-09-02,2.41,2.48,2.37,2.41,2.3184,627930
2025-09-03,2.4,2.425,2.39,2.41,2.3184,497761
2025-09-04,2.45,2.47,2.42,2.47,2.3761,444609
2025-09-05,2.47,2.53,2.46,2.53,2.4339,505702
2025-09-08,2.61,2.71,2.56,2.68,2.5782,755984
2025-09-09,2.66,2.71,2.66,2.69,2.5878,405622
2025-09-10,2.67,2.68,2.57,2.62,2.5204,848706
2025-09-11,2.66,2.67,2.61,2.63,2.5301,202576
2025-09-12,2.65,2.67,2.605,2.61,2.5108,300721
2025-09-15,2.61,2.69,2.61,2.67,2.5685,187998
2025-09-16,2.6,2.76,2.6,2.74,2.6359,464807
2025-09-17,2.71,2.82,2.71,2.78,2.6744,434607
2025-09-18,2.79,2.825,2.75,2.79,2.684,571299
2025-09-19,2.79,2.88,2.78,2.88,2.7706,4959896
2025-09-22,2.88,2.88,2.8,2.83,2.7225,194220
2025-09-23,2.84,2.87,2.8,2.82,2.7128,526163
2025-09-24,2.84,2.86,2.77,2.86,2.7513,270505
2025-09-25,2.83,2.86,2.79,2.84,2.7321,659628
2025-09-26,2.88,2.88,2.76,2.8,2.6936,573130
2025-09-29,2.79,2.82,2.74,2.78,2.6744,509536
2025-09-30,2.8,2.86,2.795,2.85,2.7417,947631
2025-10-01,2.85,2.86,2.81,2.84,2.7321,717864
2025-10-02,2.84,2.87,2.765,2.77,2.6647,802782
2025-10-03,2.77,2.84,2.75,2.83,2.7225,421462
2025-10-06,2.83,2.84,2.8,2.81,2.7032,554816
2025-10-07,2.82,2.84,2.78,2.79,2.684,546056
2025-10-08,2.83,2.85,2.7,2.8,2.6936,687866
2025-10-09,2.82,2.9,2.81,2.86,2.7513,494684
2025-10-10,2.86,2.895,2.83,2.87,2.7609,291172
2025-10-13,2.85,2.95,2.785,2.85,2.7417,736239
2025-10-14,2.85,2.9,2.8,2.82,2.7128,709369
2025-10-15,2.83,2.86,2.78,2.8,2.6936,689567
2025-10-16,2.8,2.83,2.79,2.81,2.7032,337761
2025-10-17,2.8,2.82,2.73,2.76,2.6551,356198
2025-10-20,2.75,2.785,2.71,2.73,2.6263,874385
2025-10-21,2.8,2.88,2.79,2.87,2.7609,553696
2025-10-22,2.81,2.9,2.81,2.9,2.7898,616155
2025-10-23,2.87,2.9,2.835,2.87,2.7609,411221
2025-10-24,2.88,2.89,2.83,2.84,2.7321,221653
2025-10-27,2.85,2.87,2.78,2.78,2.6744,482113
2025-10-28,2.85,2.85,2.78,2.83,2.7225,259108
2025-10-29,2.84,2.86,2.82,2.83,2.7225,272286
2025-10-30,2.82,2.885,2.82,2.85,2.7417,367340
2025-10-31,2.84,2.92,2.83,2.89,2.7802,539603
2025-11-03,2.91,2.91,2.76,2.76,2.6551,534633
2025-11-04,2.77,2.77,2.7,2.74,2.6359,201181
2025-11-05,2.73,2.75,2.7,2.72,2.6166,534900
2025-11-06,2.77,2.77,2.67,2.7,2.5974,419563
2025-11-07,2.7,2.73,2.665,2.69,2.5878,718880
2025-11-10,2.72,2.745,2.695,2.71,2.607,319263
2025-11-11,2.73,2.735,2.66,2.69,2.5878,351418
2025-11-12,2.7,2.72,2.64,2.67,2.5685,412198
2025-11-13,2.72,2.72,2.62,2.69,2.5878,289784
2025-11-14,2.72,2.72,2.63,2.67,2.5685,121091
2025-11-17,2.7,2.71,2.65,2.71,2.607,245095
2025-11-18,2.68,2.72,2.65,2.66,2.5589,212893
2025-11-19,2.65,2.67,2.61,2.65,2.5493,284968
2025-11-20,2.52,2.74,2.5,2.71,2.607,509714
2025-11-21,2.74,2.74,2.65,2.72,2.6166,354522
2025-11-24,2.75,2.82,2.74,2.77,2.6647,1409126
2025-11-25,2.78,2.87,2.78,2.85,2.7417,314353
2025-11-26,2.88,2.95,2.86,2.94,2.8283,515663
2025-11-27,2.91,2.97,2.91,2.94,2.8283,646903
2025-11-28,2.93,2.94,2.88,2.9,2.7898,501766
2025-12-01,2.91,2.92,2.84,2.86,2.7513,397312
2025-12-02,2.88,2.88,2.81,2.87,2.7609,288048
2025-12-03,2.87,2.89,2.84,2.87,2.7609,148119
2025-12-04,2.85,2.88,2.83,2.85,2.7417,166293
2025-12-05,2.84,2.86,2.825,2.85,2.7417,491418
2025-12-08,2.89,2.89,2.815,2.89,2.7802,182343
2025-12-09,2.87,2.88,2.845,2.87,2.7609,157205
2025-12-10,2.89,2.89,2.81,2.84,2.7321,319998
2025-12-11,2.82,2.87,2.82,2.85,2.7417,654690
2025-12-12,2.82,2.87,2.82,2.82,2.7128,136641
2025-12-15,2.81,2.82,2.79,2.81,2.7032,171108
2025-12-16,2.84,2.84,2.72,2.75,2.6455,367252
2025-12-17,2.75,2.775,2.725,2.76,2.6551,241654
2025-12-18,2.76,2.78,2.735,2.77,2.6647,704982
2025-12-19,2.75,2.91,2.75,2.91,2.7994,971448
2025-12-22,2.91,2.93,2.87,2.93,2.8187,186291
2025-12-23,2.93,2.98,2.92,2.95,2.8379,105091
2025-12-24,2.98,2.99,2.94,2.99,2.8764,63373
2025-12-29,3.01,3.11,3.01,3.08,2.963,292446
2025-12-30,3.12,3.135,3.01,3.05,2.9341,301497
2025-12-31,3.01,3.14,3.01,3.04,2.9245,102913
2026-01-02,3.18,3.18,3.045,3.07,2.9533,126289
2026-01-05,3.08,3.085,3,3.04,2.9245,217774
2026-01-06,3.05,3.05,2.99,3,2.886,254913
2026-01-07,3,3.04,2.93,3.04,2.9245,464667
2026-01-08,3.05,3.09,3.04,3.07,2.9533,87349
2026-01-09,3.08,3.2,3.08,3.2,3.0784,447569
2026-01-12,3.24,3.24,3.12,3.13,3.0111,180083
2026-01-13,3.14,3.16,3.1,3.12,3.0014,158043
2026-01-14,3.1,3.16,3.08,3.14,3.0207,169154
2026-01-15,3.2,3.2,3.12,3.18,3.0592,81899
2026-01-16,3.18,3.31,3.17,3.27,3.1457,337029
2026-01-19,3.27,3.27,3.16,3.23,3.1073,186041
2026-01-20,3.23,3.24,3.18,3.22,3.0976,175070
2026-01-21,3.27,3.27,3.12,3.15,3.0303,196763
2026-01-22,3.16,3.22,3.15,3.2,3.0784,273924
2026-01-23,3.19,3.24,3.12,3.14,3.0207,234823
2026-01-27,3.19,3.22,3.13,3.19,3.0688,223289
2026-01-28,3.2,3.23,3.14,3.16,3.0399,235503
2026-01-29,3.13,3.2,3.1,3.13,3.0111,285500
2026-01-30,3.1,3.155,3.1,3.15,3.0303,111694
2026-02-02,3.13,3.13,3.04,3.09,2.9726,379824
2026-02-03,3.09,3.135,3.075,3.09,2.9726,230553
2026-02-04,3.07,3.09,3.05,3.08,2.963,270737
2026-02-05,3.09,3.1,3.05,3.07,2.9533,231167
2026-02-06,3.1,3.1,2.98,3.02,2.9052,668615
2026-02-09,3.06,3.14,3.06,3.1,2.9822,381625
2026-02-10,3.09,3.14,3.04,3.08,2.963,198720
2026-02-11,3.09,3.15,3.04,3.15,3.0303,430993
2026-02-12,3.1,3.12,2.86,2.87,2.7609,827251
2026-02-13,2.85,2.86,2.69,2.74,2.6359,959627
2026-02-16,2.72,2.76,2.66,2.68,2.5782,1203359
2026-02-17,2.67,2.67,2.58,2.63,2.5301,289624
2026-02-18,2.76,2.76,2.62,2.66,2.5589,398763
2026-02-19,2.73,2.92,2.71,2.9,2.7898,916657
2026-02-20,2.92,3.04,2.87,2.97,2.8571,827190
2026-02-23,3,3,2.78,2.89,2.7802,1001593
