Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,239.91,241.49,237.76,238.21,235.142,145918
2025-07-23,239.94,242.42,237.65,237.75,234.688,194496
2025-07-24,237.77,242.51,232.3,233.33,230.3249,260888
2025-07-25,234.38,235.44,231.68,232.97,229.9695,106612
2025-07-28,232.2,236.23,232.02,236.09,233.0494,93258
2025-07-29,235.22,239.67,234.205,237.86,234.7966,137599
2025-07-30,237.83,238.18,234.5,235.77,232.7335,114382
2025-07-31,236.58,239.48,236.05,239.48,236.3957,127510
2025-08-01,239.14,239.8,232.3,232.74,229.7425,128239
2025-08-04,237.16,238.98,234.48,235.36,232.3288,141584
2025-08-05,239.6,240.82,235.34,237.98,234.915,173876
2025-08-06,246.67,261.05,246.54,254.5,251.2222,350721
2025-08-07,242.86,253.49,241.2,248.51,245.3094,344816
2025-08-08,246.41,251.57,241.71,245.86,242.6935,239772
2025-08-11,245.83,249.06,244.19,248.39,245.1909,154007
2025-08-12,247.92,248.28,244.19,247.23,244.0459,252018
2025-08-13,247.2,249.48,245,248.55,245.3489,171507
2025-08-14,248.5,249.78,246.84,249.72,246.5038,153205
2025-08-15,248.59,253.23,248.59,250.28,247.0566,131163
2025-08-18,253.5,262.78,252.34,261.42,258.0531,209196
2025-08-19,259.88,261.99,257.86,261.24,257.8754,196670
2025-08-20,262.87,265.98,259.53,260.45,257.0956,129365
2025-08-21,261.97,263.7,259.86,262.12,258.7441,247873
2025-08-22,263.51,264.82,261.48,263.16,259.7707,116747
2025-08-25,265.4,265.62,259.91,260.35,256.9969,184225
2025-08-26,260.12,261.63,253.87,257.91,254.5883,223736
2025-08-27,253.68,257.41,249.72,253.63,250.3634,124268
2025-08-28,254.97,257.5,249.43,252.84,250.949,128740
2025-08-29,252.01,253.66,249.03,251.03,249.1526,157056
2025-09-01,249.04,252.96,242.71,243.21,241.3911,139935
2025-09-02,243.7,247.49,241.39,242.36,240.5474,128125
2025-09-03,238.81,240.77,236.96,238.48,236.6964,189824
2025-09-04,240.98,242.04,235,238.85,237.0637,314381
2025-09-05,241.44,242.81,239.18,241.62,239.813,165110
2025-09-08,240,241.62,237.51,238.16,236.3788,110861
2025-09-09,238.19,240.89,235.26,235.71,233.9472,140871
2025-09-10,234.48,239.67,234.24,235.07,233.3119,251617
2025-09-11,235.06,236.3,232.07,232.32,230.5825,129037
2025-09-12,233,236.95,226.77,227.09,225.3916,245666
2025-09-15,227,229.475,226.54,229.45,227.734,266435
2025-09-16,229.54,229.54,226.58,228.31,226.6025,107393
2025-09-17,226.58,231.93,226,231.93,230.1954,262853
2025-09-18,231.29,233.34,227.36,231.75,230.0168,214075
2025-09-19,233.08,233.84,229.78,229.78,228.0615,367272
2025-09-22,233.2,233.53,230.05,232.44,230.7016,130224
2025-09-23,231.16,234.43,231.12,231.97,230.2351,138635
2025-09-24,230.36,231.35,228.13,228.77,227.0591,124122
2025-09-25,228.02,229.43,226.78,228.9,227.1881,248694
2025-09-26,229.19,232.09,228.47,231.27,229.5404,158541
2025-09-29,231.82,233.495,230.93,230.93,229.2029,125112
2025-09-30,230.7,233.2,230.085,231.06,229.3319,153889
2025-10-01,228.9,231.41,227.81,229.35,227.6347,141406
2025-10-02,233.48,233.48,224.28,224.99,223.3073,235516
2025-10-03,229,232.49,226.54,231.62,229.8877,174275
2025-10-06,232.4,232.9,226.65,228.76,227.0491,79374
2025-10-07,231.35,231.35,223.38,223.89,222.2156,155008
2025-10-08,223.89,226.95,219.47,219.98,218.3348,179389
2025-10-09,221.76,223.71,219.49,222.5,220.8359,221119
2025-10-10,222.2,223,220.13,222.95,221.2826,152338
2025-10-13,220,220.43,218.03,219.42,217.779,118440
2025-10-14,218.25,220.27,215.99,220.17,218.5234,148815
2025-10-15,220.72,222.735,219.47,220.38,218.7318,154601
2025-10-16,221.14,222.96,216.15,217.3,215.6748,164130
2025-10-17,215.34,218.24,215.05,216.07,214.454,105244
2025-10-20,214.44,218.78,213.09,218.68,217.0445,159335
2025-10-21,221.85,226,221.27,226,224.3098,133063
2025-10-22,222.47,225.71,222.02,225.51,223.8234,187161
2025-10-23,220.67,223.47,219.07,222.16,220.4985,158507
2025-10-24,220.01,222.9,217.66,222.24,220.5779,164774
2025-10-27,223,223.12,219.75,220.9,219.2479,90352
2025-10-28,221.98,223.28,220.11,222.6,220.9352,193322
2025-10-29,221.29,222.03,217.75,219.38,217.7393,142069
