Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.47,7.59,7.38,7.44,7.2655,324006
2025-07-23,7.45,7.53,7.37,7.5,7.3241,570570
2025-07-24,7.71,7.74,7.52,7.71,7.5292,544814
2025-07-25,7.77,8.095,7.67,7.98,7.7929,1313176
2025-07-28,8.02,8.12,7.98,8,7.8124,742219
2025-07-29,7.9,8.06,7.825,7.98,7.7929,1350420
2025-07-30,8.03,8.275,7.99,8.18,7.9882,1390991
2025-07-31,8.19,8.43,8.12,8.37,8.1737,638747
2025-08-01,8.5,8.51,8.38,8.45,8.2519,921788
2025-08-04,8.44,8.465,8.27,8.46,8.2616,558718
2025-08-05,8.58,8.85,8.58,8.64,8.4374,774825
2025-08-06,8.7,8.79,8.56,8.79,8.5839,755178
2025-08-07,8.79,8.85,8.69,8.8,8.5937,515684
2025-08-08,8.88,8.88,8.68,8.78,8.5741,406678
2025-08-11,8.77,8.795,8.51,8.55,8.3495,317453
2025-08-12,8.54,8.565,8.39,8.43,8.2323,510050
2025-08-13,8.39,8.51,8.365,8.45,8.2519,601712
2025-08-14,8.53,8.65,8.48,8.52,8.3202,433179
2025-08-15,8.55,8.61,8.38,8.53,8.33,1902788
2025-08-18,8.7,8.8,8.57,8.63,8.4276,751260
2025-08-19,8.54,8.56,8.39,8.44,8.2421,383448
2025-08-20,8.45,8.47,8.24,8.24,8.0468,273006
2025-08-21,8.25,8.28,8.16,8.2,8.0077,741992
2025-08-22,8.2,8.27,8.14,8.26,8.0663,580001
2025-08-25,8.45,8.95,8.3,8.36,8.164,1452705
2025-08-26,8.36,8.36,7.585,7.99,7.8026,3234025
2025-08-27,7.96,8.02,7.57,7.85,7.6659,1575929
2025-08-28,7.76,7.84,7.6,7.8,7.6171,1193114
2025-08-29,7.81,7.94,7.7,7.85,7.6659,848552
2025-09-01,7.78,7.9,7.71,7.78,7.5976,621438
2025-09-02,7.75,7.82,7.65,7.75,7.5683,908503
2025-09-03,7.82,7.89,7.58,7.65,7.4706,930827
2025-09-04,7.71,7.77,7.64,7.72,7.539,591737
2025-09-05,7.72,7.81,7.69,7.79,7.6073,641460
2025-09-08,7.84,7.95,7.8,7.9,7.7148,586086
2025-09-09,7.87,8.1,7.8,8,7.8936,1135708
2025-09-10,8.2,8.2,7.97,8.06,7.9529,694731
2025-09-11,8.13,8.13,7.9,7.99,7.8838,576251
2025-09-12,8.1,8.18,7.98,8.05,7.943,346433
2025-09-15,8.25,9.04,8.18,8.73,8.6139,2631984
2025-09-16,8.6,9.12,8.51,9.12,8.9988,892833
2025-09-17,8.99,9.11,8.97,9.06,8.9396,950572
2025-09-18,9.1,9.2,8.93,9.1,8.979,1885659
2025-09-19,9.13,9.4,9.13,9.22,9.0974,4209218
2025-09-22,7.59,7.93,6.65,6.8,6.7096,5626783
2025-09-23,6.68,6.69,6.25,6.53,6.4432,5878157
