Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,1.74,1.765,1.7325,1.755,1.6787,440572
2025-04-28,1.75,1.765,1.74,1.745,1.6691,659978
2025-04-29,1.745,1.7825,1.745,1.775,1.6978,508318
2025-04-30,1.78,1.785,1.76,1.77,1.6931,620006
2025-05-01,1.77,1.79,1.765,1.79,1.7122,654435
2025-05-02,1.79,1.81,1.775,1.795,1.717,822715
2025-05-05,1.805,1.815,1.795,1.795,1.717,283465
2025-05-06,1.79,1.82,1.79,1.81,1.7313,407343
2025-05-07,1.82,1.82,1.79,1.815,1.7361,735329
2025-05-08,1.815,1.835,1.8,1.815,1.7361,386334
2025-05-09,1.83,1.84,1.8075,1.835,1.7552,705466
2025-05-12,1.84,1.845,1.8,1.805,1.7265,581754
2025-05-13,1.815,1.825,1.78,1.8,1.7218,697752
2025-05-14,1.805,1.805,1.76,1.77,1.6931,783649
2025-05-15,1.785,1.79,1.74,1.745,1.6691,782554
2025-05-16,1.76,1.795,1.755,1.775,1.6978,415727
2025-05-19,1.78,1.78,1.7475,1.755,1.6787,514708
2025-05-20,1.755,1.785,1.755,1.78,1.7026,373511
2025-05-21,1.78,1.785,1.76,1.775,1.6978,470569
2025-05-22,1.77,1.78,1.7525,1.76,1.6835,485803
2025-05-23,1.76,1.78,1.7425,1.755,1.6787,582546
2025-05-26,1.755,1.7625,1.74,1.74,1.6644,819037
2025-05-27,1.745,1.765,1.74,1.755,1.6787,663128
2025-05-28,1.76,1.775,1.755,1.765,1.6883,686731
2025-05-29,1.78,1.785,1.75,1.755,1.6787,616144
2025-05-30,1.755,1.77,1.745,1.755,1.6787,639013
2025-06-02,1.765,1.7775,1.745,1.76,1.6835,562916
2025-06-03,1.77,1.805,1.77,1.795,1.717,923111
2025-06-04,1.8,1.825,1.8,1.815,1.7361,442654
2025-06-05,1.815,1.82,1.795,1.805,1.7265,613493
2025-06-06,1.81,1.84,1.8,1.805,1.7265,572901
2025-06-10,1.805,1.825,1.8,1.81,1.7313,814340
2025-06-11,1.825,1.895,1.825,1.88,1.7983,1436245
