Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.26,2.28,2.25,2.27,2.1413,1442750
2025-07-23,2.28,2.28,2.25,2.28,2.1507,1666217
2025-07-24,2.27,2.27,2.25,2.25,2.1224,2205177
2025-07-25,2.28,2.28,2.25,2.26,2.1318,1609863
2025-07-28,2.26,2.28,2.255,2.27,2.1413,1786334
2025-07-29,2.27,2.29,2.265,2.28,2.1507,1976367
2025-07-30,2.28,2.34,2.27,2.34,2.2073,4496662
2025-07-31,2.31,2.355,2.31,2.34,2.2073,2925068
2025-08-01,2.33,2.35,2.32,2.33,2.1978,1892515
2025-08-04,2.32,2.34,2.32,2.33,2.1978,1818825
2025-08-05,2.36,2.37,2.34,2.34,2.2073,1732749
2025-08-06,2.34,2.36,2.32,2.34,2.2073,3478249
2025-08-07,2.34,2.36,2.33,2.35,2.2167,2164953
2025-08-08,2.33,2.36,2.32,2.36,2.2261,1659797
2025-08-11,2.34,2.35,2.335,2.35,2.2167,2390108
2025-08-12,2.35,2.37,2.345,2.36,2.2261,1034303
2025-08-13,2.37,2.38,2.34,2.36,2.2261,1803091
2025-08-14,2.37,2.4,2.365,2.39,2.2544,1694404
2025-08-15,2.39,2.395,2.37,2.38,2.245,1861979
2025-08-18,2.37,2.38,2.365,2.38,2.245,1172876
2025-08-19,2.37,2.39,2.36,2.39,2.2544,5634125
2025-08-20,2.36,2.43,2.33,2.42,2.2827,3986377
2025-08-21,2.43,2.44,2.415,2.43,2.2922,2949673
2025-08-22,2.43,2.45,2.42,2.45,2.311,3683915
2025-08-25,2.47,2.48,2.45,2.45,2.311,1667608
2025-08-26,2.47,2.47,2.44,2.47,2.3299,2246323
2025-08-27,2.47,2.47,2.43,2.44,2.3016,1439268
2025-08-28,2.46,2.475,2.44,2.46,2.3205,1517586
2025-08-29,2.45,2.46,2.44,2.44,2.3016,1918515
2025-09-01,2.44,2.465,2.44,2.44,2.3016,1894223
2025-09-02,2.44,2.44,2.41,2.43,2.2922,1806237
2025-09-03,2.42,2.42,2.385,2.4,2.2639,2276189
2025-09-04,2.42,2.43,2.4,2.42,2.2827,1389853
2025-09-05,2.42,2.43,2.405,2.42,2.2827,3657631
2025-09-08,2.42,2.43,2.41,2.43,2.2922,4529773
2025-09-09,2.42,2.44,2.405,2.44,2.3016,2928140
2025-09-10,2.41,2.44,2.4,2.42,2.2827,2666398
2025-09-11,2.44,2.465,2.43,2.45,2.311,1184906
2025-09-12,2.45,2.475,2.44,2.46,2.3205,1242733
2025-09-15,2.46,2.5,2.455,2.47,2.3299,2945083
2025-09-16,2.47,2.49,2.46,2.48,2.3393,2110900
