Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,38.17,38.31,37.86,37.91,37.1074,430511
2025-07-23,38.02,39.08,37.87,39.08,38.2526,747033
2025-07-24,39.14,39.26,38.4,38.77,37.9492,428616
2025-07-25,38.7,39.18,38.4,38.61,37.7926,470695
2025-07-28,38.56,39.17,38.44,38.84,38.0177,401982
2025-07-29,38.47,39.08,38.47,38.79,37.9688,254234
2025-07-30,38.64,39.34,38.6,38.88,38.0569,302602
2025-07-31,38.74,39.04,38.53,38.77,37.9492,397482
2025-08-01,38.55,38.55,38.01,38.01,37.2053,365864
2025-08-04,37.99,38.22,37.49,37.56,36.7648,291453
2025-08-05,37.89,38.065,37.61,37.7,36.9018,547263
2025-08-06,37.8,38.39,37.74,38.34,37.5283,458221
2025-08-07,38.3,38.545,37.79,37.9,37.0976,360883
2025-08-08,37.77,37.98,37.51,37.67,36.8725,440362
2025-08-11,37.8,38.75,37.66,38.75,37.9296,574399
2025-08-12,38.59,38.97,38.39,38.58,37.7632,443028
2025-08-13,38.75,39.16,38.59,38.81,37.9883,456609
2025-08-14,38.79,39.24,38.58,39.24,38.4092,536410
2025-08-15,39.34,39.54,39.19,39.19,38.3603,281188
2025-08-18,39.1,39.75,38.77,38.9,38.0764,371655
2025-08-19,39.03,39.03,38.27,38.44,37.6262,386254
2025-08-20,38.6,38.89,37.92,38.01,37.2053,591332
2025-08-21,38.38,38.84,38.15,38.7,37.8807,526304
2025-08-22,38.4,38.57,38.03,38.21,37.401,508378
2025-08-25,38.3,38.8,38.28,38.52,37.7045,447065
2025-08-26,38.5,38.7,38.16,38.2,37.3913,487683
2025-08-27,38.34,38.47,37.76,38.09,37.2836,675669
2025-08-28,36.13,36.645,32.1,34.09,33.3683,3776850
2025-08-29,33.43,34.23,32.4,33.9,33.1823,1663731
2025-09-01,33.47,34.54,33.16,34.53,33.799,905336
2025-09-02,34.5,34.71,33.96,34.08,33.3585,753693
2025-09-03,33.41,33.94,33.15,33.84,33.517,977598
2025-09-04,34.5,34.77,34.05,34.11,33.7844,1472381
2025-09-05,34.43,34.54,33.64,33.66,33.3387,690679
2025-09-08,33.66,33.99,33.57,33.89,33.5665,504770
2025-09-09,33.96,34.23,33.58,33.75,33.4278,540156
2025-09-10,33.51,33.92,33.51,33.57,33.2495,742786
2025-09-11,33.47,33.67,33.35,33.35,33.0316,1450954
2025-09-12,33.28,34.04,33.15,33.57,33.2495,736637
2025-09-15,33.5,33.76,33.35,33.74,33.4179,600604
2025-09-16,33.75,33.86,33.5,33.55,33.2297,326189
2025-09-17,33.61,33.86,33.45,33.57,33.2495,596275
2025-09-18,33.46,33.5,32.82,32.95,32.6355,578061
2025-09-19,33,33.24,32.67,32.97,32.6553,2724197
2025-09-22,32.71,33.25,32.71,33.15,32.8335,437295
2025-09-23,33.22,33.46,33,33.16,32.8434,482343
2025-09-24,33,33.1,32.62,32.62,32.3086,502826
2025-09-25,32.47,32.61,31.91,32.05,31.744,937003
2025-09-26,31.98,32.1,31.54,31.8,31.4964,568118
2025-09-29,31.8,31.99,31.33,31.57,31.2686,594149
2025-09-30,31.73,31.87,31.5,31.73,31.4271,695247
2025-10-01,32.3,32.92,32.26,32.55,32.2393,884029
2025-10-02,31.64,31.99,30.57,31.55,31.2488,1294867
2025-10-03,31.7,32.13,31.36,32.09,31.7837,590866
2025-10-06,32.01,32.11,31.52,31.83,31.5261,513559
2025-10-07,31.74,31.75,31.27,31.74,31.437,702986
2025-10-08,31.69,32,31.45,32,31.6945,356259
2025-10-09,32,32.49,31.955,32.34,32.0313,409328
2025-10-10,32.29,32.34,31.9,32.26,31.952,342628
2025-10-13,32.1,32.4,31.92,31.92,31.6153,313651
2025-10-14,31.77,31.875,31.25,31.75,31.4469,672415
2025-10-15,32,32.41,31.81,32.08,31.7738,491443
2025-10-16,32.23,32.27,31.84,31.96,31.6549,784637
2025-10-17,31.84,31.85,31.43,31.62,31.3181,1827576
2025-10-20,31.6,31.7,31.1,31.42,31.1201,422130
2025-10-21,31.5,31.58,30.85,30.96,30.6644,486307
2025-10-22,30.85,31.09,30.78,30.96,30.6644,522218
2025-10-23,30.96,31.45,30.8,31.45,31.1498,465513
2025-10-24,31.42,31.93,31.29,31.93,31.6252,424645
2025-10-27,31.94,32.1,31.64,31.91,31.6054,430959
2025-10-28,31.99,31.99,31.41,31.55,31.2488,425219
2025-10-29,31.53,31.69,31.27,31.44,31.1399,505599
2025-10-30,31.19,31.82,31.19,31.82,31.5162,427453
2025-10-31,31.79,32.225,31.53,32.1,31.7936,581844
2025-11-03,32,32.02,31.38,31.6,31.2983,354036
2025-11-04,31.67,31.7,31.3,31.39,31.0903,280777
2025-11-05,31.43,31.69,30.79,30.79,30.4961,622929
2025-11-06,31,31.3,30.78,30.92,30.6248,379750
2025-11-07,30.92,31.225,30.8,30.85,30.5555,287845
2025-11-10,30.64,30.77,30.39,30.62,30.3277,557391
2025-11-11,30.66,31,30.47,30.6,30.3079,340806
2025-11-12,30.71,30.9,30.44,30.8,30.506,820171
2025-11-13,30.75,31.38,30.71,31.27,30.9715,1235755
2025-11-14,31.18,31.2,30.67,30.92,30.6248,466635
2025-11-17,30.8,31.555,30.57,31.46,31.1597,491048
2025-11-18,31.44,31.68,31.16,31.25,30.9517,520777
2025-11-19,31.6,31.73,31.155,31.38,31.0804,570890
2025-11-20,31.03,32.05,31.03,31.8,31.4964,944301
2025-11-21,31.9,31.9,31.11,31.27,30.9715,1414414
2025-11-24,31.66,32.015,31.36,31.9,31.5955,748217
2025-11-25,33.19,36.38,33.08,35.95,35.6068,2734532
2025-11-26,36.74,37.78,36.5,37.32,36.9637,1080947
2025-11-27,37.2,37.44,36.08,36.27,35.9238,685521
2025-11-28,36.27,36.99,36.27,36.81,36.4586,599743
2025-12-01,36.62,37.49,36.62,37.26,36.9043,601630
2025-12-02,37.4,38.1,37.22,37.57,37.2113,622055
2025-12-03,37.13,37.84,37.13,37.37,37.0133,517084
2025-12-04,37.16,37.49,36.73,37.13,36.7755,829990
2025-12-05,37,37,35.96,36.25,35.9039,1083002
2025-12-08,36.2,36.34,35.7,35.7,35.3592,435925
2025-12-09,35.42,36.11,35.35,35.61,35.2701,887625
2025-12-10,35.57,35.73,35.27,35.55,35.2106,410032
2025-12-11,35.54,35.73,35.26,35.37,35.0323,1093342
2025-12-12,35.56,35.62,35.16,35.48,35.1413,445098
2025-12-15,35.4,35.68,35.16,35.35,35.0125,777037
2025-12-16,35.05,35.48,34.69,34.9,34.5668,747574
2025-12-17,34.92,34.92,34.17,34.24,33.9131,401668
2025-12-18,34.15,34.21,33.78,34.1,33.7745,511488
2025-12-19,34.03,34.6,33.9,34.6,34.2697,1859246
2025-12-22,34.5,34.97,34.38,34.51,34.1806,266143
2025-12-23,34.77,35.72,34.71,35.51,35.171,437212
2025-12-24,35.17,35.41,35.11,35.19,34.8541,142822
2025-12-29,35.47,35.47,34.43,34.56,34.2301,293985
2025-12-30,34.75,34.85,34.39,34.44,34.1112,305939
2025-12-31,34.69,34.69,34.27,34.36,34.032,238767
2026-01-02,34.43,34.79,34.38,34.59,34.2598,151659
2026-01-05,34.5,34.93,34.5,34.91,34.5767,246148
2026-01-06,34.83,35.07,34.53,34.95,34.6164,412448
2026-01-07,34.95,35.17,34.74,34.93,34.5965,441525
2026-01-08,34.75,35.81,34.75,35.68,35.3394,392670
2026-01-09,35.68,35.99,35.26,35.35,35.0125,385048
2026-01-12,35.4,36.005,35.39,35.95,35.6068,280470
