Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.83,2.85,2.81,2.83,2.7313,150388
2025-07-23,2.79,2.84,2.79,2.84,2.741,279969
2025-07-24,2.84,2.88,2.825,2.87,2.7699,113798
2025-07-25,2.85,2.885,2.83,2.85,2.7506,182279
2025-07-28,2.85,2.88,2.83,2.84,2.741,148556
2025-07-29,2.82,2.84,2.8,2.82,2.7217,236117
2025-07-30,2.82,2.87,2.81,2.85,2.7506,502453
2025-07-31,2.85,2.92,2.83,2.91,2.8085,207182
2025-08-01,2.895,2.91,2.855,2.89,2.7892,142658
2025-08-04,2.9,2.925,2.87,2.88,2.7796,250719
2025-08-05,2.91,2.91,2.865,2.89,2.7892,397641
2025-08-06,2.92,2.94,2.88,2.9,2.7989,749691
2025-08-07,2.9,2.95,2.895,2.93,2.8278,1445109
2025-08-08,2.93,2.96,2.93,2.93,2.8278,474349
2025-08-11,2.92,2.945,2.875,2.9,2.7989,248829
2025-08-12,2.89,2.91,2.875,2.9,2.7989,100046
2025-08-13,2.89,2.91,2.87,2.9,2.7989,353168
2025-08-14,2.93,2.96,2.9,2.96,2.8568,211448
2025-08-15,2.94,2.975,2.89,2.94,2.8375,177655
2025-08-18,2.95,3,2.94,2.96,2.8568,338704
2025-08-19,2.96,2.96,2.895,2.9,2.7989,251954
2025-08-20,2.92,2.93,2.85,2.91,2.8085,881297
2025-08-21,2.93,3.165,2.93,3.16,3.0498,541785
2025-08-22,3.16,3.16,3.005,3.04,2.934,499373
2025-08-25,3.02,3.12,3.01,3.06,2.9533,575395
2025-08-26,3.07,3.07,2.98,3.01,2.905,429044
2025-08-27,3.04,3.04,2.98,3.02,2.9147,222923
2025-08-28,3,3.06,3,3.03,2.9243,169970
2025-08-29,3.02,3.13,3.02,3.1,2.9919,2624366
2025-09-01,3.1,3.165,3.1,3.15,3.0401,357943
2025-09-02,3.14,3.18,3.13,3.15,3.0401,226713
2025-09-03,3.15,3.3,3.14,3.29,3.1753,1282475
2025-09-04,3.3,3.3,3.21,3.22,3.1077,289016
2025-09-05,3.25,3.25,3.14,3.16,3.0498,440081
2025-09-08,3.15,3.19,3.125,3.18,3.0691,273125
2025-09-09,3.2,3.24,3.1,3.12,3.0112,551642
2025-09-10,3.06,3.11,2.97,3.02,2.9147,20375572
2025-09-11,3.09,3.11,3.02,3.09,2.9822,795906
2025-09-12,3.09,3.14,3.07,3.07,2.9629,489559
2025-09-15,3.07,3.11,3.04,3.1,2.9919,433640
