Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,115.55,118.38,115.045,118.32,111.5568,2363899
2025-07-23,120,121.81,119.25,119.47,112.641,2095948
2025-07-24,119.53,120.74,118.52,119.86,113.0087,3418053
2025-07-25,117.83,119.27,117.05,118.86,112.0659,1474875
2025-07-28,118.32,118.61,116.62,116.95,110.2651,1102056
2025-07-29,116.64,118.1,116.12,116.93,110.2462,1055277
2025-07-30,116.5,117.43,115.81,115.81,109.1902,971256
2025-07-31,112.71,114.43,111.54,111.7,105.3152,2644514
2025-08-01,111.4,113.11,110.88,110.9,104.5609,2194611
2025-08-04,111.11,111.78,110.31,111.39,105.0229,1039541
2025-08-05,112,112.97,111.76,111.87,105.4754,1184568
2025-08-06,112.22,113.74,111.57,112.95,106.4937,1228684
2025-08-07,113,113.2,111.8,112.36,105.9374,1183920
2025-08-08,112.7,113.7,112.21,113.62,107.1254,1269708
2025-08-11,114.28,115.6,114.23,115.29,108.6999,1338464
2025-08-12,115.05,116.92,114.27,116.72,110.0482,1130637
2025-08-13,116.75,118.14,116.16,117.84,111.1042,1415161
2025-08-14,115,116,112.91,113.45,109.0187,2249207
2025-08-15,114,115.25,113.51,115.05,110.5562,1480891
2025-08-18,114.23,114.7,113.28,113.3,108.8745,977204
2025-08-19,112.5,113.63,111.61,113.05,108.6343,1268076
2025-08-20,112.2,114.48,111.55,112.9,108.4902,1216585
2025-08-21,113.17,114.43,112.98,114.01,109.5568,1046752
2025-08-22,114.53,115.11,112.52,112.71,108.3076,2053911
2025-08-25,114.53,115.94,114.25,115.42,110.9117,1522873
2025-08-26,115.48,115.59,114.42,115.42,110.9117,1979513
2025-08-27,115.4,116.94,114.99,116.63,112.0745,1131903
2025-08-28,116.32,116.57,115.01,115.41,110.9021,1231733
2025-08-29,115.75,117.05,115.09,115.47,110.9598,1750158
2025-09-01,114.85,115.28,113.355,113.99,109.5376,1372888
2025-09-02,114,114.71,113.76,114.44,109.97,506615
2025-09-03,113.55,114.92,112.96,113.57,109.134,914102
2025-09-04,114.6,116.7,114.13,116.15,111.6132,1716496
2025-09-05,115.4,117.23,114.85,117.23,112.651,2268146
2025-09-08,118.65,119.6,118.07,118.21,113.5928,2160050
2025-09-09,117.55,117.6,115.67,116.94,112.3724,1549408
2025-09-10,115,115.51,114.22,114.57,110.0949,1466748
2025-09-11,114.3,115.11,113.64,114.24,109.7778,921903
2025-09-12,114,116.08,113.56,115.44,110.931,1134778
2025-09-15,115.39,116.15,114.86,115.31,110.806,709298
2025-09-16,116.95,117.8,116.69,117.49,112.9009,1314652
2025-09-17,117.3,117.36,115.47,116.33,111.7862,1225083
2025-09-18,115.67,116.12,115.1,115.54,111.027,1139938
2025-09-19,115.62,115.85,113.84,114,109.5472,3520816
2025-09-22,115.18,116.97,114.4,116.92,112.3531,1865240
2025-09-23,118,119.8,117.34,118.28,113.66,1763324
2025-09-24,117.65,118.09,117.23,117.54,112.9489,856277
2025-09-25,119.56,122.44,119.12,121.77,117.0137,3217781
2025-09-26,122.89,123.73,122.36,123.2,118.3878,2031038
2025-09-29,122.07,122.5,120.3,121.25,116.514,1366759
2025-09-30,123.58,124,122.03,122.03,117.2635,1529831
2025-10-01,122,122.78,121.7,122.58,117.7921,1278485
2025-10-02,123.1,125.45,122.73,124.05,119.2046,2060242
2025-10-03,124.47,125.35,124.25,125.06,120.1752,1351733
2025-10-06,124.66,125.28,123.58,123.58,118.753,605206
2025-10-07,123.6,125.06,123.56,124.18,119.3296,853856
2025-10-08,124.5,125.72,124.49,125.29,120.3962,923590
2025-10-09,126.07,127.4,125.6,127.27,122.2989,1315634
2025-10-10,126.71,126.75,124.26,125.15,120.2617,1278094
2025-10-13,125.38,126,123.62,125.21,120.3193,1403264
2025-10-14,127.5,130.23,126.89,127.43,122.4526,1519182
2025-10-15,127.99,129.69,127.05,129.69,124.6244,1226168
2025-10-16,129,130.73,128.68,129.27,124.2208,1211457
2025-10-17,129.19,130.88,128.39,130.88,125.7679,2409514
2025-10-20,129.03,130.71,128,130.71,125.6045,1226482
2025-10-21,132.02,133.24,131.58,131.89,126.7384,1758901
2025-10-22,129.44,131.33,128.82,130.4,125.3066,1204031
2025-10-23,128.62,130.4,128.47,129.9,124.8261,1789941
2025-10-24,131,132.64,130.81,131.82,126.6712,1266129
2025-10-27,132,133.49,131.35,133.49,128.2759,1290640
2025-10-28,133.16,134.41,132.33,132.72,127.536,1039924
2025-10-29,133.49,134.55,132.07,133.35,128.1414,844550
2025-10-30,134.01,135.24,132.94,133.43,128.2183,1094729
2025-10-31,133.59,134.7,132.87,132.87,127.6801,1100182
2025-11-03,132.86,133.63,132.04,132.84,127.6513,737093
2025-11-04,131.3,131.37,129.03,129.4,124.3457,991563
2025-11-05,127.79,128,125.5,127.84,122.8466,1505270
2025-11-06,129,131.605,128.77,130.76,125.6526,885325
2025-11-07,129.51,130.1,128.05,129.04,123.9997,885433
2025-11-10,129.22,129.97,128.66,129.79,124.7204,551286
2025-11-11,131.48,131.59,129.5,129.56,124.4994,699120
2025-11-12,130.3,133.17,130.26,132.47,127.2958,1142040
2025-11-13,133.5,133.92,131.32,133.65,128.4297,1378779
2025-11-14,131.42,132.13,130.35,131.85,126.7,973457
2025-11-17,131.8,133.93,130.88,132.59,127.4111,831713
2025-11-18,131.77,132.11,128.5,129.08,124.0382,1203640
2025-11-19,129.5,130,128,129.27,124.2208,1041635
2025-11-20,129.5,132.43,129.4,132.12,126.9594,1134714
2025-11-21,128.16,129.77,127.31,127.85,122.8562,1530591
