Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,39.85,40.17,39.85,40.17,39.6807,690460
2025-07-23,40.8,41.09,40.71,40.92,40.4216,769541
2025-07-24,41.04,41.41,41,41.1,40.5994,1089334
2025-07-25,41.3,41.49,41.3,41.3,40.797,614617
2025-07-28,41.9,42.1,41.69,41.7,41.1921,1199282
2025-07-29,41.53,41.76,41.45,41.62,41.1131,1288180
2025-07-30,42.36,42.75,42,42.12,41.607,1872894
2025-07-31,42.8,43.31,42.08,42.45,41.933,2487558
2025-08-01,42.55,44.12,42.55,42.88,42.3577,1537259
2025-08-04,43.01,43.56,42.8,42.92,42.3972,1052291
2025-08-05,44.51,45.01,44.42,44.62,44.0765,2149217
2025-08-06,44.15,44.31,43.78,43.95,43.4147,1152192
2025-08-07,43.05,43.16,42.75,43.02,42.496,1234259
2025-08-08,43.16,43.18,42.96,43.02,42.496,739492
2025-08-11,43.44,43.67,43.24,43.51,42.98,1675826
2025-08-12,43.5,44.05,43.5,43.98,43.4443,824919
2025-08-13,43.51,43.74,43.34,43.55,43.1017,827513
2025-08-14,43.84,44.1,43.76,43.94,43.4876,1070339
2025-08-15,43.85,44.04,43.65,44,43.547,810261
2025-08-18,43.85,43.97,43.57,43.8,43.3491,554400
2025-08-19,43.88,44.13,43.75,44.11,43.6559,729462
2025-08-20,44.3,44.78,44.25,44.63,44.1705,1015710
2025-08-21,44.7,45.2,44.7,45.14,44.6753,1226319
2025-08-22,44.93,45.02,44.65,44.69,44.2299,823209
2025-08-25,45,45.25,44.96,45.07,44.606,1628397
2025-08-26,44.1,44.16,43.81,44.05,43.5965,878966
2025-08-27,44.11,44.15,43.78,44.01,43.5569,528777
2025-08-28,43.29,43.42,43.01,43.38,42.9334,428989
2025-08-29,42.16,42.43,41.77,42.08,41.6468,1469068
2025-09-01,41.81,42.08,41.67,41.86,41.4291,1093512
2025-09-02,42.28,42.6,41.69,41.88,41.4489,736007
2025-09-03,41.89,41.9,41.39,41.6,41.1717,1132454
2025-09-04,41.4,41.725,41.16,41.47,41.0431,1335736
2025-09-05,42.04,42.59,42.03,42.26,41.8249,1262924
2025-09-08,42.15,42.175,41.77,41.92,41.4884,631561
2025-09-09,42.2,42.54,42.2,42.2,41.7656,1087854
2025-09-10,42.44,42.59,42.19,42.27,41.8348,553046
2025-09-11,40.81,41.25,40.68,41.13,40.7066,1778501
2025-09-12,41.47,41.47,41.23,41.25,40.8253,834948
2025-09-15,40.91,40.94,40.575,40.68,40.2612,738684
2025-09-16,40.63,40.85,40.52,40.8,40.38,822649
2025-09-17,40.55,40.955,40.55,40.95,40.5284,995656
2025-09-18,41,41.18,40.92,40.94,40.5185,1129261
2025-09-19,41.65,41.91,41.21,41.21,40.7857,3272068
2025-09-22,41.64,41.64,41.32,41.58,41.1519,1279189
2025-09-23,41.64,41.73,41.4,41.48,41.053,554173
2025-09-24,41.75,41.94,41.59,41.65,41.2212,614096
2025-09-25,41.11,41.22,40.17,40.59,40.1721,3275728
2025-09-26,41.01,41.15,40.7,40.77,40.3503,1634414
2025-09-29,41.2,41.58,41.165,41.25,40.8253,1097956
2025-09-30,40.98,41.29,40.93,41.03,40.6076,825116
2025-10-01,41.42,41.58,41.31,41.36,40.9342,759707
2025-10-02,40.88,41,40.73,40.84,40.4196,1091483
2025-10-03,41.9,42.27,41.72,42.07,41.6369,1265589
2025-10-06,42.27,42.39,42.07,42.09,41.6567,338515
2025-10-07,42.57,42.64,42.24,42.3,41.8645,802539
2025-10-08,42.78,43.2,42.78,43.01,42.5672,843870
2025-10-09,43.16,43.29,42.39,42.5,42.0625,824093
2025-10-10,42.65,42.65,42.33,42.36,41.9239,397689
2025-10-13,41.88,42,41.56,41.84,41.4093,612027
2025-10-14,41.66,41.82,41.35,41.54,41.1124,1262456
2025-10-15,41.75,41.75,41.44,41.61,41.1816,430589
2025-10-16,41.58,41.86,41.27,41.65,41.2212,1112045
2025-10-17,41.29,41.55,41.14,41.14,40.7165,1430829
2025-10-20,41.45,41.45,40.95,41.08,40.6571,852244
2025-10-21,41.3,41.54,41.3,41.36,40.9342,1594646
2025-10-22,41.49,41.49,41.13,41.17,40.7462,1771760
2025-10-23,41.05,41.4,40.96,41.22,40.7956,1350716
2025-10-24,40.94,40.96,40.61,40.79,40.3701,1021419
2025-10-27,40.05,40.19,39.62,39.92,39.509,1167984
2025-10-28,39.88,39.92,39.1,39.29,38.8855,2334545
2025-10-29,38.92,39.225,38.8,39.09,38.6876,1241066
2025-10-30,38.69,39.08,38.6,38.89,38.4896,1465795
2025-10-31,39.74,40.08,39.18,39.53,39.123,2384370
2025-11-03,37.85,37.95,37.58,37.83,37.4405,2191496
2025-11-04,38,38.24,37.65,37.77,37.3812,1349128
2025-11-05,38.02,38.15,37.82,37.99,37.5989,1438975
2025-11-06,38.23,38.29,37.63,37.7,37.3119,1351280
2025-11-07,38.13,38.48,37.94,38.32,37.9255,3428719
2025-11-10,38.55,38.77,38.51,38.55,38.1531,718247
2025-11-11,38.7,38.7,38.25,38.35,37.9552,730634
2025-11-12,38.75,38.8,38.55,38.59,38.2759,592096
2025-11-13,38.63,38.74,38.26,38.57,38.2561,2224778
2025-11-14,38.49,38.65,38.36,38.36,38.0478,955935
2025-11-17,37.49,37.69,37.1,37.55,37.2444,749420
2025-11-18,37.4,37.86,37.26,37.82,37.5122,1230474
2025-11-19,37.9,38.01,37.72,37.98,37.6709,856336
2025-11-20,37.65,37.89,37.59,37.76,37.4527,903011
2025-11-21,38.09,38.09,37.49,37.81,37.5023,2231419
2025-11-24,38.8,38.87,38.41,38.65,38.3354,1479264
2025-11-25,38.8,38.89,38.41,38.52,38.2065,1799026
2025-11-26,39.9,39.94,39.31,39.31,38.99,1653303
2025-11-27,39.37,39.53,39.08,39.17,38.8512,672550
2025-11-28,39.29,39.355,39.12,39.31,38.99,527927
2025-12-01,39.1,39.36,37.37,37.5,37.1948,1700785
2025-12-02,37.6,38.05,37.6,37.82,37.5122,1037991
2025-12-03,38.2,38.2,37.94,37.96,37.651,1275450
2025-12-04,38,38.06,37.77,37.81,37.5023,646281
2025-12-05,38,39.6,38,38.81,38.4941,1548277
2025-12-08,38.28,38.6,37.71,38.41,38.0974,686368
2025-12-09,37.8,37.88,37.51,37.51,37.2047,920431
2025-12-10,37.48,39.27,37.45,38.77,38.4544,4126556
2025-12-11,37.71,38,37.31,37.87,37.5618,2228119
