Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.52,2.675,2.51,2.66,2.6039,28749936
2025-07-23,2.7,2.8,2.68,2.78,2.7214,15821251
2025-07-24,2.71,2.8,2.7,2.8,2.741,12506338
2025-07-25,2.79,2.79,2.71,2.72,2.6627,5976545
2025-07-28,2.72,2.77,2.6,2.6,2.5452,10046199
2025-07-29,2.64,2.69,2.55,2.64,2.5843,8482710
2025-07-30,2.7,2.73,2.61,2.61,2.555,9973323
2025-07-31,2.53,2.555,2.465,2.52,2.4669,11840088
2025-08-01,2.49,2.49,2.43,2.48,2.4277,10182505
2025-08-04,2.55,2.61,2.51,2.59,2.5354,16538523
2025-08-05,2.65,2.7,2.605,2.69,2.6333,12031274
2025-08-06,2.73,2.81,2.71,2.79,2.7312,14832361
2025-08-07,2.82,2.88,2.79,2.8,2.741,14801907
2025-08-08,2.84,2.87,2.81,2.82,2.7606,10113697
2025-08-11,2.84,2.84,2.725,2.78,2.7214,8807578
2025-08-12,2.74,2.78,2.72,2.76,2.7018,11841376
2025-08-13,2.78,2.8,2.75,2.8,2.741,4916870
2025-08-14,2.84,2.85,2.76,2.78,2.7214,6886350
2025-08-15,2.76,2.82,2.74,2.81,2.7508,7286094
2025-08-18,2.82,2.86,2.77,2.81,2.7508,5314044
2025-08-19,2.8,2.82,2.77,2.8,2.741,7142337
2025-08-20,2.78,2.78,2.7,2.77,2.7116,9981656
2025-08-21,2.82,2.9,2.79,2.9,2.8389,13686305
2025-08-22,2.92,2.93,2.86,2.87,2.8095,6117464
2025-08-25,2.95,3.07,2.93,3.07,3.0053,12639749
2025-08-26,3.04,3.04,2.955,3.01,2.9465,10968930
2025-08-27,3.1,3.175,3.025,3.07,3.0053,15873580
2025-08-28,3.06,3.1,3.02,3.09,3.0249,7862697
2025-08-29,3.1,3.18,3.08,3.17,3.1032,17375882
2025-09-01,3.27,3.36,3.24,3.32,3.25,7708776
2025-09-02,3.38,3.45,3.37,3.41,3.3381,12075926
2025-09-03,3.48,3.51,3.4,3.41,3.3381,18013189
2025-09-04,3.4,3.41,3.31,3.35,3.2794,17431228
2025-09-05,3.35,3.44,3.31,3.43,3.3577,8348488
2025-09-08,3.49,3.49,3.35,3.38,3.3087,8775905
2025-09-09,3.43,3.5,3.41,3.44,3.3675,12043145
2025-09-10,3.4,3.42,3.34,3.4,3.3283,9876833
2025-09-11,3.48,3.55,3.455,3.52,3.4458,18576454
2025-09-12,3.53,3.62,3.52,3.62,3.5437,12511333
2025-09-15,3.59,3.67,3.54,3.61,3.5834,18724316
2025-09-16,3.67,3.7,3.58,3.59,3.5635,15101894
2025-09-17,3.52,3.57,3.47,3.5,3.4742,16990558
2025-09-18,3.53,3.53,3.44,3.5,3.4742,14024456
2025-09-19,3.53,3.55,3.44,3.51,3.4841,180132065
2025-09-22,3.65,3.75,3.62,3.7,3.6727,13353010
2025-09-23,3.79,3.85,3.74,3.77,3.7422,15255791
2025-09-24,3.7,3.745,3.655,3.73,3.7025,17463572
2025-09-25,3.62,3.68,3.57,3.6,3.5735,20815002
2025-09-26,3.57,3.68,3.56,3.66,3.633,13171644
2025-09-29,3.77,3.8,3.67,3.78,3.7521,12402257
2025-09-30,3.81,3.94,3.81,3.88,3.8514,23865898
2025-10-01,3.87,3.92,3.79,3.9,3.8713,13814456
2025-10-02,3.95,4.08,3.94,4.06,4.0301,22357658
2025-10-03,4.06,4.06,3.97,4,3.9705,14602431
2025-10-06,4.02,4.12,3.99,4.09,4.0599,8974119
2025-10-07,4.17,4.18,4.05,4.07,4.04,9125417
2025-10-08,4.07,4.085,3.95,4.07,4.04,9851116
2025-10-09,4.07,4.08,3.915,4.04,4.0102,14673254
2025-10-10,3.82,3.905,3.75,3.82,3.7918,14034393
2025-10-13,3.88,3.96,3.84,3.89,3.8613,12808989
2025-10-14,3.98,4.055,3.93,3.95,3.9209,15359407
2025-10-15,4,4.04,3.96,4.01,3.9804,9619921
2025-10-16,4.07,4.1,3.98,4.02,3.9904,12211716
2025-10-17,4.15,4.17,3.98,4.02,3.9904,18994690
2025-10-20,3.87,3.89,3.76,3.89,3.8613,9195492
2025-10-21,3.95,3.99,3.87,3.92,3.8911,11819354
2025-10-22,3.58,3.58,3.43,3.52,3.4941,16844760
2025-10-23,3.52,3.55,3.49,3.52,3.4941,13964461
2025-10-24,3.55,3.565,3.5,3.5,3.4742,11552087
2025-10-27,3.28,3.345,3.12,3.3,3.2757,20876336
2025-10-28,3.14,3.21,3.085,3.18,3.1566,22875916
2025-10-29,3.24,3.34,3.19,3.33,3.3055,15719540
2025-10-30,3.33,3.4,3.24,3.28,3.2558,13102110
2025-10-31,3.34,3.37,3.3,3.32,3.2955,47715722
2025-11-03,3.32,3.34,3.24,3.28,3.2558,12695489
2025-11-04,3.33,3.33,3.23,3.25,3.226,8747001
2025-11-05,3.16,3.2,3.08,3.2,3.1764,9642704
2025-11-06,3.23,3.39,3.22,3.38,3.3551,14672854
2025-11-07,3.38,3.43,3.37,3.4,3.3749,7985659
2025-11-10,3.45,3.52,3.4,3.51,3.4841,10565885
2025-11-11,3.65,3.69,3.55,3.55,3.5238,9598256
2025-11-12,3.58,3.595,3.51,3.56,3.5338,7280096
2025-11-13,3.65,3.675,3.62,3.64,3.6132,13984138
2025-11-14,3.51,3.57,3.47,3.56,3.5338,9603769
2025-11-17,3.53,3.58,3.46,3.52,3.4941,6850569
2025-11-18,3.53,3.53,3.32,3.35,3.3253,8559255
2025-11-19,3.43,3.475,3.405,3.44,3.4146,4970560
2025-11-20,3.55,3.575,3.5,3.53,3.504,5367085
2025-11-21,3.45,3.46,3.34,3.39,3.365,5360252
2025-11-24,3.42,3.48,3.41,3.43,3.4047,8370116
2025-11-25,3.62,3.65,3.52,3.56,3.5338,4048421
2025-11-26,3.56,3.595,3.495,3.58,3.5536,9313664
2025-11-27,3.68,3.7,3.61,3.63,3.6032,12128665
2025-11-28,3.61,3.7,3.58,3.66,3.633,5120972
2025-12-01,3.71,3.74,3.62,3.65,3.6231,5623350
2025-12-02,3.71,3.71,3.555,3.61,3.5834,8905822
2025-12-03,3.62,3.68,3.57,3.66,3.633,6414409
2025-12-04,3.58,3.66,3.55,3.55,3.5238,5138882
2025-12-05,3.65,3.66,3.525,3.54,3.5139,4950693
2025-12-08,3.5,3.525,3.45,3.5,3.4742,5922488
2025-12-09,3.46,3.49,3.38,3.38,3.3551,6098640
2025-12-10,3.64,3.71,3.57,3.57,3.5437,11509421
2025-12-11,3.68,3.88,3.68,3.81,3.7819,11376659
2025-12-12,3.97,3.985,3.88,3.98,3.9507,9853880
2025-12-15,3.98,3.99,3.69,3.71,3.6827,14235945
2025-12-16,3.73,3.775,3.63,3.65,3.6231,18019293
2025-12-17,3.65,3.82,3.6,3.81,3.7819,9537213
2025-12-18,3.76,3.825,3.705,3.78,3.7521,11531794
2025-12-19,4,4,3.775,3.89,3.8613,38233401
2025-12-22,3.95,4.19,3.87,4.17,4.1393,11532608
2025-12-23,4.12,4.185,4.09,4.17,4.1393,6756371
2025-12-24,4.2,4.235,4.15,4.2,4.169,4006846
2025-12-29,4.2,4.26,4.12,4.17,4.1393,6513070
2025-12-30,3.97,4.12,3.93,4.09,4.0599,7229398
2025-12-31,4.05,4.16,4.05,4.16,4.1293,3810046
2026-01-02,4.09,4.25,4.06,4.23,4.1988,4157586
2026-01-05,4.23,4.34,4.21,4.32,4.2882,6274507
2026-01-06,4.44,4.45,4.26,4.3,4.2683,7811103
2026-01-07,4.36,4.39,4.23,4.26,4.2286,5460002
2026-01-08,4.16,4.22,4.11,4.16,4.1293,6941279
2026-01-09,4.24,4.24,4.12,4.13,4.0996,6818294
2026-01-12,4.3,4.425,4.24,4.39,4.3576,10871919
2026-01-13,4.46,4.52,4.45,4.45,4.4172,6529460
2026-01-14,4.46,4.51,4.415,4.51,4.4768,5766182
2026-01-15,4.52,4.64,4.46,4.49,4.4569,7190560
2026-01-16,4.55,4.58,4.475,4.54,4.5065,4533889
2026-01-19,4.6,4.68,4.56,4.59,4.5562,4081425
2026-01-20,4.64,4.64,4.53,4.61,4.576,5860943
2026-01-21,4.79,4.84,4.72,4.83,4.7944,8433308
2026-01-22,4.84,4.88,4.575,4.58,4.5462,8425980
2026-01-23,4.85,4.99,4.8,4.92,4.8837,10083225
2026-01-27,5.05,5.09,4.89,4.93,4.8937,9980412
2026-01-28,4.95,5.03,4.93,4.97,4.9334,8782045
2026-01-29,5.05,5.14,4.855,5.04,5.0029,11157509
2026-01-30,4.8,4.895,4.56,4.72,4.6852,16533196
2026-02-02,4.28,4.44,4.2,4.41,4.3775,15644819
2026-02-03,4.31,4.595,4.31,4.47,4.4371,9865459
2026-02-04,4.6,4.72,4.55,4.69,4.6554,11282920
2026-02-05,4.56,4.65,4.34,4.44,4.4073,10252133
2026-02-06,4.28,4.435,4.26,4.34,4.308,10671633
2026-02-09,4.57,4.625,4.45,4.58,4.5462,6962314
2026-02-10,4.7,4.72,4.6,4.62,4.5859,7821231
2026-02-11,4.64,4.72,4.58,4.71,4.6753,4557827
2026-02-12,4.72,4.74,4.65,4.69,4.6554,4296005
2026-02-13,4.43,4.54,4.4,4.52,4.4867,6050015
