Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.35,4.47,4.345,4.42,4.2978,4010832
2025-07-23,4.52,4.6,4.44,4.46,4.3367,4272371
2025-07-24,4.38,4.38,4.265,4.36,4.2395,3223734
2025-07-25,4.3,4.35,4.18,4.21,4.0936,2088923
2025-07-28,4.19,4.225,4.09,4.1,3.9867,2717555
2025-07-29,4.05,4.12,3.95,4.12,4.0061,2521840
2025-07-30,4.12,4.18,4.05,4.14,4.0255,2208464
2025-07-31,4.04,4.1,3.99,4.09,3.9769,2589775
2025-08-01,4.01,4.06,3.96,4.02,3.9089,6749360
2025-08-04,4.14,4.2,4.06,4.13,4.0158,2336312
2025-08-05,4.24,4.25,4.11,4.24,4.1228,3103748
2025-08-06,4.34,4.39,4.295,4.33,4.2103,2615602
2025-08-07,4.35,4.41,4.31,4.33,4.2103,1994992
2025-08-08,4.37,4.42,4.335,4.38,4.2589,2173409
2025-08-11,4.32,4.325,4.25,4.3,4.1811,1704235
2025-08-12,4.28,4.395,4.25,4.3,4.1811,8860948
2025-08-13,4.36,4.41,4.305,4.35,4.2297,2837565
2025-08-14,4.35,4.42,4.32,4.42,4.2978,3257841
2025-08-15,4.38,4.51,4.35,4.51,4.3853,2459113
2025-08-18,4.53,4.545,4.42,4.44,4.3173,2288528
2025-08-19,4.44,4.44,4.38,4.43,4.3075,1744035
2025-08-20,4.36,4.45,4.32,4.43,4.3075,4857494
2025-08-21,4.5,4.57,4.44,4.47,4.3464,4185415
2025-08-22,4.43,4.5,4.06,4.07,3.9575,5715469
2025-08-25,4.14,4.45,4.13,4.45,4.327,7917398
2025-08-26,4.45,4.59,4.38,4.53,4.4048,11728158
2025-08-27,4.75,4.91,4.725,4.82,4.6867,6124254
2025-08-28,4.84,4.84,4.69,4.75,4.6187,3250199
2025-08-29,4.71,4.75,4.52,4.54,4.4145,4157419
2025-09-01,4.7,4.82,4.61,4.77,4.6381,3943819
2025-09-02,4.78,4.9,4.72,4.84,4.7062,3779855
2025-09-03,4.94,5.02,4.86,4.86,4.7256,5383794
2025-09-04,4.92,4.96,4.75,4.82,4.6867,2587132
2025-09-05,4.82,5.09,4.82,5.09,4.9493,2980429
2025-09-08,5.11,5.18,4.99,5.1,4.959,3321597
2025-09-09,5.16,5.17,5.05,5.14,4.9979,3442782
2025-09-10,4.97,5.14,4.89,5.13,5.0372,3407233
2025-09-11,5.24,5.5,5.21,5.45,5.3514,6466648
2025-09-12,5.52,5.81,5.52,5.8,5.6951,6621619
2025-09-15,5.67,5.67,5.4,5.56,5.4594,7562207
2025-09-16,5.61,5.72,5.56,5.62,5.5183,4723435
2025-09-17,5.51,5.63,5.44,5.55,5.4496,6420007
2025-09-18,5.51,5.55,5.41,5.45,5.3514,6883382
2025-09-19,5.47,5.545,5.42,5.5,5.4005,40324783
2025-09-22,5.7,6.065,5.685,5.99,5.8816,4659014
2025-09-23,6.11,6.175,5.94,6.09,5.9798,5036411
2025-09-24,5.95,6,5.815,5.91,5.8031,3496823
2025-09-25,5.89,5.965,5.83,5.83,5.7245,4734098
2025-09-26,5.76,5.85,5.645,5.85,5.7441,5338179
2025-09-29,5.97,6.04,5.89,6.03,5.9209,4533034
2025-09-30,6.2,6.24,5.98,6.01,5.9013,5326405
2025-10-01,5.88,6.055,5.83,5.94,5.8325,4622430
2025-10-02,5.92,6.095,5.92,5.96,5.8522,3705692
2025-10-03,5.9,6.01,5.87,5.99,5.8816,4245534
2025-10-06,5.97,6.045,5.9,6,5.8914,3144778
2025-10-07,6.09,6.165,5.9,6.16,6.0485,4930940
2025-10-08,6.13,6.3,6.13,6.25,6.1369,5325154
2025-10-09,6.03,6.13,5.88,6.02,5.9111,6162927
2025-10-10,5.75,5.85,5.65,5.69,5.587,3875574
2025-10-13,5.89,6.2,5.88,6.09,5.9798,4051137
2025-10-14,6.18,6.39,6.14,6.27,6.1566,4761677
2025-10-15,6.35,6.45,6.27,6.37,6.2547,3186151
2025-10-16,6.49,6.72,6.42,6.43,6.3137,4977770
2025-10-17,6.73,6.73,6.37,6.47,6.3529,9130691
2025-10-20,6.05,6.25,6.02,6.21,6.0976,3247785
2025-10-21,6.4,6.58,6.35,6.56,6.4413,3717431
2025-10-22,5.96,6,5.74,5.98,5.8718,8106947
2025-10-23,6.05,6.34,6.01,6.25,6.1369,6300977
2025-10-24,6.21,6.34,6.14,6.21,6.0976,5065435
2025-10-27,6.19,6.39,6.05,6.15,6.0387,4008871
2025-10-28,5.7,5.98,5.66,5.98,5.8718,4365385
2025-10-29,6.05,6.16,5.89,6.06,5.9503,3753750
2025-10-30,6.02,6.18,5.97,6.13,6.0191,6309632
