Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.645,0.67,0.645,0.66,0.66,9347539
2025-07-23,0.67,0.68,0.6625,0.67,0.67,7880574
2025-07-24,0.66,0.66,0.64,0.66,0.66,5777413
2025-07-25,0.65,0.655,0.63,0.635,0.635,6046581
2025-07-28,0.635,0.6375,0.62,0.625,0.625,6336572
2025-07-29,0.625,0.6375,0.6175,0.625,0.625,4158904
2025-07-30,0.63,0.655,0.63,0.65,0.65,4142022
2025-07-31,0.64,0.64,0.61,0.62,0.62,5280107
2025-08-01,0.615,0.62,0.595,0.61,0.61,4833181
2025-08-04,0.62,0.65,0.62,0.635,0.635,5608625
2025-08-05,0.635,0.635,0.61,0.625,0.625,10147669
2025-08-06,0.63,0.67,0.625,0.67,0.67,10931500
2025-08-07,0.665,0.675,0.65,0.655,0.655,6762737
2025-08-08,0.67,0.675,0.665,0.675,0.675,5079446
2025-08-11,0.67,0.7,0.655,0.7,0.7,10812746
2025-08-12,0.69,0.695,0.675,0.675,0.675,5436363
2025-08-13,0.68,0.695,0.66,0.69,0.69,7612584
2025-08-14,0.69,0.705,0.685,0.7,0.7,6899303
2025-08-15,0.695,0.72,0.6875,0.72,0.72,6205429
2025-08-18,0.72,0.72,0.6975,0.705,0.705,2640234
2025-08-19,0.7,0.72,0.7,0.705,0.705,3324711
2025-08-20,0.685,0.6925,0.67,0.69,0.69,8193491
2025-08-21,0.705,0.725,0.695,0.725,0.725,4411455
2025-08-22,0.73,0.75,0.725,0.74,0.74,12003085
2025-08-25,0.71,0.73,0.68,0.68,0.68,24233668
2025-08-26,0.675,0.675,0.63,0.63,0.63,22772079
2025-08-27,0.655,0.685,0.6475,0.665,0.665,10813508
2025-08-28,0.675,0.68,0.65,0.655,0.655,8452164
2025-08-29,0.67,0.67,0.6375,0.645,0.645,6079729
2025-09-01,0.655,0.7025,0.6475,0.69,0.69,11044660
2025-09-02,0.7,0.715,0.685,0.715,0.715,7801220
2025-09-03,0.72,0.73,0.7,0.7,0.7,12104440
2025-09-04,0.7,0.7225,0.69,0.69,0.69,8210098
2025-09-05,0.675,0.7,0.67,0.7,0.7,4986609
2025-09-08,0.72,0.74,0.695,0.735,0.735,11457665
2025-09-09,0.755,0.8125,0.745,0.795,0.795,21696463
2025-09-10,0.785,0.795,0.77,0.79,0.79,14007294
2025-09-11,0.81,0.865,0.805,0.855,0.855,19331170
2025-09-12,0.86,0.885,0.85,0.885,0.885,13584990
2025-09-15,0.86,0.87,0.84,0.855,0.855,9651244
2025-09-16,0.875,0.89,0.855,0.86,0.86,9981431
2025-09-17,0.835,0.86,0.8275,0.84,0.84,11600553
2025-09-18,0.825,0.845,0.8175,0.845,0.845,10360792
2025-09-19,0.825,0.8475,0.815,0.84,0.84,118332902
2025-09-22,0.865,0.92,0.865,0.905,0.905,13399113
2025-09-23,0.925,0.96,0.925,0.96,0.96,14401293
2025-09-24,0.925,0.96,0.9,0.96,0.96,14835431
2025-09-25,0.94,0.965,0.93,0.955,0.955,8619055
2025-09-26,0.94,0.955,0.93,0.955,0.955,15576190
2025-09-29,0.965,0.99,0.95,0.99,0.99,14701784
2025-09-30,0.975,1.03,0.9625,1.03,1.03,20438793
2025-10-01,1.02,1.055,0.995,1.05,1.05,14687744
2025-10-02,1.05,1.075,1.05,1.075,1.075,14372240
2025-10-03,1.04,1.065,1.025,1.065,1.065,11269878
2025-10-06,1.07,1.11,1.045,1.11,1.11,11381460
2025-10-07,1.125,1.1325,1.09,1.125,1.125,28736980
2025-10-08,1.12,1.12,1.0575,1.1,1.1,15278709
2025-10-09,1.1,1.135,1.07,1.13,1.13,21299043
2025-10-10,1.08,1.0875,1.055,1.075,1.075,12441723
2025-10-13,1.085,1.1325,1.08,1.13,1.13,13922417
2025-10-14,1.125,1.185,1.12,1.14,1.14,28692968
2025-10-15,1.13,1.1525,1.12,1.145,1.145,8345661
2025-10-16,1.17,1.19,1.145,1.18,1.18,11806772
2025-10-17,1.21,1.22,1.1625,1.2,1.2,17209799
2025-10-20,1.13,1.2,1.11,1.2,1.2,12321640
2025-10-21,1.2,1.22,1.1725,1.19,1.19,15284264
2025-10-22,1.09,1.14,1.07,1.135,1.135,16565427
2025-10-23,1.11,1.165,1.11,1.155,1.155,12718189
2025-10-24,1.15,1.16,1.13,1.13,1.13,14696420
2025-10-27,1.12,1.16,1.12,1.145,1.145,10076657
2025-10-28,1.025,1.0475,0.99,1.005,1.005,17907224
2025-10-29,1,1.005,0.935,0.98,0.98,18106808
2025-10-30,0.97,0.97,0.93,0.955,0.955,8963706
2025-10-31,0.955,0.97,0.94,0.955,0.955,16503122
2025-11-03,0.925,0.93,0.895,0.925,0.925,14108841
2025-11-04,0.92,0.92,0.87,0.88,0.88,20828583
2025-11-05,0.835,0.835,0.7825,0.825,0.825,19695289
2025-11-06,0.84,0.865,0.83,0.85,0.85,11337084
2025-11-07,0.855,0.895,0.855,0.865,0.865,13269842
2025-11-10,0.8625,0.8925,0.85,0.89,0.89,10005579
2025-11-11,0.935,0.945,0.9175,0.93,0.93,10714245
2025-11-12,0.93,0.97,0.93,0.97,0.97,7618724
2025-11-13,0.995,1.025,0.9875,1.02,1.02,16440470
2025-11-14,0.995,1.02,0.965,1.01,1.01,11338657
2025-11-17,0.99,1.045,0.985,1.045,1.045,7360832
2025-11-18,1.05,1.05,1.005,1.005,1.005,10076842
2025-11-19,1.02,1.0475,1.02,1.04,1.04,6304332
2025-11-20,1.035,1.095,1.03,1.075,1.075,8984716
2025-11-21,1.03,1.045,0.99,0.99,0.99,14307981
2025-11-24,1.01,1.0325,1.01,1.025,1.025,23997929
2025-11-25,1.07,1.1025,1.055,1.095,1.095,10428224
2025-11-26,1.1,1.1175,1.075,1.115,1.115,11375986
2025-11-27,1.12,1.135,1.0975,1.115,1.115,6819489
2025-11-28,1.105,1.135,1.1,1.13,1.13,7631528
2025-12-01,1.165,1.19,1.125,1.135,1.135,9213695
2025-12-02,1.135,1.17,1.1275,1.155,1.155,6789810
2025-12-03,1.115,1.145,1.11,1.145,1.145,7358109
2025-12-04,1.125,1.13,1.085,1.1,1.1,7527982
2025-12-05,1.115,1.12,1.09,1.1,1.1,6395607
2025-12-08,1.11,1.12,1.07,1.08,1.08,8394376
2025-12-09,1.075,1.08,1.0525,1.055,1.055,3379123
2025-12-10,1.07,1.1,1.06,1.1,1.1,6941846
2025-12-11,1.13,1.135,1.0775,1.085,1.085,5667165
2025-12-12,1.13,1.135,1.095,1.105,1.105,8509624
