Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.25,4.28,4.17,4.2,4.1247,8828723
2025-07-23,4.26,4.4,4.26,4.38,4.3015,5270590
2025-07-24,4.35,4.365,4.27,4.29,4.2131,2020346
2025-07-25,4.31,4.31,4.24,4.26,4.1836,1342312
2025-07-28,4.31,4.33,4.28,4.33,4.2524,1269913
2025-07-29,4.27,4.33,4.24,4.31,4.2327,2128099
2025-07-30,4.29,4.33,4.28,4.32,4.2425,920756
2025-07-31,4.31,4.36,4.28,4.31,4.2327,1878917
2025-08-01,4.31,4.34,4.245,4.26,4.1836,1365700
2025-08-04,4.23,4.25,4.19,4.21,4.1345,1072153
2025-08-05,4.25,4.26,4.18,4.22,4.1443,2383046
2025-08-06,4.21,4.36,4.21,4.36,4.2818,2903556
2025-08-07,4.38,4.395,4.31,4.38,4.3015,2466803
2025-08-08,4.37,4.41,4.32,4.4,4.3211,1641858
2025-08-11,4.39,4.43,4.37,4.38,4.3015,933415
2025-08-12,4.38,4.39,4.33,4.39,4.3113,1017011
2025-08-13,4.45,4.49,4.41,4.46,4.38,985970
2025-08-14,4.5,4.59,4.475,4.52,4.439,1834713
2025-08-15,4.54,4.56,4.5,4.55,4.4684,1420283
2025-08-18,4.53,4.62,4.53,4.6,4.5175,2838763
2025-08-19,4.4,4.48,4.19,4.29,4.2131,8668438
2025-08-20,4.22,4.3,4.07,4.21,4.1345,6780795
2025-08-21,4.2,4.31,4.19,4.24,4.164,5238398
2025-08-22,4.25,4.26,4.13,4.16,4.0854,2759377
2025-08-25,4.23,4.25,4.16,4.21,4.1345,3082559
2025-08-26,4.22,4.23,4.09,4.16,4.0854,3379826
2025-08-27,4.19,4.27,4.1,4.24,4.164,2157724
2025-08-28,4.22,4.25,4.13,4.16,4.0854,3805724
2025-08-29,4.17,4.29,4.16,4.19,4.1149,1983584
2025-09-01,4.18,4.19,4.14,4.15,4.0756,991567
2025-09-02,4.16,4.17,4.07,4.08,4.0068,1282701
2025-09-03,4.05,4.11,4.01,4.02,3.9479,1045358
2025-09-04,4,4.03,3.95,4.02,3.9859,2121455
2025-09-05,4.08,4.11,4.03,4.09,4.0554,1055927
2025-09-08,4.08,4.12,4.055,4.12,4.0851,1968356
2025-09-09,4.12,4.25,4.11,4.24,4.2041,2117741
2025-09-10,4.21,4.24,4.1,4.22,4.1843,2457061
2025-09-11,4.2,4.26,4.1,4.14,4.1049,1825356
2025-09-12,4.18,4.2,4.11,4.12,4.0851,2316057
2025-09-15,4.21,4.21,4.1,4.17,4.1347,3178005
2025-09-16,4.17,4.22,4.14,4.21,4.1743,1447916
2025-09-17,4.21,4.28,4.17,4.25,4.214,2440487
2025-09-18,4.24,4.32,4.16,4.25,4.214,1703094
2025-09-19,4.2,4.32,4.2,4.26,4.2239,3966747
2025-09-22,4.22,4.29,4.22,4.28,4.2437,1244866
2025-09-23,4.25,4.29,4.17,4.18,4.1446,1917746
2025-09-24,4.11,4.23,4.11,4.17,4.1347,2900476
2025-09-25,4.18,4.22,4.14,4.22,4.1843,1283632
2025-09-26,4.17,4.26,4.13,4.15,4.1148,2170062
2025-09-29,4.2,4.2,4.1,4.14,4.1049,2075493
2025-09-30,4.11,4.17,4.09,4.09,4.0554,3005278
2025-10-01,4.08,4.13,4.04,4.1,4.0653,1402055
2025-10-02,4.15,4.16,4.1,4.13,4.095,1824244
2025-10-03,4.11,4.16,4.11,4.13,4.095,1528067
