Date,Open,High,Low,Close,Adjusted_close,Volume
2025-10-06,2.4,2.41,2.39,2.41,2.41,5706
2025-10-07,2.51,2.58,2.45,2.53,2.53,32985
2025-10-08,2.61,2.61,2.45,2.53,2.53,65780
2025-10-09,2.58,2.59,2.48,2.55,2.55,13228
2025-10-10,2.55,2.57,2.54,2.57,2.57,5637
2025-10-13,2.57,2.57,2.5,2.54,2.54,8931
2025-10-14,2.54,2.55,2.5,2.5,2.5,2236
2025-10-15,2.54,2.54,2.5,2.5,2.5,320
2025-10-16,2.48,2.48,2.45,2.45,2.45,1759
2025-10-17,2.46,2.47,2.43,2.44,2.44,18348
2025-10-20,2.4,2.55,2.4,2.48,2.48,4425
2025-10-21,2.47,2.47,2.42,2.42,2.42,485
2025-10-22,2.47,2.47,2.43,2.44,2.44,2361
2025-10-23,2.48,2.48,2.48,2.48,2.48,2
2025-10-24,2.48,2.53,2.48,2.53,2.53,31077
2025-10-27,2.58,2.58,2.42,2.56,2.56,2369
2025-10-28,2.58,2.58,2.51,2.51,2.51,391
2025-10-29,2.51,2.51,2.48,2.5,2.5,2689
2025-10-30,2.53,2.53,2.48,2.48,2.48,276
2025-10-31,2.55,2.55,2.54,2.54,2.54,1011
2025-11-03,2.56,2.56,2.51,2.51,2.51,13688
2025-11-04,2.5,2.53,2.5,2.53,2.53,600
2025-11-05,2.5,2.55,2.48,2.55,2.55,1208
2025-11-06,2.56,2.56,2.52,2.56,2.56,2599
2025-11-07,2.56,2.58,2.53,2.58,2.58,29271
2025-11-10,2.57,2.57,2.53,2.53,2.53,412
2025-11-11,2.56,2.6,2.56,2.6,2.6,5724
2025-11-12,2.6,2.6,2.6,2.6,2.6,3719
2025-11-13,2.58,2.59,2.535,2.535,2.535,11315
2025-11-14,2.5,2.51,2.43,2.43,2.43,18548
2025-11-17,2.47,2.47,2.43,2.43,2.43,2029
2025-11-18,2.4,2.4,2.4,2.4,2.4,2425
2025-11-19,2.44,2.51,2.44,2.51,2.51,349
2025-11-20,2.45,2.46,2.41,2.41,2.41,11552
2025-11-21,2.45,2.54,2.43,2.54,2.54,421
2025-11-24,2.58,2.58,2.58,2.58,2.58,32
2025-11-25,2.6,2.6,2.43,2.43,2.43,1032
2025-11-26,2.51,2.51,2.51,2.51,2.51,332
2025-11-27,2.58,2.58,2.57,2.58,2.58,1657
2025-11-28,2.53,2.58,2.53,2.57,2.57,21871
2025-12-01,2.57,2.57,2.53,2.57,2.57,7338
2025-12-02,2.61,2.61,2.61,2.61,2.61,8947
2025-12-03,2.61,2.61,2.61,2.61,2.61,5
2025-12-04,2.54,2.54,2.42,2.48,2.48,12943
2025-12-05,2.51,2.54,2.5,2.5,2.5,5908
2025-12-08,2.53,2.54,2.465,2.53,2.53,42004
2025-12-09,2.52,2.52,2.51,2.52,2.52,61
2025-12-10,2.52,2.52,2.48,2.5,2.5,50867
2025-12-11,2.5,2.5,2.45,2.45,2.45,1194
2025-12-12,2.53,2.56,2.53,2.56,2.56,4576
2025-12-15,2.59,2.6,2.55,2.56,2.56,32513
2025-12-16,2.56,2.59,2.55,2.59,2.59,44491
2025-12-17,2.59,2.59,2.52,2.52,2.52,18058
2025-12-18,2.58,2.58,2.52,2.52,2.52,13054
2025-12-19,2.53,2.54,2.52,2.52,2.52,10331
2025-12-22,2.55,2.55,2.52,2.52,2.52,367
2025-12-23,2.55,2.6,2.55,2.6,2.6,135
2025-12-24,2.6,2.6,2.6,2.6,2.6,10
2025-12-29,2.62,2.62,2.55,2.55,2.55,15844
2025-12-30,2.55,2.56,2.55,2.56,2.56,5566
2025-12-31,2.56,2.56,2.56,2.56,2.56,0
2026-01-02,2.6,2.6,2.57,2.57,2.57,410
2026-01-05,2.57,2.57,2.55,2.57,2.57,7454
2026-01-06,2.53,2.58,2.53,2.545,2.545,5077
2026-01-07,2.54,2.56,2.52,2.55,2.55,9845
2026-01-08,2.58,2.58,2.52,2.52,2.52,4300
2026-01-09,2.55,2.55,2.52,2.52,2.52,1024
2026-01-12,2.52,2.58,2.52,2.58,2.58,13754
2026-01-13,2.59,2.64,2.59,2.59,2.59,3757
2026-01-14,2.57,2.57,2.52,2.53,2.53,108
2026-01-15,2.59,2.59,2.56,2.56,2.56,10022
2026-01-16,2.56,2.56,2.52,2.54,2.54,2857
2026-01-19,2.54,2.54,2.49,2.49,2.49,2101
2026-01-20,2.54,2.54,2.5,2.5,2.5,4582
2026-01-21,2.5,2.55,2.5,2.505,2.505,5634
2026-01-22,2.505,2.505,2.505,2.505,2.505,0
2026-01-23,2.55,2.55,2.55,2.55,2.55,3738
2026-01-27,2.55,2.55,2.49,2.52,2.52,4429
2026-01-28,2.54,2.54,2.47,2.47,2.47,10471
2026-01-29,2.46,2.49,2.46,2.46,2.46,3896
2026-01-30,2.45,2.45,2.4,2.4,2.4,21863
2026-02-02,2.42,2.44,2.42,2.44,2.44,2483
2026-02-03,2.43,2.44,2.39,2.39,2.39,8205
2026-02-04,2.33,2.37,2.25,2.37,2.37,21924
2026-02-05,2.32,2.43,2.32,2.35,2.35,25816
2026-02-06,2.38,2.41,2.25,2.25,2.25,8943
2026-02-09,2.36,2.39,2.36,2.39,2.39,443
2026-02-10,2.35,2.37,2.34,2.34,2.34,15934
2026-02-11,2.36,2.36,2.31,2.36,2.36,4727
2026-02-12,2.34,2.35,2.27,2.29,2.29,7096
2026-02-13,2.37,2.37,2.23,2.23,2.23,5923
2026-02-16,2.23,2.23,2.1,2.1,2.1,22355
2026-02-17,2.12,2.17,2.11,2.17,2.17,1576
2026-02-18,2.12,2.13,2.12,2.13,2.13,291
2026-02-19,2.14,2.14,2.14,2.14,2.14,2
2026-02-20,2.13,2.22,2.13,2.22,2.22,1705
2026-02-23,2.08,2.14,2.05,2.05,2.05,6132
2026-02-24,2.09,2.09,2.01,2.01,2.01,1740
