Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.275,0.2975,0.27,0.29,0.29,7585674
2025-04-28,0.285,0.29,0.2675,0.275,0.275,6287967
2025-04-29,0.28,0.28,0.2675,0.27,0.27,5802934
2025-04-30,0.27,0.305,0.27,0.29,0.29,8203034
2025-05-01,0.295,0.3,0.285,0.3,0.3,3448452
2025-05-02,0.29,0.31,0.285,0.31,0.31,4486230
2025-05-05,0.315,0.315,0.295,0.305,0.305,7139874
2025-05-06,0.32,0.33,0.31,0.315,0.315,7832957
2025-05-07,0.325,0.335,0.32,0.325,0.325,6923216
2025-05-08,0.32,0.33,0.3125,0.32,0.32,3035792
2025-05-09,0.315,0.32,0.305,0.32,0.32,4021230
2025-05-12,0.32,0.32,0.2975,0.305,0.305,5023381
2025-05-13,0.29,0.295,0.28,0.295,0.295,6254058
2025-05-14,0.29,0.3,0.275,0.275,0.275,5551268
2025-05-15,0.275,0.28,0.27,0.275,0.275,5689092
2025-05-16,0.28,0.29,0.275,0.29,0.29,4350695
2025-05-19,0.285,0.31,0.2825,0.305,0.305,8744288
2025-05-20,0.31,0.31,0.2925,0.295,0.295,5698024
2025-05-21,0.31,0.31,0.295,0.305,0.305,6568680
2025-05-22,0.305,0.325,0.3,0.315,0.315,7418478
2025-05-23,0.31,0.32,0.305,0.315,0.315,3923083
2025-05-26,0.315,0.325,0.31,0.31,0.31,3912508
2025-05-27,0.31,0.315,0.3,0.305,0.305,6033132
2025-05-28,0.305,0.31,0.2975,0.305,0.305,3959147
2025-05-29,0.3,0.32,0.2925,0.32,0.32,6094385
2025-05-30,0.32,0.335,0.31,0.33,0.33,7465200
2025-06-02,0.33,0.35,0.33,0.345,0.345,10058506
2025-06-03,0.35,0.3575,0.335,0.34,0.34,9456740
2025-06-04,0.34,0.355,0.34,0.355,0.355,4548074
2025-06-05,0.36,0.365,0.345,0.35,0.35,7274427
2025-06-06,0.35,0.355,0.3425,0.355,0.355,4093883
2025-06-10,0.355,0.36,0.335,0.34,0.34,8176652
2025-06-11,0.34,0.35,0.3375,0.34,0.34,6478896
2025-06-12,0.345,0.37,0.34,0.37,0.37,7316753
2025-06-13,0.37,0.385,0.365,0.38,0.38,15061885
2025-06-16,0.38,0.38,0.38,0.38,0.38,0
2025-06-17,0.35,0.3525,0.32,0.325,0.325,23608807
2025-06-18,0.325,0.34,0.305,0.32,0.32,11966016
2025-06-19,0.32,0.325,0.31,0.315,0.315,12417084
2025-06-20,0.32,0.33,0.315,0.32,0.32,9022062
2025-06-23,0.325,0.325,0.315,0.32,0.32,4083556
2025-06-24,0.32,0.32,0.29,0.29,0.29,9493396
2025-06-25,0.29,0.3,0.28,0.295,0.295,8157452
2025-06-26,0.3,0.3,0.285,0.29,0.29,6718749
2025-06-27,0.29,0.295,0.28,0.285,0.285,7071668
2025-06-30,0.28,0.29,0.275,0.285,0.285,5218609
2025-07-01,0.29,0.3,0.285,0.295,0.295,3722076
2025-07-02,0.295,0.295,0.29,0.29,0.29,855559
2025-07-03,0.29,0.3,0.2875,0.295,0.295,2697326
2025-07-04,0.295,0.295,0.2875,0.29,0.29,1843891
2025-07-07,0.29,0.29,0.28,0.285,0.285,4149432
2025-07-08,0.28,0.29,0.28,0.29,0.29,2151630
2025-07-09,0.29,0.29,0.275,0.285,0.285,4167699
2025-07-10,0.28,0.285,0.28,0.28,0.28,2219008
2025-07-11,0.285,0.285,0.275,0.285,0.285,4570371
2025-07-14,0.285,0.3,0.285,0.29,0.29,5622178
2025-07-15,0.29,0.305,0.2875,0.305,0.305,5786954
2025-07-16,0.3,0.3,0.285,0.29,0.29,5089398
2025-07-17,0.295,0.295,0.275,0.28,0.28,5885991
2025-07-18,0.285,0.3,0.28,0.29,0.29,4006614
2025-07-21,0.295,0.3,0.29,0.3,0.3,1146188
