Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.16,0.16,0.155,0.155,0.155,19354
2025-04-29,0.185,0.19,0.185,0.19,0.19,8430
2025-04-30,0.175,0.19,0.155,0.155,0.155,170509
2025-05-01,0.165,0.165,0.165,0.165,0.165,25
2025-05-05,0.165,0.165,0.165,0.165,0.165,31
2025-05-07,0.165,0.165,0.165,0.165,0.165,32886
2025-05-08,0.16,0.16,0.155,0.155,0.155,33787
2025-05-09,0.145,0.145,0.145,0.145,0.145,36127
2025-05-12,0.145,0.145,0.145,0.145,0.145,3055
2025-05-13,0.145,0.145,0.127,0.1275,0.1275,59161
2025-05-14,0.13,0.13,0.13,0.13,0.13,249
2025-05-15,0.135,0.135,0.13,0.13,0.13,180444
2025-05-16,0.13,0.13,0.13,0.13,0.13,574
2025-05-19,0.13,0.13,0.13,0.13,0.13,38
2025-05-21,0.13,0.14,0.125,0.14,0.14,4179
2025-05-22,0.14,0.14,0.14,0.14,0.14,922
2025-05-23,0.14,0.14,0.14,0.14,0.14,8579
2025-05-28,0.14,0.14,0.14,0.14,0.14,1297
2025-06-02,0.135,0.15,0.13,0.15,0.15,250108
2025-06-03,0.16,0.165,0.155,0.16,0.16,130464
2025-06-05,0.15,0.15,0.15,0.15,0.15,3335
2025-06-06,0.15,0.16,0.145,0.145,0.145,7228
2025-06-10,0.15,0.15,0.15,0.15,0.15,1005
2025-06-11,0.145,0.15,0.145,0.15,0.15,8660
2025-06-12,0.15,0.15,0.15,0.15,0.15,1
2025-06-13,0.15,0.155,0.15,0.15,0.15,88035
2025-06-17,0.125,0.125,0.12,0.12,0.12,29369
2025-06-18,0.105,0.105,0.1,0.1,0.1,32004
2025-06-19,0.13,0.16,0.13,0.13,0.13,29521
2025-06-20,0.13,0.13,0.12,0.125,0.125,255000
2025-06-24,0.125,0.125,0.125,0.125,0.125,16195
2025-06-26,0.125,0.125,0.12,0.12,0.12,75805
2025-06-27,0.115,0.12,0.115,0.12,0.12,59137
2025-06-30,0.105,0.105,0.105,0.105,0.105,128
2025-07-07,0.13,0.14,0.13,0.13,0.13,11447
2025-07-08,0.14,0.17,0.14,0.17,0.17,53929
2025-07-09,0.17,0.17,0.17,0.17,0.17,50971
2025-07-11,0.17,0.17,0.17,0.17,0.17,32441
2025-07-18,0.18,0.18,0.175,0.175,0.175,13233
2025-07-21,0.17,0.17,0.17,0.17,0.17,12550
2025-07-23,0.17,0.17,0.13,0.13,0.13,290407
2025-07-24,0.13,0.13,0.125,0.125,0.125,72181
2025-07-29,0.14,0.18,0.135,0.18,0.18,472064
2025-07-30,0.14,0.14,0.125,0.135,0.135,360625
2025-07-31,0.135,0.135,0.12,0.125,0.125,217443
2025-08-01,0.125,0.125,0.125,0.125,0.125,14404
2025-08-04,0.125,0.125,0.12,0.12,0.12,25967
2025-08-05,0.125,0.13,0.105,0.105,0.105,348031
2025-08-06,0.11,0.11,0.11,0.11,0.11,36000
2025-08-07,0.11,0.11,0.11,0.11,0.11,1957
2025-08-11,0.11,0.11,0.11,0.11,0.11,2500
2025-08-12,0.12,0.12,0.12,0.12,0.12,15600
2025-08-14,0.11,0.11,0.11,0.11,0.11,18945
2025-08-18,0.11,0.11,0.11,0.11,0.11,68754
2025-08-19,0.11,0.11,0.11,0.11,0.11,100000
2025-08-20,0.115,0.115,0.11,0.11,0.11,82176
2025-08-21,0.11,0.11,0.11,0.11,0.11,33000
2025-08-25,0.11,0.11,0.11,0.11,0.11,166584
2025-08-26,0.105,0.11,0.105,0.11,0.11,62016
2025-08-27,0.11,0.11,0.105,0.105,0.105,56956
2025-08-28,0.105,0.105,0.105,0.105,0.105,3220
2025-09-01,0.105,0.105,0.105,0.105,0.105,4000
2025-09-02,0.107,0.107,0.094,0.098,0.098,345610
2025-09-03,0.098,0.105,0.097,0.0975,0.0975,99387
2025-09-04,0.1,0.1,0.1,0.1,0.1,89854
2025-09-05,0.098,0.099,0.098,0.099,0.099,51001
2025-09-08,0.1,0.115,0.1,0.115,0.115,67321
2025-09-09,0.12,0.12,0.11,0.11,0.11,22799
2025-09-10,0.105,0.105,0.105,0.105,0.105,32709
2025-09-12,0.105,0.105,0.105,0.105,0.105,234
2025-09-16,0.105,0.105,0.105,0.105,0.105,4765
2025-09-17,0.099,0.099,0.096,0.096,0.096,73609
2025-09-18,0.1,0.1,0.1,0.1,0.1,5260
2025-09-19,0.096,0.096,0.095,0.095,0.095,9090
2025-09-22,0.096,0.096,0.095,0.095,0.095,80864
2025-09-24,0.098,0.098,0.09,0.09,0.09,227597
2025-09-25,0.092,0.092,0.09,0.09,0.09,26435
2025-09-26,0.09,0.09,0.089,0.089,0.089,31041
2025-09-29,0.097,0.1,0.089,0.089,0.089,187747
2025-10-02,0.094,0.094,0.093,0.093,0.093,8011
2025-10-03,0.094,0.094,0.094,0.094,0.094,38662
2025-10-06,0.097,0.097,0.097,0.097,0.097,497
2025-10-07,0.098,0.098,0.095,0.095,0.095,63574
2025-10-08,0.092,0.095,0.092,0.095,0.095,1884
2025-10-09,0.092,0.092,0.092,0.092,0.092,945
2025-10-10,0.092,0.092,0.092,0.092,0.092,19
2025-10-13,0.092,0.092,0.092,0.092,0.092,358
2025-10-14,0.092,0.092,0.092,0.092,0.092,5000
2025-10-16,0.092,0.092,0.092,0.092,0.092,1
2025-10-17,0.092,0.092,0.092,0.092,0.092,75934
2025-10-20,0.092,0.092,0.092,0.092,0.092,336
2025-10-23,0.092,0.095,0.092,0.095,0.095,38000
2025-10-24,0.095,0.095,0.092,0.092,0.092,86946
2025-10-27,0.091,0.091,0.091,0.091,0.091,97
2025-10-28,0.093,0.093,0.09,0.09,0.09,100000
2025-10-29,0.081,0.081,0.081,0.081,0.081,3815
2025-10-31,0.094,0.105,0.094,0.105,0.105,125554
2025-11-03,0.105,0.105,0.1,0.1,0.1,11452
2025-11-04,0.105,0.11,0.105,0.105,0.105,43013
2025-11-05,0.11,0.12,0.11,0.11,0.11,354706
2025-11-06,0.11,0.11,0.11,0.11,0.11,9393
2025-11-07,0.11,0.11,0.105,0.105,0.105,22120
2025-11-10,0.105,0.105,0.105,0.105,0.105,7
2025-11-11,0.105,0.105,0.1,0.1,0.1,35374
2025-11-12,0.105,0.145,0.105,0.105,0.105,296825
2025-11-13,0.11,0.11,0.105,0.105,0.105,57000
2025-11-14,0.1,0.1,0.098,0.098,0.098,102334
2025-11-17,0.11,0.125,0.11,0.125,0.125,159055
2025-11-18,0.12,0.12,0.11,0.11,0.11,148265
2025-11-19,0.11,0.125,0.11,0.12,0.12,121659
2025-11-20,0.11,0.11,0.11,0.11,0.11,60000
2025-11-21,0.12,0.12,0.12,0.12,0.12,76
2025-11-24,0.11,0.11,0.1,0.11,0.11,136916
2025-11-25,0.11,0.11,0.11,0.11,0.11,1103
2025-11-27,0.11,0.11,0.11,0.11,0.11,90909
2025-11-28,0.11,0.11,0.11,0.11,0.11,73492
2025-12-01,0.12,0.12,0.105,0.105,0.105,50725
2025-12-04,0.11,0.11,0.11,0.11,0.11,9992
2025-12-05,0.11,0.11,0.11,0.11,0.11,48
2025-12-12,0.11,0.11,0.105,0.105,0.105,3486
2025-12-17,0.105,0.105,0.1,0.1,0.1,247058
2025-12-19,0.1,0.1,0.1,0.1,0.1,5048
2025-12-22,0.12,0.12,0.1,0.1,0.1,19651
2025-12-29,0.1,0.1,0.1,0.1,0.1,7000
2026-01-05,0.1,0.1,0.1,0.1,0.1,100496
2026-01-06,0.1,0.1,0.1,0.1,0.1,3639
2026-01-07,0.1,0.1,0.1,0.1,0.1,20499
2026-01-15,0.105,0.105,0.105,0.105,0.105,2600
2026-01-19,0.105,0.11,0.105,0.11,0.11,79438
2026-01-20,0.097,0.11,0.094,0.097,0.097,153271
2026-01-22,0.091,0.091,0.091,0.091,0.091,8000
2026-01-27,0.096,0.096,0.096,0.096,0.096,174
2026-01-28,0.105,0.11,0.105,0.11,0.11,118090
2026-01-29,0.105,0.105,0.105,0.105,0.105,50000
2026-01-30,0.105,0.105,0.105,0.105,0.105,19
2026-02-02,0.098,0.098,0.098,0.098,0.098,19047
2026-02-03,0.105,0.105,0.09,0.09,0.09,240122
2026-02-04,0.09,0.091,0.09,0.09,0.09,36610
2026-02-05,0.089,0.09,0.081,0.081,0.081,51316
2026-02-06,0.08,0.08,0.08,0.08,0.08,140388
2026-02-12,0.083,0.083,0.083,0.083,0.083,30000
2026-02-18,0.085,0.085,0.08,0.08,0.08,112738
2026-02-19,0.085,0.085,0.08,0.08,0.08,112738
2026-02-20,0.08,0.08,0.08,0.08,0.08,25000
