Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.94,5.95,5.86,5.89,5.6715,6992982
2025-07-23,5.92,5.97,5.91,5.97,5.7485,2609564
2025-07-24,6.02,6.04,5.89,5.91,5.6908,2285206
2025-07-25,5.99,5.99,5.75,5.82,5.6041,3561640
2025-07-28,5.86,5.9,5.82,5.88,5.6619,939064
2025-07-29,5.88,5.91,5.825,5.91,5.6908,2332073
2025-07-30,5.87,5.91,5.86,5.89,5.6715,2068514
2025-07-31,5.87,5.96,5.86,5.95,5.7293,5049721
2025-08-01,5.94,5.97,5.885,5.93,5.71,1454963
2025-08-04,5.98,6,5.92,5.95,5.7293,1047979
2025-08-05,6.04,6.11,5.99,6.1,5.8737,1835699
2025-08-06,6.1,6.14,6.05,6.07,5.8448,1631681
2025-08-07,6.1,6.19,6.09,6.15,5.9219,1814311
2025-08-08,6.12,6.14,6.02,6.05,5.8256,1565032
2025-08-11,6.05,6.06,5.955,5.98,5.7582,1018984
2025-08-12,6.07,6.1,5.98,6.08,5.8545,2403196
2025-08-13,6.08,6.11,6.05,6.06,5.8352,1087321
2025-08-14,6.07,6.19,6.04,6.16,5.9315,2759297
2025-08-15,6.19,6.32,6.17,6.29,6.0567,2112119
2025-08-18,6.31,6.46,6.31,6.42,6.1818,2799693
2025-08-19,6.4,6.43,6.28,6.29,6.0567,2252340
2025-08-20,6.34,6.37,6.27,6.35,6.1144,1964678
2025-08-21,6.4,6.4,6.29,6.32,6.0856,1485244
2025-08-22,6.31,6.32,6.27,6.28,6.047,1559726
2025-08-25,6.32,6.32,6.13,6.13,5.9026,2241801
2025-08-26,6.06,6.22,6.05,6.13,5.9026,2879189
2025-08-27,6.19,6.22,6.1,6.2,5.97,915530
2025-08-28,6.21,6.21,6.11,6.14,5.9122,3809319
2025-08-29,5.75,6.1,5.48,6.08,5.8545,8632307
2025-09-01,6.06,6.26,6.02,6.22,5.9893,1720986
2025-09-02,6.28,6.28,6.16,6.22,5.9893,1749573
2025-09-03,6.18,6.46,6.08,6.13,6.0158,2380391
2025-09-04,6.08,6.17,6,6.15,6.0354,3908188
2025-09-05,6.22,6.26,6.16,6.19,6.0746,2100889
2025-09-08,6.2,6.23,6.07,6.11,5.9961,2008414
2025-09-09,6.13,6.26,6.07,6.1,5.9863,2044779
2025-09-10,6.15,6.16,6.05,6.12,6.0059,2595664
2025-09-11,6.13,6.13,6.04,6.1,5.9863,1962935
2025-09-12,6.12,6.26,6.11,6.2,6.0845,2482705
2025-09-15,6.12,6.15,6.07,6.09,5.9765,3043780
2025-09-16,6.13,6.21,6.11,6.16,6.0452,3176893
2025-09-17,6.16,6.17,6.04,6.07,5.9569,2386894
2025-09-18,6.08,6.08,5.99,6,5.8882,1632688
2025-09-19,6.03,6.05,5.92,5.96,5.8489,4948185
2025-09-22,5.94,6.01,5.93,5.99,5.8784,1318062
2025-09-23,6.04,6.11,6.01,6.05,5.9373,2446416
2025-09-24,6.05,6.07,6.01,6.05,5.9373,2038057
2025-09-25,6.05,6.07,6.02,6.03,5.9176,3705058
2025-09-26,6.04,6.05,5.865,5.88,5.7704,2489202
2025-09-29,6,6,5.89,5.95,5.8391,1952922
2025-09-30,5.96,6.02,5.92,5.93,5.8195,4048321
2025-10-01,6,6.11,5.98,6.04,5.9274,1466088
