Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-26,2.55,2.59,2.25,2.25,2.25,460327
2025-11-27,2.45,2.5,2.38,2.49,2.49,422867
2025-11-28,2.55,3.35,2.55,2.97,2.97,512638
2025-12-01,3.1,3.88,2.69,2.74,2.74,696384
2025-12-02,2.79,3.2,2.7,2.84,2.84,197634
2025-12-03,2.91,3.13,2.91,2.95,2.95,105278
2025-12-04,3.05,3.05,2.71,2.86,2.86,86786
2025-12-05,2.94,2.94,2.64,2.64,2.64,106066
2025-12-08,2.73,2.75,2.65,2.7,2.7,67987
2025-12-09,2.73,2.76,2.56,2.64,2.64,47164
2025-12-10,2.64,2.64,2.49,2.49,2.49,95052
2025-12-11,2.49,2.57,2.49,2.49,2.49,32655
2025-12-12,2.52,2.55,2.49,2.51,2.51,16191
2025-12-15,2.52,2.58,2.5,2.54,2.54,35119
2025-12-16,2.58,2.67,2.46,2.46,2.46,100203
2025-12-17,2.46,2.46,2.3,2.3,2.3,65232
2025-12-18,2.33,2.5,2.33,2.48,2.48,41690
2025-12-19,2.52,2.52,2.4,2.48,2.48,24268
2025-12-22,2.49,2.49,2.42,2.47,2.47,2655
2025-12-23,2.49,2.49,2.35,2.43,2.43,26364
2025-12-24,2.45,2.45,2.35,2.38,2.38,10071
2025-12-29,2.37,2.38,2.31,2.31,2.31,45514
2025-12-30,2.34,2.43,2.34,2.37,2.37,3782
2025-12-31,2.44,2.51,2.41,2.46,2.46,92064
2026-01-02,2.54,3.11,2.54,2.89,2.89,125312
2026-01-05,2.92,2.97,2.87,2.9,2.9,156973
2026-01-06,2.9,2.9,2.83,2.85,2.85,29040
2026-01-07,2.87,2.89,2.77,2.84,2.84,24151
2026-01-08,2.84,2.85,2.72,2.72,2.72,139348
2026-01-09,2.75,2.8,2.72,2.72,2.72,36312
2026-01-12,2.76,2.785,2.75,2.76,2.76,11386
2026-01-13,2.8,2.8,2.75,2.77,2.77,13730
2026-01-14,2.8,2.8,2.7,2.79,2.79,60888
2026-01-15,2.79,2.85,2.65,2.85,2.85,15421
2026-01-16,2.86,3.35,2.86,3.18,3.18,273194
2026-01-19,3.28,3.4,3.18,3.18,3.18,84983
2026-01-20,3.2,3.2,2.865,2.95,2.95,95228
2026-01-21,3.06,3.09,2.99,3.05,3.05,38860
2026-01-22,3.11,3.11,2.99,3.07,3.07,16413
2026-01-23,3.1,3.26,3.1,3.15,3.15,38743
2026-01-27,3.15,3.15,3.01,3.1,3.1,38085
2026-01-28,3.1,3.1,2.85,2.98,2.98,69519
2026-01-29,2.98,3.27,2.98,3.03,3.03,19411
2026-01-30,3.03,3.1,3,3,3,23818
2026-02-02,3.06,3.25,3.01,3.25,3.25,83751
2026-02-03,3.26,3.26,3.11,3.26,3.26,41641
2026-02-04,3.25,3.25,3.05,3.24,3.24,95702
2026-02-05,3.24,3.24,3.05,3.14,3.14,38347
2026-02-06,3.05,3.14,2.92,3.05,3.05,34651
2026-02-09,3.05,3.14,2.99,2.99,2.99,20382
2026-02-10,2.98,3.08,2.97,3.02,3.02,18540
2026-02-11,3.06,3.12,2.95,2.95,2.95,26662
2026-02-12,3,3,2.95,2.985,2.985,14309
2026-02-13,3.01,3.01,2.95,2.96,2.96,10715
2026-02-16,3,3,2.92,2.94,2.94,5447
2026-02-17,2.96,2.97,2.91,2.91,2.91,6728
2026-02-18,2.98,3.01,2.96,3,3,13602
2026-02-19,3,3,2.91,2.99,2.99,28768
2026-02-20,3,3,2.92,2.92,2.92,1656
2026-02-23,2.95,2.95,2.9,2.9,2.9,15155
2026-02-24,2.9,2.97,2.9,2.95,2.95,25614
2026-02-25,2.95,2.97,2.9,2.93,2.93,16698
2026-02-26,2.93,2.97,2.9,2.91,2.91,40107
2026-02-27,2.95,2.95,2.87,2.91,2.91,15727
2026-03-02,2.92,2.94,2.75,2.75,2.75,38872
2026-03-03,2.7,2.78,2.67,2.71,2.71,50614
2026-03-04,2.73,2.73,2.6,2.65,2.65,10973
2026-03-05,2.7,2.7,2.55,2.625,2.625,25805
2026-03-06,2.58,2.67,2.5,2.605,2.605,38636
2026-03-09,2.64,2.64,2.49,2.59,2.59,26576
2026-03-10,2.71,2.71,2.45,2.5,2.5,47441
2026-03-11,2.55,2.55,2.44,2.44,2.44,8661
2026-03-12,2.44,2.51,2.44,2.45,2.45,7928
2026-03-13,2.5,2.53,2.4,2.52,2.52,19414
2026-03-16,2.6,2.6,2.4,2.4,2.4,8531
2026-03-17,2.47,2.49,2.36,2.4,2.4,26721
2026-03-18,2.47,2.5,2.47,2.5,2.5,613
2026-03-19,2.5,2.5,2.35,2.35,2.35,38489
2026-03-20,2.4,2.49,2.38,2.38,2.38,8056
2026-03-23,2.44,2.44,2.35,2.35,2.35,20768
2026-03-24,2.31,2.32,2.25,2.3,2.3,16982
2026-03-25,2.3,2.43,2.3,2.38,2.38,34177
2026-03-26,2.35,2.49,2.34,2.35,2.35,15403
2026-03-27,2.36,2.39,2.35,2.35,2.35,17579
2026-03-30,2.43,2.43,2.36,2.43,2.43,9071
2026-03-31,2.48,2.49,2.34,2.34,2.34,8725
2026-04-01,2.42,2.49,2.31,2.35,2.35,15449
2026-04-02,2.35,2.35,2.31,2.34,2.34,14045
2026-04-07,2.3,2.38,2.275,2.29,2.29,11974
2026-04-08,2.35,2.37,2.3,2.34,2.34,41104
2026-04-09,2.39,2.39,2.31,2.34,2.34,4257
2026-04-10,2.39,2.39,2.28,2.28,2.28,10384
2026-04-13,2.28,2.3,2.2,2.25,2.25,4671
2026-04-14,2.28,2.305,2.26,2.26,2.26,18301
2026-04-15,2.39,2.39,2.23,2.27,2.27,32159
2026-04-16,2.27,2.27,2.21,2.23,2.23,46128
2026-04-17,2.28,2.38,2.28,2.28,2.28,7221
2026-04-20,2.3,2.39,2.25,2.25,2.25,35146
2026-04-21,2.325,2.46,2.325,2.33,2.33,28477
2026-04-22,2.405,2.45,2.35,2.38,2.38,20849
2026-04-23,2.39,2.39,2.32,2.32,2.32,2302
2026-04-24,2.37,2.37,2.24,2.26,2.26,31349
2026-04-27,2.26,2.47,2.26,2.35,2.35,44462
2026-04-28,2.27,2.41,2.27,2.29,2.29,5880
2026-04-29,2.35,2.39,2.25,2.28,2.28,35347
2026-04-30,2.34,2.37,2.24,2.24,2.24,8406
2026-05-01,2.3,2.31,2.23,2.23,2.23,19897
2026-05-04,2.23,2.33,2.23,2.24,2.24,15171
2026-05-05,2.22,2.3,2.21,2.22,2.22,15679
2026-05-06,2.22,2.46,2.2,2.35,2.35,30865
2026-05-07,2.45,2.45,2.22,2.23,2.23,3126
2026-05-08,2.25,2.41,2.25,2.39,2.39,12050
2026-05-11,2.39,2.39,2.35,2.35,2.35,3209
2026-05-12,2.3,2.4,2.27,2.31,2.31,10605
2026-05-13,2.35,2.35,2.3,2.31,2.31,972
2026-05-14,2.33,2.33,2.3,2.3,2.3,1361
2026-05-15,2.32,2.34,2.31,2.34,2.34,8874
2026-05-18,2.34,2.34,2.29,2.29,2.29,8461
2026-05-19,2.285,2.31,2.26,2.26,2.26,844
2026-05-20,2.26,2.27,2.22,2.27,2.27,7171
2026-05-21,2.25,2.25,2.22,2.22,2.22,2528
2026-05-22,2.22,2.24,2.22,2.22,2.22,4347
2026-05-25,2.22,2.22,2.05,2.075,2.075,23870
2026-05-26,2.07,2.28,2.06,2.28,2.28,25416
2026-05-27,2.25,2.45,2.25,2.43,2.43,13662
2026-05-28,2.43,2.43,2.36,2.36,2.36,1221
2026-05-29,2.35,2.395,2.35,2.39,2.39,9455
