Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,24.31,24.34,23.8,24.19,23.5612,662672
2025-07-23,24.2,24.52,24.01,24.32,23.6879,895563
2025-07-24,24.41,24.41,23.94,24.19,23.5612,706546
2025-07-25,24.12,24.43,23.99,24.04,23.4151,874130
2025-07-28,24.15,24.445,23.97,24.29,23.6586,587164
2025-07-29,24,24.25,23.71,24.14,23.5125,2389778
2025-07-30,24.04,24.355,23.91,24.04,23.4151,748938
2025-07-31,23.84,24.535,23.74,24.24,23.6099,1368179
2025-08-01,24,24.19,23.9,24.03,23.4054,552273
2025-08-04,23.85,24.23,23.85,24.17,23.5418,450737
2025-08-05,24.41,24.605,24.33,24.41,23.7755,647383
2025-08-06,24.43,24.61,24.4,24.58,23.9411,1301571
2025-08-07,24.58,24.85,24.31,24.62,23.9801,628938
2025-08-08,24.6,24.69,24.29,24.61,23.9703,702093
2025-08-11,24.37,24.58,24.32,24.5,23.8632,570379
2025-08-12,24.26,24.43,24.13,24.4,23.7658,1352665
2025-08-13,24.58,25.28,24.535,25.07,24.4184,679855
2025-08-14,25,25.23,24.895,25.09,24.4378,628277
2025-08-15,25.09,25.27,24.95,25.16,24.506,816936
2025-08-18,25.06,25.67,25.06,25.67,25.0028,1123244
2025-08-19,26.25,27.72,25.5,27.72,26.9995,2223883
2025-08-20,28.24,28.99,28.165,28.39,27.6521,4768680
2025-08-21,28.46,28.9,27.99,28.7,27.954,2195551
2025-08-22,28.65,28.79,28.16,28.18,27.4475,1508088
2025-08-25,28.18,28.6,28.03,28.05,27.3209,1418585
2025-08-26,27.6,28.01,27.28,27.98,27.2527,1798075
2025-08-27,28.15,28.3,27.77,27.92,27.1943,657935
2025-08-28,27.93,27.94,27.57,27.75,27.0287,1436399
2025-08-29,27.8,27.8,27.39,27.76,27.0384,864357
2025-09-01,27.67,27.82,27.13,27.29,26.5807,714842
2025-09-02,27.33,27.51,27.135,27.4,26.6878,861627
2025-09-03,27,27.35,26.6,26.61,26.1281,1092006
2025-09-04,26.74,27.08,26.7,26.75,26.2656,834572
2025-09-05,26.77,27.02,26.75,27.02,26.5307,1050969
2025-09-08,27,27.08,26.82,27.08,26.5896,1688580
2025-09-09,27.19,27.3,26.95,27.08,26.5896,586870
2025-09-10,26.99,27.19,26.82,27.19,26.6976,673243
2025-09-11,27.3,27.3,26.91,27.15,26.6584,1201172
2025-09-12,27.3,28.245,27.25,28,27.493,1165529
2025-09-15,27.93,28.24,27.73,28.1,27.5911,2623842
2025-09-16,28.27,28.75,27.98,28.66,28.141,1669555
2025-09-17,28.48,29.03,28.3,28.88,28.357,1390759
2025-09-18,28.81,29.07,28.62,28.89,28.3668,1124469
2025-09-19,29.05,29.31,28.76,29.07,28.5436,3531149
2025-09-22,29,29.16,28.735,28.91,28.3865,698283
2025-09-23,29.75,29.84,29.15,29.18,28.6516,1137959
2025-09-24,28.87,28.87,28.51,28.66,28.141,1338643
2025-09-25,28.36,28.77,28.25,28.63,28.1115,1451556
2025-09-26,28.52,28.665,27.95,28.11,27.601,1439133
2025-09-29,28.25,28.59,28.23,28.52,28.0035,785499
2025-09-30,28.42,28.76,28.39,28.51,27.9937,840851
2025-10-01,28.41,28.64,28.27,28.59,28.0723,1119141
2025-10-02,28.59,28.65,28.1,28.28,27.7679,1128093
2025-10-03,28.17,28.82,28.16,28.6,28.0821,1185080
2025-10-06,28.5,28.705,28.26,28.45,27.9348,369791
2025-10-07,28.33,28.57,27.68,28.04,27.5322,1134040
2025-10-08,28.03,28.15,27.64,27.94,27.434,758283
2025-10-09,28.13,28.185,27.53,27.71,27.2082,580056
2025-10-10,27.82,28.05,27.6,27.99,27.4831,982030
2025-10-13,27.54,27.555,27.26,27.46,26.9627,1584965
2025-10-14,27.28,27.74,27.22,27.72,27.218,831015
2025-10-15,27.96,27.97,27.32,27.42,26.9235,895975
2025-10-16,27.62,27.73,27.17,27.6,27.1002,680344
2025-10-17,27.1,27.61,26.84,27.24,26.7467,1001837
2025-10-20,27.39,27.4,27.14,27.26,26.7664,787832
2025-10-21,27.26,27.81,27.23,27.67,27.1689,703776
2025-10-22,27.65,27.9,27.6,27.6,27.1002,494913
2025-10-23,27.56,27.84,27.33,27.84,27.3359,516976
2025-10-24,27.76,27.76,27.4,27.76,27.2573,517141
