Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,11.14,11.2,11.04,11.16,11.16,977116
2025-07-23,11.2,11.35,11.06,11.27,11.27,2290755
2025-07-24,11.25,11.31,11.12,11.24,11.24,2212637
2025-07-25,11.11,11.16,10.99,11.06,11.06,1178950
2025-07-28,11.12,11.14,10.925,10.99,10.99,1091681
2025-07-29,10.98,11.21,10.88,11.16,11.16,1981724
2025-07-30,11.11,11.16,10.97,11.11,11.11,1766496
2025-07-31,10.3,10.8,10.11,10.64,10.64,5452931
2025-08-01,10.78,11.15,10.61,11.02,11.02,3212728
2025-08-04,10.96,10.96,10.805,10.91,10.91,2292193
2025-08-05,11.12,11.13,10.96,11.08,11.08,999680
2025-08-06,11.1,11.34,11.03,11.25,11.25,1172068
2025-08-07,11.26,11.42,11.17,11.34,11.34,1218140
2025-08-08,11.35,11.56,11.33,11.52,11.52,886547
2025-08-11,11.68,11.8,11.57,11.64,11.64,1679304
2025-08-12,11.56,11.7,11.47,11.65,11.65,1157569
2025-08-13,11.69,11.785,11.61,11.72,11.72,1287654
2025-08-14,11.72,11.77,11.605,11.69,11.69,1311816
2025-08-15,11.69,12.22,11.65,12.18,12.18,1802822
2025-08-18,12.1,12.23,12.07,12.21,12.21,1347723
2025-08-19,12.12,12.28,12.05,12.2,12.2,2661934
2025-08-20,12.25,12.25,11.85,12,12,1256995
2025-08-21,12.1,12.25,12,12.17,12.17,925905
2025-08-22,12.21,12.28,11.98,12.01,12.01,2002490
2025-08-25,12.33,12.73,12.275,12.64,12.64,2696037
2025-08-26,12.58,12.72,12.43,12.6,12.6,3096267
2025-08-27,12.69,12.78,12.57,12.72,12.72,1514268
2025-08-28,12.7,12.88,12.33,12.53,12.53,1750892
2025-08-29,12.35,12.705,12.12,12.52,12.52,2145725
2025-09-01,12.39,12.56,12.25,12.55,12.55,1332953
2025-09-02,12.49,12.57,12.22,12.36,12.36,1280966
2025-09-03,12.5,12.54,12.18,12.21,12.21,1965229
2025-09-04,12.34,12.45,12.28,12.29,12.29,1754647
2025-09-05,12.45,12.46,12.26,12.35,12.35,1556923
2025-09-08,12.36,12.395,12.27,12.3,12.3,1013007
2025-09-09,12.35,12.58,12.19,12.53,12.53,1584550
2025-09-10,12.21,12.33,12.02,12.25,12.25,1107628
2025-09-11,12.07,12.415,12.07,12.39,12.39,1022356
2025-09-12,12.49,12.54,12.35,12.47,12.47,1148623
2025-09-15,12.36,12.47,12.3,12.46,12.46,753049
2025-09-16,12.65,12.7,12.365,12.53,12.53,1948403
2025-09-17,12.5,12.57,12.35,12.48,12.48,1702416
2025-09-18,12.4,12.45,12.31,12.32,12.32,1655229
2025-09-19,12.51,12.555,12.3,12.3,12.3,3337694
2025-09-22,12.48,12.58,12.4,12.5,12.5,1371005
2025-09-23,12.6,12.66,12.505,12.58,12.58,1271524
2025-09-24,12.51,12.74,12.5,12.69,12.69,2069656
2025-09-25,13.38,14.3,13.38,13.65,13.65,3659054
2025-09-26,13.44,13.65,13.33,13.65,13.65,2118668
2025-09-29,13.65,13.94,13.58,13.89,13.89,1171489
2025-09-30,14.05,14.38,14.05,14.27,14.27,2446930
2025-10-01,14.25,14.66,14.22,14.5,14.5,2474712
2025-10-02,14.64,14.94,14.63,14.85,14.85,2370304
2025-10-03,15.04,15.11,14.825,14.95,14.95,2396331
2025-10-06,15.1,15.57,15.1,15.54,15.54,1832895
2025-10-07,15.46,15.85,15.39,15.66,15.66,3292200
2025-10-08,15.69,15.8,15.54,15.8,15.8,2217200
2025-10-09,16.75,16.99,16.42,16.63,16.63,2520503
2025-10-10,16.23,16.37,16.115,16.13,16.13,1905726
2025-10-13,15.79,16,15.57,15.66,15.66,2201869
2025-10-14,16.11,16.35,16.025,16.15,16.15,1697732
2025-10-15,16.19,16.26,15.97,16.13,16.13,1616311
2025-10-16,16.04,16.08,15.73,15.77,15.77,2071233
