Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,16.42,16.52,16.3,16.35,16.0909,210784
2025-07-23,16.44,16.77,16.44,16.49,16.2287,523238
2025-07-24,16.52,16.73,16.31,16.34,16.081,220687
2025-07-25,16.33,16.36,15.01,16.12,15.8645,138224
2025-07-28,16.38,16.38,16.13,16.19,15.9334,185853
2025-07-29,16.24,16.295,16,16.2,15.9433,174695
2025-07-30,16.22,16.42,16.08,16.09,15.835,213567
2025-07-31,15.74,16.03,15.05,15.24,14.9985,468376
2025-08-01,15.1,15.23,15.01,15.17,14.9296,282547
2025-08-04,15.01,15.04,14.64,14.7,14.467,259734
2025-08-05,14.78,14.85,14.61,14.76,14.5261,261006
2025-08-06,14.74,14.92,14.71,14.91,14.6737,195977
2025-08-07,14.81,14.895,14.68,14.77,14.5359,233891
2025-08-08,14.72,14.86,14.66,14.71,14.4769,160207
2025-08-11,14.68,14.72,14.54,14.57,14.3391,187312
2025-08-12,14.51,14.665,14.34,14.62,14.3883,289699
2025-08-13,14.85,14.9,14.705,14.77,14.5359,238505
2025-08-14,14.82,15.08,14.78,14.81,14.5753,192145
2025-08-15,14.88,15.09,14.8,15.05,14.8115,163228
2025-08-18,14.86,15.36,14.86,15.3,15.0575,313064
2025-08-19,15,15.32,14.3,14.43,14.2013,408170
2025-08-20,14.55,14.56,14.15,14.28,14.0537,370177
2025-08-21,14.22,14.49,14.035,14.07,13.847,513108
2025-08-22,14.23,14.34,13.925,13.93,13.7092,312192
2025-08-25,14,14.69,13.93,14.58,14.3489,368142
2025-08-26,14.38,14.53,14.09,14.33,14.1029,486862
2025-08-27,14.5,14.59,14.28,14.41,14.1816,265097
2025-08-28,14.5,14.61,14.3,14.3,14.0734,188116
2025-08-29,14.33,14.415,14.15,14.23,14.0045,312022
2025-09-01,14.23,14.53,14.06,14.14,13.9159,139294
2025-09-02,14.21,14.4,13.98,14.05,13.8273,220954
2025-09-03,13.91,14.1,13.88,13.92,13.6994,292028
2025-09-04,14.06,14.08,13.965,14.01,13.788,173095
2025-09-05,14.06,14.14,13.87,13.95,13.7289,192890
2025-09-08,13.26,13.94,13.2,13.73,13.5124,332730
2025-09-09,13.65,13.77,13.64,13.76,13.5419,140805
2025-09-10,13.64,13.74,13.56,13.7,13.4829,234232
2025-09-11,13.6,13.64,13.29,13.53,13.3156,296626
2025-09-12,13.49,13.83,13.43,13.83,13.6108,434159
2025-09-15,13.69,13.83,13.63,13.78,13.5616,143256
2025-09-16,13.87,13.95,13.81,13.81,13.5911,226270
2025-09-17,13.93,14.16,13.7,13.96,13.7388,291164
2025-09-18,13.9,13.93,13.815,13.91,13.6896,412359
2025-09-19,14.08,14.49,14.07,14.14,13.9159,4583845
2025-09-22,14.12,14.18,13.61,13.68,13.4632,248620
2025-09-23,13.65,13.81,13.52,13.56,13.3451,227224
2025-09-24,13.48,13.58,13.27,13.34,13.1286,687290
2025-09-25,13.06,13.59,13.04,13.59,13.3746,627973
2025-09-26,13.47,13.67,13.07,13.62,13.4042,604530
2025-09-29,13.72,13.76,13.55,13.62,13.4042,272908
2025-09-30,13.35,13.43,13.18,13.37,13.2849,447106
2025-10-01,13.63,13.63,13.265,13.27,13.1856,359444
2025-10-02,13.34,13.65,13.31,13.6,13.5135,174976
2025-10-03,13.76,14.06,13.41,13.66,13.5731,272741
2025-10-06,13.71,13.96,13.71,13.73,13.6426,176144
2025-10-07,13.31,13.66,13.31,13.54,13.4538,880750
