Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.11,0.115,0.105,0.105,0.105,6703560
2025-04-28,0.11,0.115,0.105,0.105,0.105,28903949
2025-04-29,0.105,0.11,0.1025,0.105,0.105,18023339
2025-04-30,0.105,0.11,0.1025,0.105,0.105,15208905
2025-05-01,0.105,0.1075,0.1,0.1,0.1,14822969
2025-05-02,0.1,0.105,0.1,0.105,0.105,3195993
2025-05-05,0.105,0.11,0.1,0.105,0.105,9501128
2025-05-06,0.105,0.115,0.105,0.11,0.11,13687293
2025-05-07,0.115,0.115,0.105,0.105,0.105,4879117
2025-05-08,0.11,0.1125,0.1075,0.11,0.11,5570875
2025-05-09,0.11,0.115,0.1075,0.11,0.11,3890832
2025-05-12,0.11,0.115,0.1075,0.11,0.11,4544503
2025-05-13,0.11,0.115,0.11,0.11,0.11,3519781
2025-05-14,0.11,0.115,0.105,0.11,0.11,4888890
2025-05-15,0.11,0.11,0.105,0.11,0.11,4979753
2025-05-16,0.11,0.115,0.11,0.11,0.11,3560660
2025-05-19,0.11,0.115,0.11,0.115,0.115,3175656
2025-05-20,0.11,0.115,0.11,0.115,0.115,1720592
2025-05-21,0.11,0.115,0.11,0.11,0.11,4819733
2025-05-22,0.11,0.1125,0.105,0.11,0.11,7542111
2025-05-23,0.105,0.11,0.105,0.11,0.11,2427266
2025-05-26,0.11,0.115,0.105,0.115,0.115,10104477
2025-05-27,0.115,0.115,0.11,0.115,0.115,3291284
2025-05-28,0.11,0.115,0.11,0.115,0.115,4874754
2025-05-29,0.11,0.115,0.11,0.11,0.11,2981196
2025-05-30,0.115,0.115,0.105,0.105,0.105,9968652
2025-06-02,0.105,0.11,0.105,0.105,0.105,4515702
2025-06-03,0.11,0.11,0.105,0.105,0.105,3945239
2025-06-04,0.105,0.115,0.105,0.11,0.11,10531197
2025-06-05,0.11,0.12,0.11,0.12,0.12,26117006
2025-06-06,0.12,0.12,0.11,0.115,0.115,10347656
2025-06-10,0.115,0.125,0.115,0.12,0.12,39753351
2025-06-11,0.12,0.14,0.12,0.13,0.13,51346194
2025-06-12,0.13,0.135,0.1225,0.13,0.13,18485593
2025-06-13,0.13,0.14,0.125,0.13,0.13,20203870
2025-06-16,0.13,0.14,0.13,0.135,0.135,19293240
2025-06-17,0.135,0.14,0.135,0.14,0.14,13067476
2025-06-18,0.14,0.155,0.14,0.15,0.15,29993725
2025-06-19,0.15,0.15,0.14,0.145,0.145,13889106
2025-06-20,0.145,0.145,0.135,0.14,0.14,16709872
2025-06-23,0.14,0.14,0.1225,0.125,0.125,19168705
2025-06-24,0.13,0.135,0.125,0.125,0.125,9170931
2025-06-25,0.13,0.14,0.13,0.135,0.135,11071756
2025-06-26,0.135,0.14,0.13,0.135,0.135,15240297
2025-06-27,0.14,0.15,0.135,0.145,0.145,20459852
2025-06-30,0.145,0.15,0.135,0.135,0.135,22389966
2025-07-01,0.135,0.14,0.1325,0.135,0.135,6257296
2025-07-02,0.135,0.14,0.13,0.13,0.13,16145053
2025-07-03,0.13,0.135,0.1275,0.13,0.13,4668990
2025-07-04,0.125,0.135,0.125,0.13,0.13,7451447
2025-07-07,0.13,0.135,0.125,0.13,0.13,4927649
2025-07-08,0.125,0.13,0.125,0.13,0.13,3402686
2025-07-09,0.13,0.13,0.125,0.125,0.125,1347364
2025-07-10,0.125,0.13,0.125,0.13,0.13,1684742
2025-07-11,0.13,0.13,0.125,0.125,0.125,4611334
2025-07-14,0.125,0.1275,0.12,0.125,0.125,8909955
2025-07-15,0.125,0.125,0.12,0.12,0.12,2936050
2025-07-16,0.12,0.125,0.12,0.12,0.12,2157958
2025-07-17,0.12,0.125,0.12,0.12,0.12,3181879
2025-07-18,0.12,0.125,0.12,0.125,0.125,1225198
2025-07-21,0.125,0.125,0.12,0.12,0.12,1514641
2025-07-22,0.12,0.125,0.12,0.12,0.12,1575840
2025-07-23,0.12,0.1225,0.115,0.12,0.12,8334717
2025-07-24,0.12,0.1225,0.115,0.12,0.12,6720141
2025-07-25,0.12,0.1225,0.115,0.115,0.115,2873599
2025-07-28,0.12,0.12,0.1125,0.115,0.115,11136722
2025-07-29,0.115,0.12,0.115,0.115,0.115,2853636
2025-07-30,0.115,0.1175,0.11,0.11,0.11,11719252
2025-07-31,0.11,0.1125,0.105,0.11,0.11,19443536
2025-08-01,0.105,0.11,0.091,0.092,0.092,65931276
2025-08-04,0.092,0.092,0.083,0.085,0.085,52071360
2025-08-05,0.085,0.086,0.08,0.082,0.082,33873898
2025-08-06,0.083,0.095,0.0825,0.091,0.091,41655353
2025-08-07,0.092,0.093,0.088,0.09,0.09,14528358
2025-08-08,0.091,0.094,0.09,0.092,0.092,11366357
2025-08-11,0.092,0.093,0.088,0.089,0.089,8639696
2025-08-12,0.105,0.12,0.1025,0.11,0.11,37854539
2025-08-13,0.11,0.115,0.11,0.11,0.11,6125347
2025-08-14,0.115,0.115,0.11,0.11,0.11,3101458
2025-08-15,0.11,0.115,0.11,0.11,0.11,3412218
2025-08-18,0.115,0.115,0.11,0.11,0.11,2968320
2025-08-19,0.11,0.1125,0.105,0.11,0.11,6773896
2025-08-20,0.105,0.11,0.105,0.105,0.105,1171336
2025-08-21,0.105,0.1075,0.105,0.105,0.105,3367470
2025-08-22,0.105,0.1075,0.1025,0.105,0.105,4481686
2025-08-25,0.105,0.11,0.1,0.105,0.105,11794623
2025-08-26,0.105,0.11,0.1,0.1,0.1,13543618
2025-08-27,0.105,0.105,0.1,0.105,0.105,3012921
2025-08-28,0.1,0.105,0.1,0.1,0.1,4362778
2025-08-29,0.1,0.105,0.1,0.105,0.105,4444047
2025-09-01,0.105,0.105,0.1,0.105,0.105,2007285
2025-09-02,0.105,0.1075,0.1025,0.105,0.105,6688509
2025-09-03,0.105,0.1075,0.105,0.105,0.105,2386547
2025-09-04,0.105,0.1075,0.105,0.105,0.105,3685478
2025-09-05,0.105,0.1075,0.1,0.1,0.1,4498831
2025-09-08,0.105,0.105,0.1,0.105,0.105,2405137
2025-09-09,0.1,0.105,0.1,0.1,0.1,4403240
2025-09-10,0.1,0.105,0.098,0.1,0.1,10634971
2025-09-11,0.1,0.105,0.1,0.1,0.1,2380357
2025-09-12,0.105,0.105,0.099,0.1,0.1,4560539
2025-09-15,0.1,0.105,0.1,0.105,0.105,1857263
2025-09-16,0.105,0.11,0.1025,0.105,0.105,8659658
2025-09-17,0.11,0.12,0.105,0.11,0.11,19966374
2025-09-18,0.11,0.115,0.11,0.115,0.115,2737791
2025-09-19,0.115,0.115,0.1,0.1,0.1,124798737
2025-09-22,0.105,0.105,0.095,0.095,0.095,42940792
2025-09-23,0.095,0.096,0.093,0.095,0.095,13806653
2025-09-24,0.094,0.097,0.093,0.093,0.093,4632032
2025-09-25,0.093,0.095,0.092,0.095,0.095,5290691
2025-09-26,0.096,0.096,0.092,0.092,0.092,4999601
2025-09-29,0.092,0.093,0.089,0.089,0.089,10006103
2025-09-30,0.09,0.093,0.089,0.09,0.09,5195065
2025-10-01,0.091,0.091,0.089,0.089,0.089,6135603
2025-10-02,0.089,0.091,0.089,0.09,0.09,7775329
2025-10-03,0.089,0.091,0.088,0.09,0.09,5203152
2025-10-06,0.09,0.093,0.089,0.089,0.089,5910730
2025-10-07,0.09,0.098,0.09,0.097,0.097,14425606
2025-10-08,0.096,0.1025,0.096,0.099,0.099,11960534
2025-10-09,0.098,0.1,0.096,0.097,0.097,5355756
2025-10-10,0.096,0.105,0.096,0.099,0.099,7824079
2025-10-13,0.099,0.1,0.096,0.098,0.098,7378055
2025-10-14,0.098,0.099,0.095,0.095,0.095,5619369
2025-10-15,0.095,0.098,0.093,0.096,0.096,6132421
2025-10-16,0.097,0.1,0.094,0.095,0.095,15747650
2025-10-17,0.096,0.097,0.093,0.094,0.094,9493829
2025-10-20,0.093,0.095,0.091,0.092,0.092,6450962
2025-10-21,0.092,0.095,0.092,0.095,0.095,2418662
2025-10-22,0.095,0.096,0.091,0.092,0.092,7167441
2025-10-23,0.091,0.094,0.091,0.092,0.092,2630290
2025-10-24,0.092,0.095,0.092,0.095,0.095,2593187
2025-10-27,0.095,0.096,0.091,0.092,0.092,4322604
2025-10-28,0.093,0.094,0.09,0.091,0.091,7718607
2025-10-29,0.091,0.093,0.091,0.092,0.092,4366530
2025-10-30,0.091,0.092,0.088,0.088,0.088,14670635
2025-10-31,0.089,0.092,0.089,0.089,0.089,8243334
2025-11-03,0.09,0.091,0.088,0.09,0.09,4230444
2025-11-04,0.09,0.09,0.088,0.089,0.089,1733219
2025-11-05,0.089,0.09,0.088,0.088,0.088,4181003
2025-11-06,0.09,0.09,0.089,0.089,0.089,1392574
2025-11-07,0.089,0.0895,0.085,0.085,0.085,8575458
2025-11-10,0.087,0.089,0.087,0.089,0.089,2637513
2025-11-11,0.088,0.091,0.087,0.091,0.091,5210015
2025-11-12,0.091,0.091,0.088,0.088,0.088,1564344
2025-11-13,0.088,0.09,0.086,0.086,0.086,4733578
2025-11-14,0.086,0.088,0.085,0.086,0.086,5700516
2025-11-17,0.086,0.087,0.084,0.086,0.086,7201310
2025-11-18,0.085,0.086,0.0825,0.083,0.083,7197903
2025-11-19,0.083,0.085,0.083,0.085,0.085,2085390
2025-11-20,0.085,0.087,0.0845,0.086,0.086,2317422
2025-11-21,0.09,0.11,0.09,0.105,0.105,45879346
2025-11-24,0.11,0.115,0.105,0.105,0.105,15130775
2025-11-25,0.11,0.11,0.1025,0.105,0.105,10547892
2025-11-26,0.11,0.11,0.1025,0.105,0.105,5819897
2025-11-27,0.11,0.11,0.1025,0.105,0.105,6171196
2025-11-28,0.11,0.11,0.1025,0.105,0.105,7742161
2025-12-01,0.105,0.11,0.1025,0.11,0.11,4572179
2025-12-02,0.105,0.11,0.1025,0.105,0.105,8167338
2025-12-03,0.105,0.11,0.1,0.1,0.1,3669257
2025-12-04,0.1,0.105,0.1,0.105,0.105,3021510
2025-12-05,0.105,0.105,0.1,0.105,0.105,1488079
2025-12-08,0.105,0.1075,0.1,0.105,0.105,6030548
2025-12-09,0.105,0.1075,0.1025,0.105,0.105,2621273
2025-12-10,0.105,0.1125,0.105,0.11,0.11,6271066
2025-12-11,0.11,0.1125,0.105,0.105,0.105,2689112
2025-12-12,0.105,0.11,0.105,0.105,0.105,849871
2025-12-15,0.105,0.1075,0.1,0.105,0.105,8526740
2025-12-16,0.105,0.11,0.105,0.105,0.105,3436692
2025-12-17,0.11,0.12,0.1075,0.115,0.115,11402073
2025-12-18,0.115,0.135,0.115,0.13,0.13,16379902
2025-12-19,0.135,0.14,0.13,0.13,0.13,21539057
2025-12-22,0.13,0.14,0.125,0.13,0.13,9359827
2025-12-23,0.13,0.1375,0.13,0.13,0.13,3286288
2025-12-24,0.13,0.135,0.125,0.13,0.13,5955054
2025-12-29,0.125,0.14,0.125,0.14,0.14,9982520
2025-12-30,0.14,0.16,0.135,0.16,0.16,23780857
2025-12-31,0.16,0.185,0.16,0.18,0.18,37397985
2026-01-02,0.185,0.195,0.17,0.17,0.17,41420731
2026-01-05,0.175,0.18,0.155,0.165,0.165,25648782
2026-01-06,0.165,0.1675,0.155,0.165,0.165,8173597
2026-01-07,0.165,0.175,0.155,0.165,0.165,10551213
2026-01-08,0.17,0.18,0.165,0.17,0.17,10748557
2026-01-09,0.175,0.1775,0.17,0.17,0.17,4520043
2026-01-12,0.18,0.18,0.17,0.17,0.17,11669219
2026-01-13,0.17,0.175,0.17,0.175,0.175,4834434
2026-01-14,0.18,0.18,0.175,0.175,0.175,6848543
2026-01-15,0.175,0.18,0.17,0.17,0.17,7710724
2026-01-16,0.175,0.18,0.17,0.18,0.18,8009027
2026-01-19,0.18,0.18,0.17,0.18,0.18,4198170
2026-01-20,0.18,0.18,0.17,0.175,0.175,11988555
2026-01-21,0.175,0.175,0.1625,0.17,0.17,16336290
2026-01-22,0.17,0.18,0.165,0.18,0.18,10941443
2026-01-23,0.18,0.18,0.175,0.175,0.175,3213811
2026-01-27,0.18,0.18,0.165,0.165,0.165,10666406
2026-01-28,0.165,0.17,0.165,0.165,0.165,7203041
2026-01-29,0.165,0.165,0.16,0.16,0.16,2605139
2026-01-30,0.17,0.175,0.135,0.135,0.135,41483729
2026-02-02,0.13,0.145,0.13,0.135,0.135,13181213
2026-02-03,0.135,0.145,0.135,0.145,0.145,5971498
2026-02-04,0.145,0.145,0.135,0.145,0.145,10153975
2026-02-05,0.145,0.145,0.135,0.135,0.135,3403745
2026-02-06,0.135,0.1375,0.13,0.135,0.135,8030372
2026-02-09,0.135,0.14,0.13,0.14,0.14,5318250
2026-02-10,0.14,0.145,0.135,0.145,0.145,6421565
2026-02-11,0.145,0.145,0.1375,0.145,0.145,4316288
2026-02-12,0.14,0.1425,0.135,0.135,0.135,8520040
2026-02-13,0.135,0.135,0.13,0.13,0.13,12040571
2026-02-16,0.13,0.13,0.125,0.125,0.125,7406562
2026-02-17,0.125,0.125,0.115,0.115,0.115,12391138
2026-02-18,0.12,0.1325,0.12,0.125,0.125,11398237
2026-02-19,0.125,0.13,0.12,0.12,0.12,8720291
2026-02-20,0.125,0.125,0.12,0.125,0.125,906101
2026-02-23,0.12,0.125,0.12,0.12,0.12,1684901
2026-02-24,0.12,0.125,0.12,0.125,0.125,3767584
2026-02-25,0.125,0.13,0.12,0.125,0.125,4625483
2026-02-26,0.125,0.13,0.125,0.125,0.125,6205129
2026-02-27,0.125,0.13,0.125,0.125,0.125,2372270
2026-03-02,0.12,0.1275,0.12,0.12,0.12,6615903
2026-03-03,0.12,0.125,0.12,0.12,0.12,1937945
2026-03-04,0.12,0.125,0.12,0.12,0.12,1766916
2026-03-05,0.12,0.125,0.1125,0.12,0.12,15546278
2026-03-06,0.12,0.125,0.115,0.125,0.125,6185941
2026-03-09,0.12,0.125,0.115,0.12,0.12,6696458
2026-03-10,0.12,0.122,0.12,0.12,0.12,1867089
2026-03-11,0.12,0.127,0.12,0.125,0.125,3503566
2026-03-12,0.125,0.13,0.12,0.12,0.12,2493793
2026-03-13,0.12,0.125,0.12,0.125,0.125,1259858
2026-03-16,0.125,0.125,0.12,0.12,0.12,3784888
2026-03-17,0.125,0.125,0.12,0.12,0.12,2170342
2026-03-18,0.12,0.125,0.12,0.125,0.125,3817293
2026-03-19,0.12,0.1225,0.115,0.115,0.115,6368951
2026-03-20,0.115,0.125,0.115,0.125,0.125,14535718
2026-03-23,0.125,0.125,0.115,0.12,0.12,5403061
2026-03-24,0.12,0.13,0.115,0.12,0.12,5426394
2026-03-25,0.12,0.125,0.115,0.125,0.125,1862765
2026-03-26,0.125,0.125,0.115,0.125,0.125,2636220
2026-03-27,0.12,0.125,0.1175,0.125,0.125,2515581
2026-03-30,0.12,0.125,0.12,0.12,0.12,6021140
2026-03-31,0.12,0.125,0.115,0.115,0.115,4357178
