Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,27.47,27.625,27.44,27.55,26.3087,749034
2025-07-23,27.7,28.02,27.6,27.96,26.7002,826714
2025-07-24,28.22,28.48,28.09,28.32,27.044,1876464
2025-07-25,28.39,28.45,27.99,28.07,26.8053,1566907
2025-07-28,28.3,28.4,28.07,28.22,26.9485,626050
2025-07-29,28.17,28.29,28.05,28.19,26.9198,704209
2025-07-30,28.09,28.19,27.62,27.7,26.4519,1004862
2025-07-31,27.81,27.93,27.52,27.61,26.366,2772509
2025-08-01,27.63,27.78,27.23,27.34,26.1081,994996
2025-08-04,27.27,27.61,27.25,27.34,26.1081,818998
2025-08-05,27.48,27.69,27.45,27.64,26.3946,937580
2025-08-06,27.72,27.93,27.45,27.93,26.6716,1241382
2025-08-07,27.86,28,27.76,27.85,26.5952,751663
2025-08-08,27.64,27.83,27.51,27.66,26.4137,786922
2025-08-11,27.52,27.83,27.47,27.56,26.3182,1127064
2025-08-12,27.59,27.98,27.5,27.98,26.7193,1114455
2025-08-13,27.85,28.05,27.75,27.95,26.6907,789187
2025-08-14,28.07,28.47,28.03,28.47,27.1872,1177224
2025-08-15,28.42,28.455,28.215,28.3,27.0249,574867
2025-08-18,28.23,28.7,28.165,28.5,27.2159,1066204
2025-08-19,28.85,29.24,28.75,28.93,27.6265,1101703
2025-08-20,28.7,29.1,28.69,28.74,27.4451,1398695
2025-08-21,27.88,28,24.67,25.05,23.9213,5272763
2025-08-22,25.8,25.8,24.6,24.6,23.4916,4389719
2025-08-25,24.6,24.96,24.12,24.12,23.0332,2705817
2025-08-26,24.26,24.53,23.84,23.84,22.7658,4345626
2025-08-27,23.96,24.27,23.81,24.06,22.9759,1708370
2025-08-28,24.2,24.47,23.86,23.9,22.8231,1685012
2025-08-29,23.97,24.14,23.72,24.05,22.9664,1695753
2025-09-01,23.97,24.06,23.79,23.99,22.9091,1590352
2025-09-02,24,24.07,23.75,23.75,22.6799,1498583
2025-09-03,22.88,23.02,22.69,22.74,22.3071,2132289
2025-09-04,22.69,23.11,22.63,23.01,22.572,1910530
2025-09-05,23.21,23.26,22.87,22.94,22.5033,901452
2025-09-08,22.81,22.96,22.75,22.96,22.5229,1078569
2025-09-09,22.85,23.02,22.66,22.7,22.2679,1524231
2025-09-10,22.72,22.94,22.54,22.7,22.2679,991577
2025-09-11,22.56,22.62,22.33,22.45,22.0227,1496033
2025-09-12,22.52,22.85,22.47,22.64,22.209,1154286
2025-09-15,22.55,22.58,22.38,22.52,22.0913,1176198
2025-09-16,22.48,22.5,22.29,22.47,22.0423,1328643
2025-09-17,22.4,22.47,22.22,22.25,21.8265,1057266
2025-09-18,22.33,22.37,22.11,22.14,21.7186,1192212
2025-09-19,22.37,22.51,22.31,22.43,22.003,4165291
2025-09-22,22.43,22.5,22.21,22.25,21.8265,1326410
2025-09-23,22.29,22.36,22.05,22.08,21.6597,1027924
2025-09-24,21.95,22.07,21.66,21.74,21.3262,1849234
2025-09-25,21.85,21.88,21.39,21.52,21.1104,1712318
2025-09-26,21.47,21.535,21.07,21.15,20.7474,2676207
2025-09-29,21.36,21.41,21.15,21.23,20.8259,1729905
2025-09-30,21.23,21.57,21.19,21.44,21.0319,2003042
2025-10-01,21.56,21.65,21.28,21.32,20.9142,1274172
2025-10-02,21.55,21.71,21.37,21.62,21.2085,1694875
2025-10-03,21.75,21.87,21.61,21.61,21.1986,1184122
2025-10-06,21.75,21.91,21.62,21.65,21.2379,1099326
2025-10-07,22,22,21.62,21.66,21.2477,1782034
2025-10-08,21.66,21.73,21.42,21.42,21.0123,1589068
2025-10-09,21.45,21.63,21.42,21.44,21.0319,1369367
2025-10-10,21.51,21.76,21.46,21.57,21.1594,1420022
2025-10-13,21.51,21.54,20.985,21.05,20.6493,1497671
2025-10-14,21.05,21.28,20.5,20.75,20.355,1836246
2025-10-15,20.85,21.23,20.85,21.21,20.8063,2046193
2025-10-16,21.51,21.88,21.41,21.69,21.2771,2156488
2025-10-17,21.78,21.8,21.54,21.67,21.2575,2143836
2025-10-20,21.76,21.85,21.55,21.59,21.179,1315478
2025-10-21,21.56,21.75,21.25,21.38,20.973,1408240
2025-10-22,21.46,21.56,21.31,21.54,21.13,1676517
2025-10-23,21.72,21.85,21.54,21.64,21.2281,1258886
2025-10-24,21.62,21.83,21.59,21.75,21.336,1072424
2025-10-27,21.87,21.88,21.56,21.61,21.1986,1019221
2025-10-28,21.8,21.84,21.33,21.4,20.9926,1436297
2025-10-29,21.4,21.48,20.995,21.12,20.718,1370254
2025-10-30,21.05,21.1,20.86,21.05,20.6493,1325233
2025-10-31,21.07,21.34,21.07,21.16,20.7572,1667504
2025-11-03,21.24,21.25,20.85,20.93,20.5316,1259011
2025-11-04,20.93,21,20.78,20.78,20.3844,1374181
2025-11-05,20.96,21.08,20.67,20.68,20.2863,1595411
2025-11-06,20.71,20.91,20.57,20.7,20.306,1654627
2025-11-07,20.9,21,20.79,20.9,20.5022,1372345
2025-11-10,20.78,21.165,20.7,21.12,20.718,1378824
2025-11-11,21.12,21.445,21.01,21.06,20.6591,1259394
2025-11-12,21.15,21.29,21.07,21.13,20.7278,1169660
2025-11-13,21.13,21.515,21.09,21.26,20.8553,1757425
2025-11-14,21.5,21.56,21.17,21.32,20.9142,1846058
2025-11-17,21.1,21.3,20.75,21.01,20.6101,1894348
2025-11-18,20.96,21.05,20.85,20.89,20.4923,1269557
2025-11-19,21,21.49,21,21.49,21.0809,2227423
2025-11-20,21.4,22.91,21.4,22.84,22.4052,3328220
2025-11-21,22.82,23.36,22.68,23.09,22.6505,3713845
2025-11-24,23.26,23.75,23.215,23.54,23.0919,3389447
2025-11-25,23.4,23.585,23.1,23.19,22.7486,1865895
2025-11-26,23.5,23.67,23.33,23.38,22.9349,2446384
2025-11-27,23.15,23.54,23.11,23.35,22.9055,962133
2025-11-28,23.25,23.42,23.1,23.33,22.8859,929002
2025-12-01,23.31,23.38,23.11,23.32,22.8761,962966
