Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,4.99,5.07,4.94,4.98,4.98,298682
2025-04-28,4.98,4.995,4.9,4.98,4.98,323493
2025-04-29,5,5.23,4.94,5.13,5.13,1080860
2025-04-30,5.23,5.23,5.06,5.11,5.11,133828
2025-05-01,5.09,5.14,5.045,5.11,5.11,201785
2025-05-02,5.15,5.24,5.09,5.22,5.22,238640
2025-05-05,5.22,5.23,5.08,5.09,5.09,98762
2025-05-06,5.09,5.18,5,5.14,5.14,325143
2025-05-07,5.1,5.38,5.1,5.29,5.29,424612
2025-05-08,5.3,5.34,5.24,5.24,5.24,167338
2025-05-09,5.25,5.28,5.17,5.24,5.24,151551
2025-05-12,5.26,5.265,5.1,5.1,5.1,139611
2025-05-13,5.2,5.21,4.92,5.02,5.02,309881
2025-05-14,5.02,5.07,4.94,4.98,4.98,202543
2025-05-15,4.955,4.955,4.9,4.91,4.91,76208
2025-05-16,4.85,4.98,4.85,4.88,4.88,162930
2025-05-19,4.9,4.93,4.73,4.78,4.78,137325
2025-05-20,4.8,4.86,4.72,4.73,4.73,205282
2025-05-21,4.75,4.78,4.61,4.65,4.65,194224
2025-05-22,4.6,4.68,4.54,4.6,4.6,272608
2025-05-23,4.58,4.61,4.43,4.49,4.49,560038
2025-05-26,4.47,4.55,4.44,4.5,4.5,300465
2025-05-27,4.45,4.55,4.42,4.51,4.51,199659
2025-05-28,4.61,4.68,4.525,4.56,4.56,585716
2025-05-29,4.68,4.8,4.49,4.51,4.51,505589
2025-05-30,4.61,4.685,4.44,4.66,4.66,540919
2025-06-02,4.66,4.67,4.51,4.51,4.51,225692
2025-06-03,4.51,4.69,4.49,4.65,4.65,561322
2025-06-04,4.66,4.75,4.615,4.68,4.68,212923
2025-06-05,4.675,4.675,4.51,4.53,4.53,188243
2025-06-06,4.53,4.55,4.5,4.51,4.51,230848
2025-06-10,4.51,4.53,4.4,4.45,4.45,250990
2025-06-11,4.61,4.61,4.48,4.53,4.53,590004
2025-06-12,4.56,4.58,4.465,4.51,4.51,201597
2025-06-13,4.55,4.55,4.475,4.49,4.49,194923
2025-06-16,4.47,4.515,4.43,4.44,4.44,99524
2025-06-17,4.42,4.45,4.36,4.4,4.4,238610
2025-06-18,4.4,4.43,4.32,4.33,4.33,92780
2025-06-19,4.35,4.41,4.24,4.26,4.26,219210
2025-06-20,4.27,4.28,4.19,4.2,4.2,331254
2025-06-23,4.13,4.165,4.08,4.11,4.11,355665
2025-06-24,4.1,4.23,4.1,4.2,4.2,867923
2025-06-25,4.35,4.35,4.18,4.22,4.22,203264
2025-06-26,4.11,4.265,4.11,4.18,4.18,254673
2025-06-27,4.1,4.18,4.08,4.1,4.1,146396
2025-06-30,4.11,4.15,4.08,4.11,4.11,236168
2025-07-01,4.2,4.22,4.085,4.16,4.16,129089
2025-07-02,4.16,4.19,4.12,4.16,4.16,174167
2025-07-03,4.15,4.155,4.05,4.11,4.11,139148
2025-07-04,4.11,4.15,4.05,4.07,4.07,126302
2025-07-07,4.07,4.1,3.97,3.97,3.97,195107
2025-07-08,4.05,4.05,3.94,3.95,3.95,287590
2025-07-09,3.98,3.99,3.91,3.96,3.96,198942
2025-07-10,3.96,3.97,3.89,3.91,3.91,199733
2025-07-11,3.93,3.95,3.83,3.91,3.91,378602
2025-07-14,3.95,3.95,3.87,3.92,3.92,168044
2025-07-15,3.93,3.97,3.91,3.93,3.93,80880
2025-07-16,3.92,3.94,3.83,3.92,3.92,144008
2025-07-17,3.95,3.95,3.855,3.92,3.92,273726
2025-07-18,3.93,3.93,3.74,3.74,3.74,511459
2025-07-21,3.72,3.73,3.64,3.64,3.64,491259
2025-07-22,3.64,3.67,3.56,3.56,3.56,240486
2025-07-23,3.59,3.69,3.5,3.58,3.58,517369
2025-07-24,3.61,3.61,3.51,3.53,3.53,198499
2025-07-25,3.59,3.73,3.5,3.5,3.5,548435
2025-07-28,3.55,3.57,3.45,3.47,3.47,343705
2025-07-29,3.47,3.47,3.39,3.41,3.41,163825
2025-07-30,3.39,3.435,3.38,3.41,3.41,338160
2025-07-31,3.45,3.47,3.41,3.44,3.44,180614
2025-08-01,3.45,3.47,3.37,3.39,3.39,165125
2025-08-04,3.44,3.44,3.38,3.43,3.43,206819
2025-08-05,3.43,3.545,3.43,3.52,3.52,302287
2025-08-06,3.6,3.6,3.51,3.57,3.57,299941
2025-08-07,3.55,3.755,3.55,3.72,3.72,493427
2025-08-08,3.69,3.715,3.6,3.66,3.66,438488
2025-08-11,3.67,3.77,3.65,3.77,3.77,317798
2025-08-12,3.78,3.83,3.635,3.66,3.66,325119
2025-08-13,3.71,3.74,3.69,3.71,3.71,285749
2025-08-14,3.735,3.86,3.73,3.81,3.81,274753
2025-08-15,3.83,3.89,3.79,3.81,3.81,331998
2025-08-18,3.82,3.86,3.74,3.84,3.84,881960
2025-08-19,3.83,3.985,3.83,3.97,3.97,487918
2025-08-20,3.97,3.98,3.82,3.85,3.85,400397
2025-08-21,3.86,3.945,3.86,3.92,3.92,197035
2025-08-22,3.94,3.99,3.91,3.95,3.95,390514
2025-08-25,3.9,4.03,3.9,3.94,3.94,279463
2025-08-26,3.98,3.98,3.84,3.91,3.91,455174
2025-08-27,3.92,3.98,3.87,3.98,3.98,224713
2025-08-28,3.99,4,3.89,3.9,3.9,349930
2025-08-29,3.87,3.91,3.75,3.84,3.84,591555
2025-09-01,3.79,3.86,3.79,3.81,3.81,197786
2025-09-02,3.79,3.79,3.7,3.75,3.75,234442
2025-09-03,3.83,3.83,3.64,3.66,3.66,169464
2025-09-04,3.6,3.735,3.59,3.73,3.73,320018
2025-09-05,3.75,3.765,3.63,3.7,3.7,166001
2025-09-08,3.76,3.76,3.67,3.71,3.71,434928
2025-09-09,3.68,3.72,3.61,3.61,3.61,108650
2025-09-10,3.61,3.67,3.6,3.61,3.61,89816
2025-09-11,3.65,3.88,3.65,3.85,3.85,405613
2025-09-12,3.95,4.32,3.95,4.27,4.27,964322
2025-09-15,4.27,4.34,4.11,4.18,4.18,429581
2025-09-16,4.13,4.17,4.05,4.12,4.12,242617
2025-09-17,4.09,4.1,3.97,3.97,3.97,195079
2025-09-18,3.96,4.05,3.93,4,4,193094
2025-09-19,3.94,4.025,3.82,3.82,3.82,547692
2025-09-22,3.82,3.89,3.82,3.87,3.87,533606
2025-09-23,3.82,3.915,3.82,3.87,3.87,281878
2025-09-24,3.895,3.895,3.78,3.84,3.84,792816
2025-09-25,3.9,3.93,3.82,3.89,3.89,198830
2025-09-26,3.87,3.935,3.865,3.87,3.87,108536
2025-09-29,3.91,4,3.88,3.95,3.95,134914
2025-09-30,3.95,4.03,3.95,4.03,4.03,247802
2025-10-01,4.04,4.05,3.94,3.94,3.94,254268
2025-10-02,3.95,4.02,3.93,4,4,99568
2025-10-03,3.94,4.06,3.92,4.01,4.01,169808
2025-10-06,3.97,3.99,3.78,3.79,3.79,346359
2025-10-07,3.8,3.835,3.69,3.72,3.72,253061
2025-10-08,3.85,3.85,3.67,3.74,3.74,302218
2025-10-09,3.79,3.89,3.79,3.89,3.89,260042
2025-10-10,3.87,3.9,3.8,3.88,3.88,145474
2025-10-13,3.85,3.87,3.79,3.87,3.87,166279
2025-10-14,3.84,3.94,3.84,3.92,3.92,216389
2025-10-15,3.92,4.23,3.92,4.16,4.16,630606
2025-10-16,3.95,4.11,3.94,3.96,3.96,291144
2025-10-17,4.1,4.1,3.84,3.84,3.84,131710
2025-10-20,3.92,3.92,3.78,3.85,3.85,103893
2025-10-21,3.89,3.9,3.825,3.88,3.88,104795
2025-10-22,3.88,3.91,3.81,3.86,3.86,105160
2025-10-23,3.93,3.96,3.84,3.94,3.94,264778
2025-10-24,3.97,3.98,3.83,3.83,3.83,119986
2025-10-27,3.82,3.9,3.81,3.86,3.86,103442
2025-10-28,3.84,3.84,3.78,3.81,3.81,83128
2025-10-29,3.79,3.85,3.79,3.79,3.79,70546
2025-10-30,3.78,3.88,3.78,3.82,3.82,268105
2025-10-31,3.85,3.91,3.81,3.88,3.88,212441
2025-11-03,3.78,3.9,3.78,3.82,3.82,54279
2025-11-04,3.89,3.91,3.79,3.9,3.9,141976
2025-11-05,3.87,3.88,3.68,3.69,3.69,215745
2025-11-06,3.73,3.77,3.7,3.75,3.75,115238
2025-11-07,3.77,3.77,3.65,3.65,3.65,103466
2025-11-10,3.665,3.735,3.65,3.67,3.67,79178
2025-11-11,3.65,3.72,3.65,3.68,3.68,60221
2025-11-12,3.68,3.73,3.63,3.63,3.63,263376
2025-11-13,3.63,3.65,3.55,3.58,3.58,143981
2025-11-14,3.6,3.6,3.51,3.57,3.57,397654
2025-11-17,3.55,3.68,3.54,3.61,3.61,227146
2025-11-18,3.61,3.65,3.51,3.51,3.51,349085
2025-11-19,3.51,3.63,3.51,3.55,3.55,175364
2025-11-20,3.53,3.76,3.53,3.74,3.74,5286158
2025-11-21,3.65,4,3.65,3.87,3.87,298638
2025-11-24,3.92,3.98,3.86,3.88,3.88,350012
2025-11-25,3.875,4.03,3.86,4,4,421197
2025-11-26,4.24,4.27,3.91,4.16,4.16,3453938
2025-11-27,4.16,4.315,4.09,4.1,4.1,4621489
2025-11-28,4.11,4.495,4.11,4.49,4.49,810025
2025-12-01,4.51,4.59,4.45,4.58,4.58,494094
2025-12-02,4.59,4.85,4.57,4.78,4.78,803050
2025-12-03,4.75,4.9,4.7,4.87,4.87,721506
2025-12-04,4.88,5.005,4.86,5,5,1270276
2025-12-05,5,5,4.8,4.87,4.87,376226
2025-12-08,4.88,4.9,4.75,4.76,4.76,245853
2025-12-09,4.76,4.8,4.65,4.75,4.75,298336
2025-12-10,4.82,4.88,4.765,4.79,4.79,619142
2025-12-11,4.87,4.87,4.77,4.79,4.79,123303
2025-12-12,4.66,4.92,4.66,4.85,4.85,177898
2025-12-15,4.71,5,4.71,4.96,4.96,245018
