Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.74,7.78,7.69,7.69,7.2404,250216
2025-07-23,7.72,7.905,7.71,7.88,7.4193,334160
2025-07-24,7.88,7.93,7.71,7.8,7.3439,429429
2025-07-25,7.78,7.8,7.66,7.7,7.2498,341252
2025-07-28,7.72,7.76,7.69,7.71,7.2592,149655
2025-07-29,7.73,7.825,7.68,7.79,7.3345,209830
2025-07-30,7.82,7.94,7.74,7.94,7.4757,238587
2025-07-31,7.88,7.96,7.84,7.92,7.4569,251574
2025-08-01,7.87,7.96,7.83,7.94,7.4757,140185
2025-08-04,7.9,7.93,7.855,7.88,7.4193,270370
2025-08-05,7.94,7.98,7.92,7.95,7.4852,210310
2025-08-06,7.99,8.1,7.95,8.08,7.6076,228767
2025-08-07,8.06,8.11,8.01,8.11,7.6358,282368
2025-08-08,8.12,8.13,8.05,8.13,7.6546,220186
2025-08-11,8.11,8.24,8.11,8.17,7.6923,233427
2025-08-12,8.18,8.23,8.06,8.21,7.73,126814
2025-08-13,8.24,8.24,8.055,8.16,7.6829,234820
2025-08-14,8.16,8.18,8.05,8.14,7.664,246148
2025-08-15,8.15,8.17,8.095,8.1,7.6264,199331
2025-08-18,8.07,8.11,8.01,8.08,7.6076,207533
2025-08-19,8.05,8.135,8.02,8.1,7.6264,220333
2025-08-20,8.24,8.285,8.13,8.13,7.6546,260190
2025-08-21,8.21,8.37,8.12,8.35,7.8618,313860
2025-08-22,8.34,8.34,8,8,7.5322,405897
2025-08-25,8.1,8.1,7.93,8.02,7.5511,455022
2025-08-26,7.96,8.08,7.95,8.02,7.5511,509692
2025-08-27,8.02,8.065,7.92,8.04,7.5699,189040
2025-08-28,8.35,8.36,7.51,8.08,7.6076,1026322
2025-08-29,8.26,9.15,8.195,9.05,8.5208,1255122
2025-09-01,9.08,9.17,8.98,9.09,8.5585,763123
2025-09-02,9.1,9.16,8.99,9.09,8.5585,429159
2025-09-03,9.09,9.2,8.81,8.86,8.342,778752
2025-09-04,9,9.13,8.92,9.08,8.5491,632893
2025-09-05,9.13,9.17,9.03,9.1,8.5679,274779
2025-09-08,8.74,8.75,8.12,8.7,8.3707,807222
2025-09-09,8.82,8.87,8.655,8.67,8.3418,476183
2025-09-10,8.65,8.65,8.33,8.37,8.0532,316251
2025-09-11,8.5,8.5,8.31,8.34,8.0243,283199
2025-09-12,8.3,8.35,8.21,8.24,7.9281,255849
2025-09-15,8.23,8.31,8.18,8.26,7.9473,302647
2025-09-16,8.27,8.3,8.16,8.23,7.9185,412137
2025-09-17,8.18,8.23,8.13,8.17,7.8607,568794
2025-09-18,8.2,8.3,8.15,8.24,7.9281,481000
2025-09-19,8.25,8.35,8.17,8.17,7.8607,4688330
2025-09-22,8.21,8.35,8.17,8.3,7.9858,556809
2025-09-23,8.33,8.33,8.14,8.14,7.8319,449829
2025-09-24,8.2,8.2,8.12,8.16,7.8511,330490
2025-09-25,8.12,8.17,8.04,8.06,7.7549,480966
2025-09-26,8.06,8.24,8.05,8.24,7.9281,449441
2025-09-29,8.25,8.37,8.22,8.22,7.9088,378039
