Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.26,2.34,2.24,2.34,2.2859,282975
2025-07-23,2.36,2.39,2.21,2.25,2.198,241936
2025-07-24,2.23,2.3,2.22,2.26,2.2078,118943
2025-07-25,2.26,2.27,2.21,2.26,2.2078,548111
2025-07-28,2.26,2.27,2.19,2.25,2.198,234878
2025-07-29,2.23,2.31,2.19,2.25,2.198,599977
2025-07-30,2.25,2.27,2.18,2.23,2.1785,92183
2025-07-31,2.2,2.22,2.12,2.22,2.1687,126598
2025-08-01,2.35,2.405,2.245,2.28,2.2273,724684
2025-08-04,2.3,2.3,2.17,2.24,2.1882,182353
2025-08-05,2.24,2.3,2.18,2.29,2.2371,142769
2025-08-06,2.3,2.345,2.265,2.32,2.2664,308390
2025-08-07,2.32,2.53,2.31,2.5,2.4422,589124
2025-08-08,2.52,2.52,2.43,2.5,2.4422,334673
2025-08-11,2.52,2.555,2.45,2.5,2.4422,256647
2025-08-12,2.5,2.64,2.5,2.64,2.579,290553
2025-08-13,2.69,2.75,2.64,2.68,2.618,542497
2025-08-14,2.72,2.74,2.59,2.6,2.5399,322197
2025-08-15,2.66,2.68,2.56,2.6,2.5399,133788
2025-08-18,2.59,2.6,2.51,2.58,2.5204,168671
2025-08-19,2.59,2.66,2.57,2.61,2.5497,250863
2025-08-20,2.63,2.65,2.56,2.59,2.5301,181441
2025-08-21,2.59,2.66,2.54,2.6,2.5399,139634
2025-08-22,2.65,2.75,2.6,2.75,2.6864,499704
2025-08-25,2.77,2.8,2.67,2.68,2.618,425614
2025-08-26,2.75,3.01,2.65,2.88,2.8134,881896
2025-08-27,2.87,3.01,2.77,2.96,2.8916,4643485
2025-08-28,2.97,3,2.91,2.95,2.8818,337130
2025-08-29,2.93,2.95,2.86,2.88,2.8134,204846
2025-09-01,2.88,2.91,2.82,2.84,2.7744,216000
2025-09-02,2.84,2.89,2.75,2.76,2.6962,182070
2025-09-03,2.75,2.9,2.72,2.88,2.8134,345292
2025-09-04,2.9,2.93,2.84,2.93,2.8623,180991
2025-09-05,2.92,2.99,2.89,2.93,2.8623,116498
2025-09-08,2.94,3,2.9,2.95,2.8818,373475
2025-09-09,2.98,3,2.92,2.94,2.872,229306
2025-09-10,2.95,3.15,2.945,3.09,3.0186,674836
2025-09-11,3.1,3.13,3.04,3.09,3.0186,151081
2025-09-12,3.12,3.2,3.06,3.16,3.087,216612
2025-09-15,3.18,3.3,3.15,3.27,3.1944,420073
2025-09-16,3.3,3.45,3.25,3.44,3.3605,941056
2025-09-17,3.44,3.47,3.31,3.45,3.3703,457853
2025-09-18,3.44,3.48,3.34,3.43,3.4,142786
2025-09-19,3.45,3.52,3.45,3.45,3.4198,386890
2025-09-22,3.48,3.69,3.46,3.68,3.6478,544062
2025-09-23,3.72,3.79,3.6,3.64,3.6082,474999
2025-09-24,3.69,3.69,3.55,3.64,3.6082,290689
2025-09-25,3.64,3.83,3.62,3.74,3.7073,306016
2025-09-26,3.85,3.98,3.84,3.88,3.8461,1034903
2025-09-29,4,4.24,4,4.11,4.074,877231
2025-09-30,4.09,4.15,4.02,4.09,4.0542,514481
2025-10-01,4.1,4.15,4.09,4.1,4.0641,529693
2025-10-02,4.1,4.1,4.01,4.08,4.0443,381192
2025-10-03,4.08,4.2,4.07,4.13,4.0939,943011
2025-10-06,4.14,4.21,4.08,4.19,4.1533,913888
2025-10-07,4.19,4.35,4.19,4.35,4.3119,643862
2025-10-08,4.37,4.41,4.28,4.33,4.2921,434617
2025-10-09,4.36,4.48,4.26,4.31,4.2723,575016
2025-10-10,4.32,4.48,4.315,4.42,4.3813,670726
2025-10-13,4.42,4.42,4.2,4.21,4.1732,585914
2025-10-14,4.25,4.32,4.25,4.32,4.2822,251031
2025-10-15,4.33,4.34,4.11,4.13,4.0939,499417
2025-10-16,4.14,4.27,4.14,4.2,4.1633,398901
2025-10-17,4.2,4.215,3.92,3.92,3.8857,680607
2025-10-20,3.92,4.02,3.86,3.98,3.9452,388688
2025-10-21,4,4.07,3.96,4,3.965,214228
2025-10-22,3.99,4.09,3.94,4,3.965,408118
2025-10-23,3.99,4.09,3.96,4.09,4.0542,270687
2025-10-24,4.09,4.12,3.93,3.94,3.9055,163374
2025-10-27,3.95,4.09,3.82,4.06,4.0245,481681
2025-10-28,4.01,4.01,3.72,3.8,3.7668,406244
2025-10-29,3.8,3.85,3.72,3.74,3.7073,245107
2025-10-30,3.73,3.85,3.7,3.77,3.737,299083
2025-10-31,3.78,3.85,3.76,3.8,3.7668,210307
2025-11-03,3.81,3.82,3.52,3.55,3.5189,468326
2025-11-04,3.53,3.65,3.46,3.65,3.6181,379550
2025-11-05,3.6,3.64,3.54,3.64,3.6082,350406
2025-11-06,3.62,3.62,3.34,3.34,3.3108,479715
2025-11-07,3.32,3.55,3.3,3.45,3.4198,463103
2025-11-10,3.54,3.54,3.41,3.41,3.3802,195325
2025-11-11,3.4,3.45,3.3,3.34,3.3108,421162
2025-11-12,3.36,3.41,3.21,3.24,3.2117,259356
2025-11-13,3.26,3.33,3.13,3.29,3.2612,545177
2025-11-14,3.19,3.32,3.14,3.28,3.2513,270494
2025-11-17,3.32,3.35,3.23,3.25,3.2216,247644
2025-11-18,3.35,3.45,3.25,3.39,3.3603,302528
2025-11-19,3.45,3.58,3.3,3.31,3.281,618132
2025-11-20,3.4,3.67,3.33,3.47,3.4396,453167
2025-11-21,3.47,3.61,3.44,3.47,3.4396,466087
2025-11-24,3.53,3.89,3.52,3.8,3.7668,383211
2025-11-25,3.9,4.1,3.87,4.04,4.0047,241454
2025-11-26,4.08,4.15,3.92,4.15,4.1137,393882
2025-11-27,4.13,4.39,4.12,4.38,4.3417,297199
2025-11-28,4.37,4.37,4.14,4.15,4.1137,407993
2025-12-01,4.19,4.3,4.13,4.2,4.1633,314463
2025-12-02,4.16,4.3,4.1,4.18,4.1434,152472
2025-12-03,4.25,4.25,4.11,4.13,4.0939,115965
2025-12-04,4.15,4.18,4.05,4.06,4.0245,64411
2025-12-05,4.1,4.3,4.1,4.29,4.2525,190717
2025-12-08,4.29,4.33,4.2,4.23,4.193,239259
2025-12-09,4.2,4.26,4.07,4.16,4.1236,147472
2025-12-10,4.07,4.2,3.865,4,3.965,269098
2025-12-11,4,4.08,3.95,4.02,3.9848,109563
2025-12-12,4.06,4.17,4.02,4.1,4.0641,104115
2025-12-15,4.1,4.12,4.04,4.1,4.0641,49943
2025-12-16,4.1,4.15,4.02,4.14,4.1038,117741
2025-12-17,4.14,4.22,4.04,4.11,4.074,214116
2025-12-18,4.14,4.19,3.99,4,3.965,151080
2025-12-19,4.09,4.22,4.01,4.1,4.0641,174659
2025-12-22,4.11,4.18,3.75,3.99,3.9551,292290
2025-12-23,4.05,4.05,3.87,4.02,3.9848,163738
2025-12-24,4.04,4.04,3.89,3.93,3.8956,111898
2025-12-29,4.05,4.05,3.93,3.98,3.9452,152462
2025-12-30,4.03,4.11,3.99,4.03,3.9947,160713
2025-12-31,4.03,4.1,4.03,4.03,3.9947,97180
2026-01-02,4.01,4.06,3.93,3.95,3.9154,84215
2026-01-05,4,4,3.81,3.84,3.8064,171754
2026-01-06,3.82,3.9,3.71,3.72,3.6875,248673
2026-01-07,3.72,3.8,3.64,3.73,3.6974,287143
2026-01-08,3.65,3.77,3.65,3.74,3.7073,106434
2026-01-09,3.78,3.92,3.78,3.86,3.8262,132576
2026-01-12,3.95,3.99,3.84,3.92,3.8857,188003
2026-01-13,3.97,3.97,3.71,3.72,3.6875,541762
2026-01-14,3.71,3.97,3.71,3.91,3.8758,151092
2026-01-15,3.99,4.05,3.89,3.96,3.9254,143838
2026-01-16,3.98,4.235,3.98,4.1,4.0641,312856
2026-01-19,4.15,4.15,3.82,3.82,3.7866,167041
2026-01-20,3.82,3.92,3.73,3.86,3.8262,255352
2026-01-21,3.8,3.87,3.71,3.87,3.8361,108805
2026-01-22,3.81,3.91,3.75,3.88,3.8461,119654
2026-01-23,3.87,3.95,3.78,3.78,3.7469,125111
2026-01-27,3.74,3.78,3.5,3.62,3.5883,452293
2026-01-28,3.61,3.63,3.48,3.54,3.509,322909
2026-01-29,3.48,3.55,3.4,3.42,3.3901,317933
2026-01-30,3.43,3.53,3.31,3.53,3.4991,340696
2026-02-02,3.53,3.53,3.35,3.38,3.3504,176424
2026-02-03,3.39,3.66,3.38,3.61,3.5784,260064
2026-02-04,3.58,3.63,3.52,3.53,3.4991,123928
2026-02-05,3.94,4.005,3.74,3.83,3.7965,766323
2026-02-06,3.87,3.99,3.7,3.92,3.8857,322554
2026-02-09,3.97,4.18,3.93,4.14,4.1038,511909
2026-02-10,4.2,4.2,4.01,4.19,4.1533,320562
2026-02-11,4.1,4.33,4.1,4.28,4.2426,291532
2026-02-12,4.28,4.3,4.19,4.24,4.2029,109087
2026-02-13,4.15,4.23,4.04,4.08,4.0443,104653
2026-02-16,4.12,4.21,4.04,4.1,4.0641,100292
2026-02-17,4.06,4.09,3.93,3.93,3.8956,91919
2026-02-18,4.04,4.28,3.95,4.25,4.2128,522287
2026-02-19,4.25,4.95,4.23,4.88,4.8373,903612
2026-02-20,4.88,4.9,4.67,4.71,4.6688,836061
2026-02-23,4.72,4.76,4.5,4.63,4.5895,323421
2026-02-24,4.93,5.14,4.26,4.49,4.4507,711957
2026-02-25,4.5,4.75,4.47,4.6,4.5598,677899
2026-02-26,4.54,4.66,4.41,4.57,4.53,110544
2026-02-27,4.6,4.85,4.33,4.44,4.4012,458483
2026-03-02,4.4,4.42,4.19,4.22,4.1831,190116
2026-03-03,4.08,4.17,3.87,4.12,4.084,426310
2026-03-04,3.95,4.05,3.9,4,3.965,319879
2026-03-05,3.96,4.18,3.84,4.15,4.15,270933
2026-03-06,4.16,4.45,4.16,4.39,4.39,315284
2026-03-09,4.37,4.37,3.91,4.2,4.2,569602
2026-03-10,4.37,4.4,4.22,4.37,4.37,226157
2026-03-11,4.38,4.78,4.35,4.63,4.63,464344
2026-03-12,4.6,4.6,4.4,4.54,4.54,336041
2026-03-13,4.5,4.62,4.34,4.55,4.55,202449
2026-03-16,4.6,4.6,4.18,4.28,4.28,395951
2026-03-17,4.47,4.49,4.25,4.44,4.44,100701
2026-03-18,4.52,4.61,4.41,4.6,4.6,126965
2026-03-19,4.45,4.58,4.11,4.12,4.12,281143
2026-03-20,4.15,4.15,3.89,3.89,3.89,321119
2026-03-23,3.76,3.89,3.55,3.83,3.83,408570
2026-03-24,3.85,3.97,3.71,3.85,3.85,139728
2026-03-25,3.85,4.16,3.75,4.05,4.05,233842
2026-03-26,4.05,4.25,4.05,4.08,4.08,301459
2026-03-27,3.98,4.01,3.89,3.9,3.9,71750
2026-03-30,3.89,3.93,3.8,3.9,3.9,124816
