Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.09,3.17,3.08,3.12,3.12,999085
2025-07-23,3.12,3.13,3.03,3.1,3.1,653529
2025-07-24,3.04,3.11,3.04,3.08,3.08,671988
2025-07-25,3.06,3.15,3.06,3.13,3.13,479245
2025-07-28,3.06,3.18,3.03,3.14,3.14,801899
2025-07-29,3.18,3.2,3.1,3.2,3.2,513340
2025-07-30,3.17,3.26,3.17,3.23,3.23,1193914
2025-07-31,3.22,3.37,3.2,3.35,3.35,3756654
2025-08-01,3.36,3.375,3.305,3.35,3.35,899194
2025-08-04,3.34,3.4,3.31,3.34,3.34,1307249
2025-08-05,3.37,3.38,3.24,3.31,3.31,1010269
2025-08-06,3.31,3.35,3.28,3.32,3.32,728277
2025-08-07,3.33,3.35,3.27,3.3,3.3,1038489
2025-08-08,3.3,3.34,3.285,3.34,3.34,745835
2025-08-11,3.33,3.34,3.21,3.23,3.23,924507
2025-08-12,3.23,3.25,3.12,3.15,3.15,1599269
2025-08-13,3.26,3.26,3.12,3.19,3.19,1213256
2025-08-14,3.18,3.23,3.11,3.21,3.21,1439106
2025-08-15,3.2,3.32,3.2,3.28,3.28,1124501
2025-08-18,3.26,3.36,3.26,3.3,3.3,758861
2025-08-19,3.28,3.36,3.25,3.26,3.26,2110883
2025-08-20,3.5,3.55,2.75,3.23,3.23,5324071
2025-08-21,3.2,3.21,3.01,3.08,3.08,4993196
2025-08-22,3.08,3.08,2.95,2.96,2.96,2425541
2025-08-25,2.9,2.95,2.82,2.94,2.94,3339346
2025-08-26,2.92,2.99,2.86,2.99,2.99,3170308
2025-08-27,2.94,2.94,2.7,2.85,2.85,4812754
2025-08-28,2.87,2.95,2.8,2.82,2.82,1717963
2025-08-29,2.82,2.9,2.81,2.88,2.88,1420287
2025-09-01,2.85,2.89,2.82,2.84,2.84,1894558
2025-09-02,2.84,2.905,2.81,2.87,2.87,1317596
2025-09-03,2.89,2.935,2.82,2.82,2.82,1598704
2025-09-04,2.82,2.89,2.81,2.81,2.81,1017175
2025-09-05,2.82,2.92,2.82,2.91,2.91,1545070
2025-09-08,3.1,3.16,3.08,3.12,3.12,4081813
2025-09-09,3.12,3.12,2.97,3,3,2783973
2025-09-10,3.01,3.12,3.01,3.08,3.08,1210359
2025-09-11,3.07,3.135,3.07,3.13,3.13,861997
2025-09-12,3.13,3.14,3.02,3.05,3.05,1383419
2025-09-15,2.96,3.055,2.94,3.02,3.02,1406868
2025-09-16,3.03,3.1,3,3.07,3.07,3186694
2025-09-17,3.11,3.2,3.08,3.12,3.12,2083238
2025-09-18,3.1,3.23,3.075,3.21,3.21,3175321
2025-09-19,3.33,3.37,3.13,3.21,3.21,21015676
2025-09-22,3.24,3.24,3.18,3.2,3.2,1602706
2025-09-23,3.2,3.355,3.19,3.32,3.32,2717802
2025-09-24,3.32,3.37,3.28,3.35,3.35,2229114
2025-09-25,3.36,3.37,3.31,3.36,3.36,1262336
2025-09-26,3.28,3.34,3.26,3.32,3.32,1562576
2025-09-29,3.35,3.4,3.31,3.36,3.36,1496770
2025-09-30,3.3,3.4,3.29,3.4,3.4,1232949
2025-10-01,3.38,3.55,3.38,3.55,3.55,1748436
2025-10-02,3.56,3.57,3.24,3.26,3.26,3693795
2025-10-03,3.26,3.315,3.16,3.25,3.25,8822028
2025-10-06,3.28,3.28,3.17,3.19,3.19,1589985
2025-10-07,3.2,3.21,3.13,3.16,3.16,1322621
2025-10-08,3.18,3.18,3.07,3.14,3.14,1608600
2025-10-09,3.15,3.17,3.08,3.1,3.1,3861446
2025-10-10,3.11,3.11,3.05,3.09,3.09,1341096
2025-10-13,3.04,3.08,3.01,3.05,3.05,1198881
2025-10-14,3.1,3.13,3.01,3.09,3.09,1678456
2025-10-15,3.1,3.19,3.08,3.15,3.15,1699560
2025-10-16,3.18,3.24,3.11,3.23,3.23,1704089
2025-10-17,3.18,3.23,3.13,3.2,3.2,1038788
2025-10-20,3.23,3.27,3.215,3.27,3.27,574058
2025-10-21,3.28,3.33,3.195,3.24,3.24,2857228
