Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.38,4.38,4.17,4.25,4.25,513244
2025-07-23,4.28,4.33,4.215,4.33,4.33,410493
2025-07-24,4.34,4.86,4.32,4.76,4.76,1000687
2025-07-25,4.85,4.85,4.64,4.8,4.8,548565
2025-07-28,4.72,4.89,4.57,4.82,4.82,1027174
2025-07-29,4.79,4.82,4.51,4.58,4.58,636765
2025-07-30,4.52,4.57,4.125,4.15,4.15,1029458
2025-07-31,4.11,4.26,4.08,4.25,4.25,1736877
2025-08-01,4.16,4.33,4.08,4.24,4.24,707700
2025-08-04,4.19,4.36,4.11,4.36,4.36,420922
2025-08-05,4.53,4.975,4.51,4.63,4.63,1251682
2025-08-06,4.63,4.63,4.63,4.63,4.63,0
2025-08-07,4,4.1,3.86,3.9,3.9,6278710
2025-08-08,3.89,3.97,3.81,3.95,3.95,3557645
2025-08-11,3.94,3.95,3.85,3.9,3.9,1264571
2025-08-12,3.89,4.06,3.89,4.01,4.01,1490326
2025-08-13,4.06,4.07,3.93,3.97,3.97,692007
2025-08-14,3.92,3.94,3.79,3.9,3.9,3921679
2025-08-15,3.87,3.895,3.75,3.85,3.85,2881667
2025-08-18,3.83,3.96,3.81,3.83,3.83,673577
2025-08-19,3.84,3.89,3.78,3.82,3.82,1016594
2025-08-20,3.74,3.74,3.47,3.52,3.52,2691831
2025-08-21,3.55,3.695,3.45,3.63,3.63,1062791
2025-08-22,3.57,3.76,3.57,3.72,3.72,1060218
2025-08-25,3.87,3.88,3.77,3.77,3.77,1015837
2025-08-26,3.76,4.09,3.76,4.09,4.09,2343260
2025-08-27,4.15,4.235,3.98,4.03,4.03,1597256
2025-08-28,4,4.095,3.93,4.05,4.05,627832
2025-08-29,4.13,4.35,4.12,4.15,4.15,2099717
2025-09-01,4.05,4.11,4,4.09,4.09,618992
2025-09-02,4.08,4.1,4.02,4.05,4.05,330513
2025-09-03,3.95,4.01,3.88,3.91,3.91,833994
2025-09-04,3.95,4.08,3.95,4.03,4.03,515693
2025-09-05,3.95,4.015,3.88,3.95,3.95,849204
2025-09-08,3.98,4.16,3.95,4.14,4.14,817992
2025-09-09,4.23,4.33,4.2,4.22,4.22,1446120
2025-09-10,4.13,4.13,4.01,4.01,4.01,608924
2025-09-11,3.96,4,3.9,3.95,3.95,634638
2025-09-12,4.02,4.02,3.86,3.92,3.92,988188
2025-09-15,3.89,4.01,3.86,4.01,4.01,558074
2025-09-16,4.3,4.5,4.195,4.22,4.22,2233260
2025-09-17,4.35,4.9,4.29,4.79,4.79,3902969
2025-09-18,5.02,5.61,4.95,5.59,5.59,3848554
2025-09-19,5.7,5.875,5.685,5.77,5.77,4397846
2025-09-22,6.07,6.2,5.75,6.01,6.01,2003869
2025-09-23,6,6.09,5.98,6.03,6.03,2065217
2025-09-24,6,6.24,5.98,6.23,6.23,1833705
2025-09-25,6.1,6.54,6.1,6.54,6.54,1380804
2025-09-26,6.5,6.59,6.35,6.55,6.55,1619780
2025-09-29,6.57,6.61,6.42,6.48,6.48,1991219
2025-09-30,6.5,6.82,6.35,6.57,6.57,2589611
2025-10-01,6.5,6.6,6.35,6.52,6.52,1281090
2025-10-02,6.76,7.09,6.7,6.96,6.96,2189266
2025-10-03,7.07,7.3,7.02,7.13,7.13,2221901
2025-10-06,7.04,7.045,6.81,6.91,6.91,1033463
