Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.65,0.675,0.65,0.675,0.675,9725
2025-04-28,0.68,0.72,0.655,0.715,0.715,36616
2025-04-29,0.705,0.705,0.705,0.705,0.705,100
2025-04-30,0.695,0.74,0.695,0.74,0.74,23543
2025-05-01,0.74,0.74,0.74,0.74,0.74,1219
2025-05-02,0.71,0.725,0.695,0.715,0.715,21961
2025-05-05,0.71,0.71,0.71,0.71,0.71,1761
2025-05-06,0.71,0.71,0.71,0.71,0.71,0
2025-05-07,0.71,0.71,0.67,0.67,0.67,14307
2025-05-08,0.66,0.7,0.66,0.7,0.7,843
2025-05-09,0.7,0.7,0.68,0.68,0.68,3924
2025-05-12,0.69,0.7,0.68,0.68,0.68,2412
2025-05-13,0.68,0.6875,0.68,0.685,0.685,17141
2025-05-14,0.68,0.695,0.68,0.69,0.69,18239
2025-05-15,0.69,0.6925,0.68,0.68,0.68,7534
2025-05-16,0.68,0.6825,0.68,0.6825,0.6825,2470
2025-05-19,0.7,0.7,0.67,0.7,0.7,34276
2025-05-20,0.68,0.68,0.67,0.67,0.67,814
2025-05-21,0.69,0.69,0.67,0.675,0.675,3821
2025-05-22,0.695,0.695,0.67,0.67,0.67,2926
2025-05-23,0.67,0.67,0.67,0.67,0.67,5552
2025-05-26,0.67,0.67,0.655,0.655,0.655,2710
2025-05-27,0.66,0.7,0.65,0.65,0.65,67250
2025-05-28,0.655,0.66,0.655,0.66,0.66,3661
2025-05-29,0.655,0.655,0.65,0.65,0.65,5880
2025-05-30,0.655,0.695,0.655,0.695,0.695,13171
2025-06-02,0.665,0.665,0.66,0.66,0.66,11915
2025-06-03,0.65,0.65,0.65,0.65,0.65,17953
2025-06-04,0.66,0.66,0.65,0.65,0.65,14174
2025-06-05,0.665,0.665,0.625,0.635,0.635,81348
2025-06-06,0.645,0.66,0.645,0.645,0.645,11089
2025-06-10,0.65,0.65,0.635,0.64,0.64,9121
2025-06-11,0.64,0.64,0.605,0.62,0.62,65202
2025-06-12,0.62,0.64,0.62,0.64,0.64,21373
2025-06-13,0.62,0.625,0.61,0.625,0.625,25485
2025-06-16,0.635,0.64,0.62,0.64,0.64,3362
2025-06-17,0.625,0.625,0.62,0.62,0.62,1304
2025-06-18,0.63,0.63,0.61,0.61,0.61,16987
2025-06-19,0.62,0.635,0.61,0.61,0.61,6902
2025-06-20,0.61,0.61,0.61,0.61,0.61,0
2025-06-23,0.61,0.63,0.61,0.61,0.61,3750
2025-06-24,0.61,0.61,0.61,0.61,0.61,10972
2025-06-25,0.61,0.61,0.61,0.61,0.61,35681
2025-06-26,0.61,0.61,0.61,0.61,0.61,4414
2025-06-27,0.61,0.61,0.55,0.55,0.55,145213
2025-06-30,0.55,0.57,0.55,0.56,0.56,38754
2025-07-01,0.56,0.56,0.56,0.56,0.56,0
2025-07-02,0.56,0.56,0.56,0.56,0.56,0
2025-07-03,0.515,0.535,0.515,0.535,0.535,6474
2025-07-04,0.55,0.57,0.55,0.565,0.565,13947
2025-07-07,0.5,0.61,0.5,0.61,0.61,31163
2025-07-08,0.61,0.61,0.61,0.61,0.61,0
2025-07-09,0.52,0.53,0.52,0.525,0.525,5485
2025-07-10,0.525,0.585,0.525,0.58,0.58,24243
2025-07-11,0.58,0.6,0.56,0.58,0.58,15800
2025-07-14,0.58,0.605,0.53,0.54,0.54,5272
2025-07-15,0.54,0.605,0.54,0.56,0.56,46543
2025-07-16,0.56,0.56,0.56,0.56,0.56,4011
2025-07-17,0.56,0.575,0.56,0.575,0.575,57472
2025-07-18,0.605,0.605,0.55,0.555,0.555,1844
2025-07-21,0.55,0.555,0.55,0.555,0.555,6511
2025-07-22,0.56,0.575,0.56,0.575,0.575,988
2025-07-23,0.6,0.6,0.56,0.56,0.56,5527
2025-07-24,0.56,0.575,0.56,0.575,0.575,46128
2025-07-25,0.57,0.58,0.56,0.58,0.58,8961
2025-07-28,0.59,0.6,0.58,0.58,0.58,17784
2025-07-29,0.58,0.58,0.57,0.58,0.58,65248
2025-07-30,0.565,0.565,0.56,0.56,0.56,1903
2025-07-31,0.55,0.57,0.55,0.57,0.57,1856
2025-08-01,0.57,0.58,0.53,0.53,0.53,2788
2025-08-04,0.53,0.55,0.53,0.55,0.55,8048
2025-08-05,0.55,0.55,0.55,0.55,0.55,13499
2025-08-06,0.55,0.55,0.55,0.55,0.55,1458
2025-08-07,0.53,0.55,0.53,0.55,0.55,10710
2025-08-08,0.55,0.555,0.55,0.55,0.55,52569
2025-08-11,0.545,0.56,0.545,0.56,0.56,907
2025-08-12,0.56,0.56,0.56,0.56,0.56,5374
2025-08-13,0.56,0.56,0.56,0.56,0.56,7
2025-08-14,0.56,0.56,0.56,0.56,0.56,0
2025-08-15,0.54,0.56,0.53,0.54,0.54,2577
2025-08-18,0.535,0.535,0.53,0.53,0.53,7465
2025-08-19,0.53,0.555,0.53,0.555,0.555,172083
2025-08-20,0.555,0.6,0.555,0.6,0.6,24802
2025-08-21,0.595,0.6,0.595,0.595,0.595,18946
2025-08-22,0.615,0.65,0.615,0.64,0.64,22274
2025-08-25,0.66,0.7,0.66,0.7,0.7,157865
2025-08-26,0.73,0.73,0.7,0.7,0.7,150630
2025-08-27,0.695,0.72,0.695,0.695,0.695,84203
2025-08-28,0.68,0.7,0.68,0.7,0.7,4646
2025-08-29,0.7,0.7,0.675,0.69,0.69,32023
2025-09-01,0.69,0.69,0.67,0.67,0.67,23078
2025-09-02,0.7,0.71,0.7,0.71,0.71,2101
2025-09-03,0.68,0.69,0.67,0.675,0.675,5518
2025-09-04,0.675,0.675,0.67,0.67,0.67,2681
2025-09-05,0.67,0.67,0.67,0.67,0.67,12
2025-09-08,0.67,0.67,0.67,0.67,0.67,11508
