Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.26,2.45,2.23,2.42,2.3105,5003054
2025-07-23,2.44,2.505,2.41,2.47,2.3582,5807906
2025-07-24,2.45,2.48,2.425,2.45,2.3391,1448394
2025-07-25,2.45,2.45,2.35,2.36,2.2532,2364429
2025-07-28,2.36,2.41,2.28,2.29,2.1864,1418817
2025-07-29,2.28,2.28,2.22,2.25,2.1482,2136100
2025-07-30,2.26,2.32,2.26,2.29,2.1864,1782577
2025-07-31,2.24,2.24,2.12,2.13,2.0336,1145507
2025-08-01,2.13,2.15,2.1,2.13,2.0336,1426963
2025-08-04,2.22,2.22,2.11,2.15,2.0527,2007594
2025-08-05,2.17,2.19,2.13,2.13,2.0336,1793840
2025-08-06,2.15,2.28,2.15,2.25,2.1482,1992371
2025-08-07,2.2,2.34,2.2,2.32,2.215,1965162
2025-08-08,2.31,2.4,2.295,2.4,2.2914,1524219
2025-08-11,2.36,2.46,2.36,2.44,2.3296,939242
2025-08-12,2.44,2.47,2.415,2.47,2.3582,2162249
2025-08-13,2.49,2.52,2.43,2.43,2.32,1489113
2025-08-14,2.43,2.47,2.35,2.37,2.2627,1352345
2025-08-15,2.35,2.39,2.35,2.36,2.2532,943532
2025-08-18,2.36,2.36,2.285,2.32,2.215,1107482
2025-08-19,2.32,2.34,2.3,2.31,2.2055,1109627
2025-08-20,2.29,2.3,2.17,2.17,2.0718,2393877
2025-08-21,2.19,2.22,2.13,2.19,2.0909,2660872
2025-08-22,2.22,2.24,2.15,2.18,2.0813,1137368
2025-08-25,2.1,2.1,1.95,2.06,1.9668,3542248
2025-08-26,2.06,2.06,1.955,1.96,1.8713,2487415
2025-08-27,1.965,2.03,1.935,1.935,1.8474,2926797
2025-08-28,1.95,1.95,1.8675,1.91,1.8236,5132722
2025-08-29,1.9,1.9325,1.865,1.865,1.7806,2978896
2025-09-01,1.86,1.955,1.84,1.95,1.8618,1683585
2025-09-02,1.925,1.935,1.835,1.86,1.7758,2549065
2025-09-03,1.855,1.875,1.81,1.81,1.7281,3203465
2025-09-04,1.805,1.84,1.775,1.785,1.7042,2327421
2025-09-05,1.775,1.81,1.76,1.79,1.709,5786126
2025-09-08,1.86,1.86,1.805,1.82,1.7376,3294014
2025-09-09,1.815,1.835,1.77,1.795,1.7138,1780454
2025-09-10,1.775,1.79,1.755,1.76,1.6804,1351751
2025-09-11,1.76,1.795,1.73,1.745,1.666,1338745
2025-09-12,1.75,1.77,1.73,1.76,1.6804,1142767
2025-09-15,1.77,1.82,1.755,1.815,1.7329,2398900
2025-09-16,1.84,1.9,1.84,1.865,1.7806,2901307
2025-09-17,1.86,1.9275,1.86,1.905,1.8188,3656858
2025-09-18,1.91,1.9625,1.895,1.92,1.8331,1998204
2025-09-19,1.93,2.03,1.93,1.955,1.8665,9308252
2025-09-22,1.96,1.985,1.9175,1.93,1.8427,2786257
2025-09-23,1.925,1.96,1.915,1.95,1.8618,1519833
2025-09-24,1.95,1.99,1.945,1.955,1.8665,1586002
2025-09-25,1.97,2.08,1.96,2.06,1.9668,2127490
2025-09-26,2.02,2.09,2.005,2.02,1.9286,3522135
2025-09-29,2.01,2.03,1.935,1.95,1.8618,2448576
2025-09-30,2.06,2.145,2.02,2.13,2.0336,4066288
2025-10-01,2.13,2.185,2.1,2.16,2.0623,1832324
2025-10-02,2.2,2.29,2.17,2.28,2.1768,3226343
2025-10-03,2.28,2.31,2.25,2.29,2.1864,1724408
