Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,39.76,40.27,39.74,40.05,39.1675,30293
2025-07-23,40.05,40.06,39.34,39.74,38.8644,41207
2025-07-24,39.51,39.68,39.15,39.53,38.659,19324
2025-07-25,39.14,39.53,37.5,38.49,37.6419,91929
2025-07-28,37.42,38.2,35.5,37.79,36.9573,143927
2025-07-29,37.56,38.38,37.12,37.38,36.5564,100228
2025-07-30,37.5,37.68,36.85,37.12,36.3021,80064
2025-07-31,37,37.44,36.6,37.27,36.4488,74274
2025-08-01,37,37.25,36.2,36.6,35.7935,72009
2025-08-04,36.49,36.6,35.75,36.44,35.6371,59596
2025-08-05,36.45,37.74,36.21,36.73,35.9207,104940
2025-08-06,37.01,37.5,36.465,36.64,35.8327,89447
2025-08-07,36.64,36.87,36.16,36.84,36.0283,42666
2025-08-08,36.8,37.61,36.8,37.36,36.5368,66948
2025-08-11,37.2,37.71,36.25,36.54,35.7349,95558
2025-08-12,37,37.14,36.3,36.64,35.8327,79397
2025-08-13,36.99,36.99,36.43,36.72,35.9109,58053
2025-08-14,36.99,37.23,36.76,37.09,36.2727,56014
2025-08-15,37.45,37.8,36.88,37.21,36.3901,39797
2025-08-18,37.21,38.71,36.96,38.55,37.7006,75923
2025-08-19,38.04,39.66,38.04,39.49,38.6199,71061
2025-08-20,39.09,40.69,39.09,39.78,38.9035,69449
2025-08-21,39.99,41,39.73,40.55,39.6565,57588
2025-08-22,40.8,41,39.4,40.39,39.5,80940
2025-08-25,40.39,41.6,40.245,41.14,40.2335,103425
2025-08-26,40.93,41.655,38.85,38.85,37.994,563820
2025-08-27,38.92,39.36,36.46,38.82,37.9646,131891
2025-08-28,38.5,39.31,36.89,37.48,36.6541,112981
2025-08-29,37.6,37.79,36.71,37.5,36.6737,123535
2025-09-01,37.16,37.69,36.88,37,36.1847,51722
2025-09-02,38.85,38.86,36.02,36.02,35.2263,161582
2025-09-03,35.72,36.64,35.18,36.18,35.3828,99736
2025-09-04,36.13,36.26,34.72,35.28,34.5026,166105
2025-09-05,35.31,36.19,35.18,35.48,34.6982,87956
2025-09-08,35.4,35.55,34.84,35.26,34.4831,91229
2025-09-09,34.99,35.75,34.83,35.39,34.6102,103424
2025-09-10,35.3,35.645,35.06,35.15,34.3755,53587
2025-09-11,35.16,35.615,35.09,35.35,34.5711,49115
2025-09-12,35.43,36.1,35.16,35.26,34.4831,90477
2025-09-15,35.24,35.33,34.75,35.2,34.4244,43359
2025-09-16,35.22,35.38,34.95,35.23,34.4537,47043
2025-09-17,35.2,35.21,34.57,34.75,34.3549,60468
2025-09-18,34.98,35.03,33.52,34.85,34.4537,111081
2025-09-19,34.94,35.16,33.71,34.29,33.9001,1023054
2025-09-22,34.14,34.94,34.14,34.8,34.4043,68919
2025-09-23,34.54,35.05,34.22,34.99,34.5921,68063
2025-09-24,34.93,34.93,33.84,34.29,33.9001,60973
2025-09-25,34.02,34.53,34.01,34.23,33.8408,66823
2025-09-26,34.1,34.31,33.59,34.31,33.9199,100017
2025-09-29,34.3,34.65,34,34.41,34.0187,65472
2025-09-30,34.01,34.82,33.92,34.01,33.6233,72034
2025-10-01,33.97,36,33.79,34.16,33.7716,47911
2025-10-02,34.29,35.75,34.03,35.44,35.037,103568
2025-10-03,35.62,35.82,34.85,35.51,35.1062,68506
2025-10-06,35.65,35.69,34.22,34.32,33.9298,65198
2025-10-07,34.51,35.16,34.42,35.16,34.7602,75805
2025-10-08,34.63,35.8,34.605,35.29,34.8887,29031
2025-10-09,35.12,35.27,34.72,35.09,34.691,68157
2025-10-10,34.78,35.32,34.73,34.96,34.5625,30145
2025-10-13,34.69,34.85,33.97,34.45,34.0583,133343
2025-10-14,35.1,35.57,34.59,35.23,34.8294,100498
2025-10-15,35.29,35.49,34.3,34.75,34.3549,44496
2025-10-16,34.24,34.73,34.07,34.44,34.0484,63923
2025-10-17,34.27,34.86,34,34.75,34.3549,39451
2025-10-20,34.33,34.7,34.17,34.4,34.0088,46222
2025-10-21,34.5,35.73,34.5,35.34,34.9382,57739
2025-10-22,35.3,35.3,34.56,34.85,34.4537,128648
2025-10-23,34.36,35.45,34.34,35.36,34.9579,23688
2025-10-24,35.46,37.785,35.11,36.93,36.5101,64791
2025-10-27,37,37.53,36.56,37.16,36.7375,55853
2025-10-28,37.14,37.14,36.34,36.64,36.2234,47700
2025-10-29,37,37.2,36.295,36.67,36.253,44272
2025-10-30,36.08,36.585,36.02,36.31,35.8971,56002
2025-10-31,36.5,36.5,35.27,35.27,34.869,66263
2025-11-03,35,35.62,34.5,34.5,34.1077,43127
2025-11-04,36.05,36.05,34.38,34.53,34.1374,38271
2025-11-05,34.53,34.89,33.62,34.11,33.7221,55658
2025-11-06,34.12,34.63,33.37,33.53,33.1487,50032
2025-11-07,33.39,34.1,33.01,33.14,32.7632,97962
2025-11-10,33.01,33.35,32.84,33.1,32.7236,40303
2025-11-11,33.1,33.53,32.74,33.12,32.7434,32536
2025-11-12,33.01,33.01,31.83,32.29,31.9228,191596
2025-11-13,32.29,32.59,31.66,32.04,31.6757,42501
2025-11-14,30.66,32.24,30.66,32.08,31.7152,87421
2025-11-17,31.5,32.66,31.38,32.66,32.2886,35043
2025-11-18,32.9,33.255,32.15,32.25,31.8833,38468
2025-11-19,32.19,32.75,31.83,32.32,31.9525,47498
2025-11-20,32.29,33.095,32.29,32.77,32.3974,32482
2025-11-21,32,32.73,32,32.55,32.1799,26586
2025-11-24,32.9,33.3,32.6,32.98,32.605,76308
2025-11-25,33.52,33.7,33.01,33.28,32.9016,19122
2025-11-26,34.49,34.49,33.49,33.49,33.1092,34145
2025-11-27,33,33.87,33,33.85,33.4651,73567
2025-11-28,33.85,34.29,33.37,34.18,33.7913,32518
2025-12-01,34.5,34.5,33.37,33.39,33.0103,14311
2025-12-02,33.68,33.74,32.65,33.41,33.0301,37130
2025-12-03,33.77,33.85,32.98,33.5,33.1191,21670
2025-12-04,33.95,33.95,32.84,33.43,33.0499,30481
2025-12-05,33.5,33.5,32.65,32.96,32.5852,38666
2025-12-08,32.96,33.88,32.31,33.73,33.3465,25283
2025-12-09,33.01,33.29,32.76,33.2,32.8225,39032
2025-12-10,32.8,32.94,32.46,32.52,32.1502,41391
2025-12-11,32.5,32.7,32.09,32.44,32.0711,39878
2025-12-12,32.56,32.99,31.52,31.93,31.5669,30268
2025-12-15,31.9,31.9,30.74,30.74,30.3905,55739
2025-12-16,30.75,31.4,30.52,31.4,31.043,45100
2025-12-17,31.5,31.5,30.67,30.99,30.6376,67963
2025-12-18,30.6,31.12,30.45,31.04,30.687,33635
2025-12-19,31,32.99,30.805,32.99,32.6149,119637
2025-12-22,32,32.8,31.495,32.51,32.1403,63844
2025-12-23,32.52,33,32.45,32.49,32.1206,129512
2025-12-24,32.5,32.595,31.92,32.1,31.735,23639
2025-12-29,32.1,32.64,32.1,32.54,32.17,28452
2025-12-30,32.48,32.78,32.25,32.39,32.0217,11481
2025-12-31,32.39,32.6,31.62,32.46,32.0909,40676
2026-01-02,32.45,32.46,31.88,32.11,31.7449,6442
2026-01-05,32.2,32.6,31.64,31.9,31.5373,20730
2026-01-06,31.91,32.65,31.91,32.05,31.6856,12549
2026-01-07,32.22,33.6,32.21,33.5,33.1191,47025
2026-01-08,32.8,33.71,32.8,33.55,33.1685,28089
2026-01-09,33.74,33.96,33.26,33.64,33.2575,14102
2026-01-12,33.98,35.49,33.93,34.86,34.4636,18783
2026-01-13,35.01,35.82,35,35.49,35.0864,20405
2026-01-14,35.11,35.75,34.73,34.73,34.3351,55585
2026-01-15,35.87,35.88,33.98,34.11,33.7221,15164
2026-01-16,33.98,34.57,33.98,34.3,33.91,19324
2026-01-19,34.03,35.46,34,34.82,34.4241,18687
2026-01-20,34.16,35.06,34,34.91,34.513,25158
2026-01-21,34.88,35.15,34.57,34.82,34.4241,56839
2026-01-22,34.82,35.82,34.79,35.18,34.78,28133
2026-01-23,35.89,37.62,35.06,35.16,34.7602,74721
2026-01-27,36,39.39,35.99,39,38.5565,76417
2026-01-28,39,39.66,38.56,38.56,38.1215,57940
2026-01-29,39.15,39.15,37.63,37.94,37.5086,35739
2026-01-30,38.25,38.25,36.68,36.96,36.5397,67812
2026-02-02,36.04,36.63,35.1,36.26,35.8477,70739
2026-02-03,36.29,36.57,35.87,35.92,35.5116,37497
2026-02-04,36.31,36.31,35.29,35.69,35.2842,30743
2026-02-05,35.54,36.19,35.115,35.45,35.0469,79320
2026-02-06,34.89,35.53,34.35,35.12,34.7207,32398
2026-02-09,35,35.64,35,35.54,35.1359,182473
2026-02-10,35.54,35.83,35.36,35.41,35.0074,18333
2026-02-11,35.1,35.7,34.01,35.5,35.0963,127405
2026-02-12,35.5,35.5,34.53,34.7,34.3054,43469
2026-02-13,34.6,34.6,32.92,32.97,32.5951,57596
2026-02-16,32.85,34.44,32.85,33.91,33.5244,72593
2026-02-17,34.5,34.55,33.3,34.34,33.9495,21195
2026-02-18,34.56,34.96,33.99,34.65,34.256,25618
2026-02-19,34.65,35.43,34.4,35.1,34.7009,45975
2026-02-20,35.49,35.49,34.4,34.96,34.5625,15214
2026-02-23,35.49,35.97,33.42,33.99,33.6035,78281
2026-02-24,35.5,35.5,33.88,34.53,34.1374,148819
2026-02-25,34.6,35.42,34.19,35.2,34.7997,194787
2026-02-26,35.2,35.62,35.16,35.38,34.9777,218162
2026-02-27,35.51,35.81,35.09,35.51,35.1062,314768
2026-03-02,35.51,35.8,34.475,34.99,34.5921,25739
2026-03-03,34.9,35.77,32.54,33.19,32.8126,113885
2026-03-04,34.2,34.2,31.45,32.76,32.3875,35427
2026-03-05,31.9,34.29,31.9,33.08,32.7039,68142
2026-03-06,31.79,34.45,31.65,34.26,33.8704,201928
2026-03-09,31.99,35.2,31.99,34,33.6134,209661
2026-03-10,34.855,36.34,34,35.96,35.5511,145027
2026-03-11,34.81,36.18,34.15,34.67,34.2758,62787
2026-03-12,34.65,34.65,32,32.27,31.9031,67211
2026-03-13,32.28,32.28,31.2,31.75,31.389,85027
2026-03-16,31.28,31.69,31.01,31.14,30.7859,28013
2026-03-17,31.15,32.3,31.15,31.66,31.3,65845
2026-03-18,31.67,32.715,31.16,31.5,31.5,44420
2026-03-19,31.18,31.18,30.32,30.89,30.89,56893
2026-03-20,30.9,33,30.855,33,33,137191
2026-03-23,32.11,32.19,30.88,31.85,31.85,101451
2026-03-24,32.65,32.65,31.14,31.84,31.84,46290
2026-03-25,32.5,33.19,31.66,32.26,32.26,39690
2026-03-26,33,33,32.02,32.36,32.36,11649
2026-03-27,31.96,32.65,31.83,32.46,32.46,26270
2026-03-30,32.65,32.65,31.33,31.78,31.78,25344
2026-03-31,31.82,31.97,30.95,31.33,31.33,63975
2026-04-01,31.795,33.04,31.79,32.18,32.18,44345
2026-04-02,32.51,32.66,31.33,31.44,31.44,53116
2026-04-07,31.44,32.64,31.44,32.07,32.07,26043
2026-04-08,32.41,33.63,32.41,33.37,33.37,55584
2026-04-09,33.11,33.76,33,33.08,33.08,24758
2026-04-10,34.04,34.04,32,33.51,33.51,18845
2026-04-13,33.52,33.52,32.37,33.28,33.28,44380
2026-04-14,33.6,33.6,32.17,32.41,32.41,43898
2026-04-15,32.41,33.08,32.19,32.19,32.19,10855
2026-04-16,32.74,33.23,31.74,32.15,32.15,45395
2026-04-17,32.15,32.37,31.61,32.37,32.37,53361
2026-04-20,32.59,33.02,32.26,33.02,33.02,76942
2026-04-21,33.5,33.5,32.63,32.91,32.91,19549
2026-04-22,32.97,33.13,32.11,32.3,32.3,96984
2026-04-23,32,32.4,31.8,32.3,32.3,148833
2026-04-24,32.95,33.42,31.62,32.32,32.32,37162
2026-04-27,31.99,32.51,31.82,32.28,32.28,12643
2026-04-28,32.36,32.36,31.01,31.09,31.09,46976
2026-04-29,30.75,32.205,30.32,32,32,56408
2026-04-30,32.48,32.48,30.64,31.68,31.68,58664
2026-05-01,31.71,32.18,31.3,32.14,32.14,154377
2026-05-04,32.16,33.41,31.73,32.05,32.05,33916
2026-05-05,31.83,32.1,31.61,31.81,31.81,12860
2026-05-06,31.8,32.15,31.57,31.86,31.86,27829
