Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,41.1,41.2,40.49,40.67,39.6608,221510
2025-07-23,40.69,40.98,40.41,40.98,39.9631,323052
2025-07-24,41,41,40.32,40.48,39.4755,282574
2025-07-25,40.48,40.48,39.85,40.22,39.2219,333194
2025-07-28,40.15,40.68,40.11,40.53,39.5242,225995
2025-07-29,40.57,40.57,40.02,40.5,39.495,322356
2025-07-30,40.4,40.89,40.07,40.58,39.573,281488
2025-07-31,40.6,40.82,40.3,40.58,39.573,271354
2025-08-01,40.46,40.55,39.955,40.32,39.3195,313560
2025-08-04,40.25,40.48,39.98,40.31,39.3097,252316
2025-08-05,40.51,41.66,40.51,41.46,40.4312,442420
2025-08-06,41.55,43.05,41.545,42.52,41.4649,731033
2025-08-07,42.52,42.69,42.06,42.16,41.1138,446078
2025-08-08,42,42.46,41.7,42.05,41.0065,289013
2025-08-11,42.05,42.22,41.8,42.22,41.1723,372933
2025-08-12,42.1,42.81,41.96,42.47,41.4161,645651
2025-08-13,42.59,42.97,42.36,42.59,41.5331,792313
2025-08-14,42.55,42.93,42.4,42.65,41.5916,702193
2025-08-15,42.6,42.65,42.24,42.65,41.5916,388210
2025-08-18,42.58,42.725,42.3,42.59,41.5331,813483
2025-08-19,42.36,42.4,41.945,42.34,41.2893,354087
2025-08-20,42.5,42.85,42.27,42.52,41.4649,392429
2025-08-21,42.32,42.32,41.64,42.09,41.6231,744901
2025-08-22,41.89,42.39,41.82,42.16,41.6923,511634
2025-08-25,42.54,42.69,42.18,42.53,42.0582,409172
2025-08-26,42.3,42.71,41.88,42.14,41.6725,491907
2025-08-27,42.33,43.22,42.15,43.22,42.7406,331155
2025-08-28,43.2,43.56,43,43.5,43.0174,304160
2025-08-29,43.37,43.95,43.25,43.76,43.2746,366004
2025-09-01,43.78,44.14,43.5,44.02,43.5317,437255
2025-09-02,43.9,44.03,42.69,43.01,42.5329,403458
2025-09-03,42.42,42.97,41.5,41.92,41.455,516389
2025-09-04,42.03,42.45,41.8,42.42,41.9494,489315
2025-09-05,42.82,44.3,42.61,43.96,43.4723,1078232
2025-09-08,44.11,44.46,43.58,43.9,43.413,916014
2025-09-09,44.05,44.54,43.92,44.3,43.8086,898725
2025-09-10,44.28,45.14,44.06,44.56,44.0657,987439
2025-09-11,44.5,44.56,42.87,43.1,42.6219,1869924
2025-09-12,43.45,43.565,42.49,42.51,42.0384,1194258
2025-09-15,43.46,43.48,40.32,40.32,39.8727,7951873
2025-09-16,41.8,42.03,40.46,41.15,40.6935,320494
2025-09-17,42.68,42.68,41.01,41.3,40.8419,655628
2025-09-18,41.11,42.71,39.42,39.42,38.9827,954698
2025-09-19,39.93,40.88,39.66,40.54,40.0903,3527890
2025-09-22,41.68,41.68,39.56,40.06,39.6156,391678
2025-09-23,41.8,41.8,40.58,40.88,40.4265,561350
2025-09-24,41.25,41.25,39.01,39.14,38.7058,417187
2025-09-25,38.92,39.5,37.53,39.5,39.0618,1396909
2025-09-26,39,39.7,38.27,38.68,38.2509,1130486
2025-09-29,38.53,38.76,38.04,38.22,37.796,784042
2025-09-30,38.35,39.22,37.9,38.49,38.063,1259513
2025-10-01,38.8,40.57,38.51,40.57,40.12,2824149
2025-10-02,39.12,40.35,38.3,39.06,38.6267,1054636
2025-10-03,39.49,39.76,38.93,38.93,38.4981,634674
2025-10-06,39.19,39.7,38.54,38.75,38.3201,349012
2025-10-07,38.6,38.65,37.85,37.85,37.4301,758469
2025-10-08,37.85,38.745,37.73,38.42,37.9938,664328
2025-10-09,38.56,38.7,37.95,38.56,38.1322,694489
2025-10-10,38.68,39.04,38.43,38.73,38.3004,431737
2025-10-13,38.5,39.08,38.08,38.37,37.9444,534896
2025-10-14,38.37,38.67,38.15,38.37,37.9444,584984
2025-10-15,38.5,38.74,37.88,37.98,37.5587,730759
2025-10-16,37.99,38.47,37.52,38.2,37.7762,960534
2025-10-17,38.06,38.35,37.63,37.94,37.5191,659234
2025-10-20,37.9,38,37.55,37.74,37.3213,328487
2025-10-21,38.35,38.35,37.84,38.2,37.7762,609739
2025-10-22,38.25,38.35,37.73,37.73,37.3115,440181
2025-10-23,37.67,37.93,37.26,37.82,37.4005,487746
2025-10-24,37.82,38,37.53,37.53,37.1137,416495
2025-10-27,37.85,38.19,37.67,37.67,37.2521,368396
2025-10-28,37.72,38.38,37.72,38.17,37.7466,1023521
2025-10-29,38,38.16,37.52,37.52,37.1038,444824
2025-10-30,37.5,37.97,37.41,37.73,37.3115,422329
2025-10-31,38,38.36,37.6,37.6,37.1829,790295
2025-11-03,37.75,38.18,37.6,38.07,37.6477,434161
2025-11-04,38.05,38.08,37.33,37.41,36.995,351805
2025-11-05,37.63,37.83,37.4,37.83,37.4103,514299
2025-11-06,38,38.2,37.5,37.7,37.2818,590472
2025-11-07,38,38,37.52,37.52,37.1038,342552
2025-11-10,37.62,38,37.33,37.78,37.3609,422856
2025-11-11,37.8,38.2,37.76,37.76,37.3411,595539
2025-11-12,37.74,38.17,37.38,37.8,37.3807,460731
2025-11-13,37.8,37.81,36.95,37.11,36.6983,1701836
2025-11-14,36.74,36.84,36.465,36.57,36.1643,526838
2025-11-17,36.5,36.76,36.28,36.42,36.016,622022
2025-11-18,36.42,36.65,35.69,35.94,35.5413,711320
2025-11-19,36,36.14,35.77,35.81,35.4128,472385
2025-11-20,35.71,36.89,35.71,36.89,36.4808,533577
2025-11-21,36.45,36.63,36,36.41,36.0061,333677
2025-11-24,36.72,37.18,36.7,37.07,36.6588,1442483
2025-11-25,37.2,37.56,37.07,37.31,36.8961,531814
2025-11-26,37.63,37.935,37.225,37.23,36.817,723034
2025-11-27,37.6,37.72,37.2,37.41,36.995,242742
2025-11-28,37.55,37.82,37.23,37.82,37.4005,750997
2025-12-01,37.82,37.92,37.36,37.61,37.1928,361697
2025-12-02,37.3,37.56,37.02,37.02,36.6093,473449
2025-12-03,37.37,37.54,36.695,36.84,36.4313,558566
2025-12-04,37,37.45,36.4,36.65,36.2434,373796
2025-12-05,36.49,36.73,36.03,36.24,35.838,568305
2025-12-08,36.1,36.56,35.89,36.27,35.8677,720930
2025-12-09,36.32,36.54,36.08,36.08,35.6798,558825
2025-12-10,36.05,36.24,35.57,35.6,35.2051,616098
2025-12-11,35.77,35.81,35.07,35.18,34.7897,831779
2025-12-12,35.35,35.68,35.01,35.62,35.2249,534748
2025-12-15,35.37,35.44,34.78,35.18,34.7897,792371
2025-12-16,35.01,35.42,34.875,35.42,35.0271,641108
2025-12-17,35.42,35.5,34.91,35.17,34.7799,712457
2025-12-18,35.19,35.53,35.09,35.42,35.0271,802980
2025-12-19,35.69,36.01,35.48,35.85,35.4523,4302252
2025-12-22,35.95,36.15,35.74,35.92,35.5215,495509
2025-12-23,35.9,36.505,35.84,36.4,35.9962,269957
2025-12-24,36.18,36.39,36.04,36.34,35.9369,245844
2025-12-29,36.38,36.83,36.3,36.83,36.4214,613958
2025-12-30,36.89,37.3,36.87,37,36.5896,219655
2025-12-31,37.08,37.24,36.92,37.14,36.728,420697
2026-01-02,37.2,37.48,37.18,37.39,36.9752,265625
2026-01-05,37.42,37.61,37.27,37.46,37.0445,336475
2026-01-06,37.5,38.24,37.41,37.7,37.2818,547182
2026-01-07,37.99,38.15,37.85,38.04,37.618,440472
2026-01-08,38.16,38.33,38.01,38.14,37.7169,623719
2026-01-09,38.15,38.29,37.66,37.92,37.4993,486493
2026-01-12,38,38.33,37.8,37.98,37.5587,350480
2026-01-13,37.92,38.32,37.9,38,37.5785,440575
2026-01-14,38,38.12,37.6,37.75,37.3312,408280
2026-01-15,38.16,38.16,37.68,38.01,37.5883,459441
2026-01-16,38.07,38.49,37.96,38.14,37.7169,499587
2026-01-19,38.06,38.55,38.06,38.42,37.9938,262984
2026-01-20,38.02,38.145,37.535,37.97,37.5488,978548
2026-01-21,38.12,38.13,37.88,38.05,37.6279,375201
2026-01-22,38.2,38.52,38.14,38.26,37.8356,365070
2026-01-23,38.15,38.58,38.06,38.35,37.9246,316096
2026-01-27,38.4,38.85,38.4,38.61,38.1817,493108
2026-01-28,39.1,39.75,37.715,38.2,37.7762,583547
2026-01-29,38.28,38.48,38.07,38.4,37.974,345047
2026-01-30,38.5,38.74,38.36,38.59,38.1619,553936
2026-02-02,38.34,38.68,37.25,37.59,37.173,665404
2026-02-03,38,38.43,37.9,38,37.5785,436191
2026-02-04,37.72,38.2,37.41,37.72,37.3016,442610
2026-02-05,37.4,37.89,37.16,37.74,37.3213,620959
2026-02-06,37.37,37.54,36.8,37.01,36.5994,550421
2026-02-09,37.09,37.3,36.8,37.1,36.6884,536921
2026-02-10,37.1,38.12,37.1,37.91,37.4895,435024
2026-02-11,37.85,38.32,37.69,38.26,37.8356,253264
2026-02-12,38.13,38.32,37.72,38.05,37.6279,588037
2026-02-13,38.07,38.23,37.455,37.9,37.4796,407508
2026-02-16,37.8,38.01,37.33,37.45,37.0346,498321
2026-02-17,37.44,37.44,36.75,37.29,36.8763,394446
2026-02-18,37.58,38.05,37.4,37.99,37.5686,344807
2026-02-19,38.3,38.46,37.905,38.01,37.5883,570134
2026-02-20,37.49,37.94,37.46,37.94,37.5191,249944
2026-02-23,38,38.08,37.04,37.23,36.817,496940
2026-02-24,37.1,37.31,36.78,36.99,36.5797,595859
2026-02-25,36.79,37.34,36.79,37.08,36.6687,466249
2026-02-26,37.7,38.04,37.44,37.61,37.1928,395053
2026-02-27,37.61,38.39,37.56,38.25,37.8257,758289
2026-03-02,38.15,38.27,37.51,37.93,37.5092,391842
2026-03-03,37.78,38.07,37.54,38.07,37.6477,398535
2026-03-04,37.8,37.82,37.205,37.39,36.9752,515498
2026-03-05,37.75,38.02,37.33,37.78,37.3609,585222
2026-03-06,37.41,38.12,37.37,38.12,37.6971,405413
2026-03-09,37.46,37.79,36.96,37.79,37.3708,891945
2026-03-10,38.36,38.78,38.06,38.1,37.6774,880681
2026-03-11,38.2,38.65,38.11,38.42,37.9938,531899
2026-03-12,38.38,38.54,37.77,38,37.5785,597298
2026-03-13,38,38.74,37.85,38.56,38.1322,476809
2026-03-16,38.74,39.37,38.64,38.99,38.5575,536531
2026-03-17,38.64,39.28,38.64,39.15,38.7157,483830
2026-03-18,39.25,39.61,38.7,39.13,38.6959,984280
2026-03-19,39.4,39.4,38.73,38.88,38.4487,928457
2026-03-20,39.01,39.71,38.5,38.5,38.0729,4604801
2026-03-23,38.01,38.3,37.175,37.83,37.4103,710352
2026-03-24,38.65,38.77,37.7,37.83,37.4103,493849
2026-03-25,38.14,38.28,37.74,38.28,37.8554,461779
2026-03-26,38.15,39.2,37.79,38.34,37.9147,490355
2026-03-27,38.59,40.3,37.9,40.26,39.8134,815677
2026-03-30,40.17,40.75,39.2,40.19,39.7442,701573
2026-03-31,40.08,40.7,39.66,40.4,39.9518,815848
2026-04-01,40.4,40.9,40.27,40.9,40.4463,611465
2026-04-02,41.47,41.58,41.03,41.34,40.8814,858146
2026-04-07,41.6,42.09,41.5,42.07,41.6033,681596
2026-04-08,42.66,43.59,42.54,42.95,42.4735,1314752
2026-04-09,42.73,43.665,42.66,43.52,43.0372,907890
2026-04-10,43.8,43.84,42.79,42.98,42.5032,658662
2026-04-13,42.8,43.19,42.66,42.72,42.2461,907190
2026-04-14,43.15,43.27,42.945,43,42.523,613040
2026-04-15,43.35,43.46,42.82,43.34,42.8592,549894
2026-04-16,43.65,43.985,43.6,43.91,43.4229,1043753
2026-04-17,43.64,43.74,42.84,43.27,42.79,747594
2026-04-20,42.79,42.93,42.05,42.17,42.17,427533
2026-04-21,42.45,42.77,42.23,42.32,42.32,565518
2026-04-22,42.45,42.47,41.84,42.25,42.25,471928
2026-04-23,41.98,42.29,41.52,42.29,42.29,407597
2026-04-24,42.43,42.57,42.14,42.25,42.25,594764
2026-04-27,42.18,42.18,41.58,41.62,41.62,365505
2026-04-28,41.53,42.08,41.02,41.61,41.61,498993
2026-04-29,41.65,41.89,40.94,41.1,41.1,686541
2026-04-30,41.08,42.17,41.08,42.17,42.17,787992
2026-05-01,42.4,43.085,42.39,42.54,42.54,653341
2026-05-04,42.5,42.95,42.43,42.65,42.65,433120
2026-05-05,42.21,42.62,42.01,42.48,42.48,449981
2026-05-06,42.58,42.805,42.37,42.47,42.47,548997
2026-05-07,42.43,42.96,42.42,42.95,42.95,1434862
2026-05-08,43.2,43.85,43.08,43.54,43.54,737865
2026-05-11,43.24,44.49,43.17,44.18,44.18,637598
2026-05-12,44,44.11,42.95,43.3,43.3,458952
2026-05-13,43.29,43.49,42.58,42.59,42.59,515055
2026-05-14,42.71,42.76,42.04,42.22,42.22,433081
2026-05-15,42.78,43.38,42.24,42.61,42.61,461387
