Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.37,2.37,2.29,2.32,2.1392,1478616
2025-07-23,2.33,2.34,2.28,2.3,2.1208,2312515
2025-07-24,2.3,2.305,2.26,2.27,2.0931,1542213
2025-07-25,2.26,2.29,2.25,2.28,2.1023,781673
2025-07-28,2.28,2.3,2.26,2.29,2.1115,1243788
2025-07-29,2.3,2.32,2.24,2.27,2.0931,2428115
2025-07-30,2.28,2.28,2.23,2.24,2.0654,1303355
2025-07-31,2.24,2.25,2.215,2.23,2.0562,2371079
2025-08-01,2.24,2.25,2.21,2.24,2.0654,914897
2025-08-04,2.23,2.26,2.22,2.23,2.0562,1126768
2025-08-05,2.26,2.275,2.23,2.27,2.0931,1355244
2025-08-06,2.3,2.31,2.28,2.3,2.1208,1648965
2025-08-07,2.31,2.34,2.3,2.33,2.1484,1072613
2025-08-08,2.34,2.38,2.335,2.37,2.1853,1736163
2025-08-11,2.37,2.39,2.37,2.37,2.1853,949336
2025-08-12,2.38,2.39,2.305,2.31,2.13,1385312
2025-08-13,2.32,2.335,2.305,2.31,2.13,1040028
2025-08-14,2.33,2.33,2.265,2.28,2.1023,1378924
2025-08-15,2.29,2.305,2.275,2.29,2.1115,761208
2025-08-18,2.29,2.315,2.28,2.31,2.13,1516745
2025-08-19,2.31,2.31,2.265,2.3,2.1208,1609460
2025-08-20,2.32,2.37,2.27,2.37,2.1853,5692545
2025-08-21,2.34,2.34,2.28,2.32,2.1392,3564908
2025-08-22,2.32,2.375,2.27,2.34,2.1576,4048638
2025-08-25,2.34,2.35,2.3,2.31,2.13,2052995
2025-08-26,2.32,2.32,2.25,2.26,2.0839,3576113
2025-08-27,2.28,2.3,2.26,2.28,2.1023,1667281
2025-08-28,2.3,2.31,2.28,2.3,2.1208,1268543
2025-08-29,2.3,2.34,2.3,2.32,2.1392,2268526
2025-09-01,2.32,2.37,2.31,2.37,2.1853,1749060
2025-09-02,2.37,2.38,2.34,2.34,2.1576,2191887
2025-09-03,2.34,2.35,2.3,2.3,2.1208,2454866
2025-09-04,2.3,2.31,2.29,2.29,2.1115,2533702
2025-09-05,2.31,2.32,2.28,2.3,2.1208,1508319
2025-09-08,2.31,2.355,2.31,2.34,2.1576,1717876
2025-09-09,2.24,2.255,2.215,2.24,2.1651,2387766
2025-09-10,2.25,2.26,2.23,2.25,2.1748,1803141
2025-09-11,2.25,2.25,2.17,2.18,2.1071,2690130
2025-09-12,2.18,2.18,2.11,2.11,2.0394,2539031
2025-09-15,2.13,2.13,2.08,2.1,2.0298,2320569
