Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.094,0.094,0.089,0.089,0.089,812561
2025-04-28,0.092,0.094,0.092,0.094,0.094,181875
2025-04-29,0.094,0.094,0.093,0.094,0.094,167134
2025-04-30,0.092,0.094,0.092,0.094,0.094,118453
2025-05-01,0.093,0.093,0.092,0.093,0.093,43456
2025-05-02,0.092,0.092,0.092,0.092,0.092,25000
2025-05-05,0.092,0.094,0.092,0.094,0.094,24168
2025-05-06,0.093,0.094,0.091,0.094,0.094,65859
2025-05-07,0.093,0.095,0.091,0.095,0.095,558982
2025-05-08,0.092,0.093,0.089,0.093,0.093,641212
2025-05-09,0.091,0.091,0.09,0.09,0.09,206299
2025-05-12,0.09,0.091,0.0895,0.09,0.09,258136
2025-05-13,0.09,0.09,0.089,0.09,0.09,316825
2025-05-14,0.089,0.089,0.089,0.089,0.089,190755
2025-05-15,0.089,0.089,0.089,0.089,0.089,0
2025-05-16,0.089,0.089,0.087,0.088,0.088,369034
2025-05-19,0.088,0.088,0.087,0.088,0.088,169646
2025-05-20,0.087,0.089,0.084,0.089,0.089,629972
2025-05-21,0.089,0.089,0.082,0.086,0.086,988353
2025-05-22,0.086,0.088,0.086,0.086,0.086,1351642
2025-05-23,0.086,0.089,0.086,0.089,0.089,282243
2025-05-26,0.087,0.09,0.087,0.09,0.09,740943
2025-05-27,0.09,0.09,0.089,0.089,0.089,85056
2025-05-28,0.089,0.089,0.089,0.089,0.089,26944
2025-05-29,0.089,0.089,0.089,0.089,0.089,69570
2025-05-30,0.088,0.088,0.087,0.087,0.087,126143
2025-06-02,0.088,0.092,0.088,0.092,0.092,1194849
2025-06-03,0.093,0.095,0.092,0.093,0.093,1043433
2025-06-04,0.092,0.094,0.092,0.093,0.093,183687
2025-06-05,0.093,0.094,0.092,0.094,0.094,180246
2025-06-06,0.093,0.095,0.092,0.093,0.093,895440
2025-06-10,0.093,0.093,0.091,0.091,0.091,1848971
2025-06-11,0.092,0.092,0.089,0.089,0.089,775151
2025-06-12,0.09,0.0905,0.089,0.0905,0.0905,421357
2025-06-13,0.09,0.094,0.09,0.094,0.094,237353
2025-06-16,0.093,0.093,0.089,0.091,0.091,623688
2025-06-17,0.09,0.091,0.089,0.089,0.089,228568
2025-06-18,0.089,0.095,0.089,0.09,0.09,726633
2025-06-19,0.09,0.09,0.088,0.089,0.089,448263
2025-06-20,0.089,0.089,0.088,0.088,0.088,228795
2025-06-23,0.087,0.089,0.082,0.086,0.086,443490
2025-06-24,0.085,0.088,0.085,0.088,0.088,934093
2025-06-25,0.089,0.089,0.088,0.088,0.088,272989
2025-06-26,0.088,0.093,0.088,0.091,0.091,1156766
2025-06-27,0.0925,0.093,0.09,0.09,0.09,143800
2025-06-30,0.091,0.091,0.088,0.088,0.088,457089
2025-07-01,0.088,0.088,0.086,0.087,0.087,291856
2025-07-02,0.087,0.087,0.087,0.087,0.087,10000
2025-07-03,0.089,0.092,0.089,0.092,0.092,94372
2025-07-04,0.091,0.091,0.09,0.091,0.091,183259
2025-07-07,0.091,0.093,0.091,0.093,0.093,154591
2025-07-08,0.093,0.095,0.093,0.094,0.094,249901
2025-07-09,0.097,0.097,0.094,0.094,0.094,71636
2025-07-10,0.096,0.1,0.095,0.1,0.1,653111
2025-07-11,0.1,0.1,0.097,0.098,0.098,30947
2025-07-14,0.1,0.1,0.097,0.099,0.099,43663
2025-07-15,0.098,0.1,0.097,0.097,0.097,162146
2025-07-16,0.1,0.1,0.098,0.1,0.1,10543
2025-07-17,0.1,0.1,0.1,0.1,0.1,4223
2025-07-18,0.105,0.105,0.1,0.105,0.105,229463
2025-07-21,0.105,0.105,0.1,0.105,0.105,249924
2025-07-22,0.105,0.105,0.1,0.1,0.1,717515
2025-07-23,0.099,0.1,0.096,0.097,0.097,560265
2025-07-24,0.097,0.098,0.096,0.096,0.096,652804
2025-07-25,0.098,0.098,0.094,0.096,0.096,985698
2025-07-28,0.096,0.1,0.096,0.1,0.1,128690
2025-07-29,0.096,0.098,0.094,0.095,0.095,501079
2025-07-30,0.095,0.098,0.095,0.095,0.095,80940
2025-07-31,0.099,0.105,0.099,0.1,0.1,604635
2025-08-01,0.096,0.105,0.096,0.096,0.096,147725
