Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.665,1.685,1.665,1.68,1.6363,878092
2025-07-23,1.685,1.685,1.64,1.645,1.6022,1422823
2025-07-24,1.655,1.67,1.63,1.665,1.6217,593756
2025-07-25,1.66,1.665,1.625,1.64,1.5973,631638
2025-07-28,1.635,1.645,1.615,1.62,1.5778,618666
2025-07-29,1.605,1.64,1.59,1.635,1.5924,1254654
2025-07-30,1.615,1.6675,1.595,1.66,1.6168,1477799
2025-07-31,1.65,1.6775,1.65,1.665,1.6217,860033
2025-08-01,1.675,1.675,1.6475,1.66,1.6168,741046
2025-08-04,1.66,1.66,1.625,1.64,1.5973,639141
2025-08-05,1.645,1.66,1.625,1.645,1.6022,562355
2025-08-06,1.64,1.645,1.615,1.625,1.5827,1236138
2025-08-07,1.625,1.655,1.62,1.645,1.6022,781017
2025-08-08,1.625,1.64,1.605,1.61,1.5681,582479
2025-08-11,1.605,1.61,1.575,1.595,1.5535,967331
2025-08-12,1.595,1.605,1.555,1.575,1.534,1355932
2025-08-13,1.62,1.625,1.56,1.61,1.5681,1513694
2025-08-14,1.615,1.64,1.615,1.625,1.5827,662877
2025-08-15,1.625,1.625,1.585,1.605,1.5632,913619
2025-08-18,1.6,1.63,1.515,1.605,1.5632,754095
2025-08-19,1.69,1.765,1.63,1.74,1.6947,3981856
2025-08-20,1.785,1.8675,1.7775,1.85,1.8019,5591465
2025-08-21,1.845,1.845,1.8,1.84,1.7921,4355712
2025-08-22,1.84,1.94,1.83,1.935,1.8846,3265331
2025-08-25,1.93,1.94,1.9,1.92,1.87,3095200
2025-08-26,1.92,1.965,1.88,1.96,1.909,12924269
2025-08-27,1.965,2,1.935,1.995,1.9431,2085353
2025-08-28,1.98,2,1.93,1.93,1.8798,1472695
2025-08-29,1.925,1.975,1.9125,1.965,1.9139,1574073
2025-09-01,1.965,1.995,1.945,1.945,1.8944,2797386
2025-09-02,1.97,1.995,1.94,1.945,1.8944,4092419
2025-09-03,1.945,1.975,1.9375,1.955,1.9041,1672463
