Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.97,1.975,1.915,1.945,1.8904,1397343
2025-07-23,1.945,1.97,1.935,1.955,1.9002,878862
2025-07-24,1.96,1.97,1.93,1.94,1.8856,1013927
2025-07-25,1.94,1.94,1.895,1.915,1.8613,1241617
2025-07-28,1.9,1.9325,1.9,1.93,1.8759,935787
2025-07-29,1.92,1.945,1.9075,1.93,1.8759,1575326
2025-07-30,1.93,1.995,1.915,1.985,1.9293,942135
2025-07-31,1.97,2.01,1.97,1.985,1.9293,1225961
2025-08-01,1.99,1.995,1.955,1.99,1.9342,2054089
2025-08-04,1.97,2,1.97,1.985,1.9293,846320
2025-08-05,1.995,2,1.965,1.97,1.9147,1350859
2025-08-06,1.98,2.01,1.965,2.01,1.9536,3351676
2025-08-07,2.01,2.1,2.005,2.09,2.0314,3395939
2025-08-08,2.09,2.09,2.03,2.05,1.9925,758954
2025-08-11,2.05,2.07,2.035,2.06,2.0022,982261
2025-08-12,2.05,2.075,2.01,2.07,2.0119,861942
2025-08-13,2.04,2.07,2.04,2.05,1.9925,949357
2025-08-14,2.06,2.08,2.04,2.07,2.0119,1002086
2025-08-15,2.07,2.08,2.04,2.07,2.0119,706630
2025-08-18,2.07,2.075,2.05,2.07,2.0119,712110
2025-08-19,2.04,2.05,2,2.02,1.9633,1298521
2025-08-20,2.02,2.18,2,2.18,2.1189,4858018
2025-08-21,2.2,2.2,2.11,2.14,2.08,3310856
2025-08-22,2.15,2.18,2.12,2.14,2.08,1314696
2025-08-25,2.14,2.15,2.08,2.12,2.0605,1606987
2025-08-26,2.11,2.125,2.07,2.09,2.0314,2029348
2025-08-27,2.09,2.095,2.04,2.06,2.0022,1456220
2025-08-28,2.05,2.08,2.045,2.06,2.0022,1055996
2025-08-29,2.06,2.1,2.045,2.08,2.0217,1670304
2025-09-01,2.07,2.1,2.03,2.05,1.9925,786862
2025-09-02,2.03,2.065,2.02,2.04,1.9828,1015633
2025-09-03,2.06,2.07,2.03,2.04,1.9828,1756548
2025-09-04,2.04,2.06,2.04,2.05,1.9925,860160
2025-09-05,2.03,2.07,2.02,2.04,1.9828,1136301
2025-09-08,2.01,2.01,1.845,1.94,1.8856,2511196
2025-09-09,1.935,1.99,1.925,1.985,1.9293,2234880
2025-09-10,1.98,2.01,1.9725,2,1.9439,1714207
2025-09-11,2.03,2.35,2,2.32,2.2549,6257415
2025-09-12,2.36,2.4,2.29,2.31,2.2452,3369668
2025-09-15,2.31,2.39,2.31,2.38,2.3132,1741990
2025-09-16,2.39,2.4,2.305,2.34,2.2744,3494224
2025-09-17,2.34,2.36,2.29,2.34,2.3039,1965686
2025-09-18,2.35,2.35,2.31,2.34,2.3039,3591982
2025-09-19,2.35,2.35,2.28,2.3,2.2645,6260826
2025-09-22,2.32,2.34,2.29,2.32,2.2842,1218573
2025-09-23,2.32,2.35,2.29,2.32,2.2842,2808016
2025-09-24,2.35,2.35,2.28,2.34,2.3039,1074672
2025-09-25,2.32,2.35,2.305,2.33,2.2941,1295991
2025-09-26,2.34,2.34,2.29,2.33,2.2941,1050304
2025-09-29,2.33,2.34,2.3,2.32,2.2842,1340954
2025-09-30,2.32,2.32,2.28,2.31,2.2744,2657662
2025-10-01,2.3,2.32,2.28,2.28,2.2448,1687874
2025-10-02,2.28,2.29,2.23,2.26,2.2251,2254257
2025-10-03,2.3,2.3,2.26,2.28,2.2448,2944733
2025-10-06,2.28,2.28,2.23,2.24,2.2054,675119
2025-10-07,2.24,2.27,2.23,2.27,2.235,734844
2025-10-08,2.24,2.29,2.24,2.28,2.2448,2031003
2025-10-09,2.29,2.31,2.28,2.3,2.2645,933647
2025-10-10,2.31,2.31,2.275,2.31,2.2744,994210
2025-10-13,2.3,2.3,2.23,2.23,2.1956,3999611
2025-10-14,2.25,2.26,2.215,2.24,2.2054,1308993
2025-10-15,2.26,2.29,2.235,2.27,2.235,1478298
2025-10-16,2.28,2.31,2.26,2.26,2.2251,957728
2025-10-17,2.25,2.27,2.22,2.23,2.1956,865820
2025-10-20,2.25,2.25,2.21,2.24,2.2054,696825
2025-10-21,2.24,2.25,2.2,2.22,2.1858,7793189
2025-10-22,2.26,2.265,2.21,2.25,2.2153,1391063
2025-10-23,2.22,2.28,2.22,2.25,2.2153,2295589
2025-10-24,2.26,2.28,2.245,2.27,2.235,747476
2025-10-27,2.27,2.28,2.25,2.27,2.235,1254328
2025-10-28,2.27,2.27,2.245,2.26,2.2251,819392
2025-10-29,2.26,2.275,2.245,2.27,2.235,915309
2025-10-30,2.24,2.265,2.225,2.24,2.2054,1180938
2025-10-31,2.24,2.3,2.24,2.27,2.235,2337436
2025-11-03,2.28,2.28,2.14,2.16,2.1267,2071467
2025-11-04,2.16,2.17,2.12,2.17,2.1365,1172546
2025-11-05,2.17,2.21,2.15,2.19,2.1562,1455024
2025-11-06,2.19,2.22,2.18,2.22,2.1858,5912555
2025-11-07,2.24,2.24,2.14,2.14,2.107,1777895
2025-11-10,2.185,2.25,2.18,2.25,2.2153,2281485
2025-11-11,2.25,2.295,2.23,2.27,2.235,1772367
