Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.81,7.87,7.77,7.87,7.3635,8025893
2025-07-23,7.84,7.87,7.79,7.81,7.3073,10325733
2025-07-24,7.83,7.83,7.7,7.7,7.2044,12272457
2025-07-25,7.74,7.79,7.71,7.78,7.2793,14177197
2025-07-28,7.83,7.86,7.74,7.75,7.2512,7625883
2025-07-29,7.78,7.91,7.77,7.91,7.4009,7918365
2025-07-30,7.9,7.9,7.82,7.86,7.3541,8594961
2025-07-31,7.87,7.92,7.85,7.87,7.3635,10390709
2025-08-01,7.88,7.89,7.83,7.84,7.3354,9220995
2025-08-04,7.85,7.85,7.78,7.82,7.3167,6923975
2025-08-05,7.81,7.84,7.79,7.84,7.3354,9688267
2025-08-06,7.79,7.94,7.78,7.94,7.429,7840153
2025-08-07,7.9,7.91,7.82,7.86,7.3541,14860979
2025-08-08,7.79,7.88,7.77,7.88,7.3728,11877053
2025-08-11,7.87,7.97,7.85,7.87,7.3635,6710859
2025-08-12,7.86,7.93,7.84,7.93,7.4196,17329254
2025-08-13,7.88,7.92,7.87,7.9,7.3915,15471677
2025-08-14,7.97,7.97,7.9,7.91,7.4009,9159151
2025-08-15,7.91,8.05,7.9,8.05,7.5319,16921635
2025-08-18,7.98,8,7.945,7.96,7.4477,7418800
2025-08-19,7.82,7.84,7.67,7.75,7.2512,30810254
2025-08-20,7.8,7.8,7.48,7.56,7.0734,30705487
2025-08-21,7.69,7.76,7.54,7.7,7.2044,22199777
2025-08-22,7.67,7.76,7.655,7.76,7.2606,18662244
2025-08-25,7.78,7.88,7.76,7.81,7.3073,13238703
2025-08-26,7.85,7.97,7.845,7.97,7.457,22983553
2025-08-27,7.96,8.06,7.94,8.06,7.5412,22748196
2025-08-28,8.04,8.04,7.98,8,7.4851,9762833
2025-08-29,8,8.02,7.955,8.02,7.5038,9670259
2025-09-01,8,8.02,7.97,8,7.4851,4336847
2025-09-02,7.79,7.89,7.77,7.89,7.5743,10382194
2025-09-03,7.9,7.9,7.81,7.83,7.5167,8866921
2025-09-04,7.75,7.85,7.71,7.85,7.5359,12600023
2025-09-05,7.82,7.82,7.76,7.8,7.4879,8339825
2025-09-08,7.75,7.76,7.64,7.71,7.4015,8502515
2025-09-09,7.69,7.7,7.58,7.64,7.3343,19223024
2025-09-10,7.65,7.705,7.61,7.66,7.3535,6518195
2025-09-11,7.69,7.76,7.66,7.76,7.4495,6991412
2025-09-12,7.74,7.74,7.56,7.59,7.2863,10001443
2025-09-15,7.59,7.67,7.58,7.66,7.3535,9589700
2025-09-16,7.64,7.69,7.59,7.69,7.3823,10574954
2025-09-17,7.67,7.68,7.64,7.65,7.3439,12109411
2025-09-18,6.78,6.87,6.61,6.74,6.4703,108287803
2025-09-19,6.76,6.83,6.73,6.77,6.4991,38913092
2025-09-22,6.83,6.85,6.75,6.8,6.5279,14763769
2025-09-23,6.82,6.82,6.73,6.74,6.4703,22649112
2025-09-24,6.81,6.83,6.76,6.76,6.4895,25546490
2025-09-25,6.8,6.9,6.75,6.9,6.6239,22949122
2025-09-26,6.98,6.98,6.87,6.9,6.6239,21935055
