Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.72,0.725,0.7,0.725,0.6962,394643
2025-07-23,0.725,0.765,0.72,0.76,0.7299,298529
2025-07-24,0.715,0.745,0.675,0.68,0.653,1111226
2025-07-25,0.685,0.72,0.675,0.7,0.6722,499266
2025-07-28,0.715,0.72,0.68,0.705,0.677,386701
2025-07-29,0.71,0.75,0.695,0.71,0.6818,338394
2025-07-30,0.71,0.72,0.695,0.705,0.677,223333
2025-07-31,0.705,0.72,0.695,0.705,0.677,234723
2025-08-01,0.705,0.705,0.67,0.705,0.677,394622
2025-08-04,0.705,0.705,0.67,0.695,0.6674,273348
2025-08-05,0.695,0.735,0.685,0.695,0.6674,405569
2025-08-06,0.7,0.72,0.675,0.72,0.6914,323564
2025-08-07,0.73,0.73,0.7,0.715,0.6866,59775
2025-08-08,0.715,0.72,0.69,0.69,0.6626,141432
2025-08-11,0.7,0.715,0.685,0.685,0.6578,113640
2025-08-12,0.685,0.705,0.685,0.685,0.6578,190197
2025-08-13,0.69,0.71,0.6875,0.71,0.6818,124355
2025-08-14,0.7,0.7225,0.685,0.695,0.6674,246622
2025-08-15,0.7,0.705,0.69,0.69,0.6626,192962
2025-08-18,0.695,0.71,0.67,0.68,0.653,380609
2025-08-19,0.695,0.715,0.6825,0.685,0.6578,125142
2025-08-20,0.42,0.55,0.38,0.51,0.4898,4064410
2025-08-21,0.52,0.605,0.51,0.595,0.5714,924593
2025-08-22,0.61,0.62,0.59,0.605,0.581,642646
2025-08-25,0.585,0.59,0.555,0.57,0.57,376778
2025-08-26,0.575,0.575,0.535,0.555,0.555,771467
2025-08-27,0.555,0.56,0.525,0.525,0.525,507437
2025-08-28,0.53,0.555,0.525,0.53,0.53,236544
2025-08-29,0.53,0.545,0.525,0.525,0.525,246753
2025-09-01,0.53,0.54,0.515,0.52,0.52,327244
2025-09-02,0.52,0.52,0.5,0.51,0.51,378316
2025-09-03,0.5,0.52,0.5,0.51,0.51,182050
2025-09-04,0.525,0.525,0.51,0.52,0.52,294604
2025-09-05,0.52,0.54,0.51,0.515,0.515,179856
2025-09-08,0.52,0.54,0.51,0.54,0.54,196717
2025-09-09,0.515,0.525,0.515,0.515,0.515,64630
2025-09-10,0.525,0.53,0.52,0.52,0.52,109441
2025-09-11,0.54,0.54,0.525,0.53,0.53,170120
2025-09-12,0.54,0.545,0.53,0.535,0.535,301437
2025-09-15,0.55,0.57,0.535,0.56,0.56,160065
2025-09-16,0.56,0.57,0.55,0.55,0.55,98643
2025-09-17,0.56,0.565,0.55,0.55,0.55,99724
2025-09-18,0.555,0.565,0.55,0.56,0.56,35478
2025-09-19,0.565,0.57,0.54,0.54,0.54,266449
2025-09-22,0.55,0.555,0.54,0.54,0.54,144016
2025-09-23,0.54,0.555,0.52,0.55,0.55,223077
2025-09-24,0.545,0.545,0.53,0.545,0.545,73436
2025-09-25,0.54,0.545,0.525,0.525,0.525,90089
2025-09-26,0.535,0.54,0.535,0.535,0.535,208772
2025-09-29,0.535,0.55,0.535,0.545,0.545,125634
2025-09-30,0.54,0.54,0.53,0.535,0.535,129161
2025-10-01,0.53,0.545,0.525,0.54,0.54,111746
2025-10-02,0.55,0.55,0.535,0.54,0.54,95755
2025-10-03,0.54,0.55,0.52,0.545,0.545,242601
2025-10-06,0.545,0.545,0.53,0.535,0.535,61303
2025-10-07,0.54,0.54,0.525,0.525,0.525,175327
2025-10-08,0.525,0.54,0.515,0.53,0.53,249683
2025-10-09,0.53,0.53,0.515,0.525,0.525,140909
2025-10-10,0.53,0.53,0.515,0.53,0.53,174411
2025-10-13,0.53,0.53,0.51,0.52,0.52,75604
2025-10-14,0.515,0.525,0.51,0.525,0.525,103136
2025-10-15,0.515,0.53,0.51,0.53,0.53,124401
2025-10-16,0.525,0.56,0.52,0.535,0.535,369775
2025-10-17,0.535,0.5375,0.515,0.515,0.515,248853
2025-10-20,0.515,0.515,0.495,0.495,0.495,540753
2025-10-21,0.495,0.505,0.4775,0.495,0.495,226939
2025-10-22,0.495,0.515,0.485,0.495,0.495,113042
2025-10-23,0.495,0.515,0.495,0.495,0.495,37983
2025-10-24,0.5,0.5,0.495,0.495,0.495,70321
2025-10-27,0.5,0.5075,0.49,0.495,0.495,331513
2025-10-28,0.5,0.505,0.48,0.48,0.48,106400
2025-10-29,0.48,0.495,0.48,0.49,0.49,56763
2025-10-30,0.495,0.5,0.48,0.48,0.48,106928
2025-10-31,0.49,0.495,0.475,0.49,0.49,335814
2025-11-03,0.495,0.495,0.475,0.475,0.475,168860
2025-11-04,0.485,0.485,0.48,0.485,0.485,55361
2025-11-05,0.49,0.49,0.47,0.48,0.48,179923
2025-11-06,0.49,0.49,0.485,0.485,0.485,12677
2025-11-07,0.49,0.49,0.46,0.47,0.47,266154
2025-11-10,0.515,0.55,0.5,0.52,0.52,615936
2025-11-11,0.535,0.55,0.495,0.5,0.5,746694
2025-11-12,0.51,0.51,0.5,0.5,0.5,52657
2025-11-13,0.515,0.515,0.485,0.49,0.49,430303
2025-11-14,0.485,0.4875,0.475,0.475,0.475,274766
2025-11-17,0.47,0.49,0.47,0.475,0.475,280863
2025-11-18,0.485,0.485,0.465,0.465,0.465,165064
2025-11-19,0.47,0.475,0.465,0.47,0.47,242346
2025-11-20,0.475,0.475,0.465,0.47,0.47,187558
2025-11-21,0.475,0.475,0.465,0.47,0.47,146259
2025-11-24,0.47,0.48,0.47,0.47,0.47,246532
2025-11-25,0.475,0.48,0.465,0.475,0.475,247703
2025-11-26,0.475,0.49,0.475,0.48,0.48,253519
2025-11-27,0.495,0.5,0.475,0.5,0.5,95181
2025-11-28,0.5,0.5,0.485,0.49,0.49,289631
2025-12-01,0.49,0.49,0.47,0.475,0.475,422229
2025-12-02,0.475,0.495,0.475,0.48,0.48,307375
2025-12-03,0.48,0.485,0.475,0.485,0.485,77785
