Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,14.98,15.08,14.8,14.81,13.9898,271829
2025-07-23,14.93,15.29,14.91,15.14,14.3016,440952
2025-07-24,15.09,15.23,14.95,15.02,14.1882,479129
2025-07-25,15,15,14.6,14.96,14.1315,399555
2025-07-28,14.96,15.11,14.85,15.11,14.2732,305163
2025-07-29,15.12,15.28,14.99,15.08,14.2449,303149
2025-07-30,15.13,15.34,15.03,15.34,14.4905,296502
2025-07-31,15.34,15.37,15.2,15.32,14.4716,317566
2025-08-01,15.32,15.32,15.01,15.15,14.311,263585
2025-08-04,15.12,15.27,14.96,15.17,14.3299,209346
2025-08-05,15.37,15.64,15.22,15.57,14.7078,555619
2025-08-06,15.6,15.91,15.55,15.85,14.9723,324398
2025-08-07,15.79,15.92,15.75,15.92,15.0384,262814
2025-08-08,15.9,16,15.78,15.86,14.9817,245232
2025-08-11,15.86,15.92,15.5,15.57,14.7078,310608
2025-08-12,15.65,15.86,15.52,15.85,14.9723,247223
2025-08-13,15.9,16.08,15.88,16.06,15.1706,216154
2025-08-14,16.06,16.255,16.01,16.07,15.1801,319492
2025-08-15,16.09,16.26,16.05,16.21,15.3123,261760
2025-08-18,16.18,16.25,16.045,16.22,15.3218,263362
2025-08-19,16.11,16.32,16.045,16.32,15.4162,307004
2025-08-20,16.6,16.74,16.28,16.53,15.6146,525615
2025-08-21,18.01,20.2,18,18.57,17.5416,1824233
2025-08-22,18.49,18.83,18.19,18.66,17.6266,933709
2025-08-25,18.48,18.67,18.22,18.62,17.5889,981451
2025-08-26,18.65,18.82,18.53,18.58,17.5511,372960
2025-08-27,18.72,18.93,18.42,18.63,17.5983,261782
2025-08-28,18.69,18.85,18.51,18.59,17.5605,283012
2025-08-29,18.55,18.82,18.535,18.81,17.7683,362204
2025-09-01,18.75,18.865,18.48,18.57,17.5416,340880
2025-09-02,18.58,18.625,18.195,18.28,17.2677,280072
2025-09-03,18.29,18.42,18.06,18.06,17.0599,448346
2025-09-04,18.19,18.355,18.17,18.27,17.2582,427173
2025-09-05,18.4,18.84,18.2,18.84,17.7967,691084
2025-09-08,17.91,18.17,17.86,18.05,17.65,490174
2025-09-09,18.03,18.3,17.99,18.23,17.826,317495
2025-09-10,18.22,18.35,17.9,18,17.6011,262721
2025-09-11,18.05,18.085,17.59,17.77,17.3762,459732
2025-09-12,17.85,17.9,17.54,17.71,17.3175,443383
2025-09-15,17.5,17.6,17.04,17.26,16.8775,412267
2025-09-16,16.5,17,16.03,16.52,16.1539,1096256
2025-09-17,16.56,17,16.35,16.97,16.5939,787292
2025-09-18,17.01,17.1,16.74,16.95,16.5744,452623
2025-09-19,16.99,17.05,16.82,16.84,16.4668,915588
2025-09-22,16.84,16.94,16.66,16.74,16.369,296324
2025-09-23,16.75,16.94,16.6,16.68,16.3104,319681
2025-09-24,16.73,16.93,16.49,16.61,16.2419,509411
2025-09-25,16.73,16.76,16.49,16.63,16.2615,327956
2025-09-26,16.52,16.57,16.35,16.57,16.2028,369506
2025-09-29,16.65,16.74,16.28,16.41,16.0463,392863
2025-09-30,16.41,16.53,16.26,16.26,15.8997,417609
2025-10-01,16.5,16.5,16.15,16.26,15.8997,224905
2025-10-02,16.3,16.41,16.2,16.31,15.9486,216242
2025-10-03,16.5,16.595,16.36,16.56,16.193,284002
2025-10-06,16.68,16.68,16.35,16.44,16.0757,177731
2025-10-07,16.44,16.52,16.24,16.35,15.9877,274151
2025-10-08,16.33,16.33,15.81,16.1,15.7432,410794
2025-10-09,16.25,16.35,16.1,16.19,15.8312,252690
2025-10-10,16.23,16.55,16.17,16.55,16.1832,322961
2025-10-13,16.46,16.53,16.21,16.3,15.9388,221175
2025-10-14,16.35,16.49,16.125,16.35,15.9877,382584
2025-10-15,16.6,16.875,16.45,16.6,16.2321,475064
2025-10-16,16.65,16.7,16.4,16.61,16.2419,452661
2025-10-17,16.63,16.77,16.45,16.45,16.0855,280631
2025-10-20,16.52,16.75,16.36,16.75,16.3788,405802
2025-10-21,16.85,17.31,16.76,17,16.6233,756839
2025-10-22,17.14,17.22,16.85,17.15,16.7699,1007000
2025-10-23,17,17.02,16.37,16.47,16.105,1162321
2025-10-24,16.78,17.13,16.59,16.75,16.3788,482144
2025-10-27,16.76,16.76,16.43,16.61,16.2419,375426
2025-10-28,16.76,16.91,16.62,16.83,16.457,383695
2025-10-29,16.97,17.14,16.58,16.67,16.3006,533484
2025-10-30,16.4,16.46,16.06,16.24,15.8801,669963
2025-10-31,16.37,16.44,15.96,16,15.6454,394969
2025-11-03,16.23,16.33,15.86,16.27,15.9094,458304
2025-11-04,16.12,16.27,15.745,15.82,15.4694,541428
2025-11-05,15.77,15.98,15.545,15.82,15.4694,514237
2025-11-06,15.89,15.99,15.7,15.89,15.5379,508814
2025-11-07,15.81,16.095,15.78,15.99,15.6357,368337
2025-11-10,16.02,16.07,15.93,16.02,15.665,450123
2025-11-11,16.02,16.02,15.7,15.97,15.6161,1852913
2025-11-12,16.33,16.8,16.135,16.61,16.2419,658588
2025-11-13,16.58,16.81,16.255,16.35,15.9877,510076
2025-11-14,16.34,16.42,16.11,16.32,15.9583,262989
2025-11-17,16.32,16.51,16.14,16.46,16.0952,418085
2025-11-18,16.6,16.61,16.105,16.17,15.8117,318273
2025-11-19,16.08,16.415,16.08,16.14,15.7823,449252
2025-11-20,16.21,16.45,16.18,16.42,16.0561,220277
2025-11-21,16.27,16.27,15.87,16.11,15.753,309284
2025-11-24,16.28,16.4,16.03,16.17,15.8117,293911
