Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,20.36,20.49,20.21,20.26,18.9631,1563939
2025-07-23,20.26,20.44,20.08,20.44,19.1315,1606280
2025-07-24,20.54,20.59,20.265,20.43,19.1222,2082580
2025-07-25,20.31,20.42,20.27,20.31,19.0099,1381692
2025-07-28,20.31,20.5,20.28,20.48,19.169,1181983
2025-07-29,20.36,20.6,20.28,20.6,19.2813,2281267
2025-07-30,20.53,20.8,20.43,20.76,19.4311,2000694
2025-07-31,20.75,20.98,20.675,20.96,19.6183,3474186
2025-08-01,20.9,20.94,20.64,20.65,19.3281,2453814
2025-08-04,20.6,20.66,20.42,20.58,19.2626,1618004
2025-08-05,20.84,20.86,20.68,20.7,19.3749,2162091
2025-08-06,20.77,20.97,20.68,20.92,19.5808,1627753
2025-08-07,21,21.02,20.85,20.99,19.6463,2706469
2025-08-08,20.93,20.95,20.24,20.32,19.0192,2700778
2025-08-11,20.39,20.46,19.52,19.54,18.2892,6250090
2025-08-12,19.67,20.22,19.52,20.1,18.8133,3773935
2025-08-13,20.24,20.285,19.94,20.04,18.7571,2245158
2025-08-14,20.65,20.97,20.21,20.77,19.4404,2877711
2025-08-15,20.64,21.04,20.51,21.01,19.6651,2961995
2025-08-18,21.01,21.4,21.01,21.4,20.0301,4047961
2025-08-19,20.85,21.02,20.56,20.96,20.078,2558516
2025-08-20,21.08,21.65,21.01,21.37,20.4707,3555994
2025-08-21,21.5,21.625,21.42,21.54,20.6336,3521781
2025-08-22,21.5,21.82,21.45,21.82,20.9018,3636969
2025-08-25,21.82,21.92,21.08,21.19,20.2983,2772997
2025-08-26,21.23,21.29,20.83,21.15,20.26,3573740
2025-08-27,21.28,21.4,21.02,21.27,20.3749,2811684
2025-08-28,21.44,21.51,21.06,21.19,20.2983,1813332
2025-08-29,21.02,21.39,21,21.28,20.3845,2642590
2025-09-01,21.36,21.48,21.17,21.22,20.327,1804344
2025-09-02,21.3,21.35,21.12,21.28,20.3845,1454063
2025-09-03,21.18,21.32,20.85,20.87,19.9918,2669591
2025-09-04,21.07,21.18,20.95,21.15,20.26,2021233
2025-09-05,21.28,21.32,20.97,21.21,20.3175,1806938
2025-09-08,20.98,21.09,20.78,20.88,20.0013,1536874
2025-09-09,20.85,20.93,20.74,20.85,19.9726,2112385
2025-09-10,21.09,21.31,21.03,21.15,20.26,3364828
2025-09-11,21.18,21.23,20.92,21.05,20.1642,2120234
2025-09-12,21.28,21.43,21.15,21.18,20.2887,1139738
2025-09-15,20.93,21.16,20.88,21.07,20.1834,885066
2025-09-16,21.17,21.21,20.85,20.94,20.0588,1530806
2025-09-17,20.76,20.8,20.52,20.62,19.7523,1749871
2025-09-18,20.52,20.565,20.27,20.31,19.4553,2262007
2025-09-19,20.35,20.535,20.34,20.4,19.5415,5217339
2025-09-22,20.42,20.62,20.42,20.45,19.5894,1520410
2025-09-23,20.47,20.62,20.33,20.48,19.6182,1666760
2025-09-24,20.38,20.54,20.38,20.48,19.6182,4709587
2025-09-25,20.35,20.47,19.79,19.87,19.0339,2247515
2025-09-26,19.74,20.2,19.68,20.16,19.3116,2856399
2025-09-29,20.13,20.47,20.13,20.42,19.5607,2192681
2025-09-30,20.3,20.37,20.11,20.26,19.4074,2400677
2025-10-01,20.4,20.46,20.2,20.33,19.4745,2050235
2025-10-02,20.39,20.5,20.14,20.5,19.6373,2380073
2025-10-03,20.49,20.57,20.28,20.39,19.532,1582735
2025-10-06,20.52,20.56,20.39,20.49,19.6278,883701
2025-10-07,20.42,20.695,20.42,20.52,19.6565,2338392
2025-10-08,20.54,20.66,20.45,20.57,19.7044,1412650
2025-10-09,20.65,20.71,20.48,20.64,19.7714,2492830
2025-10-10,20.64,20.76,20.5,20.75,19.8768,2205839
2025-10-13,20.85,20.85,20.5,20.51,19.6469,1437308
2025-10-14,20.32,20.46,19.785,20.28,19.4266,2125099
2025-10-15,20.31,20.37,20.06,20.17,19.3212,2711567
2025-10-16,20.27,20.46,20.1,20.44,19.5799,2289865
2025-10-17,20.12,20.27,19.56,19.56,18.7369,3140228
2025-10-20,19.6,19.8,19.565,19.72,18.8902,2592164
2025-10-21,19.74,19.78,19.44,19.61,18.7848,2515952
2025-10-22,19.58,19.68,19.445,19.66,18.8327,2388174
2025-10-23,19.77,19.83,19.55,19.8,18.9668,1644186
2025-10-24,19.86,19.9,19.61,19.67,18.8423,2944672
2025-10-27,19.8,19.85,19.64,19.75,18.9189,1414632
2025-10-28,19.88,20.23,19.85,20.19,19.3404,2611738
2025-10-29,20.01,20.04,19.78,19.79,18.9572,1255394
2025-10-30,19.61,19.74,19.55,19.61,18.7848,2339234
2025-10-31,19.73,19.78,19.56,19.62,18.7944,2707742
2025-11-03,19.6,19.77,19.075,19.35,18.5357,3324923
2025-11-04,19.35,19.4,19.02,19.13,18.325,1773665
2025-11-05,19.28,19.39,19.2,19.25,18.4399,1912824
2025-11-06,19.51,19.51,19.31,19.45,18.6315,1823878
2025-11-07,19.97,20.2,19.5,19.51,18.689,2784038
2025-11-10,19.6,19.71,19.5,19.57,18.7465,1523465
2025-11-11,19.61,19.78,19.61,19.69,18.8614,1490552
2025-11-12,19.79,19.84,19.58,19.77,18.9381,3275527
2025-11-13,19.59,19.66,19.27,19.55,18.7273,2559445
2025-11-14,19.55,19.76,19.32,19.33,18.5166,3361968
2025-11-17,19.37,19.46,19.26,19.35,18.5357,1809240
2025-11-18,19.26,19.41,18.9,18.94,18.143,3087047
2025-11-19,18.94,19.01,18.76,18.84,18.0472,2045364
2025-11-20,18.49,18.88,18.49,18.78,17.9897,2489539
2025-11-21,18.76,18.835,18.55,18.69,17.9035,2505691
2025-11-24,18.99,18.99,18.69,18.77,17.9801,7935580
2025-11-25,18.74,18.92,18.36,18.43,17.6544,3356545
2025-11-26,18.77,18.79,18.48,18.57,17.7886,5829205
2025-11-27,18.08,18.3,17.95,18.21,17.4437,2786690
2025-11-28,17.88,18.07,17.535,17.56,16.8211,3705983
2025-12-01,17.62,17.64,17.39,17.48,16.7444,2307619
2025-12-02,17.5,17.59,17.21,17.28,16.5528,3153368
2025-12-03,17.42,17.42,16.87,16.88,16.1697,3985685
2025-12-04,17.05,17.05,16.76,16.93,16.2176,3481879
2025-12-05,16.79,16.96,16.63,16.9,16.1888,3557168
2025-12-08,16.89,16.965,16.74,16.96,16.2463,1935839
2025-12-09,16.97,17.02,16.8,16.92,16.208,3488894
2025-12-10,16.92,17.17,16.83,17.02,16.3038,2793846
2025-12-11,17.23,17.33,16.975,17.07,16.3517,4079172
2025-12-12,17.23,17.34,17.135,17.3,16.572,2778795
2025-12-15,17.4,17.46,17.255,17.4,16.6678,2659827
2025-12-16,17.49,17.61,17.37,17.53,16.7923,3173940
2025-12-17,17.2,17.49,17.12,17.48,16.7444,3598234
2025-12-18,17.46,17.64,17.41,17.57,16.8306,2994483
2025-12-19,17.62,17.72,17.52,17.54,16.8019,5423734
2025-12-22,17.6,17.68,17.48,17.58,16.8402,1297947
2025-12-23,17.5,17.89,17.48,17.82,17.0701,2071013
2025-12-24,17.7,17.73,17.56,17.69,16.9456,558388
2025-12-29,17.8,17.8,17.6,17.6,16.8594,1063288
2025-12-30,17.75,17.87,17.66,17.74,16.9935,943002
2025-12-31,17.7,17.81,17.64,17.65,16.9073,1451228
2026-01-02,17.67,17.87,17.6,17.8,17.051,1709143
2026-01-05,17.7,17.76,17.5,17.51,16.7732,1934562
2026-01-06,17.4,17.57,17.26,17.3,16.572,2751979
