Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.98,6.26,5.98,6.15,6.15,253587
2025-07-23,6.14,6.14,5.95,6.05,6.05,190433
2025-07-24,5.95,5.99,5.62,5.88,5.88,243134
2025-07-25,5.85,5.85,5.61,5.7,5.7,378827
2025-07-28,5.71,5.89,5.71,5.77,5.77,204649
2025-07-29,5.88,6.01,5.74,5.82,5.82,172773
2025-07-30,5.85,5.85,5.47,5.56,5.56,178305
2025-07-31,5.38,5.43,5.21,5.42,5.42,338694
2025-08-01,5.37,5.65,5.25,5.37,5.37,343163
2025-08-04,5.5,5.76,5.49,5.51,5.51,371247
2025-08-05,5.56,5.78,5.4,5.41,5.41,335348
2025-08-06,5.74,5.74,5.51,5.66,5.66,442036
2025-08-07,5.8,5.915,5.47,5.5,5.5,395904
2025-08-08,5.5,5.6,5.43,5.47,5.47,333373
2025-08-11,5.52,5.57,5.5,5.53,5.53,348926
2025-08-12,5.51,6.07,5.5,6,6,337880
2025-08-13,6.08,6.12,5.95,6.07,6.07,528719
2025-08-14,6.07,6.08,5.95,6,6,304934
2025-08-15,5.85,5.98,5.74,5.91,5.91,282743
2025-08-18,5.94,6.21,5.885,5.9,5.9,331848
2025-08-19,5.96,6.2,5.89,6.15,6.15,421245
2025-08-20,6.2,6.2,5.8,5.91,5.91,647486
2025-08-21,5.87,6.01,5.77,5.9,5.9,603593
2025-08-22,6,6.22,5.96,6.1,6.1,336562
2025-08-25,6.3,6.56,6.19,6.35,6.35,758029
2025-08-26,6.55,6.89,6.28,6.28,6.28,3227020
2025-08-27,6.37,6.57,6.37,6.47,6.47,523302
2025-08-28,6.55,6.55,6.36,6.48,6.48,659943
2025-08-29,6.5,6.66,6.49,6.57,6.57,570696
2025-09-01,6.6,6.87,6.46,6.66,6.66,515370
2025-09-02,7,7.24,6.72,7,7,700446
2025-09-03,7,7.1,6.88,6.9,6.9,396083
2025-09-04,6.95,6.95,6.655,6.81,6.81,332969
2025-09-05,6.72,6.97,6.72,6.88,6.88,285095
2025-09-08,7.12,7.3,7,7.19,7.19,469743
2025-09-09,7.3,7.36,7.1,7.34,7.34,492979
2025-09-10,7.35,7.45,6.97,7.06,7.06,457716
2025-09-11,7.1,7.15,6.98,7.01,7.01,324218
2025-09-12,7.08,7.25,7.03,7.18,7.18,286515
2025-09-15,7.18,7.18,6.96,6.99,6.99,314432
2025-09-16,6.97,7.08,6.9,7.01,7.01,287178
2025-09-17,6.96,6.99,6.68,6.72,6.72,373623
2025-09-18,6.76,7.01,6.68,6.98,6.98,348813
2025-09-19,7.21,7.39,6.85,7.13,7.13,8458364
2025-09-22,7.26,7.59,7.26,7.49,7.49,712951
2025-09-23,7.56,7.65,7.44,7.63,7.63,308838
2025-09-24,7.5,7.69,7.45,7.55,7.55,403024
2025-09-25,7.54,7.63,7.4,7.45,7.45,274726
2025-09-26,7.44,7.95,7.39,7.95,7.95,1146982
2025-09-29,7.9,7.99,7.75,7.98,7.98,405349
2025-09-30,7.95,8.06,7.72,8.06,8.06,858185
2025-10-01,8.1,8.6,8.1,8.5,8.5,570908
2025-10-02,8.5,8.655,8.32,8.55,8.55,317437
2025-10-03,8.49,8.49,8.31,8.39,8.39,346969
2025-10-06,8.41,8.55,8.34,8.55,8.55,208635
2025-10-07,8.6,8.6,8.36,8.46,8.46,438919
2025-10-08,8.4,8.5,8.3,8.46,8.46,218114
2025-10-09,8.45,8.485,8.35,8.48,8.48,264772
2025-10-10,8.39,8.435,8.15,8.28,8.28,432372
2025-10-13,8.28,8.62,8.2,8.51,8.51,314097
2025-10-14,8.52,8.75,8.52,8.68,8.68,404649
2025-10-15,8.7,8.88,8.425,8.81,8.81,316548
2025-10-16,8.82,8.98,8.8,8.8,8.8,122222
2025-10-17,8.95,9.22,8.89,9.2,9.2,1000830
2025-10-20,8.5,8.53,8.14,8.27,8.27,489893
